stage,prompt_key,side,layer,mean_entropy
base,institutional_labor_worker_1,individual,0,1.7818180652102455
base,institutional_labor_worker_1,individual,1,1.1979738774243742
base,institutional_labor_worker_1,individual,2,0.8188890154706314
base,institutional_labor_worker_1,individual,3,1.1684652008116245
base,institutional_labor_worker_1,individual,4,0.6766209965571761
base,institutional_labor_worker_1,individual,5,0.9567236801376566
base,institutional_labor_worker_1,individual,6,1.0778296936769038
base,institutional_labor_worker_1,individual,7,1.2599315512925386
base,institutional_labor_worker_1,individual,8,1.0882628904655576
base,institutional_labor_worker_1,individual,9,1.205594479222782
base,institutional_labor_worker_1,individual,10,1.1777728769229725
base,institutional_labor_worker_1,individual,11,1.54297942109406
base,institutional_labor_worker_1,individual,12,1.058915531670209
base,institutional_labor_worker_1,individual,13,0.899910741019994
base,institutional_labor_worker_1,individual,14,1.3029420669190586
base,institutional_labor_worker_1,individual,15,1.6581817604601383
base,institutional_labor_worker_1,individual,16,1.307613876182586
base,institutional_labor_worker_1,individual,17,1.0796533266548067
base,institutional_labor_worker_1,individual,18,0.9243841436691582
base,institutional_labor_worker_1,individual,19,1.0943276756443083
base,institutional_labor_worker_1,individual,20,0.6436804400291294
base,institutional_labor_worker_1,individual,21,0.6129686499480158
base,institutional_labor_worker_1,individual,22,0.49404197256080806
base,institutional_labor_worker_1,individual,23,0.6417177710682154
base,institutional_labor_worker_1,individual,24,0.4449023533379659
base,institutional_labor_worker_1,individual,25,0.47309474425856024
base,institutional_labor_worker_1,individual,26,0.278374808258377
base,institutional_labor_worker_1,individual,27,0.7229628679342568
base,institutional_labor_worker_1,individual,28,0.31454988109180704
base,institutional_labor_worker_1,individual,29,0.4826901723863557
base,institutional_labor_worker_1,individual,30,0.31379989569541067
base,institutional_labor_worker_1,individual,31,0.8117054984904826
base,institutional_labor_mgmt_1,institution,0,1.8142758903559297
base,institutional_labor_mgmt_1,institution,1,1.328766588587314
base,institutional_labor_mgmt_1,institution,2,1.0054336423054338
base,institutional_labor_mgmt_1,institution,3,1.2961521190591156
base,institutional_labor_mgmt_1,institution,4,0.9804837689734995
base,institutional_labor_mgmt_1,institution,5,1.0452438816428185
base,institutional_labor_mgmt_1,institution,6,1.1971160010434687
base,institutional_labor_mgmt_1,institution,7,1.2942423494532704
base,institutional_labor_mgmt_1,institution,8,1.0757118142209947
base,institutional_labor_mgmt_1,institution,9,1.1638524065492675
base,institutional_labor_mgmt_1,institution,10,1.1165928794071078
base,institutional_labor_mgmt_1,institution,11,1.4050039015710354
base,institutional_labor_mgmt_1,institution,12,0.8580696274293587
base,institutional_labor_mgmt_1,institution,13,0.8311761426739395
base,institutional_labor_mgmt_1,institution,14,1.0187793541699648
base,institutional_labor_mgmt_1,institution,15,1.4326390214264393
base,institutional_labor_mgmt_1,institution,16,1.008272544015199
base,institutional_labor_mgmt_1,institution,17,1.0704872864298522
base,institutional_labor_mgmt_1,institution,18,0.9797280440106988
base,institutional_labor_mgmt_1,institution,19,1.40834547765553
base,institutional_labor_mgmt_1,institution,20,0.8135922262445092
base,institutional_labor_mgmt_1,institution,21,0.7305327085778117
base,institutional_labor_mgmt_1,institution,22,0.7644225703552365
base,institutional_labor_mgmt_1,institution,23,0.8831969583407044
base,institutional_labor_mgmt_1,institution,24,0.6379487363155931
base,institutional_labor_mgmt_1,institution,25,0.7341531757265329
base,institutional_labor_mgmt_1,institution,26,0.457358053419739
base,institutional_labor_mgmt_1,institution,27,0.9587417198345065
base,institutional_labor_mgmt_1,institution,28,0.5576468117069453
base,institutional_labor_mgmt_1,institution,29,0.7562726743635722
base,institutional_labor_mgmt_1,institution,30,0.4677948148455471
base,institutional_labor_mgmt_1,institution,31,0.8646568031981587
base,institutional_labor_worker_2,individual,0,1.7679758492158726
base,institutional_labor_worker_2,individual,1,1.1813182830810547
base,institutional_labor_worker_2,individual,2,0.7665476780384779
base,institutional_labor_worker_2,individual,3,1.0893666681367904
base,institutional_labor_worker_2,individual,4,0.7564174633007497
base,institutional_labor_worker_2,individual,5,0.8563846435863525
base,institutional_labor_worker_2,individual,6,1.056622623000294
base,institutional_labor_worker_2,individual,7,1.2892614430747926
base,institutional_labor_worker_2,individual,8,1.0061230291612446
base,institutional_labor_worker_2,individual,9,1.0887350515695289
base,institutional_labor_worker_2,individual,10,1.0269712692825124
base,institutional_labor_worker_2,individual,11,1.4522900255396962
base,institutional_labor_worker_2,individual,12,1.0724611207842827
base,institutional_labor_worker_2,individual,13,0.8108276822604239
base,institutional_labor_worker_2,individual,14,1.0450346879661083
base,institutional_labor_worker_2,individual,15,1.2738519869744778
base,institutional_labor_worker_2,individual,16,1.0576511328108609
base,institutional_labor_worker_2,individual,17,0.9387913863174617
base,institutional_labor_worker_2,individual,18,0.8836034759879112
base,institutional_labor_worker_2,individual,19,1.0812434973195195
base,institutional_labor_worker_2,individual,20,0.5345240994356573
base,institutional_labor_worker_2,individual,21,0.6173785573337227
base,institutional_labor_worker_2,individual,22,0.5424651489593089
base,institutional_labor_worker_2,individual,23,0.697934522293508
base,institutional_labor_worker_2,individual,24,0.489483775338158
base,institutional_labor_worker_2,individual,25,0.5355403888970613
base,institutional_labor_worker_2,individual,26,0.3022579518146813
base,institutional_labor_worker_2,individual,27,0.8389695677906275
base,institutional_labor_worker_2,individual,28,0.40271188609767705
base,institutional_labor_worker_2,individual,29,0.697272829915164
base,institutional_labor_worker_2,individual,30,0.4053627043031156
base,institutional_labor_worker_2,individual,31,0.7975577428005636
base,institutional_labor_mgmt_2,institution,0,1.805225165328011
base,institutional_labor_mgmt_2,institution,1,1.215671689948067
base,institutional_labor_mgmt_2,institution,2,0.848864121362567
base,institutional_labor_mgmt_2,institution,3,1.169625242240727
base,institutional_labor_mgmt_2,institution,4,0.7109210018534213
base,institutional_labor_mgmt_2,institution,5,0.9736062323208898
base,institutional_labor_mgmt_2,institution,6,1.130261902580969
base,institutional_labor_mgmt_2,institution,7,1.3087567309848964
base,institutional_labor_mgmt_2,institution,8,0.9855088486801833
base,institutional_labor_mgmt_2,institution,9,1.1139866993762553
base,institutional_labor_mgmt_2,institution,10,1.0107450624927878
base,institutional_labor_mgmt_2,institution,11,1.421775200869888
base,institutional_labor_mgmt_2,institution,12,0.9799880172358826
base,institutional_labor_mgmt_2,institution,13,0.8575019324198365
base,institutional_labor_mgmt_2,institution,14,1.095982636557892
base,institutional_labor_mgmt_2,institution,15,1.3565525775775313
base,institutional_labor_mgmt_2,institution,16,1.09835856850259
base,institutional_labor_mgmt_2,institution,17,0.9885433297604322
base,institutional_labor_mgmt_2,institution,18,0.8641203586012125
base,institutional_labor_mgmt_2,institution,19,1.2628767332062125
base,institutional_labor_mgmt_2,institution,20,0.6096779094077647
base,institutional_labor_mgmt_2,institution,21,0.6849975441582501
base,institutional_labor_mgmt_2,institution,22,0.5912234259303659
base,institutional_labor_mgmt_2,institution,23,0.7652013236656785
base,institutional_labor_mgmt_2,institution,24,0.4899554254952818
base,institutional_labor_mgmt_2,institution,25,0.5678603427950293
base,institutional_labor_mgmt_2,institution,26,0.34785587643273175
base,institutional_labor_mgmt_2,institution,27,0.9100507227703929
base,institutional_labor_mgmt_2,institution,28,0.41214029409457
base,institutional_labor_mgmt_2,institution,29,0.656335927778855
base,institutional_labor_mgmt_2,institution,30,0.4422833996359259
base,institutional_labor_mgmt_2,institution,31,0.833635482005775
base,institutional_labor_worker_3,individual,0,1.5269830854376778
base,institutional_labor_worker_3,individual,1,1.1696210943628103
base,institutional_labor_worker_3,individual,2,0.7689663978526369
base,institutional_labor_worker_3,individual,3,1.136765738017857
base,institutional_labor_worker_3,individual,4,0.6345549507532269
base,institutional_labor_worker_3,individual,5,0.8630483602755703
base,institutional_labor_worker_3,individual,6,1.0433190377661958
base,institutional_labor_worker_3,individual,7,1.2335200624074787
base,institutional_labor_worker_3,individual,8,0.9391151743475348
base,institutional_labor_worker_3,individual,9,1.0314841712825
base,institutional_labor_worker_3,individual,10,1.002414315706119
base,institutional_labor_worker_3,individual,11,1.489776470232755
base,institutional_labor_worker_3,individual,12,1.0150952476542443
base,institutional_labor_worker_3,individual,13,0.8677865485660732
base,institutional_labor_worker_3,individual,14,1.125413455069065
base,institutional_labor_worker_3,individual,15,1.4937680969014764
base,institutional_labor_worker_3,individual,16,1.0073579640011303
base,institutional_labor_worker_3,individual,17,0.946809307904914
base,institutional_labor_worker_3,individual,18,0.7860978194512427
base,institutional_labor_worker_3,individual,19,1.1242229845374823
base,institutional_labor_worker_3,individual,20,0.5017400220967829
base,institutional_labor_worker_3,individual,21,0.5920566120184958
base,institutional_labor_worker_3,individual,22,0.597634480218403
base,institutional_labor_worker_3,individual,23,0.6995038124732673
base,institutional_labor_worker_3,individual,24,0.39179941383190453
