family,stage,forward_bits,reverse_bits,ratio,larger
amber,dpo,20.98,54.1,2.58,reverse
amber,sft,7.54,41.09,5.45,reverse
archangel-dpo,dpo,,0.63,,
archangel-dpo,sft,,1.6,,
archangel-kto,dpo,,0.65,,
archangel-ppo,dpo,,1.83,,
archangel-slic,dpo,,0.61,,
bloom,dpo,,3.79,,
ct-llm,dpo,,8.0,,
ct-llm,sft,,7.41,,
deepseek-7b,dpo,2.94,3.65,1.24,reverse
falcon-mamba,dpo,,2.82,,
falcon3-10b,dpo,,4.81,,
falcon3-1b,dpo,,11.25,,
falcon3-3b,dpo,,15.18,,
falcon3-7b,dpo,,3.51,,
falcon3-mamba,dpo,,-0.29,,
glm4,dpo,,6.84,,
llama,dpo,11.91,6.21,0.52,forward
map-neo,dpo,,37.82,,
map-neo,sft,,41.66,,
minicpm,dpo,,23.45,,
minicpm,sft,,22.24,,
olmo,dpo,10.33,38.57,3.73,reverse
olmo,rlvr,12.3,35.75,2.91,reverse
olmo,sft,16.17,34.64,2.14,reverse
olmo-hybrid,dpo,,6.21,,
olmo-hybrid,sft,,3.32,,
olmo-think,dpo,2.9,6.65,2.29,reverse
olmo-think,sft,3.61,8.26,2.29,reverse
olmo-tiny,dpo,0.69,6.19,8.95,reverse
olmo-tiny,rlvr,0.3,6.68,22.03,reverse
olmo-tiny,sft,0.8,4.38,5.45,reverse
phi4,dpo,,1.24,,
pythia,dpo,1.23,1.43,1.16,reverse
pythia,sft,0.89,0.97,1.09,reverse
qwen,dpo,9.24,6.53,0.71,forward
qwen-tiny,dpo,3.01,3.27,1.09,reverse
qwen3,dpo,11.91,12.7,1.07,reverse
redpajama,dpo,,20.94,,
redpajama,sft,,37.2,,
rwkv,dpo,,1.0,,
smol,dpo,3.38,4.05,1.2,reverse
smol3,dpo,13.3,3.9,0.29,forward
stablelm,dpo,,10.77,,
stablelm,sft,,15.02,,
tinyllama,dpo,,54.46,,
tulu,dpo,2.93,4.76,1.62,reverse
tulu,rlvr,3.91,4.66,1.19,reverse
tulu,sft,1.52,1.64,1.08,reverse
tulu-sft-full,dpo,4.6,2.33,0.51,forward
tulu-sft-nomath,dpo,3.78,1.71,0.45,forward
tulu-sft-nopersona,dpo,4.22,1.93,0.46,forward
tulu-sft-nowildchat,dpo,4.22,1.74,0.41,forward
yi,dpo,,32.47,,
zephyr,dpo,3.3,39.96,12.09,reverse
zephyr,sft,1.95,38.89,19.92,reverse
