corpus_id,variant,author,idx,n_chars,n_words,blt_bits_per_char
human/original/joyce,original,joyce,0,622,100,2.1501130211293202
human/original/joyce,original,joyce,1,650,100,2.451597713260113
human/original/joyce,original,joyce,2,671,100,2.2963489411178375
human/original/joyce,original,joyce,3,570,100,2.514142779334683
human/original/joyce,original,joyce,4,572,100,2.231310471825896
human/original/joyce,original,joyce,5,652,100,2.4770202499554093
human/original/joyce,original,joyce,6,650,100,2.7573808806212656
human/original/joyce,original,joyce,7,596,100,2.2943384988744566
human/original/joyce,original,joyce,8,559,100,2.3176553670579505
human/original/joyce,original,joyce,9,726,100,2.25527740994252
human/original/joyce,original,joyce,10,566,100,2.6513486247741085
human/original/joyce,original,joyce,11,614,100,2.2884091162885363
human/original/joyce,original,joyce,12,556,100,2.423058216678081
human/original/joyce,original,joyce,13,585,100,2.890726583790802
human/original/joyce,original,joyce,14,545,100,2.511584131033762
human/original/joyce,original,joyce,15,592,100,2.3954192717581426
human/original/joyce,original,joyce,16,606,100,2.6542288112880157
human/original/joyce,original,joyce,17,637,100,2.3171802373333086
human/original/joyce,original,joyce,18,560,100,1.8100428114200025
human/original/joyce,original,joyce,19,609,100,3.4009396097932325
human/original/joyce,original,joyce,20,586,100,2.077864350776182
human/original/joyce,original,joyce,21,614,100,2.3431032652631036
human/original/joyce,original,joyce,22,615,100,2.2361217360408467
human/original/joyce,original,joyce,23,611,100,2.2675715303904362
human/original/joyce,original,joyce,24,632,100,2.3811852315689483
human/original/joyce,original,joyce,25,564,100,2.136861828647306
human/original/joyce,original,joyce,26,575,100,2.4869857063289333
human/original/joyce,original,joyce,27,712,100,2.364322295893121
human/original/joyce,original,joyce,28,540,100,2.487063823847112
human/original/joyce,original,joyce,29,625,100,2.4213785897352045
human/original/joyce,original,joyce,30,609,100,2.433684382624919
human/original/joyce,original,joyce,31,546,100,2.2717627341337137
human/original/joyce,original,joyce,32,554,100,2.326174975045222
human/original/joyce,original,joyce,33,524,100,2.1323084229161777
human/original/joyce,original,joyce,34,591,100,2.2071891178446745
human/original/joyce,original,joyce,35,578,100,1.875849505537906
human/original/joyce,original,joyce,36,600,100,2.1041947620539054
human/original/joyce,original,joyce,37,618,100,2.4009660431801354
human/original/joyce,original,joyce,38,581,100,3.1382898685907885
human/original/joyce,original,joyce,39,545,100,2.5985514492726405
human/original/joyce,original,joyce,40,599,100,2.093855086318309
human/original/joyce,original,joyce,41,560,100,2.09226949546679
human/original/joyce,original,joyce,42,637,100,2.186696452253799
human/original/joyce,original,joyce,43,630,100,2.215353040959118
human/original/joyce,original,joyce,44,595,100,2.362200241010988
human/original/joyce,original,joyce,45,577,100,2.4984976281976694
human/original/joyce,original,joyce,46,597,100,2.4338862649262825
human/original/joyce,original,joyce,47,638,100,2.28345149264439
human/original/joyce,original,joyce,48,605,100,2.702405985709232
human/original/joyce,original,joyce,49,580,100,2.7214052941192395
human/original/joyce,original,joyce,50,613,100,2.599151435644263
human/original/joyce,original,joyce,51,630,100,2.648076988905374
human/original/joyce,original,joyce,52,651,100,2.5678866865642007
human/original/joyce,original,joyce,53,613,100,1.9765202126589676
human/original/joyce,original,joyce,54,556,100,2.473683060304443
