family,pair,layer,prompt,pole1_mass,pole2_mass,blend_mass,in_frame,remainder
olmo,love/hate,base,A,0.3022321322623896,0.008529185822972886,0.09457460846032058,0.40533592654568307,0.5946640734543169
olmo,love/hate,base,B,0.03185437956272038,0.26840885338269466,0.06532628676452758,0.3655895197099426,0.6344104802900574
olmo,love/hate,base,AB,0.19758258306651116,0.26758312925027905,0.055895568830293604,0.5210612811470838,0.47893871885291617
olmo,love/hate,sft,A,0.25852689768103587,0.0027569449150316745,0.2897132729489534,0.550997115545021,0.44900288445497905
olmo,love/hate,sft,B,0.03947039059549755,0.17603929236224264,0.07722959427345802,0.2927392772311982,0.7072607227688018
olmo,love/hate,sft,AB,0.339394873426603,0.12009987726137378,0.046492187802370875,0.5059869384903477,0.4940130615096523
olmo,love/hate,dpo,A,0.23594543400277843,0.0020572430177050235,0.31844266587855896,0.5564453428990424,0.44355465710095765
olmo,love/hate,dpo,B,0.017559785879781277,0.17123005342747732,0.055365831661147176,0.24415567096840576,0.7558443290315943
olmo,love/hate,dpo,AB,0.3167212871502836,0.1285040707679789,0.034554320311047465,0.4797796782293099,0.5202203217706901
olmo,love/hate,rlvr,A,0.24642549728067137,0.0016420157803868336,0.3380720515641246,0.5861395646251828,0.4138604353748172
olmo,love/hate,rlvr,B,0.01851687718348319,0.16348936934808542,0.06068421157274978,0.24269045810431839,0.7573095418956817
olmo,love/hate,rlvr,AB,0.3227786357974816,0.12888512163153493,0.032202429874060134,0.4838661873030767,0.5161338126969233
olmo,trust/fear,base,A,0.28460851771540674,0.028544021583760595,0.13617144859472866,0.44932398789389594,0.5506760121061041
olmo,trust/fear,base,B,0.110805764726832,0.1752576592173759,0.14128242905775182,0.4273458530019597,0.5726541469980403
olmo,trust/fear,base,AB,0.17909031092700337,0.04766062917503898,0.16354425295477903,0.39029519305682137,0.6097048069431786
olmo,trust/fear,sft,A,0.3559163810234274,0.09405457864846065,0.09400816089804567,0.5439791205699337,0.4560208794300663
olmo,trust/fear,sft,B,0.15056957087230496,0.1691060540424534,0.14090621177745813,0.46058183669221653,0.5394181633077835
olmo,trust/fear,sft,AB,0.16934960056960152,0.024611064130900008,0.1543891691222054,0.3483498338227069,0.6516501661772931
olmo,trust/fear,dpo,A,0.373199422480345,0.11580992420505026,0.054445787790481426,0.5434551344758767,0.4565448655241233
olmo,trust/fear,dpo,B,0.15636687655477677,0.16198134123002556,0.13414990003987176,0.4524981178246741,0.5475018821753259
olmo,trust/fear,dpo,AB,0.1696589592370914,0.018903934692874685,0.16989560004756138,0.3584584939775275,0.6415415060224725
olmo,trust/fear,rlvr,A,0.41453477487436485,0.12196770051254265,0.05770320253222809,0.5942056779191356,0.4057943220808644
olmo,trust/fear,rlvr,B,0.17538300721070263,0.16793238380155925,0.13265035071978512,0.475965741732047,0.524034258267953
olmo,trust/fear,rlvr,AB,0.18083167958093624,0.01903781055796634,0.16762312628868933,0.3674926164275919,0.6325073835724081
olmo,beautiful/disgusting,base,A,0.11919054917646395,0.028625703164888553,0.02733075782682643,0.17514701016817893,0.8248529898318211
olmo,beautiful/disgusting,base,B,0.007044116482644925,0.2926414267638568,0.022222253182660332,0.32190779642916206,0.6780922035708379
olmo,beautiful/disgusting,base,AB,0.08527981331687677,0.04476443283491496,0.024259723177329422,0.15430396932912113,0.8456960306708788
olmo,beautiful/disgusting,sft,A,0.11996738888961174,0.039012744946972634,0.00659182128420491,0.1655719551207893,0.8344280448792107
olmo,beautiful/disgusting,sft,B,0.0036508944439462496,0.08461047334045756,0.013824393190483432,0.10208576097488722,0.8979142390251128
olmo,beautiful/disgusting,sft,AB,0.22773786281875347,0.017896685527713715,0.0037687100650795244,0.24940325841154673,0.7505967415884532
olmo,beautiful/disgusting,dpo,A,0.11712463012583994,0.034979558259866636,0.0032508662369939746,0.15535505462270055,0.8446449453772995
olmo,beautiful/disgusting,dpo,B,0.002081937924011927,0.07275626458111736,0.008447401334453888,0.08328560383958318,0.9167143961604168
olmo,beautiful/disgusting,dpo,AB,0.26727251250163764,0.011169378724994038,0.0015925458376122481,0.2800344370642439,0.7199655629357561
olmo,beautiful/disgusting,rlvr,A,0.11569945741438808,0.03483605138895928,0.003177867443735509,0.1537133762470829,0.8462866237529171
olmo,beautiful/disgusting,rlvr,B,0.0020420788476764474,0.06658446870940775,0.007795043728402822,0.07642159128548702,0.923578408714513
olmo,beautiful/disgusting,rlvr,AB,0.2749349203482596,0.009695208842327701,0.0013257506829598086,0.28595587987354715,0.7140441201264529
olmo,obey/rebel,base,A,0.22765137606152314,0.010249866181008595,0.04579691061390345,0.2836981528564352,0.7163018471435648
olmo,obey/rebel,base,B,0.1181007756590607,0.09859967953676936,0.08107184421187004,0.2977722994077001,0.7022277005922999
olmo,obey/rebel,base,AB,0.2392844170722445,0.05027281656185071,0.12541938801289665,0.41497662164699184,0.5850233783530081
olmo,obey/rebel,sft,A,0.5444544405973025,0.005830184351789715,0.051078338146451754,0.601362963095544,0.39863703690445595
olmo,obey/rebel,sft,B,0.26860761466962296,0.16894969844337623,0.10809776805659878,0.5456550811695979,0.45434491883040207
olmo,obey/rebel,sft,AB,0.34936353021030614,0.040433903660241674,0.1628963276117117,0.5526937614822596,0.44730623851774043
olmo,obey/rebel,dpo,A,0.5755987877521636,0.002963159574387286,0.04246264761868118,0.621024594945232,0.378975405054768
olmo,obey/rebel,dpo,B,0.26426759623890095,0.22698769646532316,0.08136551277377109,0.5726208054779952,0.4273791945220048
olmo,obey/rebel,dpo,AB,0.41395795993819245,0.04200420400357669,0.12710420143733198,0.5830663653791011,0.41693363462089894
olmo,obey/rebel,rlvr,A,0.6021896283581872,0.0025081048434421457,0.03852681103060608,0.6432245442322354,0.3567754557677646
olmo,obey/rebel,rlvr,B,0.2769864416766276,0.20892535225481118,0.0859166259284982,0.571828419859937,0.42817158014006296
olmo,obey/rebel,rlvr,AB,0.4433027740709612,0.03894079337871592,0.13109487156322158,0.6133384390128986,0.38666156098710136
olmo,pleasure/pain,base,A,0.1502440065928329,0.08752099975912186,0.12219325642399005,0.35995826277594484,0.6400417372240552
olmo,pleasure/pain,base,B,0.012810016525248213,0.30844065375384205,0.09043279887427383,0.41168346915336407,0.5883165308466359
olmo,pleasure/pain,base,AB,0.0670880892567547,0.18160380114363892,0.10707523312452194,0.3557671235249156,0.6442328764750844
olmo,pleasure/pain,sft,A,0.3738779577800493,0.037135841036627475,0.08795037309172807,0.4989641719084048,0.5010358280915952
olmo,pleasure/pain,sft,B,0.006732890008505685,0.45875949373975905,0.08391279182009632,0.5494051755683611,0.4505948244316389
olmo,pleasure/pain,sft,AB,0.1056396467840179,0.1804235328990126,0.07352528272590145,0.35958846240893194,0.6404115375910681
