family_1,family_2,spearman_r,p_value
Amber,Amber,1.0,0.0
Amber,Mistral-7B-v0.1,0.27,0.023
Amber,OLMo-2-0425-1B,0.183,0.1266
Amber,Olmo-3-1025-7B,0.036,0.7632
Amber,Qwen2.5-7B,0.152,0.2058
Amber,Qwen3-8B-Base,0.013,0.912
Amber,Yi-9B,0.208,0.0822
Amber,deepseek-llm-7b-base,-0.178,0.1381
Amber,falcon-7b,0.225,0.0594
Amber,pythia-6.9b,0.142,0.2386
Mistral-7B-v0.1,Amber,0.27,0.023
Mistral-7B-v0.1,Mistral-7B-v0.1,1.0,0.0
Mistral-7B-v0.1,OLMo-2-0425-1B,0.172,0.152
Mistral-7B-v0.1,Olmo-3-1025-7B,0.041,0.7356
Mistral-7B-v0.1,Qwen2.5-7B,0.104,0.3877
Mistral-7B-v0.1,Qwen3-8B-Base,0.052,0.665
Mistral-7B-v0.1,Yi-9B,-0.014,0.9084
Mistral-7B-v0.1,deepseek-llm-7b-base,0.16,0.1832
Mistral-7B-v0.1,falcon-7b,0.213,0.0743
Mistral-7B-v0.1,pythia-6.9b,0.012,0.921
OLMo-2-0425-1B,Amber,0.183,0.1266
OLMo-2-0425-1B,Mistral-7B-v0.1,0.172,0.152
OLMo-2-0425-1B,OLMo-2-0425-1B,1.0,0.0
OLMo-2-0425-1B,Olmo-3-1025-7B,0.176,0.1414
OLMo-2-0425-1B,Qwen2.5-7B,-0.018,0.8829
OLMo-2-0425-1B,Qwen3-8B-Base,0.251,0.0347
OLMo-2-0425-1B,Yi-9B,0.288,0.0148
OLMo-2-0425-1B,deepseek-llm-7b-base,0.019,0.8772
OLMo-2-0425-1B,falcon-7b,0.127,0.2902
OLMo-2-0425-1B,pythia-6.9b,0.164,0.1726
Olmo-3-1025-7B,Amber,0.036,0.7632
Olmo-3-1025-7B,Mistral-7B-v0.1,0.041,0.7356
Olmo-3-1025-7B,OLMo-2-0425-1B,0.176,0.1414
Olmo-3-1025-7B,Olmo-3-1025-7B,1.0,0.0
Olmo-3-1025-7B,Qwen2.5-7B,0.09,0.4573
Olmo-3-1025-7B,Qwen3-8B-Base,-0.052,0.6661
Olmo-3-1025-7B,Yi-9B,0.125,0.2987
Olmo-3-1025-7B,deepseek-llm-7b-base,-0.015,0.8983
Olmo-3-1025-7B,falcon-7b,-0.023,0.8468
Olmo-3-1025-7B,pythia-6.9b,0.154,0.1984
Qwen2.5-7B,Amber,0.152,0.2058
Qwen2.5-7B,Mistral-7B-v0.1,0.104,0.3877
Qwen2.5-7B,OLMo-2-0425-1B,-0.018,0.8829
