f1,f2,js_base,js_aligned
amber,deepseek-7b,0.560753345489502,0.5922067761421204
amber,llama,0.5649819374084473,0.5612980127334595
amber,olmo,0.5909634828567505,0.5935574769973755
amber,olmo-tiny,0.6027796268463135,0.5343152284622192
amber,pythia,0.6350991725921631,0.6592445373535156
amber,qwen,0.5842760801315308,0.6058829426765442
amber,qwen-tiny,0.573633074760437,0.593075692653656
amber,smol,0.6248518824577332,0.6512949466705322
amber,tulu,0.5649819374084473,0.48944199085235596
amber,zephyr,0.6577720046043396,0.6830387115478516
deepseek-7b,llama,0.6621007919311523,0.6610312461853027
deepseek-7b,olmo,0.6584014892578125,0.6573580503463745
deepseek-7b,olmo-tiny,0.658961296081543,0.6706354022026062
deepseek-7b,pythia,0.5910999774932861,0.6025985479354858
deepseek-7b,qwen,0.6559956073760986,0.6606854200363159
deepseek-7b,qwen-tiny,0.6541792154312134,0.6568154096603394
deepseek-7b,smol,0.5761038661003113,0.5830596089363098
deepseek-7b,tulu,0.6621007919311523,0.6741920709609985
deepseek-7b,zephyr,0.5735278129577637,0.5946112275123596
llama,olmo,0.057716961950063705,0.2666969299316406
llama,olmo-tiny,0.12780290842056274,0.11533232033252716
llama,pythia,0.6374291777610779,0.6405317783355713
llama,qwen,0.618559718132019,0.6155087947845459
llama,qwen-tiny,0.6239171028137207,0.627417802810669
llama,smol,0.640933632850647,0.6389725804328918
llama,tulu,0.0,0.07094728946685791
llama,zephyr,0.5691395998001099,0.5587488412857056
olmo,olmo-tiny,0.09447234123945236,0.27926772832870483
olmo,pythia,0.6280882358551025,0.6234729290008545
olmo,qwen,0.6235993504524231,0.652900755405426
olmo,qwen-tiny,0.6248538494110107,0.6563949584960938
olmo,smol,0.6321223974227905,0.620881199836731
olmo,tulu,0.057716961950063705,0.29516416788101196
olmo,zephyr,0.5950748920440674,0.5896764993667603
olmo-tiny,pythia,0.6340154409408569,0.6221469640731812
olmo-tiny,qwen,0.6180664300918579,0.6515530347824097
olmo-tiny,qwen-tiny,0.6222299337387085,0.6551395654678345
olmo-tiny,smol,0.6390070915222168,0.6210779547691345
olmo-tiny,tulu,0.12780290842056274,0.09437713027000427
olmo-tiny,zephyr,0.6043581366539001,0.5342154502868652
pythia,qwen,0.6433868408203125,0.6503131985664368
pythia,qwen-tiny,0.6318321824073792,0.6372119188308716
pythia,smol,0.6497211456298828,0.6573073863983154
pythia,tulu,0.6374291777610779,0.6482459902763367
pythia,zephyr,0.6471874117851257,0.6558022499084473
qwen,qwen-tiny,0.08631063997745514,0.10745889693498611
qwen,smol,0.6469547748565674,0.6546471118927002
qwen,tulu,0.618559718132019,0.6430180668830872
qwen,zephyr,0.5871361494064331,0.5994313955307007
qwen-tiny,smol,0.6289850473403931,0.6325057744979858
qwen-tiny,tulu,0.6239171028137207,0.6514447927474976
qwen-tiny,zephyr,0.5781471729278564,0.5861940383911133
smol,tulu,0.640933632850647,0.6486055254936218
smol,zephyr,0.6393342018127441,0.6511580944061279
tulu,zephyr,0.5691395998001099,0.4878690838813782
amber,deepseek-7b,0.5629419088363647,0.590481162071228
amber,llama,0.5958167314529419,0.6590480208396912
amber,olmo,0.5839940309524536,0.5866618156433105
amber,olmo-tiny,0.5571199059486389,0.5632864236831665
amber,pythia,0.6330479383468628,0.663901686668396
amber,qwen,0.5727869868278503,0.5920878648757935
amber,qwen-tiny,0.5779473781585693,0.584152340888977
