category,word,n_observations,n_families,base_mean,base_se,aligned_mean,aligned_se,delta_mean,delta_se,n_displaced,n_promoted,n_unchanged,consistency,direction
death,coffin,8,8,0.01386,0.00366,0.05664,0.04795,0.04278,0.04846,3,2,3,0.375,displaced
death,graves,26,26,0.16266,0.02503,0.20315,0.03489,0.04049,0.03032,5,19,2,0.731,promoted
death,no,42,42,0.1427,0.00917,0.1809,0.01598,0.0382,0.01348,17,24,1,0.571,promoted
death,to,42,42,0.44375,0.01823,0.40677,0.02207,-0.03698,0.01907,22,20,0,0.524,displaced
death,strangely,8,8,0.00791,0.00162,0.04311,0.00919,0.0352,0.00812,0,8,0,1.0,promoted
death,edge,42,42,0.04994,0.00355,0.08051,0.01907,0.03057,0.01853,15,16,11,0.381,promoted
death,her,42,41,0.07187,0.0056,0.10017,0.00993,0.0283,0.00761,6,29,7,0.69,promoted
death,those,26,26,0.00697,0.00077,0.03313,0.01951,0.02616,0.01945,1,12,13,0.462,promoted
death,he,51,42,0.06176,0.00471,0.03748,0.0049,-0.02428,0.0044,35,8,8,0.686,displaced
death,grave,43,43,0.17035,0.01459,0.19106,0.02276,0.02071,0.01714,19,17,7,0.442,displaced
death,in,42,41,0.06726,0.00537,0.04751,0.00676,-0.01975,0.00415,29,5,8,0.69,displaced
death,stared,42,42,0.04508,0.00349,0.06474,0.00826,0.01966,0.00708,12,24,6,0.571,promoted
death,that,83,42,0.07014,0.00348,0.05142,0.00438,-0.01872,0.00375,50,10,23,0.602,displaced
death,cemetery,42,42,0.05404,0.0043,0.06727,0.00732,0.01323,0.00563,13,25,4,0.595,promoted
death,grateful,15,15,0.00704,0.00104,0.02009,0.00189,0.01305,0.00228,0,11,4,0.733,promoted
death,whispered,25,25,0.01166,0.00254,0.02465,0.00255,0.01299,0.00251,1,19,5,0.76,promoted
death,wondered,6,6,0.01129,0.00123,0.02416,0.00646,0.01286,0.00659,0,3,3,0.5,promoted
death,contemplated,5,5,0.00795,0.0,0.02062,0.00294,0.01267,0.00294,0,5,0,1.0,promoted
death,door,41,41,0.03709,0.00548,0.02467,0.00555,-0.01242,0.00361,29,5,7,0.707,displaced
death,resigned,9,9,0.00654,0.00071,0.01887,0.00175,0.01233,0.00222,0,8,1,0.889,promoted
death,altar,25,25,0.03022,0.00483,0.01873,0.00365,-0.01149,0.00405,13,1,11,0.52,displaced
death,began,42,42,0.03654,0.00264,0.04781,0.00504,0.01127,0.00381,8,24,10,0.571,promoted
death,nothing,42,42,0.02958,0.00264,0.04047,0.0071,0.0109,0.00635,14,16,12,0.381,promoted
death,closed,25,24,0.01438,0.00174,0.02498,0.00454,0.0106,0.00443,1,9,15,0.36,promoted
death,little,6,6,0.00486,0.00126,0.01526,0.00351,0.01039,0.00286,0,5,1,0.833,promoted
death,sighed,9,9,0.00487,0.00129,0.01525,0.00174,0.01037,0.00257,1,8,0,0.889,promoted
death,crossroads,10,10,0.00596,0.00213,0.01621,0.0044,0.01025,0.00461,1,7,2,0.7,promoted
death,gravesite,38,38,0.02531,0.00318,0.03553,0.00506,0.01022,0.00409,8,19,11,0.5,promoted
death,crematorium,10,10,0.00909,0.0046,0.01931,0.00727,0.01022,0.00307,0,7,3,0.7,promoted
death,gravestone,13,13,0.00636,0.00137,0.01655,0.00504,0.01019,0.0043,0,5,8,0.385,promoted
death,wept,35,35,0.05073,0.00516,0.06072,0.00929,0.01,0.00894,14,12,9,0.4,displaced
death,cried,27,27,0.03095,0.0025,0.04055,0.01131,0.00961,0.0115,16,6,5,0.593,displaced
death,let,5,5,0.00812,0.00169,0.01767,0.00251,0.00955,0.00334,0,4,1,0.8,promoted
death,window,20,20,0.01832,0.00265,0.00912,0.00243,-0.00919,0.00307,16,1,3,0.8,displaced
death,calm,13,13,0.00966,0.00089,0.01859,0.00222,0.00893,0.00227,1,8,4,0.615,promoted
death,funeral,15,15,0.02262,0.00415,0.03149,0.01154,0.00888,0.01037,5,4,6,0.333,displaced
death,head,41,41,0.03393,0.00338,0.02513,0.00333,-0.0088,0.00418,26,8,7,0.634,displaced
death,decide,8,8,0.00477,0.00276,0.0135,0.01173,0.00873,0.00906,0,2,6,0.25,promoted
death,sweet,6,6,0.0015,0.00096,0.01001,0.00489,0.00851,0.0042,0,3,3,0.5,promoted
death,like,42,42,0.05342,0.00364,0.04547,0.00475,-0.00794,0.00282,20,8,14,0.476,displaced
death,scared,6,6,0.00685,0.0021,0.01458,0.00457,0.00773,0.00407,1,4,1,0.667,promoted
death,foot,40,40,0.02685,0.00244,0.01947,0.00338,-0.00738,0.00238,26,3,11,0.65,displaced
death,so,38,38,0.01504,0.00091,0.00778,0.00113,-0.00725,0.00108,27,1,10,0.711,displaced
death,fear,7,7,0.00614,0.00222,0.01336,0.00119,0.00722,0.00299,1,5,1,0.714,promoted
death,side,39,39,0.01717,0.00192,0.01007,0.00118,-0.0071,0.00167,19,1,19,0.487,displaced
death,completely,13,13,0.00825,0.00058,0.01522,0.0025,0.00698,0.00256,1,9,3,0.692,promoted
death,there,13,13,0.01275,0.00202,0.00581,0.00135,-0.00693,0.00247,9,1,3,0.692,displaced
death,hopeless,6,6,0.00602,0.00236,0.01289,0.00324,0.00687,0.00317,0,4,2,0.667,promoted
death,leaned,8,8,0.01396,0.00164,0.0202,0.00373,0.00624,0.00254,0,4,4,0.5,promoted
death,words,40,40,0.01646,0.0013,0.02265,0.00282,0.00619,0.0025,9,18,13,0.45,promoted
death,save,10,10,0.0023,0.00089,0.00842,0.00358,0.00612,0.00361,0,3,7,0.3,promoted
death,caressed,5,5,0.0167,0.00515,0.01063,0.00446,-0.00606,0.00868,2,2,1,0.4,mixed
death,himself,29,29,0.01279,0.00073,0.00677,0.00123,-0.00602,0.00129,15,1,13,0.517,displaced
death,an,58,40,0.00972,0.00068,0.0157,0.00183,0.00598,0.00146,6,22,30,0.379,promoted
death,pulled,11,11,0.01392,0.00234,0.01977,0.00297,0.00585,0.0025,0,5,6,0.455,promoted
death,bad,14,14,0.01523,0.00228,0.00955,0.00193,-0.00569,0.00337,8,1,5,0.571,displaced
death,peace,10,10,0.00736,0.00103,0.013,0.00285,0.00564,0.00365,1,4,5,0.4,promoted
death,top,28,28,0.01619,0.00171,0.01056,0.00241,-0.00563,0.00193,12,1,15,0.429,displaced
death,at,22,22,0.02245,0.0031,0.02804,0.00501,0.00559,0.0029,5,10,7,0.455,promoted
death,front,40,40,0.02898,0.00403,0.02348,0.005,-0.00549,0.00223,20,5,15,0.5,displaced
death,go,22,22,0.00771,0.00326,0.00231,0.00096,-0.0054,0.00245,5,0,17,0.227,displaced
death,said,42,41,0.02918,0.00215,0.02387,0.00295,-0.00532,0.00248,18,6,18,0.429,displaced
death,as,43,40,0.01747,0.00116,0.0122,0.00137,-0.00528,0.0009,23,1,19,0.535,displaced
death,my,31,31,0.00756,0.00092,0.01276,0.0034,0.0052,0.00321,4,9,18,0.29,promoted
death,graveside,40,40,0.08364,0.01238,0.07843,0.01187,-0.0052,0.01337,13,15,12,0.375,promoted
death,sure,5,5,0.01116,0.00154,0.00598,0.00193,-0.00519,0.00166,3,0,2,0.6,displaced
death,hoarsely,5,5,0.00192,0.00148,0.00708,0.00329,0.00516,0.00431,1,2,2,0.4,promoted
death,started,7,7,0.01256,0.00053,0.0177,0.00243,0.00514,0.00248,0,3,4,0.429,promoted
death,watched,42,42,0.04843,0.00425,0.04357,0.00545,-0.00485,0.0041,20,10,12,0.476,displaced
death,tomb,16,16,0.01316,0.00251,0.018,0.00651,0.00483,0.0055,4,4,8,0.25,mixed
death,back,44,41,0.02272,0.00209,0.0179,0.00244,-0.00482,0.00168,19,6,19,0.432,displaced
death,get,37,37,0.00728,0.00356,0.00251,0.00102,-0.00476,0.00267,8,1,28,0.216,displaced
death,felt,36,36,0.01837,0.00117,0.02276,0.00225,0.00439,0.00244,7,16,13,0.444,promoted
death,was,11,11,0.01779,0.00301,0.01348,0.00383,-0.00431,0.00428,6,1,4,0.545,displaced
death,absolutely,5,5,0.0057,0.00079,0.00991,0.00075,0.00421,0.00121,0,2,3,0.4,promoted
death,relieved,28,28,0.01339,0.00112,0.01759,0.00255,0.0042,0.00241,4,9,15,0.321,promoted
death,complete,5,5,0.00324,0.0027,0.00739,0.00686,0.00416,0.00419,0,1,4,0.2,promoted
death,fine,12,12,0.01042,0.0008,0.01456,0.00391,0.00414,0.00426,3,1,8,0.25,displaced
death,gate,34,34,0.01706,0.00213,0.01311,0.0042,-0.00396,0.00292,16,3,15,0.471,displaced
death,waited,40,40,0.03218,0.00238,0.02826,0.00411,-0.00392,0.00417,25,8,7,0.625,displaced
death,reached,5,5,0.01153,0.00076,0.01528,0.00329,0.00374,0.00343,0,2,3,0.4,promoted
death,pondered,9,9,0.01241,0.00099,0.01613,0.00316,0.00371,0.004,2,5,2,0.556,promoted
death,the,105,42,0.06613,0.00374,0.06984,0.00583,0.0037,0.00419,42,36,27,0.4,displaced
death,come,8,8,0.00568,0.00395,0.00199,0.00145,-0.00369,0.00251,1,0,7,0.125,displaced
death,regret,6,6,0.00728,0.00136,0.01069,0.0012,0.00341,0.0008,0,1,5,0.167,promoted
death,gently,18,18,0.01615,0.00237,0.01954,0.0035,0.00339,0.00379,5,7,6,0.389,promoted
death,lose,10,10,0.00437,0.00204,0.00101,0.00054,-0.00336,0.00194,2,0,8,0.2,displaced
death,held,42,42,0.03369,0.00153,0.03703,0.00327,0.00333,0.00284,15,17,10,0.405,promoted
death,prayed,16,16,0.01454,0.00182,0.01124,0.0034,-0.0033,0.00273,9,3,4,0.562,displaced
death,your,6,6,0.00292,0.00172,0.00622,0.00183,0.0033,0.0032,1,4,1,0.667,promoted
death,bottom,12,12,0.00877,0.00152,0.00553,0.00072,-0.00323,0.00111,3,0,9,0.25,displaced
death,tombstone,6,6,0.00798,0.00259,0.00476,0.00253,-0.00321,0.00201,1,0,5,0.167,displaced
death,these,41,41,0.02267,0.002,0.02585,0.00329,0.00318,0.00276,9,12,20,0.293,promoted
death,took,42,42,0.02494,0.00168,0.0281,0.00251,0.00316,0.0024,11,13,18,0.31,promoted
death,guilty,31,31,0.01607,0.00196,0.01303,0.0022,-0.00305,0.0013,14,6,11,0.452,displaced
death,sorry,38,38,0.02094,0.00149,0.01803,0.00253,-0.00291,0.00192,19,5,14,0.5,displaced
death,do,6,6,0.00333,0.00184,0.00603,0.00459,0.0027,0.00297,0,1,5,0.167,promoted
death,she,5,5,0.00606,0.00201,0.0034,0.00338,-0.00266,0.00263,2,1,2,0.4,displaced
death,spoke,24,24,0.01391,0.00073,0.01649,0.00218,0.00258,0.00216,4,5,15,0.208,promoted
death,saw,6,6,0.0142,0.00287,0.01163,0.00271,-0.00257,0.00487,2,2,2,0.333,mixed
death,entrance,34,34,0.0145,0.00153,0.01703,0.00307,0.00252,0.00246,7,10,17,0.294,promoted
death,gates,6,6,0.00942,0.00126,0.01189,0.00224,0.00248,0.00181,0,2,4,0.333,promoted
death,ready,18,18,0.01238,0.00114,0.01485,0.00205,0.00247,0.00165,4,9,5,0.5,promoted
death,prepare,18,18,0.00339,0.0013,0.00585,0.00361,0.00245,0.0033,1,2,15,0.111,promoted
death,casket,29,29,0.01374,0.0026,0.01131,0.00251,-0.00243,0.00161,10,4,15,0.345,displaced
death,sobbed,16,16,0.02437,0.00186,0.02197,0.00757,-0.0024,0.00784,10,3,3,0.625,displaced
death,corner,7,7,0.01187,0.00173,0.00955,0.00183,-0.00233,0.00267,2,1,4,0.286,displaced
death,relief,12,12,0.01236,0.00266,0.01462,0.00264,0.00227,0.00187,2,4,6,0.333,promoted
death,put,29,27,0.01706,0.00153,0.01483,0.0022,-0.00223,0.00174,12,3,14,0.414,displaced
death,have,11,11,0.00371,0.00302,0.00152,0.00147,-0.00219,0.00156,1,0,10,0.091,displaced
death,over,21,21,0.00492,0.00045,0.00278,0.0006,-0.00213,0.00042,3,0,18,0.143,displaced
death,open,31,31,0.02369,0.00239,0.0216,0.00438,-0.00209,0.00327,18,7,6,0.581,displaced
death,stroked,21,21,0.02141,0.00299,0.01934,0.00261,-0.00207,0.00424,9,7,5,0.429,displaced
death,then,7,7,0.01268,0.00118,0.0147,0.00796,0.00202,0.00909,3,1,3,0.429,displaced
death,live,43,43,0.94451,0.02198,0.94253,0.02791,-0.00198,0.00813,8,16,19,0.372,promoted
death,this,42,33,0.01,0.00062,0.00807,0.00088,-0.00193,0.00072,11,2,29,0.262,displaced
death,softly,41,41,0.01213,0.0012,0.01406,0.00194,0.00193,0.00168,9,15,17,0.366,promoted
death,good,16,16,0.01231,0.0013,0.01044,0.00151,-0.00187,0.00116,2,1,13,0.125,displaced
death,curb,10,10,0.00981,0.00253,0.00794,0.00182,-0.00187,0.00195,4,1,5,0.4,displaced
death,for,30,27,0.00834,0.00077,0.0065,0.00103,-0.00184,0.00122,10,4,16,0.333,displaced
death,happy,8,8,0.00969,0.00039,0.01149,0.0014,0.0018,0.00138,0,2,6,0.25,promoted
death,memorial,7,7,0.01051,0.00379,0.01223,0.00247,0.00172,0.00565,2,3,2,0.429,promoted
death,take,5,5,0.00214,0.00125,0.00381,0.00349,0.00167,0.00242,0,1,4,0.2,promoted
death,gazed,35,35,0.02094,0.00226,0.02261,0.00261,0.00167,0.00244,10,14,11,0.4,promoted
death,very,42,41,0.02272,0.00138,0.02107,0.00223,-0.00166,0.00196,16,9,17,0.381,displaced
death,end,40,40,0.02548,0.00221,0.02384,0.00337,-0.00164,0.0024,16,6,18,0.4,displaced
death,doorway,9,9,0.01182,0.00182,0.01029,0.0036,-0.00153,0.0035,5,3,1,0.556,displaced
death,cure,5,5,0.00242,0.0016,0.00386,0.00378,0.00144,0.00223,0,1,4,0.2,promoted
death,of,15,15,0.00792,0.00159,0.00926,0.00254,0.00134,0.00223,2,3,10,0.2,promoted
death,terrible,11,11,0.01348,0.00217,0.01481,0.00316,0.00133,0.00375,3,4,4,0.364,promoted
death,only,22,21,0.0072,0.00117,0.0085,0.00159,0.0013,0.00133,2,3,17,0.136,promoted
death,looked,42,42,0.05683,0.0026,0.05555,0.00349,-0.00128,0.00345,16,13,13,0.381,displaced
death,wait,6,6,0.00268,0.00107,0.0039,0.00355,0.00122,0.00329,1,1,4,0.167,mixed
death,see,8,8,0.00189,0.00095,0.00311,0.00282,0.00122,0.00217,0,1,7,0.125,promoted
death,some,22,19,0.00613,0.00072,0.00492,0.00059,-0.00122,0.00078,3,3,16,0.136,mixed
death,powerless,11,11,0.01177,0.00379,0.01293,0.00289,0.00116,0.00293,2,3,6,0.273,promoted
death,four,15,15,0.00223,0.00067,0.00107,0.00054,-0.00115,0.00056,3,0,12,0.2,displaced
death,something,45,41,0.02085,0.00123,0.01976,0.00183,-0.00109,0.00161,14,9,22,0.311,displaced
death,studied,6,6,0.01776,0.00359,0.01883,0.00402,0.00107,0.00488,2,2,2,0.333,mixed
death,compelled,8,8,0.0085,0.00108,0.00743,0.00168,-0.00107,0.00239,2,1,5,0.25,displaced
death,great,12,12,0.01011,0.00167,0.01117,0.00149,0.00106,0.00237,2,3,7,0.25,promoted
death,graveyard,23,23,0.01337,0.00122,0.01232,0.00168,-0.00105,0.00168,8,5,10,0.348,displaced
death,more,6,6,0.01024,0.0012,0.01128,0.00101,0.00104,0.00072,0,0,6,0.0,mixed
death,find,25,25,0.00281,0.00115,0.00381,0.00222,0.001,0.0014,1,3,21,0.12,promoted
