family,checkpoint,prompt,position,n_gens,mean_entropy,mean_violence,mean_procedural
olmo,base,anger,0,10,5.188304424285889,0.14682568609714508,0.0624193511903286
olmo,base,anger,5,10,2.3233249366283415,0.01636581923812628,0.03460579207167029
olmo,base,anger,25,10,2.8622966170310975,0.032553097675554456,0.025523427221924067
olmo,base,anger,49,10,2.395960086584091,0.02111198422499001,0.049386418890208006
olmo,base,love,0,10,4.284405708312988,-0.0009136400185525417,0.054437026381492615
olmo,base,love,5,10,3.972881388664246,0.017234846414066852,0.06976432912051678
olmo,base,love,25,10,2.9070549964904786,-0.025012781494297087,0.053166751354001465
olmo,base,love,49,10,2.8219223856925963,-0.025383665668778123,0.0325718842446804
olmo,base,sexual,0,10,5.045045375823975,0.02908194065093994,0.17020797729492188
olmo,base,sexual,5,10,3.587509334087372,0.02615699591115117,0.016192997992038726
olmo,base,sexual,25,10,3.4938995361328127,-0.03109406344592571,0.0410018952563405
olmo,base,sexual,49,10,1.9986633241176606,0.005415816511958838,-0.021517435275018214
olmo,base,violence,0,10,5.6433892250061035,-0.047383226454257965,0.040323223918676376
olmo,base,violence,5,10,3.7795047521591187,-0.010248731635510922,0.02693472821265459
olmo,base,violence,25,10,2.6907499551773073,-0.004538221517577767,0.0034943841397762298
olmo,base,violence,49,10,3.4033352971076964,-0.009774347767233849,0.036664686538279055
olmo,base,worker,0,10,3.8735575675964355,-0.0337420217692852,0.18363066017627716
olmo,base,worker,5,10,1.4323857450304787,-0.03627588385716081,0.03132566660642624
olmo,base,worker,25,10,1.1005062529133283,-0.04523383809719235,0.06636400111019611
olmo,base,worker,49,1,0.0002720228221733123,-0.0853264182806015,0.33202821016311646
olmo,dpo,anger,0,10,2.958364725112915,-0.015538928098976612,0.028025642037391663
olmo,dpo,anger,5,10,1.3412953772582115,-0.00958372512832284,0.06682669948786497
olmo,dpo,anger,25,9,1.0964784573077648,0.027409780356619094,-0.0005525497512684928
olmo,dpo,anger,49,9,1.562388909320968,-0.04689627109716336,0.028603816197978124
olmo,dpo,love,0,10,3.0853993892669678,-0.019406700506806374,0.023445062339305878
olmo,dpo,love,5,10,2.3704545671120285,0.01633616811595857,0.04461667241994292
olmo,dpo,love,25,10,0.8355871412648824,-0.002333340793848038,-0.005701902508735657
olmo,dpo,love,49,10,1.7747449047044312,-0.026079876627773047,-0.00635997336357832
olmo,dpo,sexual,0,10,4.745174884796143,0.011329568922519684,0.1497001051902771
olmo,dpo,sexual,5,10,2.5980624847114084,-0.014611340314149856,0.015992814768105747
olmo,dpo,sexual,25,10,2.8842885212371017,0.005967080441769213,0.02423729971051216
olmo,dpo,sexual,49,10,1.865472037323343,0.01542712775990367,0.003319405228830874
olmo,dpo,violence,0,10,5.020416736602783,-0.061268486082553864,0.0910126194357872
olmo,dpo,violence,5,10,3.2381200388073923,-0.018316273204982282,0.02634100369177759
olmo,dpo,violence,25,10,2.3798889108002186,-0.0740110904444009,0.02495209048502147
olmo,dpo,violence,49,10,1.679977497458458,0.009117762558162212,0.011998369079083204
olmo,dpo,worker,0,10,3.490407705307007,-0.03109149821102619,0.3630595803260803
olmo,dpo,worker,5,10,2.579108291864395,-0.012831150833517314,0.003250796627253294
olmo,dpo,worker,25,10,1.2734564340980796,-0.0033178738318383693,0.40610075145959856
olmo,dpo,worker,49,8,1.0859380846231943,-0.007195696933194995,0.024573235772550106
olmo,rlvr,anger,0,10,2.6858716011047363,-0.017400866374373436,0.027766183018684387
olmo,rlvr,anger,5,10,1.9319562664808472,-0.0443712217733264,0.15293481526896358
