,dreams_text
0,"001 Nightmare in Cambodia. In the dream we are being overrun by sappers who have got past the Night Defensive Perimeter trips and claymores and now crawl forward. I wake up and see a boot tread close to my face. I slowly withdraw my .45 from its holster, pull the hammer back, then aim it at the boot. Just then the cloud-obscured moon comes out and I realize the boot is American and that it is Jerry Bieck's foot. In the pitch stillness I point the .45 straight up in the air. Pinching the hammer tightly I pull the trigger and settle the hammer back in place. I re-holster the pistol and go back to sleep. The next day, after a very difficult march, all the men are overjoyed to be out of Cambodia. I tell no one what almost happened."
1,"002 The enemy is above, in the sky. We are not soldiers but school children. A voice from everywhere begins to warn us, ""Things are dropping."" Seed begin to fall. Then I hear the faint echo of the tubes popping. There is an underground bunker; most of us run for the school bus. The mortars are dropping close by, within twenty yards. The fear of realizing death is pacing through my mind. We are all crowded in, scared of a hit. I shield my face with two paperback books. All at once there is a sharp explosion. I am hit, though I scream for only a moment. It is such a helpless feeling. The concussion has shattered the teeth in my mouth and I am going into shock. The dream ends here."
2,"003 We are on a firebase. It is night time. In the distance a flare goes off. Someone says the intelligence reports indicate we may soon be attacked. I go into a bunker and search for my aid bag (claymore) full of 4x7 'bandages. There are none around. I decide to make a search before it is too late. In the dream, I am in a house; all of a sudden mortars begin to drop, close and very loud, and profusely, I remember feeling guilty, the house can withstand practically anything, but I am still terrified. The mortars drop endlessly. When it is all over, I run out. My entire platoon, fifteen men, are all dead. They have been collected and sit in a grotesque formation of the dead. The dream becomes unclear at this point."
3,"004 We are on an LZ; I am. saying good bye to an American girl. We are embracing. Her father, dressed like, a Navy admiral, appears quite suddenly; for a moment. I address myself to him. He brings up the subject of security and somehow mentions the name of Crazy Frank (used to play with the dead bodies). Suddenly everyone drops, we wait expecting the inevitable machine gun chatter etc., but it is only a false alarm. There are many soldiers spread about in not typical fashion, it appears more like a WWII beach scene than one of.an LZ in Vietnam. A colored soldier rises up and makes an unclear remark. Apparently someone inadvertently set off a chain reaction, all of us obeying the instinct acquired from contact. The commander and I resume talk, we parley for a few more minutes; this time there is no mistake. I hear the sounds of mortars popping from tubes. I look at the commander and say, ""Mortars , run for the bunkers."" A mad rush for cover follows. In my mind I am counting off 8 seconds even as I am running; this is how much time I anticipate we have. There seems to be an air of complete disregard for everyone but one's self. The commander pulls and tries to get past me; I myself have completely forgotten the girl. The bunker seems familiar, as from another dream. It is too large to be representative of the ones I sought refuge in while in Nam. When I am just inside, mortars begin to drop, I make for a sturdy wall; the sounds, of explosions seem to be coming right over us. I seem to sense that this bunker is more like the basement of a large house, and that the mortars are hitting the building structure above us. The explosions have become deafening. In the last moments of the dream"" I am near an opening, I vaguely see the outside ground, for I am lower and must look up. A terrific whining descends over head; a shell is going to drop very near to us. The blast takes place right outside the opening. I am knocked a few feet by the concussion, but not seriously injured. Very close, a machine gun opens up; it is a light 30 cal. We are under a ground attack. I wake up, bathed in the sweat of nocturnal madness."
4,"005 This time, it is not the popping of the tubes, but the whistling of the mortars themselves that alerts us. We run for the bunkers. They are not bunkers as such, but the cinder brick foundations to be seen during the early construction of a home. There is no roof, only a few pieces of lumber overhead; it is very, very open. The mortars begin to drop, I hear the explosions very clear. This part of the dream seemed the most real. I recall huddling in a corner, shifting positions, as I anticipate a direct hit amidst us. The mortars continue to fall."
5,"006 Robert and myself seem to be part of an infantry company, the identity and location seem obscure. We sleep in canvas tents, which I conscientiously view as rather odd. The enemy is undoubtedly oriental, and it is at this point that I detach myself from my own person and either become another, or simply phase out and watch what follows, experiencing the drama vicariously, twofold it would seem, as this is all imagined. The enemy attacks and I become acutely aware of the feeling of being shot in the head. I am behind a wall of some kind, the danger of being hit is very great. In a fury I grab a silver object which seems to resemble an rpg, and hurl it towards the foes. It explodes and immediately the entire area is shrouded in flames, even I (or the person I am watching) is/am enveloped. This is how the dream ends. I awaken with the all-too-familiar feeling that I notice each time I have a dream that ends with my own death."
6,"007 We are on patrol somewhere in Nam. It is not my old unit but the feelings are the same. We are, the infantry lurking in the jungle. As usual we are spread apart, perhaps 4 to 5 meters between each man. The foliage ahead grows less and less dense.; one can see 25· to 30 meters forward, it is somewhat like the better terrain we encountered in Tay Ninh. I anticipate an ambush; things are going too easily. Beyond the stillness of our own guarded movements I sense another. With the first starting shots I drop instinctively to the ground. These are not the familiar popping sounds of the AK, though nonetheless I have anticipated correctly, we are in contact. Those up front fire back, immediately killing two. Then from my position I see two or three heads begin to rise. I yell to the others, at the same time pointing the muzzle of my 16 in the enemy's direction and attempting to fire. The gun jams. Quickly I reload another magazine and pull the trigger. Again nothing, but the others have caught on and the enemy attack seems over. From the background I hear a sharp whining recoil; it is nothing like our 105s or 155s. The number 106 flashes through my mind, though I am not sure if there is such a weapon; perhaps light weapons, but as the shells fall I realize they are undoubtedly heavy artillery. The first explosions fall outside our perimeter; they do not descend like mortars, nor do they explode like artillery. On impact there is a sharp thunder-clap, followed by earth-like clouds of swirling, thick and heavy dust; though it is curious, these manifestations are small and hug the ground. Soon the shells drop closer and' closer to us, and I hear the shrapnel whizzing over. Finally one lands almost on top of me and I imagine a large piece of steel penetrating the flesh of my back. There is no pain, but I realize this to be a death wound. The last moments of the dream are obscured by the dust clouds."
7,"008 We are walking down a trail. Above and beyond I see a sort of rubber orchard (similar to another dream) with dinks. Just as I spot this Clopton comes running past, dressed in white. He has been wounded in the arm. We gather about and form a defensive perimeter. A machine gun team of dinks stalks right up to us. It seems everyone is too scared to fire. I open up with three short bursts and literally rip the dink gunner in half. A while later, a single dink walks up to us, unmolested. I sense that no one is going to fire and spatter him wickedly with my M-16. It is a good feeling, though I am worried about ammo. We retreat to a large building and cluster fuck within. It seems almost like the room I am living in now. Several of us flop onto the bed and crash. I recall thinking about pulling guard twice a night. It is a wonder that we get enough sleep. I am tempted to doze off but the fear of dinks breaking in prompts me to stay awake. Someone has the side door covered. I shift about, watching one door and then the next, expecting an attack any second. The dream becomes unclear at this point."
8,"009 We are on a trail, a well-used trail. Any moment, I am ready for an ambush. It seems that 3/6 platoon is drag, as way up in front AK and 16 shots are exchanged. Oddly, at first no one dives to the ground. Instead, we look to see what has happened. Capt. Hyslop seems to be standing over a dead dink. Then hell breaks lose. The bamboo surroundings become a barren hilly expanse with dinks about us. They have some sort of modern building on a ledge 100 meters to my right. Way off I see a dink machine gunner beading on us. I open up on him. Then another dink MG appears, closer. I, too, have a machine gun, we will duel with bullets. Who will kill the other first? A dink on the ledge by the building hurls a grenade at me. I am lucky. It is a bit short of its target. I hug the earth and cannot recall being hurt. Next, the dink gunner rolls a base ball grenade towards me. I consider my chances against the time delay, grab it and hurl it a mighty length. It explodes harmlessly in the air. The duel renews. His bullets churn up staccato patterns of dust in front of me. I fire one long burst and catch him with one shot in the chest. He is dead. AK's blossom everywhere. It is like June 16, 1970. I fear running out of ammo. In the dream I am with Larry Roy. We are by a conex filled with ammo. We deliberate what to do. The dream becomes unclear after this."
9,"010 I am in a strange sort of bunker. The other day I had been going through an album of family pictures. The bunker is actually the bar in the basement of 39 Ivy Street! I am lying on the counter in a prone position; the atmosphere is one of war. Sandbags and timber abound. The sky is eerily overcast. Bombs begin to fall. Not the mortars of past dreams but rather some kind of heavy artillery. A sharp thunder follows the initial detonation, as if there were some sort of dual explosive, or perhaps a new barrage tactic. I throw myself over and fall to the ground. Cowering under the counter I wait for the inevitable. Within seconds a shell crashes down upon the spot I had occupied and not too hastily vacated. Debris flies; dirt clods and splinters of broken wood shower down. I recall the thought of being randomly lucky. The dream becomes unclear at this point."
