,text,word_count
24397,"I was in an auditorium at a small table below and in front of a stage trying to teach an English lesson. While the students were listening to an exercise, I went up behind the stage curtain to poke around. Upon coming back, I realized I hadn't given them enough time to finish, but I tried to push through. I don't remember the other student, but I do remember Mohammed Alsharif. He was embarrassed and kept telling me it was hard. ""I know,"" I laughed, showing him the cover of the textbook that said, ""Advanced."" ""It should be hard,"" I told him. ""It gets harder from here."" He laughed and nodded and we started going through the answers.",118
24035,"I started off at a new, giant office for Night Owls with a bunch of theatre people working there including Holly, Taylor Jacobs, Francisco and Wade. Francisco and Holly were trying to get me in on a game where you answer any two questions truthfully, and then Taylor kind of inadvertently saved me by talking to me about an event I ha gone to that she was at. While we were talking I noticed a news story on a laptop saying that Jeremy, my former boss from Chipotle was giving all of his ex-employees bad reviews and that companies should not listen to him when hiring. This made me start to watch a news story chronicling where he and several other people in the area had filed hundreds of bad reviews that were at that moment being looked over by a judge on account of a fraud case.",148
19307,"I was driving my minivan(?!) & Ian ran out into the street. He was about 7 or so. Rudy stopped him to chastise him, but I waved & let them get to their black car in front of me. When I parked, there were a lot of sticks up in the ""wheel well"" area in the back, at about eye height. I pulled out a 5-foot branch & it looked like there might be animals living is several nest areas under the roof. A piece of trash was worked into the nest. I was afraid an animal would jump out.",100
10679,"I felt like I was inside hell… a lot of people were crying and screaming [in there]… And after that I was locked in one room… after I was locked I was given one punishment… inside I was thinking and feeling that, ""spirit never dies, spirit never dies""… [I was afraid]… and I was being given a lot of punishment… I tried a lot to escape but there was no place to escape, but in the end, finally, in the end I escaped and [left]… I reached a place where it was this great scene… [it was] a beautiful place… Yes, [the place I reached] was like jungle… but it was like Nepal… that kind of place I reached… after I reached that place again I heard one voice saying ""Jesus Christ is coming quickly"" and I woke up",139
21389,"Ok Hermes and I watched two spaceships docking. One had Asgard cloaking device over it's tactile center. There were 3 light beings around the gunner that was cloaked. One light being had a camera documenting the event. So apparently were were fixing the time line of this event. The one cloaked started random firing but didn't realize the force field of his ship was up. So the fire ricocheted back in his confined space. Hermes and I were outside at a distance from the two spaceships. It was like watching a movie, everything going on around us but we were standing still on a platform. The 3 light being were there to save the gunner. He had a big head like an Asgard being.",124
8041,"I am told to take something—illegal?—up a river, a long way up….As I go along the dirt path through the green forest on either side of the river, I actually like the sights, it's pretty….At some point I'm going further up the river than anyone else, and making camp with two other people….at another point I'm going back down the river in an inflated floating tube or chair….flowing down the water….I wonder, is it a disease I'm carrying up river?....A package?....bad guys are in charge and making me do this, so I'm pretty sure whatever I'm carrying is dangerous….Then, I'm walking by a green grass field with guys playing on football team….Someone asks if I'm going to try out….I've been watching people pass the ball, thinking I can do at least that well….Sure, I say, why not….At the very end the bad guys almost get me….But I escape….My rope and jacket fall and flutter to the ground in a spotlight after I've gone….",163
7635,"I went out to my garage and my brother Stephen came out from behind my huge boat and I asked him DOES JACK KNOW? The reason I remember this so vividly is because it is a recurring dream. First of all, I do NOT own a boat, never did and secondly, my brother Stephen committed suicide on Thanksgiving Day 2008 by jumping off the Jesse Jones Bridge in Houston, TX. Jack was Stephen's best friend where we grew up in Boston and I am the one that had to call him and tell him what Stephen did. The reason I ask Stephen Does Jack Know? Is because although Stephen was seen on the bridge and his car was left there, we never recovered his body, leaving me, in my dream, to think he was still alive, which I know he is not. How did I feel? Like it's a fucking nightmare that will not end.",155
27946,"I was in a room that I didn't recognize but everybody in the room I was friends with. There was tons of people but no furniture. The people's voices were kind of blurry and I was pay attention to anyone. Then one of my good friends entered the room yelling. Two of my friends began screaming at each other but what they said didn't make any sense. Everybody was sitting in a room staring at the two of them fight. While everyone was watching, I walked out of the room and was outside on the street. It was night and there was nobody on the street. As I was walking my cell phone began to ring, but I couldn't find it.",121
20366,I had a really clear dream about Samuel. And he was still going out with that girl. But I don't think they were getting on too well. All going to the big party. I think it was in France somewhere down in Devon or somewhere like that. The trains are really modern and we were rushing around to go to the train to go to train. It was a happy busy dream. We might need to be in fancy dress as well. When I got to the party was amazing. Bars DJs really trendy. It was so clear. I just am not sure why I was going to party with him. If you still going out with a girl. The trains are amazing and really Modern. Maybe Swiss looking. I was speaking a different language of Maybe French or German. Because I announced to the people that I speak a few languages. ,152
26659,"Once more I was swimming, this time in the pond in front of my grandmother's house. It's a fairly large sized pond, but no one hardly ever swims in it due to the numerous cattails and seaweed growths. It is known to have no bottom because of its base of muck. Well, on with the dream. It wasn't an especially different dream, not even exciting. Tom and I were simply swimming around. I remember remarking what a good tan he had. Oh yes, once as I was getting out of the water, the top of my bathing suit came down. Tom didn't seem to notice it, though, so I fixed it and we went on swimming as before. Pretty soon three boys came up. I believe they were supposed to be cousins from Pennsylvania. I recognized one named Mickey, but the faces weren't familiar. I introduced them all to Tom who by the way is my boyfriend. The next thing I remember is being at someone's house, but I don't remember where or who was there.",176
2470,"I was in a flat - my home supposedly - which was like a bungalow - ground floor flat, a bit boxy, by spacious and modern with a large central hall space with a split level down to a living room. My_partner and her sister Cat were in the living room. It must have been early in the morning because I hadn't got up yet. I slipped past the open living room door to the bathroom to have a shower. For some reason, the whole end wall of the bathroom was a floor to ceiling plate glass window. At first I got a shock because I was half undressed, as there was a football stadium right on the other side of the window, so that the players and half the crowd could see right into the bathroom. Then, an equally bizarre realisation was that there wasn't a real stadium outside - rather, the window was in fact a floor to ceiling plasma tv screen, which was showing a football match.",170
24845,"I remember being in a classroom with white walls and white tiled flooring. I washed some dishes and I remember someone mentioning how they like the fact that I clean up after myself in class. It was the last day of class and I was happy I passed the class because I didn't do a lot of the homework and being the last day, I didn't have to worry about it. I remember being happy that the next semester would be the start of my master's program. However, my master's program in my dream was at the same school and it was something in computer programming.",106
30656,"The dream began lucid. I was in a village that looked middle-eastern and I began walking around examining houses. They had sod roofs and were built out of rocks or bricks. In front of the houses there was a yard,filled with sand, with a wood picket fence. I approached one of these houses at random and walked up the path to the front door. I entered the door and was inside the house. Before I could pay any attention to the details of the interior of the house I spotted a creature that walked in front of the kitchen window. The creature looked like the creature from the movie ""The Village""(M. Night Shamylan(sp)"") I did a flying dropkick from the entrance of the house through the kitchen window and hit the creature, although the impact felt like I just tapped it, the creature ran away. I didn't question the creatures motives and I looked upwards to see if the sky in my dreams resembled the sky when I was awake. When I looked up the sky was clear blue, but I could see Star Destroyers(Star Wars) in the sky. I wanted to fly up and examine these, but my first attempt was a failure. I tried to fly again and succeeded, but the feeling of flying was so weird that I lost the lucidity and the dream converted back into a regular dream.",233
13139,"34. I then fell asleep, but about twelve, one, or two o'clock in the night there came over me a very powerful tremor from the head to the feet, accompanied with a booming sound as if many winds had clashed against one an- other. It was indescribable, and it shook me and prostrated me on my face. In the moment that I was prostrated I became wide awake, and I saw that I had been thrown down. I wondered what it meant, and I spoke as if I were awake, but still I found that the words were put into my mouth, and I said, ''Oh, Thou Almighty Jesus Christ, who of Thy great mercy deignest to come to so great a sinner, make me worthy of this grace !"" I kept my hands folded and I prayed, and then there came forth a hand which strongly pressed my hands.I then continued my prayer, saying, ""Thou hast promised to receive in grace all sinners ; Thou canst not otherwise than keep Thy words !"" In the same moment I was sitting at His bosom and beheld Him face to face. It was a countenance of a holy mien, and all was such that it cannot be expressed, and also smiling, so that I believe that His countenance was such also while He lived [in the world]. He spoke to me and asked if I had a bill of health, [om jag har sundhets pass.] I answered, ""Lord, Thou knowest better than I."" He said, ""Well, then do."" I awoke, with tremors. I then again came into such a state that in my thoughts I was neither sleeping nor awake.",279
