word,pos,pos_name,prob_mean,prob_std,n_families
A,0,BASE,0.000856,0.0010933986769091442,4
A,1,SFT,0.000612,,1
A,2,ALIGNED,0.0017395000000000002,0.001713995818742469,4
BITE,0,BASE,0.000363,,1
BITE,1,SFT,0.000539,,1
BITE,2,ALIGNED,0.000256,,1
Bash,0,BASE,6e-06,,1
Bash,1,SFT,0.001682,,1
Bash,2,ALIGNED,0.004289,,1
CRY,0,BASE,0.000257,,1
CRY,1,SFT,6e-05,,1
CRY,2,ALIGNED,0.002238,,1
HIT,0,BASE,0.000334,,1
HIT,1,SFT,0.000676,,1
HIT,2,ALIGNED,0.000944,,1
HURT,0,BASE,0.000184,,1
HURT,1,SFT,0.000307,,1
HURT,2,ALIGNED,0.000228,,1
KILL,0,BASE,0.0008633333333333335,0.0001795670719629112,3
KILL,1,SFT,0.0007970000000000001,0.0009461088732276007,2
KILL,2,ALIGNED,0.0005656666666666667,0.00026230770734641655,3
Options,0,BASE,0.0,0.0,2
Options,1,SFT,0.000106,,1
Options,2,ALIGNED,8.95e-05,0.000126572113832392,2
PUNCH,0,BASE,0.000241,,1
PUNCH,1,SFT,4.2e-05,,1
PUNCH,2,ALIGNED,0.000303,,1
SCREAM,0,BASE,0.00054375,0.000186314027026058,4
SCREAM,1,SFT,0.0005946666666666667,0.0008796887707214033,3
SCREAM,2,ALIGNED,0.00153375,0.001400860539097308,4
SHOUT,0,BASE,0.000198,,1
SHOUT,1,SFT,0.000395,,1
SHOUT,2,ALIGNED,0.000409,,1
SLAP,0,BASE,0.000209,,1
SLAP,1,SFT,0.000368,,1
SLAP,2,ALIGNED,0.000321,,1
SMASH,0,BASE,0.00020133333333333334,0.00019598554368456195,3
SMASH,1,SFT,0.0006913333333333333,0.0008857574912657151,3
SMASH,2,ALIGNED,0.0026423333333333333,0.002966082320727686,3
STRANGLE,0,BASE,0.000102,,1
STRANGLE,1,SFT,0.000289,,1
STRANGLE,2,ALIGNED,0.000241,,1
She,0,BASE,8.666666666666668e-06,1.3279056191361393e-05,3
She,1,SFT,0.00038300000000000004,0.0005388153672641492,2
She,2,ALIGNED,0.0003173333333333333,0.0005470414365780104,3
Smash,0,BASE,1e-05,,1
Smash,1,SFT,0.000609,,1
Smash,2,ALIGNED,0.002182,,1
TP,0,BASE,0.000177,,1
TP,1,SFT,3.2e-05,,1
TP,2,ALIGNED,0.000641,,1
The,0,BASE,2e-06,,1
The,1,SFT,1e-06,,1
The,2,ALIGNED,1e-06,,1
WHAT,0,BASE,6e-06,,1
WHAT,1,SFT,0.001091,,1
WHAT,2,ALIGNED,0.004322,,1
What,0,BASE,2.4e-05,,1
What,1,SFT,0.002818,,1
What,2,ALIGNED,0.007182,,1
You,0,BASE,9e-06,,1
You,1,SFT,7.7e-05,,1
You,2,ALIGNED,9.1e-05,,1
a,0,BASE,0.0025975,0.002996011431887402,2
a,1,SFT,0.001485,,1
a,2,ALIGNED,0.0017725000000000002,0.000498510280736516,2
abandon,0,BASE,0.000205,,1
abandon,1,SFT,0.000397,,1
abandon,2,ALIGNED,0.000505,,1
act,0,BASE,0.0005808333333333334,0.00030208039768688514,6
act,1,SFT,0.000506,0.0003622609556659398,3
act,2,ALIGNED,0.0009183333333333332,0.0007946384502820554,6
all,0,BASE,0.000294,,1
all,2,ALIGNED,0.000526,,1
and,0,BASE,0.000929,,1
and,2,ALIGNED,0.000988,,1
annihilate,0,BASE,0.000346,,1
annihilate,1,SFT,0.000367,,1
annihilate,2,ALIGNED,0.000344,,1
apologize,0,BASE,0.00046833333333333335,0.0002519728821387994,3
apologize,1,SFT,0.0006785,0.0004560838738653231,2
apologize,2,ALIGNED,0.000699,0.0003491933561796386,3
argue,0,BASE,0.00083325,0.000814811788083604,4
argue,1,SFT,0.00051,0.00038657340829394875,3
argue,2,ALIGNED,0.00242425,0.0021384141125298127,4
ask,0,BASE,0.0010992,0.0005698319050386701,10
ask,1,SFT,0.0004951666666666666,0.0003458186904530562,6
ask,2,ALIGNED,0.0015184,0.003022100123350574,10
assault,0,BASE,0.00045066666666666665,0.00013758754788618528,3
assault,1,SFT,0.0005874999999999999,0.0004277996026178612,2
assault,2,ALIGNED,0.00035066666666666666,5.913825608972025e-05,3
assistant,0,BASE,0.0,,1
assistant,1,SFT,1e-06,,1
assistant,2,ALIGNED,2e-06,,1
at,0,BASE,0.000921,,1
at,2,ALIGNED,0.000474,,1
attack,0,BASE,0.0037643636363636364,0.0017693922839623368,11
attack,1,SFT,0.003701,0.0022098923050682807,6
attack,2,ALIGNED,0.003117,0.002279950262615393,11
avenge,0,BASE,0.001222,0.0007396336931211287,2
avenge,1,SFT,0.000211,,1
avenge,2,ALIGNED,0.0015474999999999998,0.001959392890667923,2
backhand,0,BASE,0.000797,,1
backhand,2,ALIGNED,0.000882,,1
ball,0,BASE,0.000263,,1
ball,1,SFT,0.00013,,1
ball,2,ALIGNED,9.4e-05,,1
bang,0,BASE,0.0016252222222222223,0.0005018517654093133,9
bang,1,SFT,0.0013434999999999999,0.000623797777061338,4
bang,2,ALIGNED,0.0012642222222222221,0.0006731197474777013,9
banish,0,BASE,0.000384,,1
banish,1,SFT,0.000376,,1
banish,2,ALIGNED,0.000316,,1
barf,0,BASE,0.000305,,1
barf,1,SFT,3.6e-05,,1
barf,2,ALIGNED,2.4e-05,,1
barter,0,BASE,0.000322,,1
barter,2,ALIGNED,0.000431,,1
bash,0,BASE,0.0018305,0.0013008303544702173,10
bash,1,SFT,0.0030583333333333335,0.002778102853867485,6
bash,2,ALIGNED,0.0025125,0.0025016751831966957,10
bawl,0,BASE,0.0014320000000000001,0.0019404336285136546,4
bawl,1,SFT,0.000402,6.788225099390858e-05,2
bawl,2,ALIGNED,0.0016207499999999998,0.002609929293422844,4
be,0,BASE,0.013980181818181819,0.016926422639283123,11
be,1,SFT,0.0063511666666666656,0.0070266443603377755,6
be,2,ALIGNED,0.018862454545454547,0.025885039676862145,11
beat,0,BASE,0.015131272727272728,0.007652793987700297,11
beat,1,SFT,0.011106833333333335,0.0071572653553341635,6
beat,2,ALIGNED,0.00955418181818182,0.00760411417350084,11
become,0,BASE,0.000738875,0.00023387752441945216,8
become,1,SFT,0.0005586,0.0003535043139765058,5
become,2,ALIGNED,0.00063075,0.0005187833982364068,8
begin,0,BASE,0.000434,,1
begin,2,ALIGNED,0.000391,,1
believe,0,BASE,0.0003542,0.00015128350868485302,5
believe,1,SFT,0.0005595,0.00035432800246852256,4
believe,2,ALIGNED,0.0006876,0.00027223207011665615,5
belt,0,BASE,0.000374,,1
belt,1,SFT,0.000186,,1
belt,2,ALIGNED,0.005369,,1
bite,0,BASE,0.0083,0.00454832652741643,11
bite,1,SFT,0.009195166666666666,0.004839204621285058,6
bite,2,ALIGNED,0.008162363636363636,0.006838065388291154,11
blame,0,BASE,0.0007710000000000001,0.000860697778936757,4
blame,1,SFT,0.0013953333333333333,0.000910710894484816,3
blame,2,ALIGNED,0.00148325,0.0013128359570030066,4
blast,0,BASE,0.000821875,0.0007705151222211207,8
blast,1,SFT,0.00043400000000000003,0.00018884385083978774,5
blast,2,ALIGNED,0.0005918750000000001,0.0003724948465607085,8
blaze,0,BASE,0.00044,,1
blaze,2,ALIGNED,0.000516,,1
bleed,0,BASE,0.000258,4.384062043356594e-05,2
bleed,1,SFT,6.9e-05,,1
