code,category
Y0799,AWAY
Y0800,AWAY
Y0801,INCOH
Y0802,D1
Y0803,INCOH
Y0804,INCOH
Y0805,INCOH
Y0806,D1
Y0807,D1
Y0808,D1
Y0809,D1
Y0810,BOTH
Y0811,META
Y0812,AWAY
Y0813,INCOH
Y0814,D1
Y0815,META
Y0816,INCOH
Y0817,D1
Y0818,D1
Y0819,INCOH
Y0820,INCOH
Y0821,D1
Y0822,D1
Y0823,D1
Y0824,D1
Y0825,META
Y0826,D1
Y0827,D1
Y0828,D1
Y0829,D1
Y0830,INCOH
Y0831,INCOH
Y0832,D1
Y0833,D1
Y0834,BOTH
Y0835,D1
Y0836,D1
Y0837,D1
Y0838,AWAY
Y0839,AWAY
Y0840,D1
Y0841,INCOH
Y0842,INCOH
Y0843,BOTH
Y0844,BOTH
Y0845,D1
Y0846,INCOH
Y0847,D1
Y0848,BOTH
Y0849,AWAY
Y0850,INCOH
Y0851,D1
Y0852,INCOH
Y0853,INCOH
Y0854,D1
Y0855,D1
Y0856,D1
Y0857,D1
Y0858,D1
Y0859,D2
Y0860,AWAY
Y0861,AWAY
Y0862,AWAY
Y0863,D1
Y0864,INCOH
Y0865,INCOH
Y0866,META
Y0867,BOTH
Y0868,META
Y0869,INCOH
Y0870,INCOH
Y0871,D1
Y0872,INCOH
Y0873,D1
Y0874,D1
Y0875,INCOH
Y0876,D1
Y0877,META
Y0878,D2
Y0879,D1
Y0880,D1
Y0881,AWAY
Y0882,D1
Y0883,INCOH
Y0884,D1
Y0885,D1
Y0886,D1
Y0887,INCOH
Y0888,D1
Y0889,D1
Y0890,D1
Y0891,D1
Y0892,D1
Y0893,D1
Y0894,INCOH
Y0895,D1
Y0896,D1
Y0897,D1
Y0898,D1
Y0899,BOTH
Y0900,D1
Y0901,META
Y0902,INCOH
Y0903,D1
Y0904,D1
Y0905,D1
Y0906,META
Y0907,D1
Y0908,D1
Y0909,D1
Y0910,INCOH
Y0911,D1
Y0912,D1
Y0913,AWAY
Y0914,INCOH
Y0915,D1
Y0916,D1
Y0917,INCOH
Y0918,D1
Y0919,D1
Y0920,META
Y0921,AWAY
Y0922,D2
Y0923,META
Y0924,D2
Y0925,INCOH
Y0926,D1
Y0927,D1
Y0928,INCOH
Y0929,INCOH
Y0930,BOTH
Y0931,INCOH
Y0932,D1
Y0933,BOTH
Y0934,AWAY
Y0935,D1
Y0936,D1
Y0937,D1
Y0938,INCOH
Y0939,META
Y0940,D1
Y0941,BOTH
Y0942,D1
Y0943,D1
Y0944,AWAY
Y0945,D1
Y0946,D1
Y0947,AWAY
Y0948,D1
Y0949,AWAY
Y0950,BOTH
Y0951,D1
Y0952,BOTH
Y0953,D1
Y0954,INCOH
Y0955,D1
Y0956,BOTH
Y0957,D1
Y0958,INCOH
Y0959,D1
Y0960,D1
Y0961,D1
Y0962,D1
Y0963,BOTH
Y0964,D1
Y0965,D1
Y0966,D1
Y0967,INCOH
Y0968,BOTH
Y0969,D1
Y0970,D1
Y0971,INCOH
Y0972,BOTH
Y0973,INCOH
Y0974,D1
Y0975,D1
Y0976,D1
Y0977,AWAY
Y0978,D1
Y0979,D2
Y0980,D1
Y0981,D1
Y0982,D1
Y0983,D1
Y0984,INCOH
Y0985,D1
Y0986,AWAY
Y0987,BOTH
Y0988,D1
Y0989,D1
Y0990,D1
Y0991,D1
Y0992,D1
Y0993,BOTH
Y0994,D1
Y0995,AWAY
Y0996,D1
Y0997,AWAY
Y0998,INCOH
Y0999,INCOH
Y1000,INCOH
Y1001,D1
Y1002,D1
Y1003,D1
Y1004,D1
Y1005,D1
Y1006,D1
Y1007,D1
Y1008,D1
Y1009,D1
Y1010,D2
Y1011,D1
Y1012,INCOH
Y1013,AWAY
Y1014,BOTH
Y1015,D2
Y1016,INCOH
Y1017,BOTH
Y1018,D1
Y1019,D1
Y1020,AWAY
Y1021,INCOH
Y1022,INCOH
Y1023,D1
Y1024,D1
Y1025,D1
Y1026,D1
Y1027,AWAY
Y1028,INCOH
Y1029,D1
Y1030,INCOH
Y1031,D1
Y1032,D1
Y1033,D1
Y1034,D1
Y1035,D1
Y1036,D1
Y1037,D1
Y1038,BOTH
Y1039,D1
Y1040,D1
Y1041,D1
Y1042,BOTH
Y1043,D1
Y1044,D1
Y1045,D1
Y1046,INCOH
Y1047,D1
Y1048,D1
Y1049,INCOH
Y1050,INCOH
Y1051,D2
Y1052,D1
Y1053,D1
Y1054,D1
Y1055,D1
Y1056,INCOH
Y1057,D1
Y1058,D1
Y1059,D1
Y1060,D1
Y1061,META
Y1062,AWAY
Y1063,BOTH
Y1064,D1
Y1065,D1
Y1066,D1
Y1067,D1
Y1068,AWAY
Y1069,D1
Y1070,D1
Y1071,META
Y1072,INCOH
Y1073,D1
Y1074,D1
Y1075,META
Y1076,D1
Y1077,D1
Y1078,META
Y1079,META
Y1080,D1
Y1081,AWAY
Y1082,D1
Y1083,BOTH
Y1084,AWAY
Y1085,INCOH
Y1086,D1
Y1087,INCOH
Y1088,D1
Y1089,D1
Y1090,BOTH
Y1091,D1
Y1092,INCOH
Y1093,D1
Y1094,AWAY
Y1095,BOTH
Y1096,D1
Y1097,D1
Y1098,AWAY
Y1099,BOTH
Y1100,D1
Y1101,D1
Y1102,D1
Y1103,AWAY
Y1104,META
Y1105,BOTH
Y1106,AWAY
Y1107,INCOH
Y1108,D1
Y1109,D1
Y1110,INCOH
Y1111,D1
Y1112,INCOH
Y1113,D1
Y1114,META
Y1115,D1
Y1116,D1
Y1117,D1
Y1118,D1
Y1119,META
Y1120,BOTH
Y1121,D1
Y1122,INCOH
Y1123,D1
Y1124,META
Y1125,D1
Y1126,D1
Y1127,D1
Y1128,D1
Y1129,D1
Y1130,D1
Y1131,BOTH
Y1132,INCOH
Y1133,D1
Y1134,D1
Y1135,D1
Y1136,D1
Y1137,BOTH
Y1138,D1
Y1139,INCOH
Y1140,D1
Y1141,META
Y1142,AWAY
Y1143,BOTH
Y1144,D1
Y1145,D1
Y1146,D1
Y1147,D1
Y1148,D1
Y1149,D1
Y1150,D1
Y1151,INCOH
Y1152,AWAY
Y1153,BOTH
Y1154,INCOH
Y1155,D1
Y1156,D1
Y1157,D1
Y1158,INCOH
Y1159,D1
Y1160,INCOH
Y1161,D1
Y1162,AWAY
Y1163,D1
Y1164,D1
Y1165,D1
Y1166,AWAY
Y1167,D1
Y1168,INCOH
Y1169,D1
Y1170,INCOH
Y1171,AWAY
Y1172,INCOH
Y1173,D1
Y1174,AWAY
Y1175,INCOH
Y1176,AWAY
Y1177,D1
Y1178,INCOH
Y1179,BOTH
Y1180,D1
Y1181,D1
Y1182,D1
Y1183,D1
Y1184,D1
Y1185,D1
Y1186,D1
Y1187,META
Y1188,D1
Y1189,INCOH
Y1190,BOTH
Y1191,META
Y1192,INCOH
Y1193,D1
Y1194,D1
Y1195,INCOH
Y1196,INCOH
Y1197,INCOH
