code,category
Y0400,D1
Y0401,D1
Y0402,BOTH
Y0403,INCOH
Y0404,D1
Y0405,BOTH
Y0406,D1
Y0407,INCOH
Y0408,INCOH
Y0409,D1
Y0410,D2
Y0411,D1
Y0412,BOTH
Y0413,INCOH
Y0414,D2
Y0415,D1
Y0416,D1
Y0417,D1
Y0418,D1
Y0419,D1
Y0420,D1
Y0421,D1
Y0422,D1
Y0423,D1
Y0424,D1
Y0425,BOTH
Y0426,D1
Y0427,D1
Y0428,D1
Y0429,D1
Y0430,D1
Y0431,D1
Y0432,INCOH
Y0433,AWAY
Y0434,AWAY
Y0435,AWAY
Y0436,D1
Y0437,BOTH
Y0438,D1
Y0439,D1
Y0440,BOTH
Y0441,BOTH
Y0442,D1
Y0443,BOTH
Y0444,D1
Y0445,INCOH
Y0446,D1
Y0447,D1
Y0448,BOTH
Y0449,D1
Y0450,AWAY
Y0451,D1
Y0452,D1
Y0453,D1
Y0454,INCOH
Y0455,D1
Y0456,BOTH
Y0457,AWAY
Y0458,INCOH
Y0459,D1
Y0460,D1
Y0461,AWAY
Y0462,BOTH
Y0463,D1
Y0464,D1
Y0465,D1
Y0466,BOTH
Y0467,D2
Y0468,D1
Y0469,INCOH
Y0470,D1
Y0471,BOTH
Y0472,AWAY
Y0473,D1
Y0474,BOTH
Y0475,D1
Y0476,D1
Y0477,D1
Y0478,D1
Y0479,D1
Y0480,INCOH
Y0481,D1
Y0482,INCOH
Y0483,META
Y0484,BOTH
Y0485,AWAY
Y0486,D1
Y0487,INCOH
Y0488,D1
Y0489,INCOH
Y0490,D1
Y0491,INCOH
Y0492,D1
Y0493,BOTH
Y0494,D1
Y0495,D1
Y0496,BOTH
Y0497,D1
Y0498,INCOH
Y0499,D1
Y0500,D1
Y0501,D1
Y0502,D1
Y0503,INCOH
Y0504,D1
Y0505,INCOH
Y0506,D1
Y0507,INCOH
Y0508,INCOH
Y0509,INCOH
Y0510,INCOH
Y0511,D1
Y0512,D1
Y0513,D1
Y0514,META
Y0515,D1
Y0516,D1
Y0517,INCOH
Y0518,INCOH
Y0519,AWAY
Y0520,META
Y0521,D1
Y0522,BOTH
Y0523,D1
Y0524,INCOH
Y0525,INCOH
Y0526,D1
Y0527,D1
Y0528,BOTH
Y0529,D1
Y0530,INCOH
Y0531,D1
Y0532,D1
Y0533,BOTH
Y0534,INCOH
Y0535,D1
Y0536,AWAY
Y0537,INCOH
Y0538,D1
Y0539,D1
Y0540,D1
Y0541,INCOH
Y0542,D1
Y0543,AWAY
Y0544,BOTH
Y0545,D1
Y0546,D1
Y0547,INCOH
Y0548,AWAY
Y0549,INCOH
Y0550,D1
Y0551,D1
Y0552,META
Y0553,D1
Y0554,META
Y0555,AWAY
Y0556,D1
Y0557,D1
Y0558,META
Y0559,INCOH
Y0560,D1
Y0561,INCOH
Y0562,D1
Y0563,D1
Y0564,BOTH
Y0565,D1
Y0566,INCOH
Y0567,D1
Y0568,META
Y0569,META
Y0570,BOTH
Y0571,INCOH
Y0572,INCOH
Y0573,D1
Y0574,INCOH
Y0575,BOTH
Y0576,INCOH
Y0577,INCOH
Y0578,D1
Y0579,D1
Y0580,D1
Y0581,META
Y0582,D1
Y0583,AWAY
Y0584,INCOH
Y0585,D1
Y0586,D1
Y0587,D1
Y0588,BOTH
Y0589,D1
Y0590,D1
Y0591,D1
Y0592,D1
Y0593,INCOH
Y0594,D1
Y0595,D1
Y0596,INCOH
Y0597,D1
Y0598,INCOH
Y0599,D1
Y0600,D1
Y0601,D1
Y0602,D1
Y0603,D1
Y0604,INCOH
Y0605,D1
Y0606,BOTH
Y0607,INCOH
