model_id,text_from,cross_token_entropy,n_scored
01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B-Chat,1.8322495530049006,120
01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B,1.614030369122823,120
ContextualAI/archangel_sft-dpo_pythia2-8b,EleutherAI/pythia-2.8b,2.016577766338984,120
ContextualAI/archangel_sft-kto_pythia2-8b,EleutherAI/pythia-2.8b,2.0240866134564084,120
ContextualAI/archangel_sft-ppo_pythia2-8b,EleutherAI/pythia-2.8b,1.9697467694679895,120
ContextualAI/archangel_sft-slic_pythia2-8b,EleutherAI/pythia-2.8b,2.036776156226794,120
EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-slic_pythia2-8b,2.3310951799154283,120
EleutherAI/pythia-6.9b,lomahony/eleuther-pythia6.9b-hh-dpo,2.1798579906423887,120
HuggingFaceH4/zephyr-7b-beta,mistralai/Mistral-7B-v0.1,1.513946645706892,120
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,2.5313316638730154,119
HuggingFaceTB/SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M,2.005048142870267,120
HuggingFaceTB/SmolLM3-3B,HuggingFaceTB/SmolLM3-3B-Base,2.1055287857850393,120
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,2.1984652479489646,120
LLM360/Amber,LLM360/AmberSafe,2.4261240979035694,120
LLM360/AmberSafe,LLM360/Amber,1.1301564913243056,120
PKU-Alignment/beaver-7b-v1.0,huggyllama/llama-7b,0.8417611276110013,120
Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-0.5B-Instruct,2.244861800471942,120
Qwen/Qwen2.5-0.5B-Instruct,Qwen/Qwen2.5-0.5B,2.190119268000126,120
Qwen/Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,1.4895718703667322,120
Qwen/Qwen2.5-7B-Instruct,Qwen/Qwen2.5-7B,1.1186440515021483,120
Qwen/Qwen3-8B,Qwen/Qwen3-8B-Base,1.0260534862677255,120
Qwen/Qwen3-8B-Base,Qwen/Qwen3-8B,1.3388056496779124,120
TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,1.7625100155671438,120
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2.0385379364093144,120
allenai/Llama-3.1-Tulu-3-8B-SFT,meta-llama/Llama-3.1-8B,1.9673340678215028,120
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,meta-llama/Llama-3.1-8B,2.0016556034485498,120
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,meta-llama/Llama-3.1-8B,1.996140109996001,120
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,meta-llama/Llama-3.1-8B,1.912761619190375,120
allenai/Llama-3.1-Tulu-3.1-8B,meta-llama/Llama-3.1-8B,1.75418984045585,120
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,4.033447820599339,119
allenai/OLMo-2-0425-1B-Instruct,allenai/OLMo-2-0425-1B,2.013346430133371,119
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct,1.9813609684214872,119
allenai/Olmo-3-7B-Instruct,allenai/Olmo-3-1025-7B,1.7346672450502714,120
allenai/Olmo-Hybrid-7B,allenai/Olmo-Hybrid-Instruct-DPO-7B,1.7581548000375429,120
allenai/Olmo-Hybrid-Instruct-DPO-7B,allenai/Olmo-Hybrid-7B,1.8501165330410003,120
bigscience/bloom-7b1,bigscience/bloomz-7b1,5.454083599646887,120
bigscience/bloomz-7b1,bigscience/bloom-7b1,2.5791532024741173,120
deepseek-ai/deepseek-llm-7b-base,deepseek-ai/deepseek-llm-7b-chat,2.7207406689723332,120
deepseek-ai/deepseek-llm-7b-chat,deepseek-ai/deepseek-llm-7b-base,1.904775159060955,120
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,2.3572227333982787,120
lomahony/eleuther-pythia6.9b-hh-dpo,EleutherAI/pythia-6.9b,1.6866345350941023,120
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,2.258854713042577,120
m-a-p/CT-LLM-SFT-DPO,m-a-p/CT-LLM-Base,1.6758466099699338,120
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,1.7139051323135694,120
m-a-p/neo_7b_instruct_v0.1,m-a-p/neo_7b,1.1184418694426617,120
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,2.0190693562229476,120
meta-llama/Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B,1.9020260607202848,120
microsoft/phi-4,microsoft/phi-4-reasoning,1.800422230362892,120
microsoft/phi-4-reasoning,microsoft/phi-4,1.6431834330161412,120
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,1.6915988519787788,120
openbmb/MiniCPM5-1B,openbmb/MiniCPM5-1B-Base,2.411420527100563,120
openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,2.005250323812167,120
stabilityai/stablelm-2-1_6b,stabilityai/stablelm-2-zephyr-1_6b,2.4565822829802832,120
stabilityai/stablelm-2-zephyr-1_6b,stabilityai/stablelm-2-1_6b,1.6141164566079775,120
tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,2.001951431731383,120
tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-10B-Base,1.1124228343367577,120
tiiuae/Falcon3-1B-Base,tiiuae/Falcon3-1B-Instruct,1.38995415220658,120
tiiuae/Falcon3-1B-Instruct,tiiuae/Falcon3-1B-Base,0.9863323797782262,120
tiiuae/Falcon3-3B-Base,tiiuae/Falcon3-3B-Instruct,2.322982496023178,120
tiiuae/Falcon3-3B-Instruct,tiiuae/Falcon3-3B-Base,1.3269419933358828,120
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,1.9093435049057006,120
tiiuae/Falcon3-7B-Instruct,tiiuae/Falcon3-7B-Base,1.3270403128117323,120
togethercomputer/RedPajama-INCITE-7B-Chat,togethercomputer/RedPajama-INCITE-Base-7B-v0.1,0.8121433019638061,120
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,2.416991570095221,120
zai-org/glm-4-9b-chat-hf,zai-org/glm-4-9b-hf,1.6986355662345887,120
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,1.7509108632802963,120
