word,token_id,base,ego,superego,instruct,trajectory,group
file,1052,0.011697712354362011,0.008914906531572342,0.008714982308447361,0.008532652631402016,flat,suppressed
ask,1091,5.4465100873812844e-08,1.9233602870372124e-06,2.2768638245906914e-06,2.6784796318679582e-06,flat,promoted
file,1213,1.697672132650041e-06,1.2061413144692779e-05,1.7494059648015536e-05,1.6536363546038046e-05,flat,suppressed
think,1781,0.0012499019503593445,0.007163329049944878,0.008315893821418285,0.006749883759766817,peak,promoted
report,1934,0.0014930178876966238,0.001783093553967774,0.0012074143160134554,0.0012882378650829196,flat,suppressed
ask,2610,0.0013541084481403232,0.005985185503959656,0.005327361635863781,0.005339597351849079,peak,promoted
consider,2980,0.009289870038628578,0.03444236144423485,0.0425628200173378,0.04367224499583244,rise,promoted
talk,3137,0.0019472624408081174,0.0033312574960291386,0.0030832404736429453,0.0027918731793761253,peak,promoted
walk,4321,0.0055472347885370255,0.00015459248970728368,0.000159620467456989,0.00010492208821233362,decline,suppressed
leave,5387,0.005334723275154829,0.0015735744964331388,0.0010088324779644608,0.0007514224853366613,decline,suppressed
union,11552,0.009039291180670261,0.03637838736176491,0.05015126243233681,0.0410262793302536,peak,promoted
report,11998,8.60209894426589e-08,4.92995980039268e-07,5.19069942583883e-07,4.709365271082788e-07,flat,suppressed
strike,13471,0.0035676006227731705,0.0006407680339179933,0.0004140239907428622,0.0002700293262023479,decline,suppressed
union,16588,2.092254817398498e-06,7.773398829158396e-05,0.000159620467456989,0.00011704905045917258,flat,promoted
quit,17257,0.006409817840903997,0.0027833697386085987,0.0020699896849691868,0.001641257549636066,decline,suppressed
file,18128,9.673043450675323e-07,6.725308026034327e-07,8.692785513630952e-07,6.865482191642513e-07,flat,suppressed
walk,19599,2.1880590850287263e-07,2.120349194001392e-07,4.607695132108347e-07,3.192745907654171e-07,flat,suppressed
leave,22233,3.2905962399354394e-08,2.0953335067019907e-08,2.4860526082193246e-08,1.802543536655321e-08,flat,suppressed
consider,25742,4.445975321232254e-07,5.228235750109889e-06,1.0085312169394456e-05,1.0760416444099974e-05,flat,promoted
think,27963,5.510711886813624e-08,8.909585176297696e-07,1.924815478560049e-06,1.6566219755986822e-06,flat,promoted
quit,32637,6.245386430236977e-07,7.547839686594671e-06,8.459574928565416e-06,6.227651738299755e-06,flat,suppressed
talk,36341,8.304935050773565e-08,4.5683813709729293e-07,5.756813266089011e-07,4.636353310161212e-07,flat,promoted
negotiate,37667,0.0022065374068915844,0.015164768323302269,0.02748062275350094,0.028418071568012238,rise,promoted
report,71031,4.640484263518374e-08,2.5016708704583834e-08,2.914127961162194e-08,2.5203652498362317e-08,flat,suppressed
strike,74104,8.944768126184499e-08,2.4500587869624724e-07,3.2546068950978224e-07,2.45274890176006e-07,flat,suppressed
union,75024,7.518674465245567e-07,2.3746785871026077e-07,3.039558009731991e-07,2.746948553067341e-07,flat,promoted
