pair,pos,n,bits
olmo:pythia,0,120,2.4663461396691515
olmo:pythia,1,120,2.0972316462737064
olmo:pythia,2,120,1.0980610001111466
olmo:pythia,3,120,2.3050710305446858
olmo:pythia,4,120,2.1118862746800944
olmo:pythia,5,120,2.7910562920087725
olmo:pythia,6,120,3.617456968782626
olmo:pythia,7,119,4.08781688035774
olmo:pythia,8,119,3.5969303197530498
olmo:pythia,9,119,2.9336080845826107
pythia:olmo,0,120,1.871318368840881
pythia:olmo,1,120,1.6140837623623716
pythia:olmo,2,120,2.4164163511033814
pythia:olmo,3,120,2.5513388801654937
pythia:olmo,4,120,1.1937625500110085
pythia:olmo,5,120,1.8038016350493153
pythia:olmo,6,115,1.9385484939118287
pythia:olmo,7,100,2.17813943317582
pythia:olmo,8,72,1.1754082289902934
pythia:olmo,9,52,1.3673826314938988
