family,role,category,pos,n,resistance,median
amber,ego,death,0,1000,8.092300209033104,2.337811397119544
amber,ego,death,1,1000,1.9396477896384174,0.620113230809801
amber,ego,death,2,1000,3.65528016933319,0.018579670638369544
amber,ego,death,3,1000,1.9070495614925125,0.14888841457969368
amber,ego,death,4,1000,2.692590192253958,-0.0010314783909404033
amber,ego,death,5,1000,1.893055797411465,0.02010334329288193
amber,ego,death,6,1000,2.20203207893157,0.18695536579396033
amber,ego,death,7,1000,1.7885023731860066,0.05068539434068585
amber,ego,death,8,1000,1.4755233857776957,0.012333520547778594
amber,ego,death,9,975,0.9888064429122057,0.0264539962912806
archangel-dpo,ego,death,0,2000,0.018069994789071023,0.0023011138585482846
archangel-dpo,ego,death,1,2000,-0.0034122090868496124,7.621355621425529e-05
archangel-dpo,ego,death,2,2000,0.020897638952071043,-0.004528435007395342
archangel-dpo,ego,death,3,2000,0.017577868819973416,0.0030068243711362363
archangel-dpo,ego,death,4,2000,0.006248989122690084,0.00010964003969712158
archangel-dpo,ego,death,5,2000,0.017170705466233574,0.004830127431510127
archangel-dpo,ego,death,6,2000,0.006427177692317565,0.0016203114547189293
archangel-dpo,ego,death,7,2000,0.0014788383389318417,0.0030492378786467077
archangel-dpo,ego,death,8,2000,0.26058681466641076,0.00595991364879625
archangel-dpo,ego,death,9,1943,0.0174337414002461,0.0018415785588612515
ct-llm,ego,death,0,500,0.0017433770357401569,-0.003599855766297767
ct-llm,ego,death,1,500,-0.007864423791833306,0.00041919220886243026
ct-llm,ego,death,2,500,-0.012497853763180708,0.0023346934783425536
ct-llm,ego,death,3,500,0.0135491003277402,0.012771932964937296
ct-llm,ego,death,4,500,0.012391738050848613,0.0011369670047839799
ct-llm,ego,death,5,500,0.010634647587003736,0.0001584686157913851
ct-llm,ego,death,6,500,0.0036480707223879613,0.0020670065212557336
ct-llm,ego,death,7,500,0.009322806307187155,0.004930436124641514
ct-llm,ego,death,8,500,0.012824623699043301,0.0024932973360087076
ct-llm,ego,death,9,500,0.008810520420671207,0.0018204144918268915
map-neo,ego,death,0,500,16.34785130864961,16.437309306488565
map-neo,ego,death,1,500,7.5526372814987655,7.708825558017321
map-neo,ego,death,2,500,4.007355270019085,1.9829046155892445
map-neo,ego,death,3,500,4.5724721439891995,3.0143694157507124
map-neo,ego,death,4,500,2.964206560228212,1.369772698130671
map-neo,ego,death,5,500,2.6296526036944576,1.5690902538338922
map-neo,ego,death,6,500,2.8384148130871307,1.2592868302917517
map-neo,ego,death,7,500,2.606487646048512,0.8648766433200719
map-neo,ego,death,8,491,2.6344320822768883,1.3024817744665222
map-neo,ego,death,9,432,2.2453427986466155,0.9790057118668984
minicpm,ego,death,0,500,0.04981173114427333,0.03434732804690609
minicpm,ego,death,1,500,0.08556616612059838,0.046095733412751486
minicpm,ego,death,2,500,0.07285106590023045,0.0650565686270005
