site_id,family,prompt_key,prompt_category,base_or_aligned
S000,amber,neutral_3,neutral,A
S000,amber,neutral_3,neutral,A
S000,amber,neutral_3,neutral,A
S000,amber,neutral_3,neutral,B
S000,amber,neutral_3,neutral,B
S000,amber,neutral_3,neutral,B
S000,deepseek-7b,neutral_3,neutral,A
S000,deepseek-7b,neutral_3,neutral,A
S000,deepseek-7b,neutral_3,neutral,A
S000,deepseek-7b,neutral_3,neutral,B
S000,deepseek-7b,neutral_3,neutral,B
S000,deepseek-7b,neutral_3,neutral,B
S000,llama,neutral_3,neutral,A
S000,llama,neutral_3,neutral,A
S000,llama,neutral_3,neutral,A
S000,llama,neutral_3,neutral,B
S000,llama,neutral_3,neutral,B
S000,llama,neutral_3,neutral,B
S000,olmo,neutral_3,neutral,A
S000,olmo,neutral_3,neutral,A
S000,olmo,neutral_3,neutral,A
S000,olmo,neutral_3,neutral,B
S000,olmo,neutral_3,neutral,B
S000,olmo,neutral_3,neutral,B
S000,olmo-tiny,neutral_3,neutral,A
S000,olmo-tiny,neutral_3,neutral,A
S000,olmo-tiny,neutral_3,neutral,A
S000,olmo-tiny,neutral_3,neutral,B
S000,olmo-tiny,neutral_3,neutral,B
S000,olmo-tiny,neutral_3,neutral,B
S000,qwen,neutral_3,neutral,A
S000,qwen,neutral_3,neutral,A
S000,qwen,neutral_3,neutral,A
S000,qwen,neutral_3,neutral,B
S000,qwen,neutral_3,neutral,B
S000,qwen,neutral_3,neutral,B
S000,tulu,neutral_3,neutral,A
S000,tulu,neutral_3,neutral,A
S000,tulu,neutral_3,neutral,A
S000,tulu,neutral_3,neutral,B
S000,tulu,neutral_3,neutral,B
S000,tulu,neutral_3,neutral,B
S000,zephyr,neutral_3,neutral,A
S000,zephyr,neutral_3,neutral,A
S000,zephyr,neutral_3,neutral,A
S000,zephyr,neutral_3,neutral,B
S000,zephyr,neutral_3,neutral,B
S000,zephyr,neutral_3,neutral,B
S001,amber,neutral_2,neutral,A
S001,amber,neutral_2,neutral,A
S001,amber,neutral_2,neutral,A
S001,amber,neutral_2,neutral,B
S001,amber,neutral_2,neutral,B
S001,amber,neutral_2,neutral,B
S001,deepseek-7b,neutral_2,neutral,A
S001,deepseek-7b,neutral_2,neutral,A
S001,deepseek-7b,neutral_2,neutral,A
S001,deepseek-7b,neutral_2,neutral,B
S001,deepseek-7b,neutral_2,neutral,B
S001,deepseek-7b,neutral_2,neutral,B
S001,llama,neutral_2,neutral,A
S001,llama,neutral_2,neutral,A
S001,llama,neutral_2,neutral,A
S001,llama,neutral_2,neutral,B
S001,llama,neutral_2,neutral,B
S001,llama,neutral_2,neutral,B
S001,olmo,neutral_2,neutral,A
S001,olmo,neutral_2,neutral,A
S001,olmo,neutral_2,neutral,A
S001,olmo,neutral_2,neutral,B
S001,olmo,neutral_2,neutral,B
S001,olmo,neutral_2,neutral,B
S001,olmo-tiny,neutral_2,neutral,A
S001,olmo-tiny,neutral_2,neutral,A
S001,olmo-tiny,neutral_2,neutral,A
S001,olmo-tiny,neutral_2,neutral,B
S001,olmo-tiny,neutral_2,neutral,B
S001,olmo-tiny,neutral_2,neutral,B
S001,qwen,neutral_2,neutral,A
S001,qwen,neutral_2,neutral,A
S001,qwen,neutral_2,neutral,A
S001,qwen,neutral_2,neutral,B
S001,qwen,neutral_2,neutral,B
S001,qwen,neutral_2,neutral,B
S001,tulu,neutral_2,neutral,A
S001,tulu,neutral_2,neutral,A
S001,tulu,neutral_2,neutral,A
S001,tulu,neutral_2,neutral,B
S001,tulu,neutral_2,neutral,B
S001,tulu,neutral_2,neutral,B
S001,zephyr,neutral_2,neutral,A
S001,zephyr,neutral_2,neutral,A
S001,zephyr,neutral_2,neutral,A
S001,zephyr,neutral_2,neutral,B
S001,zephyr,neutral_2,neutral,B
S001,zephyr,neutral_2,neutral,B
S002,amber,sexual_explicit_5,sexual,A
S002,amber,sexual_explicit_5,sexual,A
S002,amber,sexual_explicit_5,sexual,A
S002,amber,sexual_explicit_5,sexual,B
S002,amber,sexual_explicit_5,sexual,B
S002,amber,sexual_explicit_5,sexual,B
S002,deepseek-7b,sexual_explicit_5,sexual,A
S002,deepseek-7b,sexual_explicit_5,sexual,A
S002,deepseek-7b,sexual_explicit_5,sexual,A
S002,deepseek-7b,sexual_explicit_5,sexual,B
S002,deepseek-7b,sexual_explicit_5,sexual,B
S002,deepseek-7b,sexual_explicit_5,sexual,B
S002,llama,sexual_explicit_5,sexual,A
S002,llama,sexual_explicit_5,sexual,A
S002,llama,sexual_explicit_5,sexual,A
S002,llama,sexual_explicit_5,sexual,B
S002,llama,sexual_explicit_5,sexual,B
S002,llama,sexual_explicit_5,sexual,B
S002,olmo,sexual_explicit_5,sexual,A
S002,olmo,sexual_explicit_5,sexual,A
S002,olmo,sexual_explicit_5,sexual,A
S002,olmo,sexual_explicit_5,sexual,B
S002,olmo,sexual_explicit_5,sexual,B
S002,olmo,sexual_explicit_5,sexual,B
S002,olmo-tiny,sexual_explicit_5,sexual,A
S002,olmo-tiny,sexual_explicit_5,sexual,A
S002,olmo-tiny,sexual_explicit_5,sexual,A
S002,olmo-tiny,sexual_explicit_5,sexual,B
S002,olmo-tiny,sexual_explicit_5,sexual,B
S002,olmo-tiny,sexual_explicit_5,sexual,B
S002,qwen,sexual_explicit_5,sexual,A
S002,qwen,sexual_explicit_5,sexual,A
S002,qwen,sexual_explicit_5,sexual,A
S002,qwen,sexual_explicit_5,sexual,B
S002,qwen,sexual_explicit_5,sexual,B
S002,qwen,sexual_explicit_5,sexual,B
S002,tulu,sexual_explicit_5,sexual,A
S002,tulu,sexual_explicit_5,sexual,A
S002,tulu,sexual_explicit_5,sexual,A
S002,tulu,sexual_explicit_5,sexual,B
S002,tulu,sexual_explicit_5,sexual,B
S002,tulu,sexual_explicit_5,sexual,B
S002,zephyr,sexual_explicit_5,sexual,A
S002,zephyr,sexual_explicit_5,sexual,A
S002,zephyr,sexual_explicit_5,sexual,A
S002,zephyr,sexual_explicit_5,sexual,B
S002,zephyr,sexual_explicit_5,sexual,B
S002,zephyr,sexual_explicit_5,sexual,B
S003,amber,sexual_liminal_5,sexual,A
S003,amber,sexual_liminal_5,sexual,A
S003,amber,sexual_liminal_5,sexual,A
S003,amber,sexual_liminal_5,sexual,B
S003,amber,sexual_liminal_5,sexual,B
S003,amber,sexual_liminal_5,sexual,B
S003,deepseek-7b,sexual_liminal_5,sexual,A
S003,deepseek-7b,sexual_liminal_5,sexual,A
S003,deepseek-7b,sexual_liminal_5,sexual,A
S003,deepseek-7b,sexual_liminal_5,sexual,B
S003,deepseek-7b,sexual_liminal_5,sexual,B
S003,deepseek-7b,sexual_liminal_5,sexual,B
S003,llama,sexual_liminal_5,sexual,A
S003,llama,sexual_liminal_5,sexual,A
S003,llama,sexual_liminal_5,sexual,A
S003,llama,sexual_liminal_5,sexual,B
S003,llama,sexual_liminal_5,sexual,B
S003,llama,sexual_liminal_5,sexual,B
S003,olmo,sexual_liminal_5,sexual,A
S003,olmo,sexual_liminal_5,sexual,A
S003,olmo,sexual_liminal_5,sexual,A
S003,olmo,sexual_liminal_5,sexual,B
S003,olmo,sexual_liminal_5,sexual,B
S003,olmo,sexual_liminal_5,sexual,B
S003,olmo-tiny,sexual_liminal_5,sexual,A
S003,olmo-tiny,sexual_liminal_5,sexual,A
S003,olmo-tiny,sexual_liminal_5,sexual,A
S003,olmo-tiny,sexual_liminal_5,sexual,B
S003,olmo-tiny,sexual_liminal_5,sexual,B
S003,olmo-tiny,sexual_liminal_5,sexual,B
S003,qwen,sexual_liminal_5,sexual,A
S003,qwen,sexual_liminal_5,sexual,A
S003,qwen,sexual_liminal_5,sexual,A
S003,qwen,sexual_liminal_5,sexual,B
S003,qwen,sexual_liminal_5,sexual,B
S003,qwen,sexual_liminal_5,sexual,B
S003,tulu,sexual_liminal_5,sexual,A
S003,tulu,sexual_liminal_5,sexual,A
S003,tulu,sexual_liminal_5,sexual,A
S003,tulu,sexual_liminal_5,sexual,B
S003,tulu,sexual_liminal_5,sexual,B
S003,tulu,sexual_liminal_5,sexual,B
S003,zephyr,sexual_liminal_5,sexual,A
S003,zephyr,sexual_liminal_5,sexual,A
S003,zephyr,sexual_liminal_5,sexual,A
S003,zephyr,sexual_liminal_5,sexual,B
S003,zephyr,sexual_liminal_5,sexual,B
S003,zephyr,sexual_liminal_5,sexual,B
S004,amber,sexual_liminal_1,sexual,A
S004,amber,sexual_liminal_1,sexual,A
S004,amber,sexual_liminal_1,sexual,A
S004,amber,sexual_liminal_1,sexual,B
S004,amber,sexual_liminal_1,sexual,B
S004,amber,sexual_liminal_1,sexual,B
S004,deepseek-7b,sexual_liminal_1,sexual,A
S004,deepseek-7b,sexual_liminal_1,sexual,A
S004,deepseek-7b,sexual_liminal_1,sexual,A
S004,deepseek-7b,sexual_liminal_1,sexual,B
S004,deepseek-7b,sexual_liminal_1,sexual,B
S004,deepseek-7b,sexual_liminal_1,sexual,B
S004,llama,sexual_liminal_1,sexual,A
S004,llama,sexual_liminal_1,sexual,A
S004,llama,sexual_liminal_1,sexual,A
S004,llama,sexual_liminal_1,sexual,B
S004,llama,sexual_liminal_1,sexual,B
S004,llama,sexual_liminal_1,sexual,B
S004,olmo,sexual_liminal_1,sexual,A
S004,olmo,sexual_liminal_1,sexual,A
S004,olmo,sexual_liminal_1,sexual,A
S004,olmo,sexual_liminal_1,sexual,B
S004,olmo,sexual_liminal_1,sexual,B
S004,olmo,sexual_liminal_1,sexual,B
S004,olmo-tiny,sexual_liminal_1,sexual,A
S004,olmo-tiny,sexual_liminal_1,sexual,A
S004,olmo-tiny,sexual_liminal_1,sexual,A
S004,olmo-tiny,sexual_liminal_1,sexual,B
S004,olmo-tiny,sexual_liminal_1,sexual,B
S004,olmo-tiny,sexual_liminal_1,sexual,B
S004,qwen,sexual_liminal_1,sexual,A
S004,qwen,sexual_liminal_1,sexual,A
S004,qwen,sexual_liminal_1,sexual,A
S004,qwen,sexual_liminal_1,sexual,B
S004,qwen,sexual_liminal_1,sexual,B
S004,qwen,sexual_liminal_1,sexual,B
S004,tulu,sexual_liminal_1,sexual,A
S004,tulu,sexual_liminal_1,sexual,A
S004,tulu,sexual_liminal_1,sexual,A
S004,tulu,sexual_liminal_1,sexual,B
S004,tulu,sexual_liminal_1,sexual,B
S004,tulu,sexual_liminal_1,sexual,B
S004,zephyr,sexual_liminal_1,sexual,A
S004,zephyr,sexual_liminal_1,sexual,A
S004,zephyr,sexual_liminal_1,sexual,A
S004,zephyr,sexual_liminal_1,sexual,B
S004,zephyr,sexual_liminal_1,sexual,B
S004,zephyr,sexual_liminal_1,sexual,B
S005,amber,neutral_4,neutral,A
S005,amber,neutral_4,neutral,A
S005,amber,neutral_4,neutral,A
S005,amber,neutral_4,neutral,B
S005,amber,neutral_4,neutral,B
S005,amber,neutral_4,neutral,B
S005,deepseek-7b,neutral_4,neutral,A
S005,deepseek-7b,neutral_4,neutral,A
S005,deepseek-7b,neutral_4,neutral,A
S005,deepseek-7b,neutral_4,neutral,B
S005,deepseek-7b,neutral_4,neutral,B
S005,deepseek-7b,neutral_4,neutral,B
S005,llama,neutral_4,neutral,A
S005,llama,neutral_4,neutral,A
S005,llama,neutral_4,neutral,A
S005,llama,neutral_4,neutral,B
S005,llama,neutral_4,neutral,B
S005,llama,neutral_4,neutral,B
S005,olmo,neutral_4,neutral,A
S005,olmo,neutral_4,neutral,A
S005,olmo,neutral_4,neutral,A
S005,olmo,neutral_4,neutral,B
S005,olmo,neutral_4,neutral,B
S005,olmo,neutral_4,neutral,B
S005,olmo-tiny,neutral_4,neutral,A
S005,olmo-tiny,neutral_4,neutral,A
S005,olmo-tiny,neutral_4,neutral,A
S005,olmo-tiny,neutral_4,neutral,B
S005,olmo-tiny,neutral_4,neutral,B
S005,olmo-tiny,neutral_4,neutral,B
S005,qwen,neutral_4,neutral,A
S005,qwen,neutral_4,neutral,A
S005,qwen,neutral_4,neutral,A
S005,qwen,neutral_4,neutral,B
S005,qwen,neutral_4,neutral,B
S005,qwen,neutral_4,neutral,B
S005,tulu,neutral_4,neutral,A
S005,tulu,neutral_4,neutral,A
S005,tulu,neutral_4,neutral,A
S005,tulu,neutral_4,neutral,B
S005,tulu,neutral_4,neutral,B
S005,tulu,neutral_4,neutral,B
S005,zephyr,neutral_4,neutral,A
S005,zephyr,neutral_4,neutral,A
S005,zephyr,neutral_4,neutral,A
S005,zephyr,neutral_4,neutral,B
S005,zephyr,neutral_4,neutral,B
S005,zephyr,neutral_4,neutral,B
S006,amber,neutral_6,neutral,A
S006,amber,neutral_6,neutral,A
S006,amber,neutral_6,neutral,A
S006,amber,neutral_6,neutral,B
S006,amber,neutral_6,neutral,B
S006,amber,neutral_6,neutral,B
S006,deepseek-7b,neutral_6,neutral,A
S006,deepseek-7b,neutral_6,neutral,A
S006,deepseek-7b,neutral_6,neutral,A
S006,deepseek-7b,neutral_6,neutral,B
S006,deepseek-7b,neutral_6,neutral,B
S006,deepseek-7b,neutral_6,neutral,B
S006,llama,neutral_6,neutral,A
S006,llama,neutral_6,neutral,A
