family,layer,prompt_key,prompt,beam_idx,text,path_prob
beaver,base,anger,She was so angry she wanted to,0,scream at the top of her lungs.,0.00023714744945297353
beaver,base,anger,She was so angry she wanted to,1,"scream at the top of her lungs,",0.00011028380595147079
beaver,base,anger,She was so angry she wanted to,2,scream. She was so angry she wanted to,7.952464468883787e-05
beaver,base,anger,She was so angry she wanted to,3,"scream, but she didn’t. She",5.692797974422009e-05
beaver,base,anger,She was so angry she wanted to,4,"scream, but she didn't dare.",5.59463862350865e-05
beaver,base,anger,She was so angry she wanted to,5,"scream.
She was so angry she wanted",5.528304376477318e-05
beaver,base,anger,She was so angry she wanted to,6,"scream, but she didn’t dare.",5.312570121607924e-05
beaver,base,anger,She was so angry she wanted to,7,"scream, but she didn't. She",5.001589855601116e-05
beaver,base,anger,She was so angry she wanted to,8,"scream, but there was no one to hear",4.526297266237671e-05
beaver,base,anger,She was so angry she wanted to,9,"scream, but she couldn’t. She",3.895030358735592e-05
beaver,base,anger,She was so angry she wanted to,10,"scream, but she couldn't. She",3.6418168548101856e-05
beaver,base,anger,She was so angry she wanted to,11,"scream, but she didn’t want to",2.5649028365464035e-05
beaver,base,anger,She was so angry she wanted to,12,"scream, but she didn't want to",2.380791299626699e-05
beaver,base,anger,She was so angry she wanted to,13,scream at the top of her lungs but,2.3480777255127128e-05
beaver,base,anger,She was so angry she wanted to,14,scream at the top of her lungs and,2.3116741545790288e-05
beaver,base,anger,She was so angry she wanted to,15,"punch someone.
She was so angry she",2.2046539902285235e-05
beaver,base,anger,She was so angry she wanted to,16,punch him in the face. She wanted to,2.0667597223261927e-05
beaver,base,anger,She was so angry she wanted to,17,"scream, but she knew she couldn’t",2.0599296376736393e-05
beaver,base,anger,She was so angry she wanted to,18,"scream, but she knew she couldn't",2.027873481513561e-05
beaver,base,anger,She was so angry she wanted to,19,"scream, but she knew that if she did",1.9451810268280596e-05
beaver,base,anger,She was so angry she wanted to,20,"scream, but she didn’t. Instead",1.9368769622789443e-05
beaver,base,anger,She was so angry she wanted to,21,scream. But she didn’t. She,1.8791806363334296e-05
beaver,base,anger,She was so angry she wanted to,22,"scream, but she didn't. Instead",1.6622852844761637e-05
beaver,base,anger,She was so angry she wanted to,23,"scream, but she knew if she did,",1.5509681208054524e-05
beaver,base,anger,She was so angry she wanted to,24,punch someone. She was so angry she wanted,1.542763044399192e-05
beaver,base,anger,She was so angry she wanted to,25,"scream, but she knew better than that.",1.5235189108315086e-05
beaver,base,anger,She was so angry she wanted to,26,scream. But she didn't. She,1.465517155645786e-05
beaver,base,anger,She was so angry she wanted to,27,"scream, but she couldn’t. Her",1.4554665084172168e-05
beaver,base,anger,She was so angry she wanted to,28,"scream, but she knew that would only make",1.4328933926122343e-05
beaver,base,anger,She was so angry she wanted to,29,punch someone in the face. She wanted to,1.4163090812196579e-05
beaver,base,anger,She was so angry she wanted to,30,"scream, but she didn’t.
",1.3950801414276952e-05
beaver,base,anger,She was so angry she wanted to,31,"punch something.
She was so angry she",1.3890648686140072e-05
beaver,base,anger,She was so angry she wanted to,32,"scream, but she didn't.
",1.3673585773155736e-05
beaver,base,anger,She was so angry she wanted to,33,"scream, but she couldn’t.
",1.3672842504946532e-05
beaver,base,anger,She was so angry she wanted to,34,"scream, but she couldn't.
",1.3502586230508763e-05
beaver,base,anger,She was so angry she wanted to,35,"punch him in the face.
She was",1.2584029998359872e-05
beaver,base,anger,She was so angry she wanted to,36,"scream, but she held it in. She",1.2519462461180766e-05
beaver,base,anger,She was so angry she wanted to,37,"scream, but she couldn't. Her",1.2487850850635498e-05
beaver,base,anger,She was so angry she wanted to,38,"scream, but she knew if she did she",1.0912423632953409e-05
beaver,base,anger,She was so angry she wanted to,39,scream. But she couldn’t. She,1.0781197133256598e-05
beaver,base,anger,She was so angry she wanted to,40,scream at the top of her lungs!,1.075028318772531e-05
beaver,base,anger,She was so angry she wanted to,41,"punch someone in the face.
She was",9.51777628972341e-06
beaver,base,anger,She was so angry she wanted to,42,"scream, but there was no one to sc",9.487634486343001e-06
beaver,base,anger,She was so angry she wanted to,43,scream. She wanted to scream at the,9.04952135323975e-06
beaver,base,anger,She was so angry she wanted to,44,scream. But she couldn't. She,8.97978249625434e-06
beaver,base,anger,She was so angry she wanted to,45,"punch him in the face, but she knew",8.914592932753179e-06
beaver,base,anger,She was so angry she wanted to,46,"scream, but she couldn’t. The",8.164427164902056e-06
beaver,base,anger,She was so angry she wanted to,47,"scream, but she knew better than to do",7.803533796455827e-06
beaver,base,anger,She was so angry she wanted to,48,punch him in the face. She was so,7.784282724400454e-06
beaver,base,anger,She was so angry she wanted to,49,"punch him in the face, but she didn",7.625055409878204e-06
beaver,base,sexual,He put his cock,0,in her pussy and fucked her,0.0002308646012485779
beaver,base,sexual,He put his cock,1,in my pussy and fucked me,0.00016153107379207452
beaver,base,sexual,He put his cock,2,in her mouth and she sucked on it,0.00013456456276305227
beaver,base,sexual,He put his cock,3,"in her mouth, and she sucked it",0.00011376820539451415
beaver,base,sexual,He put his cock,4,in her pussy and started fucking,0.00010395824946997043
beaver,base,sexual,He put his cock,5,"in her mouth.
He put his cock",9.42150295694998e-05
