corpus,role,total,retained,lang_dropped,code_stripped,retain_frac,side
alpaca,assistant,51974,50312,1662,0,0.968022472774849,
alpaca,user,52002,51352,650,0,0.9875004807507404,
ultrachat,assistant,5649662,5642726,6840,0,0.9987723159367764,
ultrachat,user,5649662,5644775,4830,0,0.9991349925004364,
ultrafeedback,assistant,0,0,0,0,0.0,
ultrafeedback,user,0,0,0,0,0.0,
sharegpt,assistant,0,0,0,0,0.0,
sharegpt,user,0,0,0,0,0.0,
tulu_sft,assistant,0,0,0,0,0.0,
tulu_sft,user,0,0,0,0,0.0,
oasst,assistant,52912,25328,27470,860,0.4786815845176898,
oasst,user,31525,16593,14923,58,0.5263441712926249,
stackexchange,assistant,100000,99023,962,6196,0.99023,
stackexchange,user,100000,99761,239,739,0.99761,
pku_saferlhf,assistant,73907,73794,89,0,0.9984710514565602,chosen
pku_saferlhf,assistant,73907,73783,111,0,0.9983222157576414,rejected
pku_saferlhf,user,73907,73507,400,0,0.994587792766585,
hh_rlhf,assistant,377833,374959,2785,0,0.9923934648376399,chosen
hh_rlhf,assistant,377941,374823,2947,0,0.9917500350583821,rejected
hh_rlhf,user,377495,366619,10876,0,0.9711890223711572,
