word,count,total_tokens
the,127980,2239742
and,97963,2239742
to,70863,2239742
a,64666,2239742
of,61847,2239742
in,35598,2239742
is,35517,2239742
for,22292,2239742
it,19012,2239742
with,17860,2239742
that,17834,2239742
as,17045,2239742
can,16406,2239742
be,14706,2239742
are,14031,2239742
on,12879,2239742
an,12002,2239742
or,10492,2239742
by,9996,2239742
you,9089,2239742
i,8830,2239742
s,8316,2239742
was,8280,2239742
this,8200,2239742
from,7940,2239742
their,7576,2239742
more,7007,2239742
have,7003,2239742
such,6836,2239742
also,6528,2239742
data,6478,2239742
your,6304,2239742
they,6212,2239742
he,5854,2239742
has,5619,2239742
used,5503,2239742
time,4794,2239742
should,4737,2239742
other,4719,2239742
make,4639,2239742
one,4620,2239742
which,4434,2239742
use,4334,2239742
its,4077,2239742
help,4054,2239742
all,3905,2239742
will,3836,2239742
new,3811,2239742
what,3792,2239742
at,3668,2239742
customer,3619,2239742
she,3609,2239742
up,3604,2239742
when,3528,2239742
his,3482,2239742
had,3344,2239742
people,3336,2239742
not,3330,2239742
we,3315,2239742
into,3299,2239742
world,3291,2239742
could,3287,2239742
would,3257,2239742
energy,3246,2239742
our,3075,2239742
include,3064,2239742
them,3048,2239742
learning,2984,2239742
her,2982,2239742
while,2978,2239742
how,2950,2239742
two,2925,2239742
ai,2919,2239742
like,2911,2239742
if,2805,2239742
create,2788,2239742
but,2786,2239742
take,2775,2239742
about,2769,2239742
way,2731,2239742
there,2629,2239742
life,2627,2239742
additionally,2623,2239742
through,2569,2239742
my,2564,2239742
out,2559,2239742
each,2501,2239742
provide,2494,2239742
so,2479,2239742
day,2428,2239742
do,2416,2239742
reduce,2410,2239742
who,2405,2239742
any,2376,2239742
system,2321,2239742
most,2319,2239742
using,2303,2239742
than,2294,2239742
technology,2271,2239742
important,2241,2239742
been,2211,2239742
over,2141,2239742
between,2063,2239742
well,2063,2239742
language,2033,2239742
both,2027,2239742
then,2006,2239742
different,1989,2239742
water,1989,2239742
making,1964,2239742
us,1922,2239742
tasks,1919,2239742
information,1891,2239742
many,1881,2239742
work,1867,2239742
access,1867,2239742
some,1840,2239742
set,1832,2239742
experience,1826,2239742
process,1798,2239742
potential,1786,2239742
better,1786,2239742
may,1773,2239742
health,1753,2239742
t,1746,2239742
number,1730,2239742
being,1697,2239742
first,1683,2239742
these,1675,2239742
no,1658,2239742
need,1638,2239742
user,1604,2239742
around,1603,2239742
based,1599,2239742
machine,1595,2239742
social,1590,2239742
service,1581,2239742
able,1578,2239742
customers,1565,2239742
were,1557,2239742
order,1549,2239742
person,1541,2239742
food,1536,2239742
natural,1531,2239742
environment,1526,2239742
great,1525,2239742
find,1525,2239742
large,1518,2239742
product,1516,2239742
finally,1509,2239742
online,1479,2239742
often,1465,2239742
where,1462,2239742
made,1430,2239742
change,1429,2239742
example,1427,2239742
three,1398,2239742
get,1393,2239742
model,1364,2239742
improve,1364,2239742
services,1362,2239742
power,1350,2239742
increase,1332,2239742
content,1332,2239742
software,1330,2239742
computer,1329,2239742
human,1324,2239742
air,1320,2239742
best,1318,2239742
long,1315,2239742
resources,1285,2239742
home,1279,2239742
sure,1276,2239742
good,1273,2239742
quickly,1271,2239742
light,1264,2239742
b,1264,2239742
before,1258,2239742
together,1255,2239742
ensure,1252,2239742
name,1248,2239742
creating,1243,2239742
night,1238,2239742
high,1237,2239742
users,1237,2239742
small,1224,2239742
until,1212,2239742
climate,1211,2239742
store,1199,2239742
place,1195,2239742
global,1194,2239742
providing,1193,2239742
features,1187,2239742
systems,1173,2239742
text,1162,2239742
website,1159,2239742
skills,1158,2239742
type,1154,2239742
even,1153,2239742
m,1146,2239742
activities,1139,2239742
must,1138,2239742
me,1130,2239742
increased,1127,2239742
understanding,1124,2239742
down,1114,2239742
once,1114,2239742
family,1112,2239742
company,1111,2239742
design,1110,2239742
business,1110,2239742
intelligence,1107,2239742
identify,1100,2239742
future,1094,2239742
efficient,1093,2239742
sources,1088,2239742
stay,1085,2239742
after,1084,2239742
artificial,1082,2239742
lead,1081,2239742
development,1076,2239742
c,1074,2239742
businesses,1074,2239742
media,1074,2239742
helps,1072,2239742
never,1068,2239742
own,1066,2239742
learn,1064,2239742
states,1063,2239742
keep,1053,2239742
john,1053,2239742
products,1053,2239742
cost,1048,2239742
physical,1043,2239742
public,1042,2239742
found,1041,2239742
impact,1037,2239742
sun,1034,2239742
main,1033,2239742
communication,1026,2239742
algorithm,1024,2239742
plan,1022,2239742
variety,1022,2239742
sky,1021,2239742
add,1016,2239742
taking,1014,2239742
due,1013,2239742
allows,1008,2239742
understand,1006,2239742
students,1006,2239742
team,1005,2239742
city,1001,2239742
love,999,2239742
ability,996,2239742
become,993,2239742
go,986,2239742
years,985,2239742
quality,978,2239742
only,976,2239742
benefits,973,2239742
without,969,2239742
always,965,2239742
problem,964,2239742
much,962,2239742
including,962,2239742
typically,962,2239742
return,962,2239742
security,956,2239742
right,955,2239742
back,953,2239742
needs,950,2239742
body,945,2239742
job,945,2239742
positive,936,2239742
because,934,2239742
something,928,2239742
goals,926,2239742
deep,922,2239742
list,921,2239742
strong,919,2239742
form,918,2239742
same,916,2239742
research,915,2239742
education,915,2239742
support,914,2239742
economic,912,2239742
allowing,912,2239742
decisions,911,2239742
start,910,2239742
involves,908,2239742
algorithms,901,2239742
effective,896,2239742
step,893,2239742
friends,893,2239742
ways,886,2239742
just,885,2239742
items,885,2239742
range,884,2239742
united,881,2239742
end,881,2239742
possible,881,2239742
performance,877,2239742
develop,874,2239742
marketing,873,2239742
game,870,2239742
healthy,869,2239742
improved,869,2239742
come,867,2239742
digital,866,2239742
network,863,2239742
x,861,2239742
levels,855,2239742
essential,850,2239742
applications,845,2239742
certain,840,2239742
sentence,840,2239742
powerful,839,2239742
those,838,2239742
away,838,2239742
reach,836,2239742
focus,835,2239742
amount,834,2239742
provides,832,2239742
given,831,2239742
am,829,2239742
renewable,826,2239742
minutes,826,2239742
market,823,2239742
knowledge,822,2239742
self,819,2239742
search,815,2239742
complex,814,2239742
words,813,2239742
having,813,2239742
patterns,811,2239742
value,805,2239742
code,805,2239742
off,804,2239742
explore,802,2239742
look,800,2239742
area,796,2239742
changes,795,2239742
him,793,2239742
processing,793,2239742
decision,788,2239742
control,788,2239742
cup,783,2239742
input,780,2239742
let,779,2239742
offer,777,2239742
healthcare,777,2239742
overall,769,2239742
during,766,2239742
web,766,2239742
models,761,2239742
hand,760,2239742
heat,759,2239742
every,758,2239742
financial,751,2239742
part,750,2239742
risk,750,2239742
elements,749,2239742
looking,749,2239742
old,747,2239742
journey,746,2239742
earth,744,2239742
atmosphere,743,2239742
success,738,2239742
heart,735,2239742
difficult,734,2239742
necessary,734,2239742
internet,732,2239742
project,731,2239742
key,731,2239742
upon,725,2239742
action,724,2239742
car,723,2239742
money,719,2239742
opportunities,714,2239742
effects,712,2239742
does,712,2239742
medical,709,2239742
five,706,2239742
sense,704,2239742
animals,704,2239742
open,703,2239742
living,702,2239742
carbon,700,2239742
care,697,2239742
story,694,2239742
result,693,2239742
leading,690,2239742
higher,687,2239742
reducing,686,2239742
nature,686,2239742
common,682,2239742
d,680,2239742
solutions,677,2239742
give,676,2239742
analysis,675,2239742
known,675,2239742
few,673,2239742
low,672,2239742
growth,672,2239742
current,672,2239742
individual,672,2239742
questions,672,2239742
program,668,2239742
setting,666,2239742
top,665,2239742
various,665,2239742
steps,665,2239742
year,664,2239742
feedback,663,2239742
easy,662,2239742
ingredients,661,2239742
trees,660,2239742
secure,659,2239742
popular,659,2239742
costs,659,2239742
pollution,658,2239742
still,656,2239742
clear,656,2239742
output,655,2239742
space,654,2239742
species,654,2239742
further,653,2239742
mental,653,2239742
uses,651,2239742
major,647,2239742
traditional,647,2239742
allow,646,2239742
build,646,2239742
generate,644,2239742
materials,642,2239742
word,642,2239742
know,642,2239742
less,640,2239742
book,640,2239742
feeling,640,2239742
face,640,2239742
enjoy,640,2239742
government,639,2239742
emissions,637,2239742
stress,636,2239742
individuals,635,2239742
results,635,2239742
cause,635,2239742
full,635,2239742
local,635,2239742
countries,635,2239742
greater,634,2239742
areas,634,2239742
transportation,633,2239742
here,633,2239742
task,632,2239742
structure,632,2239742
working,631,2239742
think,631,2239742
now,630,2239742
temperature,629,2239742
humans,629,2239742
true,629,2239742
protect,629,2239742
free,628,2239742
beauty,628,2239742
problems,624,2239742
oil,622,2239742
hard,621,2239742
management,621,2239742
filled,621,2239742
efficiency,619,2239742
track,619,2239742
blue,618,2239742
lives,618,2239742
another,618,2239742
app,617,2239742
successful,616,2239742
usually,614,2239742
everyone,612,2239742
next,611,2239742
apple,610,2239742
feel,609,2239742
see,607,2239742
source,607,2239742
today,605,2239742
industry,604,2239742
others,604,2239742
wind,603,2239742
strategies,602,2239742
tools,602,2239742
issues,602,2239742
ever,601,2239742
don,600,2239742
virtual,599,2239742
man,598,2239742
level,598,2239742
companies,596,2239742
seen,595,2239742
processes,594,2239742
green,589,2239742
array,588,2239742
term,588,2239742
too,587,2239742
solar,586,2239742
times,586,2239742
furthermore,585,2239742
events,584,2239742
unique,584,2239742
across,583,2239742
writing,582,2239742
points,579,2239742
cloud,579,2239742
rate,578,2239742
multiple,577,2239742
object,576,2239742
friendly,575,2239742
numbers,574,2239742
going,571,2239742
against,570,2239742
colors,568,2239742
bring,568,2239742
specific,568,2239742
recognition,567,2239742
types,565,2239742
group,564,2239742
color,564,2239742
sea,563,2239742
techniques,563,2239742
side,561,2239742
easier,560,2239742
increasing,560,2239742
population,559,2239742
science,558,2239742
accuracy,558,2239742
available,557,2239742
ocean,556,2239742
relationships,556,2239742
white,556,2239742
activity,555,2239742
wide,554,2239742
past,554,2239742
share,553,2239742
spread,553,2239742
stars,552,2239742
methods,552,2239742
ideas,552,2239742
needed,551,2239742
practice,551,2239742
movie,550,2239742
analyze,550,2239742
related,549,2239742
weather,547,2239742
modern,546,2239742
means,545,2239742
environmental,544,2239742
creative,544,2239742
waste,543,2239742
technologies,542,2239742
personal,541,2239742
joy,540,2239742
behavior,540,2239742
experiences,538,2239742
children,538,2239742
values,537,2239742
offers,537,2239742
within,537,2239742
exercise,535,2239742
designed,534,2239742
size,533,2239742
easily,531,2239742
developing,528,2239742
very,527,2239742
things,527,2239742
solving,525,2239742
park,525,2239742
art,525,2239742
did,524,2239742
email,524,2239742
several,523,2239742
addition,523,2239742
networks,523,2239742
page,521,2239742
days,519,2239742
negative,518,2239742
caused,518,2239742
young,518,2239742
paper,518,2239742
four,517,2239742
computing,516,2239742
red,515,2239742
war,515,2239742
bright,515,2239742
beautiful,515,2239742
n,512,2239742
regular,511,2239742
print,511,2239742
history,510,2239742
plants,510,2239742
devices,508,2239742
eating,508,2239742
vegetables,507,2239742
includes,507,2239742
since,507,2239742
however,506,2239742
save,505,2239742
complete,504,2239742
price,504,2239742
trends,503,2239742
training,503,2239742
purpose,502,2239742
programming,502,2239742
move,501,2239742
show,501,2239742
real,500,2239742
instructions,500,2239742
check,500,2239742
friend,499,2239742
relevant,499,2239742
gain,498,2239742
feature,495,2239742
solution,494,2239742
last,494,2239742
point,494,2239742
faster,492,2239742
engaging,492,2239742
perfect,491,2239742
field,491,2239742
image,491,2239742
likely,491,2239742
production,491,2239742
following,490,2239742
total,489,2239742
challenges,489,2239742
salt,489,2239742
student,489,2239742
line,488,2239742
planet,488,2239742
try,488,2239742
sleep,487,2239742
country,487,2239742
lower,487,2239742
sound,487,2239742
state,486,2239742
require,484,2239742
neural,482,2239742
safety,482,2239742
average,481,2239742
single,481,2239742
live,481,2239742
music,480,2239742
butter,480,2239742
issue,479,2239742
speed,479,2239742
difference,478,2239742
economy,475,2239742
yourself,474,2239742
sustainable,473,2239742
along,473,2239742
personalized,471,2239742
forest,471,2239742
warm,470,2239742
role,470,2239742
done,470,2239742
device,469,2239742
associated,469,2239742
progress,469,2239742
tree,468,2239742
string,468,2239742
computers,465,2239742
purchase,464,2239742
function,464,2239742
age,463,2239742
teaspoon,463,2239742
school,462,2239742
break,461,2239742
animal,460,2239742
detect,460,2239742
house,459,2239742
re,459,2239742
simple,459,2239742
article,459,2239742
want,458,2239742
felt,458,2239742
lack,457,2239742
plant,457,2239742
hope,457,2239742
someone,455,2239742
cars,455,2239742
helping,454,2239742
test,454,2239742
dark,453,2239742
created,453,2239742
clean,453,2239742
eventually,452,2239742
magical,452,2239742
factors,451,2239742
class,451,2239742
soon,450,2239742
society,450,2239742
audience,449,2239742
maintain,448,2239742
employees,448,2239742
non,447,2239742
idea,446,2239742
hours,446,2239742
risks,446,2239742
mobile,444,2239742
makes,444,2239742
temperatures,443,2239742
importance,443,2239742
adventure,443,2239742
accurate,442,2239742
matter,442,2239742
culture,442,2239742
second,441,2239742
images,441,2239742
requires,441,2239742
e,441,2239742
application,440,2239742
rights,439,2239742
warming,439,2239742
objects,439,2239742
shopping,439,2239742
courage,438,2239742
character,438,2239742
layer,437,2239742
books,436,2239742
american,436,2239742
room,436,2239742
characters,436,2239742
building,436,2239742
connected,435,2239742
cat,435,2239742
cheese,434,2239742
goal,434,2239742
special,432,2239742
significant,431,2239742
options,431,2239742
play,431,2239742
eggs,431,2239742
black,430,2239742
address,428,2239742
statement,427,2239742
plastic,426,2239742
event,426,2239742
involve,426,2239742
ll,425,2239742
platform,425,2239742
moon,425,2239742
diet,424,2239742
produce,424,2239742
target,424,2239742
why,424,2239742
date,422,2239742
insights,422,2239742
patient,422,2239742
taken,422,2239742
storage,421,2239742
solve,420,2239742
gpt,419,2239742
playing,418,2239742
summer,418,2239742
turn,418,2239742
strength,418,2239742
manage,417,2239742
despite,417,2239742
strategy,416,2239742
sugar,415,2239742
f,414,2239742
sum,414,2239742
running,413,2239742
enough,412,2239742
decided,411,2239742
peace,410,2239742
programs,409,2239742
exploring,409,2239742
read,408,2239742
advantages,407,2239742
larger,407,2239742
consider,407,2239742
travel,406,2239742
situation,405,2239742
land,403,2239742
select,403,2239742
account,403,2239742
testing,402,2239742
short,400,2239742
opportunity,400,2239742
determined,400,2239742
components,397,2239742
table,397,2239742
appropriate,397,2239742
contact,396,2239742
rise,396,2239742
throughout,396,2239742
def,393,2239742
regularly,391,2239742
bowl,391,2239742
takes,390,2239742
far,390,2239742
works,389,2239742
phone,388,2239742
games,387,2239742
budget,386,2239742
baking,386,2239742
forward,385,2239742
measure,385,2239742
kingdom,384,2239742
measures,384,2239742
sales,383,2239742
pepper,382,2239742
stock,381,2239742
y,381,2239742
income,381,2239742
player,381,2239742
left,380,2239742
equal,379,2239742
electric,379,2239742
garlic,379,2239742
little,379,2239742
went,377,2239742
conditions,377,2239742
news,376,2239742
town,375,2239742
safe,374,2239742
automated,373,2239742
india,373,2239742
length,372,2239742
vehicles,372,2239742
community,372,2239742
cook,371,2239742
birds,371,2239742
video,371,2239742
increasingly,370,2239742
style,370,2239742
serve,370,2239742
put,369,2239742
present,369,2239742
promote,369,2239742
terms,368,2239742
determine,367,2239742
automation,367,2239742
force,366,2239742
effect,366,2239742
head,366,2239742
responsible,365,2239742
desired,365,2239742
million,364,2239742
diseases,364,2239742
monitor,363,2239742
ground,363,2239742
study,363,2239742
answer,363,2239742
mysterious,363,2239742
interact,362,2239742
painting,362,2239742
remain,362,2239742
meet,361,2239742
party,361,2239742
approach,360,2239742
towards,360,2239742
voice,360,2239742
driven,360,2239742
getting,360,2239742
focused,360,2239742
pandemic,359,2239742
becoming,359,2239742
meaning,359,2239742
fresh,359,2239742
began,359,2239742
river,358,2239742
predictions,358,2239742
automate,358,2239742
examples,358,2239742
amounts,358,2239742
reliable,358,2239742
connect,357,2239742
fun,357,2239742
instead,356,2239742
rising,356,2239742
professional,356,2239742
additional,356,2239742
loyalty,355,2239742
driving,355,2239742
j,355,2239742
tool,354,2239742
mind,353,2239742
existing,353,2239742
