frame,corpus,next_word,count
decided to,alpaca,go,41
wanted to,alpaca,be,16
he wanted to,alpaca,be,7
wanted to,alpaca,explore,15
decided to,alpaca,take,99
want to,alpaca,cover,3
began to,alpaca,set,8
decided to,alpaca,do,4
started to,alpaca,become,4
began to,alpaca,get,3
want to,alpaca,look,4
want to,alpaca,make,24
decided to,alpaca,embark,10
decided to,alpaca,follow,4
wants to,alpaca,go,5
want to,alpaca,go,30
began to,alpaca,make,6
want to,alpaca,stay,4
wanted to,alpaca,go,16
began to,alpaca,move,9
decided to,alpaca,give,8
began to,alpaca,appear,3
decided to,alpaca,explore,23
moved to,alpaca,a,10
decided to,alpaca,set,9
decided to,alpaca,leave,4
want to,alpaca,consider,4
want to,alpaca,start,5
decided to,alpaca,climb,3
chose to,alpaca,stay,3
moved to,alpaca,the,8
want to,alpaca,watch,4
decided to,alpaca,stay,11
wanted to,alpaca,follow,3
wanted to,alpaca,check,3
want to,alpaca,do,13
she wanted to,alpaca,be,3
want to,alpaca,buy,8
decided to,alpaca,venture,10
decided to,alpaca,make,9
wanted to,alpaca,take,24
started to,alpaca,explore,5
decided to,alpaca,put,3
decided to,alpaca,find,3
want to,alpaca,miss,5
wanted to,alpaca,help,3
want to,alpaca,achieve,16
began to,alpaca,understand,5
he wanted to,alpaca,explore,6
wanted to,alpaca,build,3
began to,alpaca,read,4
wanted to,alpaca,have,5
he wanted to,alpaca,have,3
wanted to,alpaca,reach,4
wanted to,alpaca,do,9
want to,alpaca,leave,4
want to,alpaca,hear,3
decided to,alpaca,investigate,9
wanted to,alpaca,pursue,3
decided to,alpaca,get,3
wanted to,alpaca,see,6
he wanted to,alpaca,see,4
began to,alpaca,tell,6
want to,alpaca,talk,8
want to,alpaca,keep,3
wanted to,alpaca,make,7
want to,alpaca,explore,3
want to,alpaca,thank,3
chose to,alpaca,explore,3
want to,alpaca,be,22
began to,alpaca,talk,6
began to,alpaca,follow,4
prepared to,alpaca,answer,3
started to,alpaca,set,4
began to,alpaca,walk,3
decided to,alpaca,use,7
began to,alpaca,explore,12
began to,alpaca,feel,5
decided to,alpaca,try,4
wanted to,alpaca,get,7
decided to,alpaca,join,8
began to,alpaca,take,3
decided to,alpaca,move,4
want to,alpaca,apologize,3
want to,alpaca,add,4
wants to,alpaca,be,5
want to,alpaca,say,3
decided to,alpaca,open,3
wanted to,alpaca,stay,5
he wanted to,alpaca,stay,4
want to,alpaca,take,5
decided to,alpaca,pursue,3
wanted to,alpaca,use,4
wanted to,alpaca,travel,3
want to,alpaca,see,4
wanted to,alpaca,discuss,3
want to,alpaca,include,4
he wanted to,alpaca,go,5
want to,alpaca,play,5
he wanted to,alpaca,take,6
want to,alpaca,learn,10
decided to,alpaca,enter,3
wanted to,alpaca,let,4
began to,alpaca,climb,3
wanted to,alpaca,tell,3
want to,alpaca,create,3
want to,alpaca,know,3
wanted to,alpaca,know,3
want to,alpaca,succeed,4
want to,alpaca,use,3
began to,alpaca,notice,5
decided to,alpaca,keep,3
want to,alpaca,try,3
decided to,alpaca,start,5
want to,alpaca,assure,3
want to,alpaca,work,4
decided to,alpaca,plan,3
want to,ultrachat,explore,4754
want to,ultrachat,check,8892
want to,ultrachat,review,212
want to,ultrachat,communicate,764
want to,ultrachat,preserve,227
want to,ultrachat,consider,15611
want to,ultrachat,make,10883
want to,ultrachat,try,8681
want to,ultrachat,learn,6109
want to,ultrachat,be,9520
want to,ultrachat,prioritize,574
prepared to,ultrachat,take,539
want to,ultrachat,buy,984
want to,ultrachat,volunteer,101
want to,ultrachat,gain,409
want to,ultrachat,acquire,94
started to,ultrachat,become,815
want to,ultrachat,ask,745
want to,ultrachat,hear,1060
want to,ultrachat,join,407
want to,ultrachat,build,1191
want to,ultrachat,collect,243
prepared to,ultrachat,address,363
want to,ultrachat,share,2738
want to,ultrachat,measure,253
want to,ultrachat,feel,1145
want to,ultrachat,play,1117
started to,ultrachat,emerge,200
want to,ultrachat,achieve,11856
want to,ultrachat,p,13
began to,ultrachat,experiment,1965
want to,ultrachat,study,461
want to,ultrachat,start,2866
decided to,ultrachat,invest,113
want to,ultrachat,speak,340
want to,ultrachat,choose,2539
want to,ultrachat,add,6667
want to,ultrachat,focus,2032
want to,ultrachat,connect,1070
began to,ultrachat,create,359
want to,ultrachat,create,7094
want to,ultrachat,cut,244
want to,ultrachat,work,2960
want to,ultrachat,switch,386
want to,ultrachat,upgrade,132
want to,ultrachat,keep,3209
want to,ultrachat,consult,980
want to,ultrachat,present,274
began to,ultrachat,eat,74
began to,ultrachat,sell,53
began to,ultrachat,gain,1247
began to,ultrachat,take,3938
began to,ultrachat,see,7787
started to,ultrachat,work,510
started to,ultrachat,improve,260
want to,ultrachat,reconsider,39
want to,ultrachat,use,10370
want to,ultrachat,improve,2671
want to,ultrachat,look,2171
want to,ultrachat,wear,540
want to,ultrachat,leave,1179
want to,ultrachat,spend,1882
want to,ultrachat,call,137
want to,ultrachat,accomplish,1328
want to,ultrachat,read,1327
want to,ultrachat,convey,3314
want to,ultrachat,experiment,736
want to,ultrachat,compare,422
started to,ultrachat,incorporate,680
want to,ultrachat,relax,357
want to,ultrachat,know,2473
want to,ultrachat,avoid,2459
started to,ultrachat,increase,57
want to,ultrachat,enjoy,1284
want to,ultrachat,light,26
want to,ultrachat,set,889
want to,ultrachat,stay,1536
started to,ultrachat,play,236
prepared to,ultrachat,provide,544
want to,ultrachat,attend,944
want to,ultrachat,damage,59
want to,ultrachat,research,702
wants to,ultrachat,experiment,17
want to,ultrachat,seek,334
wants to,ultrachat,become,237
want to,ultrachat,say,1770
want to,ultrachat,quit,205
want to,ultrachat,live,1164
want to,ultrachat,test,935
want to,ultrachat,minimize,224
prepared to,ultrachat,make,633
prepared to,ultrachat,the,44
want to,ultrachat,include,3199
began to,ultrachat,prefer,17
want to,ultrachat,break,259
want to,ultrachat,show,893
want to,ultrachat,target,1085
started to,ultrachat,consider,55
wants to,ultrachat,create,365
began to,ultrachat,drive,13
started to,ultrachat,change,819
want to,ultrachat,edit,340
wanted to,ultrachat,convey,169
want to,ultrachat,tell,793
want to,ultrachat,capture,832
want to,ultrachat,listen,412
want to,ultrachat,have,2154
wants to,ultrachat,develop,107
prepared to,ultrachat,handle,1272
want to,ultrachat,unwind,78
prepared to,ultrachat,wait,404
want to,ultrachat,think,121
started to,ultrachat,focus,579
wanted to,ultrachat,see,1052
want to,ultrachat,dim,12
want to,ultrachat,watch,735
want to,ultrachat,consume,196
started to,ultrachat,impact,104
started to,ultrachat,offer,444
want to,ultrachat,believe,295
wants to,ultrachat,accomplish,32
want to,ultrachat,let,817
want to,ultrachat,ensure,2484
want to,ultrachat,give,1588
want to,ultrachat,stick,178
decided to,ultrachat,study,87
want to,ultrachat,invest,1116
wants to,ultrachat,reach,61
prepared to,ultrachat,adjust,780
prepared to,ultrachat,weather,31
want to,ultrachat,document,29
want to,ultrachat,return,215
want to,ultrachat,end,284
decided to,ultrachat,get,204
want to,ultrachat,dig,24
prepared to,ultrachat,work,365
want to,ultrachat,catch,241
started to,ultrachat,cover,23
began to,ultrachat,shift,1470
want to,ultrachat,visit,2858
want to,ultrachat,take,3775
wanted to,ultrachat,visit,362
want to,ultrachat,upset,69
want to,ultrachat,address,628
prepared to,ultrachat,discuss,428
want to,ultrachat,practice,523
want to,ultrachat,travel,435
want to,ultrachat,see,7376
want to,ultrachat,earn,177
want to,ultrachat,meet,380
began to,ultrachat,attract,320
want to,ultrachat,continue,912
want to,ultrachat,engage,827
want to,ultrachat,maintain,861
want to,ultrachat,reveal,83
prepared to,ultrachat,respect,7
want to,ultrachat,completely,44
decided to,ultrachat,pursue,668
want to,ultrachat,on,3
want to,ultrachat,do,4070
want to,ultrachat,plan,362
want to,ultrachat,miss,1622
want to,ultrachat,produce,187
want to,ultrachat,pursue,1116
want to,ultrachat,develop,869
want to,ultrachat,lose,1367
want to,ultrachat,embody,28
want to,ultrachat,follow,439
prepared to,ultrachat,navigate,200
wants to,ultrachat,learn,605
want to,ultrachat,evoke,286
want to,ultrachat,get,2948
wanted to,ultrachat,showcase,102
want to,ultrachat,find,1650
want to,ultrachat,talk,2418
want to,ultrachat,cope,5
want to,ultrachat,save,1705
want to,ultrachat,discuss,673
decided to,ultrachat,join,438
decided to,ultrachat,rent,56
want to,ultrachat,rebalance,3
want to,ultrachat,go,2529
wants to,ultrachat,experience,217
prepared to,ultrachat,answer,530
want to,ultrachat,change,875
decided to,ultrachat,make,863
want to,ultrachat,adjust,733
want to,ultrachat,speed,59
began to,ultrachat,add,47
wanted to,ultrachat,challenge,132
wanted to,ultrachat,create,1836
he wanted to,ultrachat,challenge,26
he wanted to,ultrachat,create,419
began to,ultrachat,develop,1521
prepared to,ultrachat,ensure,46
wants to,ultrachat,follow,28
want to,ultrachat,clean,306
prepared to,ultrachat,participate,45
want to,ultrachat,immerse,181
started to,ultrachat,adopt,288
moved to,ultrachat,a,1242
began to,ultrachat,question,2167
decided to,ultrachat,escalate,4
prepared to,ultrachat,adapt,773
want to,ultrachat,express,1089
started to,ultrachat,introduce,73
want to,ultrachat,assist,24
want to,ultrachat,journal,25
began to,ultrachat,soak,4
want to,ultrachat,help,1801
prepared to,ultrachat,pivot,146
wants to,ultrachat,have,151
wanted to,ultrachat,send,76
began to,ultrachat,emerge,1128
wants to,ultrachat,provide,106
want to,ultrachat,download,319
wants to,ultrachat,reduce,137
want to,ultrachat,familiarize,8
prepared to,ultrachat,see,15
prepared to,ultrachat,support,41
want to,ultrachat,emphasize,603
want to,ultrachat,fold,15
prepared to,ultrachat,share,126
wants to,ultrachat,argue,3
began to,ultrachat,incorporate,1276
wanted to,ultrachat,replace,10
chose to,ultrachat,celebrate,6
chose to,ultrachat,do,94
prepared to,ultrachat,follow,78
want to,ultrachat,showcase,561
chose to,ultrachat,write,48
want to,ultrachat,indulge,237
wanted to,ultrachat,disrupt,6
want to,ultrachat,move,451
want to,ultrachat,wake,74
want to,ultrachat,form,32
prepared to,ultrachat,walk,612
want to,ultrachat,cover,627
want to,ultrachat,sound,43
started to,ultrachat,make,1295
want to,ultrachat,reduce,1278
want to,ultrachat,increase,1158
want to,ultrachat,maximize,259
wanted to,ultrachat,raise,51
want to,ultrachat,grow,1084
prepared to,ultrachat,engage,79
wants to,ultrachat,be,834
want to,ultrachat,opt,221
prepared to,ultrachat,experiment,36
want to,ultrachat,contact,632
want to,ultrachat,remember,372
want to,ultrachat,tailor,37
want to,ultrachat,modify,435
want to,ultrachat,arrive,63
prepared to,ultrachat,face,802
started to,ultrachat,implement,273
prepared to,ultrachat,fight,211
began to,ultrachat,be,871
moved to,ultrachat,ban,7
want to,ultrachat,deepen,152
began to,ultrachat,use,1636
want to,ultrachat,appeal,67
want to,ultrachat,negotiate,72
began to,ultrachat,view,352
chose to,ultrachat,wear,26
wants to,ultrachat,achieve,452
want to,ultrachat,receive,1039
want to,ultrachat,fuss,7
want to,ultrachat,release,66
want to,ultrachat,remind,663
want to,ultrachat,forgive,115
want to,ultrachat,challenge,214
want to,ultrachat,cultivate,199
want to,ultrachat,perform,510
want to,ultrachat,approach,278
want to,ultrachat,protect,578
started to,ultrachat,produce,81
want to,ultrachat,revisit,74
moved to,ultrachat,virtual,58
want to,ultrachat,criticize,3
want to,ultrachat,experience,3035
want to,ultrachat,better,52
want to,ultrachat,bring,1175
want to,ultrachat,advance,111
moved to,ultrachat,the,1940
wanted to,ultrachat,dance,14
began to,ultrachat,play,520
began to,ultrachat,target,72
want to,ultrachat,hold,416
wants to,ultrachat,start,355
want to,ultrachat,establish,276
prepared to,ultrachat,respond,765
prepared to,ultrachat,change,79
want to,ultrachat,put,455
wants to,ultrachat,improve,503
wanted to,ultrachat,try,506
prepared to,ultrachat,present,56
began to,ultrachat,explore,2397
began to,ultrachat,expand,292
want to,ultrachat,skip,136
began to,ultrachat,keep,42
prepared to,ultrachat,be,232
want to,ultrachat,engrave,8
wanted to,ultrachat,chat,46
wanted to,ultrachat,bring,266
want to,ultrachat,incorporate,958
want to,ultrachat,interact,140
wants to,ultrachat,help,256
started to,ultrachat,question,610
decided to,ultrachat,withdraw,34
want to,ultrachat,deal,196
want to,ultrachat,commit,108
wants to,ultrachat,make,674
want to,ultrachat,succeed,235
want to,ultrachat,manage,270
want to,ultrachat,participate,677
decided to,ultrachat,speak,155
want to,ultrachat,elect,3
want to,ultrachat,benefit,33
want to,ultrachat,sit,155
want to,ultrachat,support,1505
want to,ultrachat,track,1498
want to,ultrachat,appear,167
wants to,ultrachat,deepen,22
want to,ultrachat,lower,47
want to,ultrachat,withdraw,17
want to,ultrachat,provide,957
want to,ultrachat,inherit,10
prepared to,ultrachat,embark,32
wants to,ultrachat,hire,26
wants to,ultrachat,explore,209
