corpus,role,side,marker,count,tokens,rate_per_10k,n_texts
alpaca,assistant,,death_naming,484,2297597,2.106548711545149,51974
alpaca,assistant,,violence_nondeath,186,2297597,0.8095414469987556,51974
alpaca,assistant,,containment,136,2297597,0.5919227784507031,51974
alpaca,assistant,,mental_state,2709,2297597,11.79057946193349,51974
alpaca,assistant,,de_escalation,5383,2297597,23.428825855883343,51974
alpaca,assistant,,somatic_escalation,1114,2297597,4.8485439352506114,51974
alpaca,assistant,,first_person_present_desire,174,2297597,0.7573129665472231,51974
alpaca,assistant,,first_person_past_desire,107,2297597,0.4657039506928325,51974
alpaca,assistant,,third_person_desire,121,2297597,0.5266371778862873,51974
alpaca,assistant,,quotation_markers,142,2297597,0.6180370186764693,51974
alpaca,assistant,,moralizing,3986,2297597,17.348560256650753,51974
alpaca,assistant,,deference,629,2297597,2.7376428503345016,51974
alpaca,assistant,,pole_prosocial,5524,2297597,24.04251050118885,51974
alpaca,assistant,,pole_antisocial,556,2297597,2.419919594254345,51974
alpaca,user,,death_naming,102,727990,1.401118147227297,52002
alpaca,user,,violence_nondeath,40,727990,0.5494580969518812,52002
alpaca,user,,containment,8,727990,0.1098916193903762,52002
alpaca,user,,mental_state,399,727990,5.480844517095015,52002
alpaca,user,,de_escalation,846,727990,11.621038750532287,52002
alpaca,user,,somatic_escalation,134,727990,1.840684624788802,52002
alpaca,user,,first_person_present_desire,150,727990,2.0604678635695546,52002
alpaca,user,,first_person_past_desire,26,727990,0.3571477630187227,52002
alpaca,user,,third_person_desire,54,727990,0.7417684308850396,52002
alpaca,user,,quotation_markers,86,727990,1.1813349084465443,52002
alpaca,user,,moralizing,1156,727990,15.879339001909369,52002
alpaca,user,,deference,106,727990,1.4560639569224854,52002
alpaca,user,,pole_prosocial,4919,727990,67.56960947265759,52002
alpaca,user,,pole_antisocial,101,727990,1.3873816948035,52002
ultrachat,assistant,,death_naming,271683,1181354881,2.2997577135333307,5649566
ultrachat,assistant,,violence_nondeath,160200,1181354881,1.3560700732399142,5649566
ultrachat,assistant,,containment,89922,1181354881,0.7611768609605465,5649566
ultrachat,assistant,,mental_state,1405568,1181354881,11.897931964442446,5649566
ultrachat,assistant,,de_escalation,5835191,1181354881,49.39405672121653,5649566
ultrachat,assistant,,somatic_escalation,521548,1181354881,4.414829179513925,5649566
ultrachat,assistant,,first_person_present_desire,35373,1181354881,0.2994273826511578,5649566
ultrachat,assistant,,first_person_past_desire,42261,1181354881,0.3577333168863421,5649566
ultrachat,assistant,,third_person_desire,42822,1181354881,0.3624821015997478,5649566
ultrachat,assistant,,quotation_markers,51899,1181354881,0.4393176075597896,5649566
ultrachat,assistant,,moralizing,3203959,1181354881,27.12105440566593,5649566
ultrachat,assistant,,deference,943312,1181354881,7.985001079451248,5649566
ultrachat,assistant,,pole_prosocial,3000175,1181354881,25.396052009878648,5649566
ultrachat,assistant,,pole_antisocial,396152,1181354881,3.3533699853566694,5649566
ultrachat,user,,death_naming,70971,262852963,2.700026630477816,5649605
ultrachat,user,,violence_nondeath,53465,262852963,2.0340269095616015,5649605
ultrachat,user,,containment,2484,262852963,0.0945015027279719,5649605
ultrachat,user,,mental_state,209989,262852963,7.988838992086994,5649605
ultrachat,user,,de_escalation,1075580,262852963,40.919455033877625,5649605
ultrachat,user,,somatic_escalation,70884,262852963,2.696716795237343,5649605
ultrachat,user,,first_person_present_desire,173634,262852963,6.605746346484974,5649605
ultrachat,user,,first_person_past_desire,7735,262852963,0.2942709837362571,5649605
ultrachat,user,,third_person_desire,8349,262852963,0.3176300508356834,5649605
ultrachat,user,,quotation_markers,43551,262852963,1.656857868480638,5649605
ultrachat,user,,moralizing,440964,262852963,16.7760711147091,5649605
ultrachat,user,,deference,125079,262852963,4.758515885552335,5649605
ultrachat,user,,pole_prosocial,634910,262852963,24.15456887963633,5649605
ultrachat,user,,pole_antisocial,60736,262852963,2.3106454386820054,5649605
ultrafeedback,assistant,chosen,death_naming,2595,12637113,2.053475346782133,63946
ultrafeedback,assistant,chosen,violence_nondeath,1323,12637113,1.0469163328681164,63946
ultrafeedback,assistant,chosen,containment,448,12637113,0.3545113508124838,63946
ultrafeedback,assistant,chosen,mental_state,12227,12637113,9.675469389250535,63946
ultrafeedback,assistant,chosen,de_escalation,47434,12637113,37.53547190723071,63946
ultrafeedback,assistant,chosen,somatic_escalation,4101,12637113,3.245203235897313,63946
ultrafeedback,assistant,chosen,first_person_present_desire,824,12637113,0.6520476631015328,63946
ultrafeedback,assistant,chosen,first_person_past_desire,252,12637113,0.1994126348320221,63946
ultrafeedback,assistant,chosen,third_person_desire,306,12637113,0.2421439137245983,63946
ultrafeedback,assistant,chosen,quotation_markers,343,12637113,0.2714227529658079,63946
ultrafeedback,assistant,chosen,moralizing,34173,12637113,27.04177765918529,63946
ultrafeedback,assistant,chosen,deference,4330,12637113,3.4264155112010157,63946
ultrafeedback,assistant,chosen,pole_prosocial,36115,12637113,28.578521059359048,63946
ultrafeedback,assistant,chosen,pole_antisocial,2925,12637113,2.314610940014543,63946
ultrafeedback,assistant,rejected,death_naming,2277,9673322,2.3538966241380157,63817
ultrafeedback,assistant,rejected,violence_nondeath,1173,9673322,1.2126134124347354,63817
ultrafeedback,assistant,rejected,containment,310,9673322,0.3204690177790008,63817
ultrafeedback,assistant,rejected,mental_state,9212,9673322,9.523098683161791,63817
ultrafeedback,assistant,rejected,de_escalation,45377,9673322,46.90942780567007,63817
ultrafeedback,assistant,rejected,somatic_escalation,2742,9673322,2.834600150806517,63817
ultrafeedback,assistant,rejected,first_person_present_desire,971,9673322,1.003791665365838,63817
ultrafeedback,assistant,rejected,first_person_past_desire,232,9673322,0.2398348778217038,63817
ultrafeedback,assistant,rejected,third_person_desire,318,9673322,0.3287391859797492,63817
ultrafeedback,assistant,rejected,quotation_markers,424,9673322,0.4383189146396656,63817
ultrafeedback,assistant,rejected,moralizing,34928,9673322,36.10755436446755,63817
ultrafeedback,assistant,rejected,deference,3417,9673322,3.532395592744664,63817
ultrafeedback,assistant,rejected,pole_prosocial,25870,9673322,26.743656419170165,63817
ultrafeedback,assistant,rejected,pole_antisocial,2165,9673322,2.2381142693275384,63817
ultrafeedback,user,,death_naming,3550,6811652,5.211657906187809,63967
ultrafeedback,user,,violence_nondeath,1597,6811652,2.344512021459699,63967
ultrafeedback,user,,containment,48,6811652,0.0704674871822576,63967
ultrafeedback,user,,mental_state,5439,6811652,7.984847141339575,63967
ultrafeedback,user,,de_escalation,19976,6811652,29.326219249016244,63967
ultrafeedback,user,,somatic_escalation,1258,6811652,1.8468353932350037,63967
ultrafeedback,user,,first_person_present_desire,2420,6811652,3.5527358121054924,63967
ultrafeedback,user,,first_person_past_desire,242,6811652,0.3552735812105492,63967
ultrafeedback,user,,third_person_desire,392,6811652,0.5754844786551045,63967
ultrafeedback,user,,quotation_markers,1168,6811652,1.7147088547682707,63967
ultrafeedback,user,,moralizing,7470,6811652,10.966502692738851,63967
ultrafeedback,user,,deference,680,6811652,0.9982894017486508,63967
ultrafeedback,user,,pole_prosocial,11483,6811652,16.857878235705524,63967
ultrafeedback,user,,pole_antisocial,1626,6811652,2.3870861282989795,63967
pku_saferlhf,assistant,chosen,death_naming,1666,6358094,2.620282115992623,73883
pku_saferlhf,assistant,chosen,violence_nondeath,678,6358094,1.0663573077088826,73883
pku_saferlhf,assistant,chosen,containment,123,6358094,0.1934542018409919,73883
pku_saferlhf,assistant,chosen,mental_state,6433,6358094,10.117812036122777,73883
pku_saferlhf,assistant,chosen,de_escalation,31447,6358094,49.45979093734695,73883
pku_saferlhf,assistant,chosen,somatic_escalation,1438,6358094,2.26168408331176,73883
pku_saferlhf,assistant,chosen,first_person_present_desire,79,6358094,0.1242510727271411,73883
pku_saferlhf,assistant,chosen,first_person_past_desire,26,6358094,0.04089275811273,73883
pku_saferlhf,assistant,chosen,third_person_desire,142,6358094,0.2233373712310639,73883
pku_saferlhf,assistant,chosen,quotation_markers,49,6358094,0.0770671210586065,73883
pku_saferlhf,assistant,chosen,moralizing,49499,6358094,77.85194745469319,73883
pku_saferlhf,assistant,chosen,deference,5937,6358094,9.337704035203004,73883
pku_saferlhf,assistant,chosen,pole_prosocial,18820,6358094,29.60006568006072,73883
pku_saferlhf,assistant,chosen,pole_antisocial,3304,6358094,5.196525877094614,73883
pku_saferlhf,assistant,rejected,death_naming,1620,6298002,2.572244340347939,73894
