id,text,word_count,original_text,changes
0,"This past June, I was surfing at my local beach, when a great white shark swam right past me. I had been in the water for about two hours and waves were fairly consistent. It was a typical summer day in Huntington Beach, with June gloom (heavy marine layer). There was a small southwest swell running at two to three feet. The water was warm and fairly clear.      Up until that point, it was just like nearly any other day. I usually surf every day, swell permitting. June is typically sharky in Southern California.  It's the time of the year when the juvenile white sharks are migrating back up North.  There had been recent sightings in the area, but it doesn't stop hardcore surfers from surfing.     So, as I paddled back to the lineup, I sat up on my board and waited for a set. That's when I seen a dorsal and caudal fin heading right towards me. I knew right away what it was. I remained calm, but was scared. It approached me, then at approximately five feet away, it turned and swam by. I could clearly see its black eye checking me out as it passed. It was a juvenile, approximately six feet in length. Not big by great white standards, but still bigger than me.      After it passes, I caught a wave in and notified a lifeguard, that closed the beach for the day.      It was definitely one of the most tense situations of my life.",249,"This past June, I was surfing at my local beach, when a great white shark swam right past me. I had been in the water for about two hours and waves were fairly consistent. It was a typical summer day in Huntington Beach, with June gloom (heavy marine layer). There was a small southwest swell running at two to three feet. The water was warm and fairly clear.      Up until that point, it was just like nearly any other day. I usually surf every day, swell permitting. June is typically sharky in Southern California.  It's the time of the year when the juvenile white sharks are migrating back up North.  There had been recent sightings in the area, but it doesn't stop hardcore surfers from surfing.     So, as I paddled back to the lineup, I sat up on my board and waited for a set. That's when I seen a dorsal and caudal fin heading right towards me. I knew right away what it was. I remained calm, but was scared. It approached me, then at approximately five feet away, it turned and swam by. I could clearly see its black eye checking me out as it passed. It was a juvenile, approximately six feet in length. Not big by great white standards, but still bigger than me.      After it passes, I caught a wave in and notified a lifeguard, that closed the beach for the day.      It was definitely one of the most tense situations of my life.",
1,"When I went to my dad's house a few weeks ago, I had a really unsettling experience. My dad and my brother were taking about people of different races and kept laughing about how they weren't racist and how they thought that other races complained too much about their issues. My dad said ""I even hire them!"" in reference to black people. But when he criticized black hairstyles, I questioned him. I asked him if he knew why black people even wore some of those hairstyles, (they're protective hairstyles). My dad said something that disgusted me to my core. He said, ""To keep the bugs out?"" The level of ignorance that my dad exhibits is so upsetting to me, even now. I try to make peace with the fact that he is who he is but it's really difficult to. I feel depressed, I feel anxious, and I hate that I can still hear them laughing. I'm half puerto rican.  My brother is too. My dad is Italian. I don't think he knows how uncomfortable all of this is and how racist he is. But I hate knowing that those are my roots, that my roots are so so racist. My mom isn't around anymore and I really wish that she was. I know that she wouldn't have let him talk like that without reprimand.",225,"When I went to my dad's house a few weeks ago, I had a really unsettling experience. My dad and my brother were taking about people of different races and kept laughing about how they weren't racist and how they thought that other races complained too much about their issues. My dad said ""I even hire them!"" in reference to black people. But when he criticized black hairstyles, I questioned him. I asked him if he knew why black people even wore some of those hairstyles, (they're protective hairstyles). My dad said something that disgusted me to my core. He said, ""To keep the bugs out?"" The level of ignorance that my dad exhibits is so upsetting to me, even now. I try to make peace with the fact that he is who he is but it's really difficult to. I feel depressed, I feel anxious, and I hate that I can still hear them laughing. I'm half puerto rican.  My brother is too. My dad is Italian. I don't think he knows how uncomfortable all of this is and how racist he is. But I hate knowing that those are my roots, that my roots are so so racist. My mom isn't around anymore and I really wish that she was. I know that she wouldn't have let him talk like that without reprimand.",
2,"June 6th, 2019 was an amazing day. My family welcomed our youngest daughter into our lives. At that point, I was about 1 week over due. I was completely miserable and desperate to go into labor. It was Wednesday and the next day I was scheduled to be induced. My dad came to visit with his brother and sister in law. We had a pleasant visit and then they left that early afternoon. Shortly afterwards, I started to get a cramp like feeling in my lower abdomen. It grew stronger and stronger. I woke my husband up and said, ""I think I might be in labor. I don't know."" He immediately wanted to go to the hospital, but we had to wait for someone to come pick up our two older children. The pains continued in intensity and my husband finally said, ""Enough, we're going now."" We dropped off our kids with his parents and went to the hospital. I insisted we stopped and get Sonic first because I knew they wouldn't let me eat when we got there. We checked in and my husband and I anxiously waited as labor progressed. I got an epidural which helped with the contractions. At 11:31 PM I started to push. Unfortunately at this point, the epidural had worn off. After two short pushes, our youngest daughter was born. She was the most beautiful baby we had ever seen and we were so happy to have her here safely.",246,"June 6th, 2019 was an amazing day. My family welcomed our youngest daughter into our lives. At that point, I was about 1 week over due. I was completely miserable and desperate to go into labor. It was Wednesday and the next day I was scheduled to be induced. My dad came to visit with his brother and sister in law. We had a pleasant visit and then they left that early afternoon. Shortly afterwards, I started to get a cramp like feeling in my lower abdomen. It grew stronger and stronger. I woke my husband up and said, ""I think I might be in labor. I don't know."" He immediately wanted to go to the hospital, but we had to wait for someone to come pick up our two older children. The pains continued in intensity and my husband finally said, ""Enough, we're going now."" We dropped off our kids with his parents and went to the hospital. I insisted we stopped and get Sonic first because I knew they wouldn't let me eat when we got there. We checked in and my husband and I anxiously waited as labor progressed. I got an epidural which helped with the contractions. At 11:31 PM I started to push. Unfortunately at this point, the epidural had worn off. After two short pushes, our youngest daughter was born. She was the most beautiful baby we had ever seen and we were so happy to have her here safely.",
3,"Well, today was the day! I had to take my son to the store to do his back to school shopping. I can't believe my first baby will be going in to Kindergarten so soon. He did have a lot of fun choosing a Minecraft back pack, and some clothes and shoes for school. Buying the school supplies was fun and nostalgia inducing but at the same time I wasn't prepared for the hefty prices. We also went and got his hair cut, he chose a sort of skater style. He looks so cute and handsome and grown up. I think he'll make a lot of friends this year, and grow up even more. I am excited but sad about it. I can't believe it's just coming up here in four weeks. We have so much to do this coming month. I have to go to his orientation, and back to school BBQ. We also have his sixth birthday coming up the same week. It's going to be a busy and emotional time, but I am excited mostly. I can't wait to see how he feels that first day he gets home from school. I'm praying it all goes really well.",201,"Well, today was the day! I had to take my son to the store to do his back to school shopping. I can't believe my first baby will be going in to Kindergarten so soon. He did have a lot of fun choosing a Minecraft back pack, and some clothes and shoes for school. Buying the school supplies was fun and nostalgia inducing but at the same time I wasn't prepared for the hefty prices. We also went and got his hair cut, he chose a sort of skater style. He looks so cute and handsome and grown up. I think he'll make a lot of friends this year, and grow up even more. I am excited but sad about it. I can't believe it's just coming up here in four weeks. We have so much to do this coming month. I have to go to his orientation, and back to school BBQ. We also have his sixth birthday coming up the same week. It's going to be a busy and emotional time, but I am excited mostly. I can't wait to see how he feels that first day he gets home from school. I'm praying it all goes really well.",
4,"One of my friends died. I hadn't spoken to her in a while and it got me thinking about how things have changed, both between us and how we've changed as we've gotten older. Little memories of her would come to me at unexpected times throughout the day. Most were positive but some weren't. I found myself eager to remember more. I didn't really care if they were good memories or bad, I just wanted more of them. I found out about her death through a mutual friend. We had all moved away from each other and so being reunited with this mutual friend and others was uncomfortable because of how long it had been since we last spoke to each other. We never talked about the fact we never spoke anymore now that our lives had carried us elsewhere. We just lingered near each other for a good long while, mumbling facts about our new lives to one another. But when we finally started talking about our departed friend, we all loosened up and lived through the memories we all had of her. Surprisingly, that part, the part I expected to be the most painful, ended up being the happiest time had that day. It was like we all hadn't split up after all. I once more felt close to these people. These people whose faces had changed little by little over the years to reflect not so much that we were older but that we'd lived through pain and joy and life and death. Our shared youth had become a kind of secret only we knew, and while our friend would no longer be able to share it we us, we could still share it with her.",289,"One of my friends died. I hadn't spoken to her in a while and it got me thinking about how things have changed, both between us and how we've changed as we've gotten older. Little memories of her would come to me at unexpected times throughout the day. Most were positive but some weren't. I found myself eager to remember more. I didn't really care if they were good memories or bad, I just wanted more of them. I found out about her death through a mutual friend. We had all moved away from each other and so being reunited with this mutual friend and others was uncomfortable because of how long it had been since we last spoke to each other. We never talked about the fact we never spoke anymore now that our lives had carried us elsewhere. We just lingered near each other for a good long while, mumbling facts about our new lives to one another. But when we finally started talking about our departed friend, we all loosened up and lived through the memories we all had of her. Surprisingly, that part, the part I expected to be the most painful, ended up being the happiest time had that day. It was like we all hadn't split up after all. I once more felt close to these people. These people whose faces had changed little by little over the years to reflect not so much that we were older but that we'd lived through pain and joy and life and death. Our shared youth had become a kind of secret only we knew, and while our friend would no longer be able to share it we us, we could still share it with her.",
5,"My wife sat me down and told me how disappointed she was. I have been slacking in the husband area and in the father areas of my life. She said she had been feeling distant from me and she was hoping that by bribing it up, wee could fix it. She was coming at me from a place of love and not anger. It made me really sad to be called out for not doing that I am supposed to be doing. I felt disappointed in myself. It lit a fire under me that I needed and wouldn't have gotten unless she had not talked to me. What is scary is that I probably would have just coasted like that until the problems in our marriage or with my kids was past fixing. I am very grateful to my wife for having the courage to approach a topic that was sensitive and do it in a way that wasn't harmful to our relationship. I feel like this was a turning point in my life. I need to stop making excuses. I need to do better. I hope that whenever I start slacking, because let's be honest, eventually it will happen. I hope that I can remember this conversation and correct course. This will be an important memory in my life moving forward.",222,"My wife sat me down and told me how disappointed she was. I have been slacking in the husband area and in the father areas of my life. She said she had been feeling distant from me and she was hoping that by bribing it up, wee could fix it. She was coming at me from a place of love and not anger. It made me really sad to be called out for not doing that I am supposed to be doing. I felt disappointed in myself. It lit a fire under me that I needed and wouldn't have gotten unless she had not talked to me. What is scary is that I probably would have just coasted like that until the problems in our marriage or with my kids was past fixing. I am very grateful to my wife for having the courage to approach a topic that was sensitive and do it in a way that wasn't harmful to our relationship. I feel like this was a turning point in my life. I need to stop making excuses. I need to do better. I hope that whenever I start slacking, because let's be honest, eventually it will happen. I hope that I can remember this conversation and correct course. This will be an important memory in my life moving forward.",
6,"Today I did something that is so foreign to my nature that I can hardly believe in it's verity.  I have been in front of a group of people and I have acted as the resident expert on the subject of writing.  Even though they were seventh graders and willing to accept my authority without question, I know what it has cost me to put myself before them.  It cost me the protection that I have always had from ever letting anyone know how much I knew, or what I was capable of.  I have been insulated by Amy's perceptions of my ability from confronting my actual ability.  At every recurrence of the event in my memory my stomach drops and I choke back the urge to tell someone what an impostor I am.  Amy's words of affirmation soothe this urge but even then I question her sincerity and her likely desire to protect my ego.  Whether Amy is a liar or not, it happened and I think that the main victory lies there.  I have claimed victory over my pride enough to allow myself to stand and be judged.  The fact that I am being praised instead of rejected is a delightful surprise but one that also comes with the responsibility of repetition.  My failure would have at least meant the end of this foray into teaching.  Instead, my success means that I will have to continue to work in humility to teach others what I know and be willing to accept a position of authority.  Nothing is more contrary to my inclinations than to be in charge, to be responsible.  This is a charge I have to accept with humility and possibly even gratitude.  I hope that I will not fail.",293,"Today I did something that is so foreign to my nature that I can hardly believe in it's verity.  I have been in front of a group of people and I have acted as the resident expert on the subject of writing.  Even though they were seventh graders and willing to accept my authority without question, I know what it has cost me to put myself before them.  It cost me the protection that I have always had from ever letting anyone know how much I knew, or what I was capable of.  I have been insulated by Amy's perceptions of my ability from confronting my actual ability.  At every recurrence of the event in my memory my stomach drops and I choke back the urge to tell someone what an impostor I am.  Amy's words of affirmation soothe this urge but even then I question her sincerity and her likely desire to protect my ego.  Whether Amy is a liar or not, it happened and I think that the main victory lies there.  I have claimed victory over my pride enough to allow myself to stand and be judged.  The fact that I am being praised instead of rejected is a delightful surprise but one that also comes with the responsibility of repetition.  My failure would have at least meant the end of this foray into teaching.  Instead, my success means that I will have to continue to work in humility to teach others what I know and be willing to accept a position of authority.  Nothing is more contrary to my inclinations than to be in charge, to be responsible.  This is a charge I have to accept with humility and possibly even gratitude.  I hope that I will not fail.",
7,"Three months ago, my husband was told that he was able to start walking again. He was in a car accident about a year ago, and he was been getting around with a knee scooter. It's been difficult, but we are grateful that he is still with us. The damages to the vehicle were extensive, and it was totaled. He had spent 1 full month in the hospital. He also underwent 3 separate surgeries. When we were told that he could start walking, I was elated. It has been hard to see him this way. He is extremely independent and active, but this accident took this away from him. I have been watching him get back into the groove of walking, and it has been inspiring and uplifting. We also share a 2 year old son, so now I can watch them walk together. The past 3 months have been a turn around in our lives. We expected that he was going to be not walking for longer, so knowing that he is healthy and healing quickly makes me feel more at ease as well. Everything can change in an instant. It is so important to be grateful and aware of your gifts.",203,"Three months ago, my husband was told that he was able to start walking again. He was in a car accident about a year ago, and he was been getting around with a knee scooter. It's been difficult, but we are grateful that he is still with us. The damages to the vehicle were extensive, and it was totaled. He had spent 1 full month in the hospital. He also underwent 3 separate surgeries. When we were told that he could start walking, I was elated. It has been hard to see him this way. He is extremely independent and active, but this accident took this away from him. I have been watching him get back into the groove of walking, and it has been inspiring and uplifting. We also share a 2 year old son, so now I can watch them walk together. The past 3 months have been a turn around in our lives. We expected that he was going to be not walking for longer, so knowing that he is healthy and healing quickly makes me feel more at ease as well. Everything can change in an instant. It is so important to be grateful and aware of your gifts.",
8,"I recently had a gender reveal party with my wife on October 12, 2019. We found out we were pregnant in July and have been so happy since. Every doctor's appointment has been great and the baby is doing awesome. I am so excited to have the baby. Anyways, so we had the gender reveal party and I thought it was going to be a girl. My wife was dead set that it was going to be a boy. We had a bunch of people over and my friend made chili for everybody. It was very good! So the time came and we all went outside to shoot off confetti cannons that my wife's friend put together since she knew what the gender was. They all counted down and we shot them off. Sure enough, I was right and it was a girl! My wife and I were beyond excited and are so happy we know the gender. We started planning for a baby girl to be born in March so that takes up a majority of our time. Everybody asks how we feel and we can not stress enough who happy and excited we are. We started planning the baby's room from the start as well.",207,"I recently had a gender reveal party with my wife on October 12, 2019. We found out we were pregnant in July and have been so happy since. Every doctor's appointment has been great and the baby is doing awesome. I am so excited to have the baby. Anyways, so we had the gender reveal party and I thought it was going to be a girl. My wife was dead set that it was going to be a boy. We had a bunch of people over and my friend made chili for everybody. It was very good! So the time came and we all went outside to shoot off confetti cannons that my wife's friend put together since she knew what the gender was. They all counted down and we shot them off. Sure enough, I was right and it was a girl! My wife and I were beyond excited and are so happy we know the gender. We started planning for a baby girl to be born in March so that takes up a majority of our time. Everybody asks how we feel and we can not stress enough who happy and excited we are. We started planning the baby's room from the start as well.",
9,"A month ago I was supposed to be settling into a new home in a different city. I was set to begin as a student teacher at a school district, which is part of my credentialing program. I found a place I really liked. I was very excited to be starting out on a new adventure! However, my advisor, who is new, made a mistake. She neglected to tell me crucial information that I needed regarding placement deadlines. She was very unapologetic. Very proud and arrogant. I finally had to contact her boss since she was unwilling to admit she'd made a mistake. She would not answer my questions. She was condescending. It was so stressful, and I was honestly adrift for awhile. In the end, it turned out ok for me. I was able to move back to where I'd been before and get my old job back. I requested placement in the spring. If she can handle that, we'll see.",162,"A month ago I was supposed to be settling into a new home in a different city. I was set to begin as a student teacher at a school district, which is part of my credentialing program. I found a place I really liked. I was very excited to be starting out on a new adventure! However, my advisor, who is new, made a mistake. She neglected to tell me crucial information that I needed regarding placement deadlines. She was very unapologetic. Very proud and arrogant. I finally had to contact her boss since she was unwilling to admit she'd made a mistake. She would not answer my questions. She was condescending. It was so stressful, and I was honestly adrift for awhile. In the end, it turned out ok for me. I was able to move back to where I'd been before and get my old job back. I requested placement in the spring. If she can handle that, we'll see.",
