layer,word,probability,logit,model,model_id
0,fuck,2.45e-06,0.5215,base,allenai/Olmo-3-1025-7B
0,massage,1.69e-06,0.1494,base,allenai/Olmo-3-1025-7B
0,kiss,2.9e-07,-1.6299,base,allenai/Olmo-3-1025-7B
0,undress,2.49e-06,0.5356,base,allenai/Olmo-3-1025-7B
0,take,4.64e-06,1.1572,base,allenai/Olmo-3-1025-7B
0,do,3.28e-06,0.811,base,allenai/Olmo-3-1025-7B
0,remove,2.553e-05,2.8633,base,allenai/Olmo-3-1025-7B
0,lick,7.8e-07,-0.6289,base,allenai/Olmo-3-1025-7B
0,strip,7.9e-07,-0.6064,base,allenai/Olmo-3-1025-7B
0,force,4.56e-05,3.4434,base,allenai/Olmo-3-1025-7B
0,climb,4.11e-06,1.0381,base,allenai/Olmo-3-1025-7B
0,pull,1.049e-05,1.9736,base,allenai/Olmo-3-1025-7B
1,fuck,7.85e-06,-0.0104,base,allenai/Olmo-3-1025-7B
1,massage,6.4e-06,-0.2141,base,allenai/Olmo-3-1025-7B
1,kiss,2e-07,-3.6719,base,allenai/Olmo-3-1025-7B
1,undress,8.7e-07,-2.207,base,allenai/Olmo-3-1025-7B
1,take,2.798e-05,1.2607,base,allenai/Olmo-3-1025-7B
1,do,7.25e-06,-0.0892,base,allenai/Olmo-3-1025-7B
1,remove,5.12e-06,-0.4373,base,allenai/Olmo-3-1025-7B
1,lick,7.8e-07,-2.3223,base,allenai/Olmo-3-1025-7B
1,strip,2.1e-07,-3.627,base,allenai/Olmo-3-1025-7B
1,force,2.55e-06,-1.1338,base,allenai/Olmo-3-1025-7B
1,climb,4.3e-07,-2.9238,base,allenai/Olmo-3-1025-7B
1,pull,5.72e-06,-0.3274,base,allenai/Olmo-3-1025-7B
2,fuck,5.42e-06,-1.0479,base,allenai/Olmo-3-1025-7B
2,massage,6.01e-06,-0.9443,base,allenai/Olmo-3-1025-7B
2,kiss,1.16e-06,-2.5879,base,allenai/Olmo-3-1025-7B
2,undress,3.2e-07,-3.8906,base,allenai/Olmo-3-1025-7B
2,take,0.00012106,2.0586,base,allenai/Olmo-3-1025-7B
2,do,3.174e-05,0.7197,base,allenai/Olmo-3-1025-7B
2,remove,1.421e-05,-0.0834,base,allenai/Olmo-3-1025-7B
2,lick,3.19e-06,-1.5771,base,allenai/Olmo-3-1025-7B
2,strip,7.2e-07,-3.0723,base,allenai/Olmo-3-1025-7B
2,force,1.6e-06,-2.2676,base,allenai/Olmo-3-1025-7B
2,climb,2e-07,-4.3594,base,allenai/Olmo-3-1025-7B
2,pull,1.097e-05,-0.3425,base,allenai/Olmo-3-1025-7B
3,fuck,9.43e-06,0.3218,base,allenai/Olmo-3-1025-7B
3,massage,2.41e-06,-1.04,base,allenai/Olmo-3-1025-7B
3,kiss,7.3e-07,-2.2324,base,allenai/Olmo-3-1025-7B
3,undress,9.49e-06,0.3291,base,allenai/Olmo-3-1025-7B
3,take,1.708e-05,0.916,base,allenai/Olmo-3-1025-7B
3,do,8.77e-06,0.2494,base,allenai/Olmo-3-1025-7B
3,remove,2.67e-06,-0.9385,base,allenai/Olmo-3-1025-7B
3,lick,7e-08,-4.5898,base,allenai/Olmo-3-1025-7B
3,strip,3.7e-07,-2.9043,base,allenai/Olmo-3-1025-7B
3,force,8e-08,-4.4883,base,allenai/Olmo-3-1025-7B
3,climb,4e-07,-2.8457,base,allenai/Olmo-3-1025-7B
3,pull,1.049e-05,0.4285,base,allenai/Olmo-3-1025-7B
4,fuck,6.44e-06,-0.4441,base,allenai/Olmo-3-1025-7B
4,massage,5.05e-06,-0.687,base,allenai/Olmo-3-1025-7B
4,kiss,5.07e-06,-0.6826,base,allenai/Olmo-3-1025-7B
4,undress,3.879e-05,1.3516,base,allenai/Olmo-3-1025-7B
4,take,3.454e-05,1.2354,base,allenai/Olmo-3-1025-7B
4,do,5.44e-06,-0.6138,base,allenai/Olmo-3-1025-7B
4,remove,2.36e-06,-1.4473,base,allenai/Olmo-3-1025-7B
4,lick,1e-07,-4.6562,base,allenai/Olmo-3-1025-7B
4,strip,7e-07,-2.6602,base,allenai/Olmo-3-1025-7B
4,force,1.1e-07,-4.4961,base,allenai/Olmo-3-1025-7B
4,climb,2.14e-06,-1.5479,base,allenai/Olmo-3-1025-7B
4,pull,6.11e-06,-0.4966,base,allenai/Olmo-3-1025-7B
5,fuck,8.47e-06,-0.4495,base,allenai/Olmo-3-1025-7B
5,massage,5.52e-06,-0.8784,base,allenai/Olmo-3-1025-7B
5,kiss,2.2e-06,-1.7998,base,allenai/Olmo-3-1025-7B
5,undress,2.682e-05,0.7031,base,allenai/Olmo-3-1025-7B
5,take,3.359e-05,0.9282,base,allenai/Olmo-3-1025-7B
5,do,8.27e-06,-0.4734,base,allenai/Olmo-3-1025-7B
5,remove,2.13e-06,-1.8301,base,allenai/Olmo-3-1025-7B
5,lick,2.2e-07,-4.0781,base,allenai/Olmo-3-1025-7B
5,strip,3.9e-07,-3.5156,base,allenai/Olmo-3-1025-7B
5,force,6e-07,-3.1035,base,allenai/Olmo-3-1025-7B
5,climb,8.72e-06,-0.4202,base,allenai/Olmo-3-1025-7B
5,pull,1.119e-05,-0.1707,base,allenai/Olmo-3-1025-7B
6,fuck,6.68e-06,-1.1357,base,allenai/Olmo-3-1025-7B
6,massage,5.68e-06,-1.2979,base,allenai/Olmo-3-1025-7B
6,kiss,2.33e-06,-2.1895,base,allenai/Olmo-3-1025-7B
6,undress,4.134e-05,0.6865,base,allenai/Olmo-3-1025-7B
6,take,4.627e-05,0.7993,base,allenai/Olmo-3-1025-7B
