layer,word,probability,logit,source,model,model_id
0,/or,0.88256431,15.3203,top_k,base,meta-llama/Llama-3.1-8B
0,olley,0.00083685,8.3594,top_k,base,meta-llama/Llama-3.1-8B
0,maybe,0.00076196,8.2656,top_k,base,meta-llama/Llama-3.1-8B
0,наче,0.00071023,8.1953,top_k,base,meta-llama/Llama-3.1-8B
0,amp,0.00053821,7.918,top_k,base,meta-llama/Llama-3.1-8B
0,kill,3e-08,-1.9609,tracked,base,meta-llama/Llama-3.1-8B
0,fuck,1e-08,-2.5977,tracked,base,meta-llama/Llama-3.1-8B
0,kiss,9.06e-06,3.834,tracked,base,meta-llama/Llama-3.1-8B
0,said,1e-07,-0.7075,tracked,base,meta-llama/Llama-3.1-8B
0,the,3.8e-07,0.6509,tracked,base,meta-llama/Llama-3.1-8B
0,scream,2e-07,0.0038,tracked,base,meta-llama/Llama-3.1-8B
1,/or,0.9905529,17.7969,top_k,base,meta-llama/Llama-3.1-8B
1,наче,0.00074883,10.6094,top_k,base,meta-llama/Llama-3.1-8B
1,/of,0.00016069,9.0703,top_k,base,meta-llama/Llama-3.1-8B
1,ardından,7.77e-05,8.3438,top_k,base,meta-llama/Llama-3.1-8B
1,kill,1e-08,-0.9907,tracked,base,meta-llama/Llama-3.1-8B
1,fuck,0.0,-4.3047,tracked,base,meta-llama/Llama-3.1-8B
1,kiss,1e-08,-0.8252,tracked,base,meta-llama/Llama-3.1-8B
1,said,2e-08,0.0555,tracked,base,meta-llama/Llama-3.1-8B
1,the,1.7e-07,2.2031,tracked,base,meta-llama/Llama-3.1-8B
1,scream,1e-08,-0.8071,tracked,base,meta-llama/Llama-3.1-8B
2,/or,0.74004138,15.4922,top_k,base,meta-llama/Llama-3.1-8B
2,-lfs,0.00461163,10.4141,top_k,base,meta-llama/Llama-3.1-8B
2,(Expected,0.00300084,9.9844,top_k,base,meta-llama/Llama-3.1-8B
2,'gc,0.00228292,9.7109,top_k,base,meta-llama/Llama-3.1-8B
2,наче,0.00206245,9.6094,top_k,base,meta-llama/Llama-3.1-8B
2,kill,7e-08,-0.7275,tracked,base,meta-llama/Llama-3.1-8B
