scenario_id,speaker,person,logp_should,logp_ought_to,log_ratio
m03_A01,indiv,I,-4.857323169708252,-10.321907997131348,5.464584827423096
m03_A01,indiv,we,-3.3981642723083496,-8.030293464660645,4.632129192352295
m03_A01,inst,I,-5.976868152618408,-11.55419635772705,5.577328205108643
m03_A01,inst,we,-5.9000043869018555,-10.996386528015137,5.096382141113281
m03_A02,indiv,I,-7.209146499633789,-12.16549301147461,4.95634651184082
m03_A02,indiv,we,-7.859244346618652,-13.057134628295898,5.197890281677246
m03_A02,inst,I,-4.249610424041748,-9.617900848388672,5.368290424346924
m03_A02,inst,we,-4.055158615112305,-8.829314231872559,4.774155616760254
m03_A03,indiv,I,-6.419826030731201,-11.827892303466797,5.408066272735596
m03_A03,indiv,we,-6.863584041595459,-11.629681587219238,4.766097545623779
m03_A03,inst,I,-5.435197830200195,-10.809422492980957,5.374224662780762
m03_A03,inst,we,-5.779153823852539,-10.636414527893066,4.857260704040527
m03_A04,indiv,I,-5.562234401702881,-11.247981071472168,5.685746669769287
m03_A04,indiv,we,-6.654788494110107,-11.494646072387695,4.839857578277588
m03_A04,inst,I,-6.030683994293213,-11.071507453918457,5.040823459625244
m03_A04,inst,we,-6.511635780334473,-11.043604850769043,4.53196907043457
m03_A05,indiv,I,-6.9081621170043945,-12.29210376739502,5.383941650390625
m03_A05,indiv,we,-6.258930683135986,-11.378238677978516,5.119307994842529
m03_A05,inst,I,-7.072164058685303,-12.70716381072998,5.634999752044678
m03_A05,inst,we,-7.370212078094482,-12.611889839172363,5.241677761077881
m03_A06,indiv,I,-5.061136722564697,-10.359088897705078,5.297952175140381
m03_A06,indiv,we,-5.722726821899414,-10.156813621520996,4.434086799621582
m03_A06,inst,I,-5.058159351348877,-9.364880561828613,4.306721210479736
m03_A06,inst,we,-4.528040885925293,-8.668143272399902,4.140102386474609
m03_A07,indiv,I,-6.139592170715332,-11.301863670349121,5.162271499633789
m03_A07,indiv,we,-6.532724857330322,-11.419748306274414,4.887023448944092
m03_A07,inst,I,-5.001073360443115,-11.0810546875,6.079981327056885
m03_A07,inst,we,-2.9317166805267334,-9.119333267211914,6.187616586685181
m03_A08,indiv,I,-6.236122131347656,-12.3089017868042,6.072779655456543
m03_A08,indiv,we,-6.965510845184326,-12.273298263549805,5.3077874183654785
m03_A08,inst,I,-6.033717155456543,-11.413104057312012,5.379386901855469
m03_A08,inst,we,-5.345433235168457,-10.60735034942627,5.2619171142578125
m03_A09,indiv,I,-5.102416038513184,-11.17931842803955,6.076902389526367
m03_A09,indiv,we,-5.024726390838623,-11.131132125854492,6.106405735015869
m03_A09,inst,I,-5.9352617263793945,-11.756235122680664,5.8209733963012695
m03_A09,inst,we,-5.816619396209717,-10.915984153747559,5.099364757537842
m03_B01,indiv,I,-6.812208652496338,-12.631845474243164,5.819636821746826
m03_B01,indiv,we,-7.259907245635986,-12.366774559020996,5.10686731338501
m03_B01,inst,I,-6.075009346008301,-10.762094497680664,4.687085151672363
m03_B01,inst,we,-6.55329704284668,-11.191742897033691,4.638445854187012
m03_B02,indiv,I,-6.400142192840576,-10.760109901428223,4.3599677085876465
m03_B02,indiv,we,-7.907247066497803,-11.975290298461914,4.068043231964111
m03_B02,inst,I,-4.975446701049805,-8.69516372680664,3.719717025756836
m03_B02,inst,we,-5.1938862800598145,-9.044350624084473,3.850464344024658
m03_B03,indiv,I,-6.254917621612549,-10.97404956817627,4.719131946563721
m03_B03,indiv,we,-6.826655387878418,-10.981058120727539,4.154402732849121
m03_B03,inst,I,-5.599979400634766,-11.026693344116211,5.426713943481445
m03_B03,inst,we,-6.180085182189941,-11.589473724365234,5.409388542175293
m03_B04,indiv,I,-6.5692219734191895,-11.865926742553711,5.2967047691345215
m03_B04,indiv,we,-6.8167724609375,-10.617083549499512,3.8003110885620117
m03_B04,inst,I,-5.913104057312012,-10.935806274414062,5.022702217102051
m03_B04,inst,we,-5.368278980255127,-10.021605491638184,4.653326511383057
m03_B05,indiv,I,-8.344944953918457,-13.1080322265625,4.763087272644043
m03_B05,indiv,we,-8.372945785522461,-12.697319030761719,4.324373245239258
m03_B05,inst,I,-7.874591827392578,-12.6328763961792,4.758284568786621
m03_B05,inst,we,-7.422318458557129,-11.643522262573242,4.221203804016113
m03_B06,indiv,I,-6.580394744873047,-11.597833633422852,5.017438888549805
m03_B06,indiv,we,-6.863731384277344,-11.556204795837402,4.692473411560059
m03_B06,inst,I,-5.868844032287598,-11.703557014465332,5.834712982177734
m03_B06,inst,we,-6.076446533203125,-11.64305305480957,5.566606521606445
m03_B07,indiv,I,-6.732868194580078,-10.929655075073242,4.196786880493164
m03_B07,indiv,we,-6.573190689086914,-10.611170768737793,4.037980079650879
m03_B07,inst,I,-5.56840705871582,-9.312583923339844,3.7441768646240234
m03_B07,inst,we,-5.01765251159668,-8.520148277282715,3.502495765686035
m03_B08,indiv,I,-5.939074516296387,-10.65929889678955,4.720224380493164
m03_B08,indiv,we,-6.993661880493164,-11.18039321899414,4.186731338500977
m03_B08,inst,I,-6.552277088165283,-10.702259063720703,4.14998197555542
m03_B08,inst,we,-6.5590739250183105,-10.385221481323242,3.8261475563049316
m03_B09,indiv,I,-7.339998245239258,-11.753268241882324,4.413269996643066
m03_B09,indiv,we,-7.766786575317383,-11.874955177307129,4.108168601989746
m03_B09,inst,I,-7.91523551940918,-12.4269437789917,4.5117082595825195
m03_B09,inst,we,-9.182592391967773,-13.650518417358398,4.467926025390625
