stage,prompt,prompt_key,prompt_type,side,layer,gate_open_frac,gate_mean_mag,gate_max,gate_sparsity
base,She was so angry she wanted to,,key,,0,0.006449854467064142,0.027613595128059387,0.24265840649604797,0.24672965705394745
base,She was so angry she wanted to,,key,,1,0.001271802349947393,0.022679977118968964,0.2920508086681366,0.26489827036857605
base,She was so angry she wanted to,,key,,2,0.0018168605165556073,0.01882242038846016,0.219418466091156,0.3345748484134674
base,She was so angry she wanted to,,key,,3,0.0056322673335671425,0.02791132964193821,0.24535198509693146,0.21193677186965942
base,She was so angry she wanted to,,key,,4,0.016260901466012,0.030811253935098648,0.43405550718307495,0.21039244532585144
base,She was so angry she wanted to,,key,,5,0.07421875,0.046515144407749176,0.49626463651657104,0.1340842992067337
base,She was so angry she wanted to,,key,,6,0.20203489065170288,0.06373376399278641,0.7215623259544373,0.10010901093482971
base,She was so angry she wanted to,,key,,7,0.26989462971687317,0.07420030236244202,0.9979031682014465,0.08130450546741486
base,She was so angry she wanted to,,key,,8,0.377361923456192,0.09030564874410629,1.4940603971481323,0.06876816600561142
base,She was so angry she wanted to,,key,,9,0.4194222390651703,0.09560225903987885,1.3030304908752441,0.06495276093482971
base,She was so angry she wanted to,,key,,10,0.49146077036857605,0.11117648333311081,1.2273787260055542,0.04860101640224457
base,She was so angry she wanted to,,key,,11,0.532067596912384,0.11988537758588791,1.5497187376022339,0.05023619160056114
base,She was so angry she wanted to,,key,,12,0.5100835561752319,0.1179918497800827,1.898282527923584,0.050962936133146286
base,She was so angry she wanted to,,key,,13,0.5639534592628479,0.12885814905166626,1.936826467514038,0.04269622266292572
base,She was so angry she wanted to,,key,,14,0.5797601938247681,0.1338762640953064,1.7126470804214478,0.04378633573651314
base,She was so angry she wanted to,,key,,15,0.6574309468269348,0.15499338507652283,2.6275253295898438,0.03397529199719429
base,She was so angry she wanted to,,key,,16,0.6647892594337463,0.15941734611988068,2.4841299057006836,0.036246366798877716
base,She was so angry she wanted to,,key,,17,0.7015806436538696,0.17498469352722168,2.8109383583068848,0.026707848533988
base,She was so angry she wanted to,,key,,18,0.7555414438247681,0.20402167737483978,2.535539150238037,0.023800872266292572
base,She was so angry she wanted to,,key,,19,0.7864280343055725,0.20801453292369843,3.576662540435791,0.019985465332865715
base,She was so angry she wanted to,,key,,20,0.8006904125213623,0.21735535562038422,3.7218170166015625,0.01953125
base,She was so angry she wanted to,,key,,21,0.8218568563461304,0.23287183046340942,5.735722064971924,0.015079941600561142
base,She was so angry she wanted to,,key,,22,0.835119903087616,0.24160481989383698,4.365328311920166,0.015806686133146286
base,She was so angry she wanted to,,key,,23,0.852380096912384,0.2606549859046936,4.324678897857666,0.013535610400140285
base,She was so angry she wanted to,,key,,24,0.8571039438247681,0.2785230576992035,5.965390682220459,0.014353197999298573
base,She was so angry she wanted to,,key,,25,0.8615552186965942,0.30735504627227783,8.928504943847656,0.012354651466012001
