family,layer,prompt,expected_violence,expected_procedural
olmo,base,anger,0.1467,0.0624
olmo,base,worker,-0.0338,0.1836
olmo,base,sexual,0.029,0.1702
olmo,base,violence,-0.0474,0.0403
olmo,base,love,-0.001,0.0544
olmo,ego,anger,0.0063,0.0253
olmo,ego,worker,-0.0262,0.1948
olmo,ego,sexual,0.015,0.1583
olmo,ego,violence,-0.0588,0.0788
olmo,ego,love,-0.017,0.0235
olmo,superego,anger,-0.0188,0.0268
olmo,superego,worker,-0.0366,0.3628
olmo,superego,sexual,0.012,0.1507
olmo,superego,violence,-0.0631,0.0918
olmo,superego,love,-0.0187,0.0219
olmo,rlvr,anger,-0.021,0.0265
olmo,rlvr,love,-0.019,0.0178
olmo-think,base,anger,0.1467,0.0624
olmo-think,base,worker,-0.0338,0.1836
olmo-think,base,sexual,0.029,0.1702
olmo-think,base,violence,-0.0474,0.0403
olmo-think,base,love,-0.001,0.0544
olmo-think,ego,anger,0.0921,0.0463
olmo-think,ego,worker,-0.025,0.0731
olmo-think,ego,sexual,-0.0077,0.1233
olmo-think,ego,violence,-0.0499,0.0547
olmo-think,ego,love,-0.0175,0.0428
olmo-think,superego,anger,0.0953,0.0519
olmo-think,superego,worker,-0.025,0.0846
olmo-think,superego,sexual,-0.0084,0.1236
olmo-think,superego,violence,-0.051,0.0591
olmo-think,superego,love,-0.0185,0.0452
llama,base,anger,0.1915,0.0632
llama,base,love,0.0054,0.0568
llama,superego,anger,0.1472,0.1003
llama,superego,love,-0.0058,0.0424
tulu,base,anger,0.1915,0.0632
tulu,base,love,0.0054,0.0568
tulu,ego,anger,0.1883,0.072
tulu,ego,love,0.0009,0.0503
tulu,superego,anger,0.1918,0.0968
tulu,superego,love,-0.0059,0.0569
tulu,rlvr,anger,0.1856,0.09
tulu,rlvr,love,-0.0054,0.0609
qwen,base,anger,0.017,0.0735
qwen,base,love,0.009,0.0394
qwen,superego,anger,0.0179,0.0643
qwen,superego,love,0.008,0.0446
amber,base,anger,-0.0284,0.0446
amber,base,love,-0.011,0.0483
amber,ego,anger,-0.0491,0.0624
amber,ego,love,-0.0159,0.0509
amber,superego,anger,-0.0085,0.0711
amber,superego,love,-0.025,0.0093
zephyr,base,anger,-0.0131,0.0895
zephyr,base,love,-0.0238,-0.0055
zephyr,ego,anger,-0.0279,0.1238
zephyr,ego,love,0.0024,-0.0372
zephyr,superego,anger,-0.0267,0.134
zephyr,superego,love,0.0113,-0.0395
deepseek-7b,base,anger,-0.0477,0.0764
deepseek-7b,base,love,-0.0284,0.0174
deepseek-7b,superego,anger,-0.0412,0.0777
deepseek-7b,superego,love,-0.0317,0.0184
pythia,base,anger,0.0073,0.096
pythia,base,love,-0.0552,0.0239
pythia,ego,anger,0.0086,0.0943
pythia,ego,love,-0.0523,0.0215
pythia,superego,anger,0.0096,0.0943
pythia,superego,love,-0.0522,0.0199
