code,site,prompt_key,category,family,layer,sample
X001,S017,sexual_explicit_1,sexual,TULU,BASE,1
X002,S002,sexual_explicit_5,sexual,LLAMA,BASE,1
X003,S015,sexual_liminal_3,sexual,TULU,ALIGNED,1
X004,S000,neutral_3,neutral,ZEPHYR,BASE,2
X005,S013,sexual_explicit_3,sexual,LLAMA,BASE,0
X006,S006,neutral_6,neutral,LLAMA,ALIGNED,1
X007,S013,sexual_explicit_3,sexual,OLMO,ALIGNED,1
X008,S000,neutral_3,neutral,DEEPSEEK-7B,BASE,0
X009,S008,neutral_1,neutral,AMBER,BASE,1
X010,S000,neutral_3,neutral,TULU,BASE,2
X011,S014,neutral_7,neutral,AMBER,BASE,2
X012,S005,neutral_4,neutral,QWEN,ALIGNED,2
X013,S007,sexual_liminal_2,sexual,QWEN,ALIGNED,2
X014,S005,neutral_4,neutral,AMBER,BASE,2
X015,S009,neutral_5,neutral,ZEPHYR,ALIGNED,2
X016,S014,neutral_7,neutral,OLMO,BASE,1
X017,S015,sexual_liminal_3,sexual,TULU,BASE,0
X018,S001,neutral_2,neutral,TULU,ALIGNED,2
X019,S018,sexual_explicit_4,sexual,AMBER,ALIGNED,0
X020,S008,neutral_1,neutral,QWEN,ALIGNED,2
X021,S013,sexual_explicit_3,sexual,LLAMA,BASE,2
X022,S008,neutral_1,neutral,OLMO,BASE,2
X023,S017,sexual_explicit_1,sexual,QWEN,BASE,0
X024,S015,sexual_liminal_3,sexual,LLAMA,ALIGNED,0
X025,S016,sexual_liminal_4,sexual,QWEN,ALIGNED,2
X026,S013,sexual_explicit_3,sexual,DEEPSEEK-7B,ALIGNED,1
X027,S005,neutral_4,neutral,OLMO,ALIGNED,2
X028,S004,sexual_liminal_1,sexual,AMBER,BASE,2
X029,S000,neutral_3,neutral,QWEN,ALIGNED,0
X030,S008,neutral_1,neutral,ZEPHYR,ALIGNED,0
X031,S017,sexual_explicit_1,sexual,LLAMA,ALIGNED,2
X032,S001,neutral_2,neutral,OLMO-TINY,BASE,0
X033,S015,sexual_liminal_3,sexual,LLAMA,BASE,1
X034,S003,sexual_liminal_5,sexual,AMBER,ALIGNED,2
X035,S016,sexual_liminal_4,sexual,ZEPHYR,ALIGNED,2
X036,S016,sexual_liminal_4,sexual,ZEPHYR,ALIGNED,0
X037,S001,neutral_2,neutral,OLMO,ALIGNED,1
X038,S007,sexual_liminal_2,sexual,OLMO,ALIGNED,2
X039,S002,sexual_explicit_5,sexual,TULU,ALIGNED,2
X040,S006,neutral_6,neutral,ZEPHYR,ALIGNED,1
X041,S008,neutral_1,neutral,DEEPSEEK-7B,ALIGNED,2
X042,S004,sexual_liminal_1,sexual,DEEPSEEK-7B,ALIGNED,0
X043,S001,neutral_2,neutral,LLAMA,ALIGNED,0
X044,S008,neutral_1,neutral,OLMO-TINY,BASE,0
X045,S006,neutral_6,neutral,OLMO,ALIGNED,1
X046,S017,sexual_explicit_1,sexual,ZEPHYR,ALIGNED,2
X047,S001,neutral_2,neutral,OLMO-TINY,ALIGNED,2
X048,S007,sexual_liminal_2,sexual,QWEN,BASE,2
X049,S008,neutral_1,neutral,AMBER,ALIGNED,0
X050,S004,sexual_liminal_1,sexual,OLMO,ALIGNED,1
X051,S016,sexual_liminal_4,sexual,TULU,ALIGNED,2
X052,S000,neutral_3,neutral,OLMO,BASE,2
X053,S015,sexual_liminal_3,sexual,OLMO-TINY,ALIGNED,2
X054,S013,sexual_explicit_3,sexual,OLMO-TINY,BASE,2
X055,S011,sexual_explicit_2,sexual,TULU,BASE,0
X056,S013,sexual_explicit_3,sexual,AMBER,ALIGNED,0
X057,S006,neutral_6,neutral,AMBER,ALIGNED,1
X058,S004,sexual_liminal_1,sexual,OLMO-TINY,BASE,2
X059,S014,neutral_7,neutral,ZEPHYR,ALIGNED,2
X060,S014,neutral_7,neutral,TULU,BASE,0
X061,S014,neutral_7,neutral,AMBER,ALIGNED,1
X062,S015,sexual_liminal_3,sexual,OLMO-TINY,ALIGNED,0
X063,S015,sexual_liminal_3,sexual,ZEPHYR,BASE,2
X064,S013,sexual_explicit_3,sexual,OLMO-TINY,ALIGNED,1
X065,S006,neutral_6,neutral,LLAMA,BASE,2
X066,S017,sexual_explicit_1,sexual,TULU,ALIGNED,2
X067,S002,sexual_explicit_5,sexual,AMBER,ALIGNED,0
X068,S015,sexual_liminal_3,sexual,TULU,BASE,1
X069,S000,neutral_3,neutral,ZEPHYR,ALIGNED,2
X070,S001,neutral_2,neutral,OLMO,ALIGNED,2
X071,S009,neutral_5,neutral,TULU,ALIGNED,2
X072,S000,neutral_3,neutral,QWEN,BASE,1
X073,S009,neutral_5,neutral,QWEN,ALIGNED,2
X074,S016,sexual_liminal_4,sexual,OLMO,BASE,1
X075,S003,sexual_liminal_5,sexual,OLMO,ALIGNED,0
X076,S009,neutral_5,neutral,TULU,BASE,1
X077,S017,sexual_explicit_1,sexual,QWEN,ALIGNED,0
X078,S017,sexual_explicit_1,sexual,OLMO,BASE,1
X079,S006,neutral_6,neutral,QWEN,BASE,2
X080,S014,neutral_7,neutral,OLMO,ALIGNED,2
X081,S002,sexual_explicit_5,sexual,TULU,ALIGNED,0
X082,S006,neutral_6,neutral,TULU,ALIGNED,0
X083,S003,sexual_liminal_5,sexual,DEEPSEEK-7B,ALIGNED,0
X084,S011,sexual_explicit_2,sexual,ZEPHYR,ALIGNED,1
X085,S013,sexual_explicit_3,sexual,DEEPSEEK-7B,BASE,0
X086,S002,sexual_explicit_5,sexual,AMBER,BASE,1
X087,S011,sexual_explicit_2,sexual,ZEPHYR,BASE,2
X088,S016,sexual_liminal_4,sexual,AMBER,ALIGNED,2
X089,S014,neutral_7,neutral,TULU,BASE,2
X090,S008,neutral_1,neutral,TULU,BASE,2
X091,S002,sexual_explicit_5,sexual,AMBER,ALIGNED,1
X092,S002,sexual_explicit_5,sexual,QWEN,ALIGNED,2
X093,S006,neutral_6,neutral,QWEN,BASE,1
X094,S000,neutral_3,neutral,AMBER,ALIGNED,0
X095,S007,sexual_liminal_2,sexual,LLAMA,ALIGNED,0
X096,S005,neutral_4,neutral,QWEN,BASE,0
X097,S009,neutral_5,neutral,LLAMA,BASE,1
X098,S015,sexual_liminal_3,sexual,OLMO-TINY,BASE,2
X099,S016,sexual_liminal_4,sexual,DEEPSEEK-7B,ALIGNED,2
X100,S005,neutral_4,neutral,OLMO-TINY,ALIGNED,0
X101,S005,neutral_4,neutral,DEEPSEEK-7B,ALIGNED,0
X102,S005,neutral_4,neutral,AMBER,BASE,1
X103,S006,neutral_6,neutral,TULU,BASE,0
X104,S016,sexual_liminal_4,sexual,OLMO-TINY,ALIGNED,2
X105,S009,neutral_5,neutral,DEEPSEEK-7B,ALIGNED,2
X106,S005,neutral_4,neutral,OLMO,ALIGNED,0
X107,S001,neutral_2,neutral,OLMO,BASE,0
X108,S006,neutral_6,neutral,OLMO-TINY,BASE,1
X109,S004,sexual_liminal_1,sexual,AMBER,BASE,1
X110,S017,sexual_explicit_1,sexual,ZEPHYR,ALIGNED,1
X111,S014,neutral_7,neutral,QWEN,BASE,0
X112,S007,sexual_liminal_2,sexual,QWEN,ALIGNED,1
X113,S013,sexual_explicit_3,sexual,OLMO-TINY,BASE,0
X114,S006,neutral_6,neutral,LLAMA,BASE,1
X115,S011,sexual_explicit_2,sexual,QWEN,BASE,0
X116,S002,sexual_explicit_5,sexual,DEEPSEEK-7B,ALIGNED,0
X117,S007,sexual_liminal_2,sexual,LLAMA,BASE,2
X118,S018,sexual_explicit_4,sexual,OLMO,BASE,1
X119,S003,sexual_liminal_5,sexual,AMBER,ALIGNED,0
X120,S014,neutral_7,neutral,DEEPSEEK-7B,BASE,2
X121,S002,sexual_explicit_5,sexual,ZEPHYR,ALIGNED,1
X122,S005,neutral_4,neutral,OLMO,BASE,2
X123,S000,neutral_3,neutral,ZEPHYR,ALIGNED,0
X124,S011,sexual_explicit_2,sexual,ZEPHYR,BASE,0
X125,S011,sexual_explicit_2,sexual,LLAMA,BASE,2
X126,S003,sexual_liminal_5,sexual,OLMO,BASE,0
X127,S005,neutral_4,neutral,QWEN,BASE,2
X128,S017,sexual_explicit_1,sexual,DEEPSEEK-7B,BASE,2
X129,S013,sexual_explicit_3,sexual,OLMO,ALIGNED,0
X130,S018,sexual_explicit_4,sexual,TULU,ALIGNED,0
X131,S014,neutral_7,neutral,OLMO-TINY,BASE,2
X132,S015,sexual_liminal_3,sexual,OLMO,ALIGNED,1
X133,S016,sexual_liminal_4,sexual,OLMO-TINY,BASE,1
X134,S013,sexual_explicit_3,sexual,ZEPHYR,ALIGNED,1
X135,S003,sexual_liminal_5,sexual,DEEPSEEK-7B,BASE,0
X136,S004,sexual_liminal_1,sexual,AMBER,ALIGNED,1
X137,S017,sexual_explicit_1,sexual,AMBER,ALIGNED,1
X138,S007,sexual_liminal_2,sexual,OLMO-TINY,ALIGNED,0
X139,S003,sexual_liminal_5,sexual,LLAMA,BASE,0
X140,S002,sexual_explicit_5,sexual,DEEPSEEK-7B,BASE,0
X141,S007,sexual_liminal_2,sexual,DEEPSEEK-7B,BASE,1
X142,S007,sexual_liminal_2,sexual,TULU,BASE,2
X143,S013,sexual_explicit_3,sexual,QWEN,ALIGNED,2
X144,S001,neutral_2,neutral,OLMO,BASE,1
X145,S011,sexual_explicit_2,sexual,DEEPSEEK-7B,ALIGNED,1
X146,S004,sexual_liminal_1,sexual,OLMO-TINY,ALIGNED,0
X147,S006,neutral_6,neutral,AMBER,BASE,1
X148,S015,sexual_liminal_3,sexual,TULU,ALIGNED,0
X149,S006,neutral_6,neutral,AMBER,BASE,2
X150,S013,sexual_explicit_3,sexual,OLMO,BASE,2
X151,S015,sexual_liminal_3,sexual,QWEN,BASE,0
X152,S004,sexual_liminal_1,sexual,AMBER,BASE,0
X153,S013,sexual_explicit_3,sexual,TULU,BASE,1
X154,S014,neutral_7,neutral,QWEN,ALIGNED,1
X155,S015,sexual_liminal_3,sexual,ZEPHYR,ALIGNED,0
X156,S004,sexual_liminal_1,sexual,ZEPHYR,ALIGNED,0
X157,S001,neutral_2,neutral,QWEN,ALIGNED,0
X158,S014,neutral_7,neutral,ZEPHYR,ALIGNED,1
X159,S017,sexual_explicit_1,sexual,AMBER,ALIGNED,0
X160,S017,sexual_explicit_1,sexual,OLMO-TINY,ALIGNED,2
X161,S011,sexual_explicit_2,sexual,AMBER,BASE,2
X162,S007,sexual_liminal_2,sexual,OLMO,BASE,1
X163,S006,neutral_6,neutral,QWEN,BASE,0
X164,S004,sexual_liminal_1,sexual,DEEPSEEK-7B,BASE,0
X165,S006,neutral_6,neutral,TULU,BASE,1
X166,S011,sexual_explicit_2,sexual,DEEPSEEK-7B,ALIGNED,2
X167,S000,neutral_3,neutral,LLAMA,BASE,0
X168,S006,neutral_6,neutral,DEEPSEEK-7B,BASE,2
X169,S006,neutral_6,neutral,OLMO,ALIGNED,2
X170,S007,sexual_liminal_2,sexual,ZEPHYR,BASE,2
X171,S015,sexual_liminal_3,sexual,ZEPHYR,ALIGNED,2
X172,S013,sexual_explicit_3,sexual,TULU,ALIGNED,0
X173,S018,sexual_explicit_4,sexual,QWEN,ALIGNED,2
X174,S008,neutral_1,neutral,DEEPSEEK-7B,BASE,2
X175,S013,sexual_explicit_3,sexual,ZEPHYR,ALIGNED,2
X176,S013,sexual_explicit_3,sexual,TULU,BASE,2
X177,S013,sexual_explicit_3,sexual,TULU,BASE,0
X178,S009,neutral_5,neutral,OLMO,BASE,0
X179,S015,sexual_liminal_3,sexual,QWEN,ALIGNED,0
X180,S008,neutral_1,neutral,AMBER,BASE,0
X181,S004,sexual_liminal_1,sexual,DEEPSEEK-7B,ALIGNED,2
X182,S007,sexual_liminal_2,sexual,ZEPHYR,BASE,1
X183,S004,sexual_liminal_1,sexual,DEEPSEEK-7B,BASE,1
X184,S007,sexual_liminal_2,sexual,AMBER,BASE,1
X185,S013,sexual_explicit_3,sexual,TULU,ALIGNED,2
X186,S013,sexual_explicit_3,sexual,AMBER,ALIGNED,2
X187,S008,neutral_1,neutral,ZEPHYR,ALIGNED,1
X188,S015,sexual_liminal_3,sexual,LLAMA,ALIGNED,1
X189,S001,neutral_2,neutral,OLMO-TINY,ALIGNED,1
X190,S002,sexual_explicit_5,sexual,OLMO,ALIGNED,0
X191,S008,neutral_1,neutral,DEEPSEEK-7B,BASE,0
X192,S004,sexual_liminal_1,sexual,QWEN,BASE,1
X193,S007,sexual_liminal_2,sexual,DEEPSEEK-7B,ALIGNED,0
X194,S002,sexual_explicit_5,sexual,OLMO,ALIGNED,1
X195,S003,sexual_liminal_5,sexual,DEEPSEEK-7B,BASE,1
X196,S018,sexual_explicit_4,sexual,DEEPSEEK-7B,ALIGNED,1
X197,S016,sexual_liminal_4,sexual,LLAMA,ALIGNED,0
X198,S000,neutral_3,neutral,ZEPHYR,ALIGNED,1
X199,S016,sexual_liminal_4,sexual,LLAMA,BASE,1
X200,S009,neutral_5,neutral,QWEN,BASE,0
X201,S000,neutral_3,neutral,OLMO-TINY,ALIGNED,1
X202,S008,neutral_1,neutral,DEEPSEEK-7B,ALIGNED,0
X203,S001,neutral_2,neutral,LLAMA,ALIGNED,1
X204,S008,neutral_1,neutral,LLAMA,BASE,1
X205,S003,sexual_liminal_5,sexual,OLMO,BASE,1
X206,S009,neutral_5,neutral,TULU,ALIGNED,1
X207,S000,neutral_3,neutral,QWEN,ALIGNED,2
X208,S008,neutral_1,neutral,AMBER,ALIGNED,2
X209,S017,sexual_explicit_1,sexual,QWEN,BASE,1
X210,S004,sexual_liminal_1,sexual,ZEPHYR,BASE,2
X211,S008,neutral_1,neutral,LLAMA,ALIGNED,1
X212,S002,sexual_explicit_5,sexual,QWEN,BASE,0
X213,S008,neutral_1,neutral,QWEN,ALIGNED,0
X214,S000,neutral_3,neutral,LLAMA,BASE,1
X215,S003,sexual_liminal_5,sexual,ZEPHYR,ALIGNED,2
X216,S001,neutral_2,neutral,OLMO-TINY,BASE,2
X217,S003,sexual_liminal_5,sexual,OLMO,ALIGNED,2
X218,S015,sexual_liminal_3,sexual,DEEPSEEK-7B,BASE,2
X219,S005,neutral_4,neutral,OLMO-TINY,BASE,0
X220,S007,sexual_liminal_2,sexual,LLAMA,ALIGNED,2
X221,S011,sexual_explicit_2,sexual,DEEPSEEK-7B,BASE,2
X222,S001,neutral_2,neutral,OLMO,BASE,2
X223,S000,neutral_3,neutral,TULU,BASE,0
X224,S008,neutral_1,neutral,LLAMA,ALIGNED,2
X225,S007,sexual_liminal_2,sexual,OLMO,ALIGNED,0
X226,S016,sexual_liminal_4,sexual,DEEPSEEK-7B,ALIGNED,1
X227,S015,sexual_liminal_3,sexual,ZEPHYR,BASE,1
X228,S003,sexual_liminal_5,sexual,LLAMA,BASE,2
X229,S007,sexual_liminal_2,sexual,AMBER,BASE,0
X230,S006,neutral_6,neutral,ZEPHYR,BASE,2
X231,S000,neutral_3,neutral,DEEPSEEK-7B,ALIGNED,1
X232,S013,sexual_explicit_3,sexual,OLMO-TINY,BASE,1
X233,S001,neutral_2,neutral,DEEPSEEK-7B,BASE,2
X234,S005,neutral_4,neutral,ZEPHYR,ALIGNED,1
X235,S001,neutral_2,neutral,TULU,BASE,0
X236,S009,neutral_5,neutral,OLMO-TINY,ALIGNED,0
X237,S007,sexual_liminal_2,sexual,QWEN,BASE,1
X238,S004,sexual_liminal_1,sexual,LLAMA,ALIGNED,0
X239,S002,sexual_explicit_5,sexual,OLMO-TINY,ALIGNED,0
X240,S003,sexual_liminal_5,sexual,OLMO-TINY,BASE,1
X241,S008,neutral_1,neutral,ZEPHYR,BASE,1
X242,S004,sexual_liminal_1,sexual,OLMO-TINY,ALIGNED,1
X243,S002,sexual_explicit_5,sexual,ZEPHYR,BASE,2
X244,S011,sexual_explicit_2,sexual,OLMO,BASE,1
X245,S018,sexual_explicit_4,sexual,AMBER,ALIGNED,1
X246,S017,sexual_explicit_1,sexual,AMBER,BASE,2
X247,S014,neutral_7,neutral,LLAMA,BASE,2
X248,S015,sexual_liminal_3,sexual,LLAMA,BASE,0
X249,S018,sexual_explicit_4,sexual,DEEPSEEK-7B,BASE,2
X250,S001,neutral_2,neutral,ZEPHYR,ALIGNED,2
X251,S001,neutral_2,neutral,AMBER,BASE,0
X252,S014,neutral_7,neutral,QWEN,ALIGNED,0
X253,S007,sexual_liminal_2,sexual,QWEN,ALIGNED,0
X254,S000,neutral_3,neutral,AMBER,BASE,1
X255,S002,sexual_explicit_5,sexual,LLAMA,BASE,0
X256,S015,sexual_liminal_3,sexual,LLAMA,ALIGNED,2
X257,S004,sexual_liminal_1,sexual,AMBER,ALIGNED,2
X258,S004,sexual_liminal_1,sexual,QWEN,BASE,2
X259,S005,neutral_4,neutral,QWEN,BASE,1
X260,S016,sexual_liminal_4,sexual,OLMO,ALIGNED,0
X261,S006,neutral_6,neutral,DEEPSEEK-7B,ALIGNED,1
X262,S009,neutral_5,neutral,OLMO,ALIGNED,2
X263,S016,sexual_liminal_4,sexual,AMBER,ALIGNED,0
X264,S001,neutral_2,neutral,DEEPSEEK-7B,ALIGNED,2
X265,S015,sexual_liminal_3,sexual,AMBER,BASE,0
X266,S017,sexual_explicit_1,sexual,OLMO-TINY,ALIGNED,0
X267,S008,neutral_1,neutral,TULU,ALIGNED,0
X268,S015,sexual_liminal_3,sexual,ZEPHYR,ALIGNED,1
X269,S011,sexual_explicit_2,sexual,ZEPHYR,ALIGNED,0
X270,S017,sexual_explicit_1,sexual,OLMO-TINY,ALIGNED,1
X271,S007,sexual_liminal_2,sexual,OLMO-TINY,BASE,1
X272,S009,neutral_5,neutral,ZEPHYR,ALIGNED,1
X273,S016,sexual_liminal_4,sexual,AMBER,BASE,0
X274,S000,neutral_3,neutral,AMBER,BASE,0
X275,S011,sexual_explicit_2,sexual,AMBER,ALIGNED,1
X276,S003,sexual_liminal_5,sexual,TULU,ALIGNED,2
X277,S008,neutral_1,neutral,OLMO-TINY,ALIGNED,0
X278,S000,neutral_3,neutral,LLAMA,ALIGNED,2
X279,S004,sexual_liminal_1,sexual,DEEPSEEK-7B,BASE,2
X280,S006,neutral_6,neutral,DEEPSEEK-7B,ALIGNED,2
X281,S017,sexual_explicit_1,sexual,QWEN,BASE,2
X282,S015,sexual_liminal_3,sexual,AMBER,ALIGNED,2
X283,S003,sexual_liminal_5,sexual,AMBER,BASE,0
X284,S017,sexual_explicit_1,sexual,TULU,BASE,0
X285,S002,sexual_explicit_5,sexual,QWEN,BASE,2
X286,S006,neutral_6,neutral,AMBER,ALIGNED,0
X287,S006,neutral_6,neutral,QWEN,ALIGNED,0
X288,S009,neutral_5,neutral,AMBER,BASE,2
X289,S013,sexual_explicit_3,sexual,LLAMA,ALIGNED,0
X290,S011,sexual_explicit_2,sexual,OLMO,BASE,2
X291,S016,sexual_liminal_4,sexual,ZEPHYR,BASE,2
X292,S018,sexual_explicit_4,sexual,DEEPSEEK-7B,ALIGNED,2
X293,S004,sexual_liminal_1,sexual,LLAMA,BASE,2
X294,S005,neutral_4,neutral,ZEPHYR,BASE,1
X295,S018,sexual_explicit_4,sexual,OLMO-TINY,ALIGNED,0
X296,S014,neutral_7,neutral,TULU,ALIGNED,2
X297,S006,neutral_6,neutral,DEEPSEEK-7B,BASE,0
X298,S000,neutral_3,neutral,OLMO,ALIGNED,0
X299,S013,sexual_explicit_3,sexual,DEEPSEEK-7B,ALIGNED,2
X300,S005,neutral_4,neutral,DEEPSEEK-7B,ALIGNED,2
X301,S000,neutral_3,neutral,TULU,BASE,1
X302,S011,sexual_explicit_2,sexual,ZEPHYR,BASE,1
X303,S008,neutral_1,neutral,DEEPSEEK-7B,ALIGNED,1
X304,S005,neutral_4,neutral,AMBER,BASE,0
X305,S008,neutral_1,neutral,OLMO,ALIGNED,1
X306,S008,neutral_1,neutral,LLAMA,BASE,0
X307,S009,neutral_5,neutral,ZEPHYR,BASE,1
X308,S014,neutral_7,neutral,OLMO-TINY,ALIGNED,1
X309,S018,sexual_explicit_4,sexual,OLMO-TINY,ALIGNED,1
X310,S016,sexual_liminal_4,sexual,OLMO,BASE,2
X311,S007,sexual_liminal_2,sexual,OLMO,ALIGNED,1
X312,S000,neutral_3,neutral,DEEPSEEK-7B,ALIGNED,2
X313,S018,sexual_explicit_4,sexual,DEEPSEEK-7B,BASE,0
X314,S001,neutral_2,neutral,QWEN,ALIGNED,1
X315,S004,sexual_liminal_1,sexual,OLMO,BASE,1
X316,S014,neutral_7,neutral,OLMO,BASE,2
X317,S013,sexual_explicit_3,sexual,QWEN,ALIGNED,0
X318,S001,neutral_2,neutral,ZEPHYR,BASE,2
X319,S018,sexual_explicit_4,sexual,OLMO,ALIGNED,2
X320,S007,sexual_liminal_2,sexual,DEEPSEEK-7B,BASE,0
X321,S013,sexual_explicit_3,sexual,DEEPSEEK-7B,BASE,1
X322,S015,sexual_liminal_3,sexual,QWEN,BASE,2
X323,S017,sexual_explicit_1,sexual,LLAMA,BASE,2
X324,S007,sexual_liminal_2,sexual,AMBER,ALIGNED,1
X325,S003,sexual_liminal_5,sexual,QWEN,BASE,2
X326,S006,neutral_6,neutral,OLMO-TINY,BASE,0
X327,S014,neutral_7,neutral,LLAMA,BASE,1
X328,S001,neutral_2,neutral,AMBER,ALIGNED,1
X329,S018,sexual_explicit_4,sexual,ZEPHYR,ALIGNED,0
X330,S004,sexual_liminal_1,sexual,OLMO,ALIGNED,0
X331,S018,sexual_explicit_4,sexual,ZEPHYR,BASE,1
X332,S011,sexual_explicit_2,sexual,LLAMA,BASE,1
X333,S016,sexual_liminal_4,sexual,DEEPSEEK-7B,BASE,0
X334,S018,sexual_explicit_4,sexual,OLMO-TINY,ALIGNED,2
X335,S000,neutral_3,neutral,TULU,ALIGNED,1
X336,S005,neutral_4,neutral,LLAMA,ALIGNED,2
X337,S018,sexual_explicit_4,sexual,QWEN,ALIGNED,1
X338,S014,neutral_7,neutral,AMBER,ALIGNED,0
X339,S007,sexual_liminal_2,sexual,TULU,ALIGNED,0
X340,S004,sexual_liminal_1,sexual,OLMO,BASE,0
X341,S009,neutral_5,neutral,OLMO,BASE,2
X342,S001,neutral_2,neutral,QWEN,ALIGNED,2
X343,S014,neutral_7,neutral,ZEPHYR,BASE,2
X344,S002,sexual_explicit_5,sexual,QWEN,BASE,1
X345,S000,neutral_3,neutral,QWEN,ALIGNED,1
X346,S009,neutral_5,neutral,DEEPSEEK-7B,ALIGNED,0
X347,S001,neutral_2,neutral,TULU,ALIGNED,0
X348,S002,sexual_explicit_5,sexual,OLMO,BASE,2
X349,S016,sexual_liminal_4,sexual,OLMO-TINY,ALIGNED,1
X350,S002,sexual_explicit_5,sexual,LLAMA,ALIGNED,0
X351,S016,sexual_liminal_4,sexual,OLMO-TINY,BASE,0
X352,S013,sexual_explicit_3,sexual,DEEPSEEK-7B,BASE,2
X353,S006,neutral_6,neutral,OLMO,BASE,2
X354,S013,sexual_explicit_3,sexual,QWEN,BASE,0
X355,S016,sexual_liminal_4,sexual,OLMO,BASE,0
