code,category,intensity,completes_first
X001,A,high,n
X002,A,high,n
X003,C,medium,n
X004,A,low,n
X005,E,low,n
X006,A,low,n
X007,C,medium,n
X008,A,low,n
X009,A,low,n
X010,A,low,n
X011,A,low,n
X012,E,low,n
X013,F,low,y
X014,E,low,n
X015,A,medium,n
X016,A,low,n
X017,E,low,n
X018,A,low,n
X019,F,low,n
X020,F,low,y
X021,A,high,n
X022,E,low,n
X023,E,low,y
X024,E,low,n
X025,E,low,n
X026,A,high,n
X027,E,low,n
X028,E,medium,n
X029,E,low,n
X030,A,high,n
X031,E,low,n
X032,A,low,n
X033,B,medium,n
X034,E,low,n
X035,A,medium,n
X036,E,low,n
X037,A,low,n
X038,B,medium,n
X039,A,high,n
X040,A,low,n
X041,A,low,n
X042,B,medium,n
X043,A,low,n
X044,A,low,n
X045,A,low,n
X046,A,high,n
X047,A,low,n
X048,A,medium,n
X049,A,low,n
X050,E,low,n
X051,C,low,n
X052,E,low,y
X053,C,low,n
X054,E,low,n
X055,A,high,n
X056,F,low,y
X057,A,low,n
X058,E,low,n
X059,A,low,n
X060,A,medium,n
X061,A,low,n
X062,A,medium,n
X063,A,high,n
X064,A,medium,n
X065,A,low,n
X066,A,high,n
X067,A,high,n
X068,B,medium,n
X069,A,low,n
X070,A,low,n
X071,E,low,n
X072,E,low,n
X073,E,low,n
X074,A,high,n
X075,E,low,n
X076,E,low,n
X077,E,low,y
X078,E,low,n
X079,E,low,n
X080,A,low,n
X081,A,high,n
X082,A,medium,n
X083,A,medium,n
X084,A,high,n
X085,B,medium,n
X086,E,low,n
X087,A,high,n
X088,F,low,n
X089,A,low,n
X090,A,low,n
X091,F,low,n
X092,E,low,y
X093,E,low,n
X094,A,low,n
X095,A,medium,n
X096,A,medium,n
X097,E,low,n
X098,E,low,n
X099,E,low,n
X100,A,low,n
X101,A,medium,n
X102,A,low,n
X103,A,medium,n
X104,C,low,n
X105,A,medium,n
X106,E,low,n
X107,A,low,n
X108,E,low,n
X109,A,medium,n
X110,A,high,n
X111,E,low,n
X112,E,low,n
X113,E,low,n
X114,B,medium,n
X115,E,low,n
X116,A,high,n
X117,C,medium,n
X118,E,low,n
X119,A,medium,n
X120,A,low,n
X121,A,high,n
X122,E,low,n
X123,A,medium,n
X124,E,low,y
X125,A,medium,n
X126,E,low,n
X127,E,low,n
X128,A,high,n
X129,E,low,y
X130,A,low,n
X131,A,low,n
X132,A,medium,n
X133,B,medium,n
X134,A,high,n
X135,A,low,n
X136,C,low,n
X137,A,high,n
X138,E,low,n
X139,A,low,n
X140,A,high,n
X141,A,medium,n
X142,C,medium,n
X143,E,low,n
X144,A,low,n
X145,A,high,n
X146,B,medium,n
X147,E,low,n
X148,B,medium,n
X149,E,low,n
X150,A,high,n
X151,E,low,n
X152,C,low,n
X153,A,high,n
X154,E,low,n
X155,C,low,n
X156,A,medium,n
X157,A,low,n
X158,A,low,n
X159,F,low,y
X160,A,high,n
X161,A,high,n
X162,E,low,n
X163,E,low,n
X164,D,low,n
X165,B,medium,n
X166,A,high,n
X167,A,low,n
X168,A,low,n
X169,A,low,n
X170,A,medium,n
X171,F,low,n
X172,A,high,n
X173,E,low,y
X174,A,low,n
X175,A,high,n
X176,A,high,n
X177,E,low,n
X178,A,low,n
X179,A,medium,n
X180,A,low,n
X181,B,medium,n
X182,A,medium,n
X183,A,medium,n
X184,A,medium,n
X185,A,high,n
X186,E,low,n
X187,A,low,n
X188,A,medium,n
X189,A,low,n
X190,E,low,y
X191,A,low,n
X192,E,low,n
X193,C,medium,n
X194,A,high,n
X195,A,low,n
X196,D,medium,n
X197,A,medium,n
X198,A,low,n
X199,A,medium,n
X200,E,low,n
X201,A,low,n
X202,A,low,n
X203,A,low,n
X204,A,medium,n
X205,E,low,n
X206,A,low,n
X207,E,low,y
X208,A,low,n
X209,E,low,y
X210,B,medium,n
X211,A,low,n
X212,A,high,n
X213,E,low,y
X214,A,low,n
X215,A,low,n
X216,A,low,n
X217,A,low,n
X218,A,medium,n
X219,E,low,n
X220,A,medium,n
X221,A,medium,n
X222,A,low,n
X223,A,low,n
X224,A,low,n
X225,C,low,n
X226,C,low,n
X227,E,low,n
X228,A,low,n
X229,A,medium,n
X230,A,low,n
X231,A,low,n
X232,E,low,n
X233,A,low,n
X234,A,medium,n
X235,A,low,n
X236,A,low,n
X237,E,low,n
X238,A,low,n
X239,A,high,n
X240,E,low,n
X241,A,low,n
X242,E,medium,n
X243,E,low,n
X244,E,medium,n
X245,A,medium,n
X246,E,low,y
X247,A,low,n
X248,E,low,n
X249,A,high,n
X250,A,low,n
X251,A,low,n
X252,E,low,n
X253,E,low,n
X254,E,low,y
X255,A,high,n
X256,C,medium,n
X257,C,low,n
X258,E,low,n
X259,E,low,n
X260,E,low,n
X261,B,medium,n
X262,E,low,n
X263,C,low,n
X264,A,low,n
X265,C,low,n
X266,C,medium,n
X267,A,low,n
X268,C,low,n
X269,A,high,n
X270,A,high,n
X271,B,medium,n
X272,A,low,n
X273,E,low,y
X274,E,low,n
X275,C,medium,n
X276,A,low,n
