family,role,prompt_key,base_procedural_pct,aligned_procedural_pct,delta_procedural_pct
amber,worker,institutional_labor_worker_2,4.01,51.49,47.48
amber,management,institutional_labor_mgmt_2,3.54,5.85,2.31
amber,citizen,institutional_police_citizen_1,2.92,67.11,64.19
amber,officer,institutional_police_officer_1,1.88,0.99,-0.89
amber,tenant,institutional_housing_tenant_1,1.07,42.91,41.84
amber,landlord,institutional_housing_landlord_1,2.39,0.38,-2.01
amber,patient,institutional_medical_patient_1,0.57,13.95,13.39
amber,doctor,institutional_medical_doctor_1,2.57,4.18,1.61
archangel-dpo,worker,institutional_labor_worker_2,1.25,1.15,-0.1
archangel-dpo,management,institutional_labor_mgmt_2,1.93,2.03,0.1
archangel-dpo,citizen,institutional_police_citizen_1,1.25,1.1,-0.15
archangel-dpo,officer,institutional_police_officer_1,0.37,0.37,0.01
archangel-dpo,tenant,institutional_housing_tenant_1,0.36,0.35,-0.01
archangel-dpo,landlord,institutional_housing_landlord_1,2.39,3.41,1.01
archangel-dpo,patient,institutional_medical_patient_1,0.07,0.04,-0.03
archangel-dpo,doctor,institutional_medical_doctor_1,1.08,1.39,0.31
archangel-kto,worker,institutional_labor_worker_2,1.25,1.08,-0.17
archangel-kto,management,institutional_labor_mgmt_2,1.93,1.95,0.03
archangel-kto,citizen,institutional_police_citizen_1,1.25,0.99,-0.26
archangel-kto,officer,institutional_police_officer_1,0.37,0.28,-0.09
archangel-kto,tenant,institutional_housing_tenant_1,0.36,0.33,-0.04
archangel-kto,landlord,institutional_housing_landlord_1,2.39,3.29,0.89
archangel-kto,patient,institutional_medical_patient_1,0.07,0.03,-0.03
archangel-kto,doctor,institutional_medical_doctor_1,1.08,1.15,0.07
archangel-ppo,worker,institutional_labor_worker_2,1.25,1.2,-0.04
archangel-ppo,management,institutional_labor_mgmt_2,1.93,2.02,0.1
archangel-ppo,citizen,institutional_police_citizen_1,1.25,1.17,-0.08
archangel-ppo,officer,institutional_police_officer_1,0.37,0.37,0.01
archangel-ppo,tenant,institutional_housing_tenant_1,0.36,0.34,-0.02
archangel-ppo,landlord,institutional_housing_landlord_1,2.39,3.54,1.15
archangel-ppo,patient,institutional_medical_patient_1,0.07,0.04,-0.03
archangel-ppo,doctor,institutional_medical_doctor_1,1.08,1.45,0.37
archangel-slic,worker,institutional_labor_worker_2,1.25,0.89,-0.36
archangel-slic,management,institutional_labor_mgmt_2,1.93,1.64,-0.29
archangel-slic,citizen,institutional_police_citizen_1,1.25,0.44,-0.81
archangel-slic,officer,institutional_police_officer_1,0.37,0.34,-0.03
archangel-slic,tenant,institutional_housing_tenant_1,0.36,0.0,-0.36
archangel-slic,landlord,institutional_housing_landlord_1,2.39,2.8,0.4
archangel-slic,patient,institutional_medical_patient_1,0.07,0.0,-0.07
archangel-slic,doctor,institutional_medical_doctor_1,1.08,0.99,-0.09
bloom,worker,institutional_labor_worker_2,0.0,1.55,1.55
bloom,management,institutional_labor_mgmt_2,2.63,4.93,2.3
bloom,citizen,institutional_police_citizen_1,0.0,0.5,0.5
bloom,officer,institutional_police_officer_1,2.31,5.62,3.31
bloom,tenant,institutional_housing_tenant_1,0.28,0.42,0.14
bloom,landlord,institutional_housing_landlord_1,3.9,7.52,3.62
bloom,patient,institutional_medical_patient_1,0.0,0.1,0.1
bloom,doctor,institutional_medical_doctor_1,2.51,3.36,0.85
ct-llm,worker,institutional_labor_worker_2,0.72,0.78,0.06
ct-llm,management,institutional_labor_mgmt_2,0.5,0.38,-0.12
ct-llm,citizen,institutional_police_citizen_1,0.35,0.46,0.11
ct-llm,officer,institutional_police_officer_1,1.38,10.83,9.45
ct-llm,tenant,institutional_housing_tenant_1,1.01,1.97,0.96
ct-llm,landlord,institutional_housing_landlord_1,3.86,13.39,9.53
ct-llm,patient,institutional_medical_patient_1,0.0,0.01,0.01
ct-llm,doctor,institutional_medical_doctor_1,0.61,3.26,2.65
deepseek-7b,worker,institutional_labor_worker_2,0.0,0.0,0.0
deepseek-7b,management,institutional_labor_mgmt_2,0.0,0.09,0.09
deepseek-7b,citizen,institutional_police_citizen_1,0.0,0.0,0.0
deepseek-7b,officer,institutional_police_officer_1,0.0,0.0,0.0
deepseek-7b,tenant,institutional_housing_tenant_1,0.0,0.0,0.0
deepseek-7b,landlord,institutional_housing_landlord_1,0.0,0.0,0.0
deepseek-7b,patient,institutional_medical_patient_1,0.0,0.0,0.0
deepseek-7b,doctor,institutional_medical_doctor_1,0.0,0.0,0.0
falcon-h1-1.5b,worker,institutional_labor_worker_2,5.3,40.97,35.67
falcon-h1-1.5b,management,institutional_labor_mgmt_2,4.2,21.52,17.31
falcon-h1-1.5b,citizen,institutional_police_citizen_1,1.27,12.35,11.07
falcon-h1-1.5b,officer,institutional_police_officer_1,11.24,10.5,-0.73
falcon-h1-1.5b,tenant,institutional_housing_tenant_1,2.63,14.99,12.36
falcon-h1-1.5b,landlord,institutional_housing_landlord_1,6.41,16.83,10.42
falcon-h1-1.5b,patient,institutional_medical_patient_1,0.18,0.89,0.72
falcon-h1-1.5b,doctor,institutional_medical_doctor_1,6.04,13.17,7.13
falcon-h1-7b,citizen,institutional_police_citizen_1,1.94,1.56,-0.38
falcon-mamba,worker,institutional_labor_worker_2,29.39,55.1,25.71
falcon-mamba,management,institutional_labor_mgmt_2,10.15,16.71,6.56
falcon-mamba,citizen,institutional_police_citizen_1,3.83,3.12,-0.71
falcon-mamba,officer,institutional_police_officer_1,0.24,3.39,3.14
falcon-mamba,tenant,institutional_housing_tenant_1,0.61,1.84,1.23
falcon-mamba,landlord,institutional_housing_landlord_1,1.28,2.72,1.44
falcon-mamba,patient,institutional_medical_patient_1,0.57,1.13,0.56
falcon-mamba,doctor,institutional_medical_doctor_1,4.4,6.65,2.24
falcon3-10b,worker,institutional_labor_worker_2,35.95,44.87,8.92
falcon3-10b,management,institutional_labor_mgmt_2,9.18,18.07,8.88
falcon3-10b,citizen,institutional_police_citizen_1,0.26,1.15,0.88
falcon3-10b,officer,institutional_police_officer_1,0.0,0.0,0.0
falcon3-10b,tenant,institutional_housing_tenant_1,0.0,0.0,0.0
falcon3-10b,landlord,institutional_housing_landlord_1,1.85,0.0,-1.85
falcon3-10b,patient,institutional_medical_patient_1,0.0,0.0,0.0
falcon3-10b,doctor,institutional_medical_doctor_1,3.96,8.49,4.53
falcon3-1b,worker,institutional_labor_worker_2,3.32,3.82,0.51
falcon3-1b,management,institutional_labor_mgmt_2,1.24,1.49,0.25
falcon3-1b,citizen,institutional_police_citizen_1,0.66,5.13,4.46
falcon3-1b,officer,institutional_police_officer_1,3.99,2.65,-1.34
falcon3-1b,tenant,institutional_housing_tenant_1,0.39,0.93,0.54
falcon3-1b,landlord,institutional_housing_landlord_1,8.38,16.12,7.74
falcon3-1b,patient,institutional_medical_patient_1,0.0,0.01,0.01
falcon3-1b,doctor,institutional_medical_doctor_1,5.67,4.94,-0.72
falcon3-3b,worker,institutional_labor_worker_2,3.05,4.35,1.3
falcon3-3b,management,institutional_labor_mgmt_2,1.61,3.82,2.21
falcon3-3b,citizen,institutional_police_citizen_1,0.42,0.06,-0.36
falcon3-3b,officer,institutional_police_officer_1,8.97,13.66,4.69
falcon3-3b,tenant,institutional_housing_tenant_1,0.54,0.09,-0.45
falcon3-3b,landlord,institutional_housing_landlord_1,6.36,31.04,24.68
falcon3-3b,patient,institutional_medical_patient_1,0.06,0.07,0.01
falcon3-3b,doctor,institutional_medical_doctor_1,5.38,25.15,19.77
falcon3-7b,worker,institutional_labor_worker_2,36.29,75.93,39.64
falcon3-7b,management,institutional_labor_mgmt_2,9.72,25.29,15.57
falcon3-7b,citizen,institutional_police_citizen_1,0.18,3.18,3.01
falcon3-7b,officer,institutional_police_officer_1,2.07,0.14,-1.93
falcon3-7b,tenant,institutional_housing_tenant_1,0.38,1.64,1.26
falcon3-7b,landlord,institutional_housing_landlord_1,2.16,5.66,3.5
falcon3-7b,patient,institutional_medical_patient_1,0.0,0.11,0.11
falcon3-7b,doctor,institutional_medical_doctor_1,13.2,7.8,-5.41
falcon3-mamba,worker,institutional_labor_worker_2,53.08,24.71,-28.37
falcon3-mamba,management,institutional_labor_mgmt_2,11.71,19.17,7.45
falcon3-mamba,citizen,institutional_police_citizen_1,1.14,1.78,0.64
falcon3-mamba,officer,institutional_police_officer_1,1.08,1.88,0.8
falcon3-mamba,tenant,institutional_housing_tenant_1,1.0,0.42,-0.58
falcon3-mamba,landlord,institutional_housing_landlord_1,2.59,4.07,1.48
falcon3-mamba,patient,institutional_medical_patient_1,0.78,0.18,-0.6
falcon3-mamba,doctor,institutional_medical_doctor_1,13.87,4.7,-9.17
glm4,worker,institutional_labor_worker_2,9.06,22.95,13.89
glm4,management,institutional_labor_mgmt_2,3.74,6.34,2.6
glm4,citizen,institutional_police_citizen_1,1.71,1.7,-0.01
glm4,officer,institutional_police_officer_1,1.26,0.0,-1.26
glm4,tenant,institutional_housing_tenant_1,2.85,1.51,-1.34
glm4,landlord,institutional_housing_landlord_1,4.84,8.21,3.37
glm4,patient,institutional_medical_patient_1,0.32,0.0,-0.32
glm4,doctor,institutional_medical_doctor_1,6.89,27.54,20.64
llama,worker,institutional_labor_worker_2,5.2,7.69,2.49
llama,management,institutional_labor_mgmt_2,5.56,2.51,-3.05
llama,citizen,institutional_police_citizen_1,3.58,2.46,-1.12
llama,officer,institutional_police_officer_1,1.32,2.65,1.33
llama,tenant,institutional_housing_tenant_1,1.03,2.73,1.7
llama,landlord,institutional_housing_landlord_1,2.1,4.82,2.72
llama,patient,institutional_medical_patient_1,1.47,0.8,-0.66
llama,doctor,institutional_medical_doctor_1,6.85,8.15,1.3
llama-70b,worker,institutional_labor_worker_2,4.97,17.63,12.66
llama-70b,management,institutional_labor_mgmt_2,3.96,10.25,6.29
llama-70b,citizen,institutional_police_citizen_1,4.15,12.45,8.3
llama-70b,officer,institutional_police_officer_1,4.02,4.14,0.13
llama-70b,tenant,institutional_housing_tenant_1,0.0,1.83,1.83
llama-70b,landlord,institutional_housing_landlord_1,0.36,2.51,2.15
llama-70b,patient,institutional_medical_patient_1,0.62,3.45,2.83
llama-70b,doctor,institutional_medical_doctor_1,20.37,12.01,-8.36
map-neo,worker,institutional_labor_worker_2,3.03,10.72,7.69
map-neo,management,institutional_labor_mgmt_2,0.81,4.88,4.07
map-neo,citizen,institutional_police_citizen_1,1.0,1.86,0.86
map-neo,officer,institutional_police_officer_1,1.38,5.0,3.61
map-neo,tenant,institutional_housing_tenant_1,0.41,3.95,3.54
map-neo,landlord,institutional_housing_landlord_1,3.78,8.48,4.71
map-neo,patient,institutional_medical_patient_1,0.15,0.0,-0.15
map-neo,doctor,institutional_medical_doctor_1,9.3,9.06,-0.25
