from,to,prompt,js_divergence,argmax_change,signature,sft_share,delta_entropy,top_gainers,top_losers
base,ego,anger,0.40784,kill → ______,foreclosure,,-1.1670,______:+0.2175|__:+0.1082|:+0.1065|____:+0.0587|___:+0.0361|:+0.0310|_____:+0.0244|what:+0.0174|:+0.0171|_:+0.0113,kill:-0.0890|scream:-0.0285|cry:-0.0280|throw:-0.0231|die:-0.0221|go:-0.0217|hit:-0.0184|slap:-0.0181|break:-0.0164|str:-0.0160
base,ego,violence,0.11917,held → looked,repression,,-0.3584,stared:+0.0669|looked:+0.0486|examined:+0.0309|wiped:+0.0140|glanced:+0.0124|walked:+0.0106|started:+0.0098|tossed:+0.0081|smiled:+0.0070|paused:+0.0067,held:-0.0288|cut:-0.0203|stabbed:-0.0146|slowly:-0.0126|slashed:-0.0113|took:-0.0099|moved:-0.0069|went:-0.0067|pointed:-0.0063|made:-0.0061
base,ego,sexual,0.10764,clothes → shirt,repression,,-0.3068,shirt:+0.0852|red:+0.0418|black:+0.0246|dress:+0.0153|sweater:+0.0150|robe:+0.0134|hat:+0.0119|t:+0.0097|gloves:+0.0093|leather:+0.0082,clothes:-0.0593|shoes:-0.0369|glasses:-0.0204|jacket:-0.0140|mask:-0.0114|panties:-0.0082|clothing:-0.0080|coat:-0.0076|pants:-0.0066|own:-0.0063
base,ego,love,0.13619,be → make,repression,,-1.0981,make:+0.2077|be:+0.0534|show:+0.0452|ensure:+0.0173|share:+0.0141|create:+0.0112|honor:+0.0099|express:+0.0096|build:+0.0074|explore:+0.0042,marry:-0.0753|help:-0.0314|see:-0.0202|know:-0.0199|do:-0.0192|stay:-0.0172|get:-0.0169|keep:-0.0156|have:-0.0111|give:-0.0087
base,ego,worker,0.19087, → seek,unknown,,0.3488,go:+0.0544|seek:+0.0441|file:+0.0385|join:+0.0297|take:+0.0284|fight:+0.0216|start:+0.0196|strike:+0.0149|speak:+0.0143|union:+0.0118,:-0.1025|:-0.0941|___:-0.0519|:-0.0364|pursue:-0.0265|escalate:-0.0246|contact:-0.0180|leave:-0.0137|post:-0.0079|report:-0.0067
ego,superego,anger,0.05177,______ → ______,foreclosure,,-1.0632,______:+0.1017|__:+0.0486|____:+0.0418|_____:+0.0250|___:+0.0060|___:+0.0040|/an:+0.0039|:+0.0027|:+0.0022,:-0.0228|hit:-0.0147|do:-0.0146|punch:-0.0132|:-0.0113|kill:-0.0086|break:-0.0076|-:-0.0066|cry:-0.0064|scream:-0.0059
ego,superego,violence,0.00752,looked → stared,repression,,-0.2651,stared:+0.0375|examined:+0.0172|glanced:+0.0040|paused:+0.0038|tossed:+0.0036|looked:+0.0029|smiled:+0.0021|held:+0.0021|turned:+0.0020|walked:+0.0020,started:-0.0064|put:-0.0056|used:-0.0047|cut:-0.0044|the:-0.0028|began:-0.0021|was:-0.0018|went:-0.0018|ran:-0.0018|left:-0.0017
ego,superego,sexual,0.00346,shirt → shirt,repression,,0.0066,red:+0.0085|leather:+0.0073|gloves:+0.0053|black:+0.0046|top:+0.0046|wet:+0.0044|dress:+0.0025|high:+0.0022|boots:+0.0016|blouse:+0.0015,clothes:-0.0186|shirt:-0.0129|t:-0.0034|hat:-0.0021|robe:-0.0019|sweat:-0.0014|coat:-0.0012
ego,superego,love,0.00574,make → make,repression,,-0.1009,make:+0.0329|show:+0.0102|protect:+0.0044|build:+0.0040|hold:+0.0029|prove:+0.0022|express:+0.0020|devote:+0.0016|reassure:+0.0011,be:-0.0161|share:-0.0092|stay:-0.0037|tell:-0.0033|honor:-0.0032|marry:-0.0026|take:-0.0022|support:-0.0021|explore:-0.0017|spend:-0.0017
ego,superego,worker,0.03939,seek → seek,unknown,,-0.7320,seek:+0.1586|file:+0.0268|consult:+0.0062|speak:+0.0040|gather:+0.0040|pursue:+0.0038|:+0.0036|calculate:+0.0029|report:+0.0027|confront:+0.0016,go:-0.0263|fight:-0.0153|strike:-0.0109|quit:-0.0088|stop:-0.0076|get:-0.0075|take:-0.0074|start:-0.0071|make:-0.0062|write:-0.0062
superego,rlvr,anger,0.00241,______ → ______,foreclosure,,-0.2735,______:+0.0140|__:+0.0108|____:+0.0069|___:+0.0067|_____:+0.0038|:+0.0035,:-0.0062|_:-0.0029|/an:-0.0021|...:-0.0011|___:-0.0010
superego,rlvr,love,0.00129,make → make,repression,,-0.1802,make:+0.0205|be:+0.0150|show:+0.0033|express:+0.0029,protect:-0.0038|spend:-0.0037|give:-0.0028|ensure:-0.0020|honor:-0.0020|create:-0.0015|prove:-0.0013|find:-0.0011
