model,pair,ratio,bias,js_to_A,js_to_B,js_to_mean
base,love/hate,0.7307393727269558,0.09974105656147003,0.228365957736969,0.12862490117549896,0.09399127960205078
base,innocent/guilty,1.032344778450991,-0.026524066925048828,0.06699095666408539,0.09351502358913422,0.06915776431560516
base,rich/poor,0.5385708202360068,-0.005491018295288086,0.07775405049324036,0.08324506878852844,0.041876062750816345
instruct,love/hate,0.9513621583377324,0.11076360940933228,0.27335554361343384,0.16259193420410156,0.15468381345272064
instruct,innocent/guilty,0.8953881214943595,0.0035776495933532715,0.11196060478687286,0.10838295519351959,0.09704481065273285
instruct,rich/poor,0.5684753243679342,0.013912953436374664,0.1075919046998024,0.09367895126342773,0.05325417220592499
r1_distill,love/hate,0.9573009823003276,-0.034185364842414856,0.06885053217411041,0.10303589701652527,0.06591068208217621
r1_distill,innocent/guilty,0.9196776010831049,-0.013775784522294998,0.05354267731308937,0.06731846183538437,0.04924200102686882
r1_distill,rich/poor,0.998155200533327,0.007624082267284393,0.03891689330339432,0.031292811036109924,0.03123508207499981
r1_post_thinking,love/hate,1.5378067609166934,-1.5783035678396118e-07,4.46404158083169e-08,2.0247077259227808e-07,6.864833324016217e-08
r1_post_thinking,innocent/guilty,2.1403884117806213,-1.962400517641072e-07,4.821592369808059e-08,2.444559754621878e-07,1.0320080434667034e-07
r1_post_thinking,rich/poor,1.2647701245005043,7.466026374913781e-08,2.0257684241187235e-07,1.2791657866273454e-07,1.6178506712094531e-07
