family,direction,category,position,mean_resist,std_resist,n
deepseek-7b,forward,profanity,0,0.04422761849378975,0.6767667131379966,1000
deepseek-7b,forward,profanity,1,0.19643377379399504,0.8769724094869968,1000
deepseek-7b,forward,profanity,2,0.21646202138198542,0.7523774417742832,1000
deepseek-7b,forward,profanity,3,0.4111961083847825,1.5159609237419007,1000
deepseek-7b,forward,profanity,4,0.36730867538361894,1.8888598770372582,1000
deepseek-7b,forward,profanity,5,0.48678477356902494,2.23354920279043,1000
deepseek-7b,forward,profanity,6,0.26279217762353385,0.7146584006455353,1000
deepseek-7b,forward,profanity,7,0.40875720908230473,1.4290103610527118,1000
deepseek-7b,forward,profanity,8,0.4278438411668615,2.1782256147164145,1000
deepseek-7b,forward,profanity,9,0.5899106396901946,2.5356740974397614,989
pythia,forward,substance,0,0.16063131325582528,0.9909824858398478,3500
pythia,forward,substance,1,0.04675958472739242,0.39938238697506545,3500
pythia,forward,substance,2,0.023645297676521605,0.22863399680335975,3500
pythia,forward,substance,3,0.00936356773463865,0.09812659795392334,3500
pythia,forward,substance,4,0.014461370656884201,0.1441570282839919,3500
pythia,forward,substance,5,0.018334470519429456,0.1646748724586099,3500
pythia,forward,substance,6,0.013227337869037011,0.2175050694664042,3500
pythia,forward,substance,7,0.007364023229266379,0.1593257798359795,3500
pythia,forward,substance,8,0.01357337686654205,0.16364988707398512,3500
pythia,forward,substance,9,0.023466336358325127,0.17025472672213293,3500
pythia,forward,substance,10,0.020455463663216693,0.17337381446199726,3424
pythia,forward,substance,11,0.018743368728399167,0.17022541992207202,771
smol3,forward,power,0,0.0004959266731112563,1.0625400199878148,1000
smol3,forward,power,1,0.30417637169304734,3.736320489016712,1000
smol3,forward,power,2,0.11228331056324513,0.7257363497116653,1000
smol3,forward,power,3,0.3276098698609851,0.8703169843048375,1000
smol3,forward,power,4,0.1358958242110396,0.6911973821111226,1000
smol3,forward,power,5,0.2367884338542697,0.7054314866820292,1000
smol3,forward,power,6,0.2515943560657654,0.8485273101982679,1000
smol3,forward,power,7,0.17492136555469667,0.6476596877714768,1000
smol3,forward,power,8,0.20851003244444344,1.0086831332995825,1000
smol3,forward,power,9,0.3569501576860871,1.1959676699313477,1000
smol3,forward,power,10,0.3302105145493715,0.9887754005997186,801
pythia,reverse,substance,0,0.12632859634592486,0.18768737021619206,1000
pythia,reverse,substance,1,0.07471421171463818,0.08502343859901056,1000
pythia,reverse,substance,2,0.046100423941547564,0.10087586469926671,1000
pythia,reverse,substance,3,0.06464150180414016,0.15677612142080063,1000
pythia,reverse,substance,4,0.10098091199693013,0.16984530015681354,1000
pythia,reverse,substance,5,0.04793461186144879,0.18262937297728307,1000
pythia,reverse,substance,6,-0.012298553277602393,0.19444773050717923,1000
pythia,reverse,substance,7,0.05408169341765255,0.1727423926812374,1000
pythia,reverse,substance,8,0.42215513033373486,1.7515737753145815,1000
pythia,reverse,substance,9,0.10851174704624618,0.2589521653515638,969
pythia,forward,power,0,0.07484216293683067,0.7079622372375375,3500
pythia,forward,power,1,0.019953888232924256,0.31321009059122107,3500
pythia,forward,power,2,0.026715824668798526,0.20841711266489732,3500
pythia,forward,power,3,0.02106288044819922,0.17143468317311886,3500
pythia,forward,power,4,0.020327957294877953,0.19114466499123106,3500
pythia,forward,power,5,0.016826328631157423,0.19567474134236906,3500
pythia,forward,power,6,0.051278990335215165,0.5277358883499262,3500
pythia,forward,power,7,0.027253972895317887,0.31367518220144486,3500
pythia,forward,power,8,0.011607823876879867,0.17076573605246367,3500
pythia,forward,power,9,0.02482048345619184,0.27026984055534986,3469
pythia,forward,power,10,0.03782782249269248,0.266980691052922,2665
pythia,forward,power,11,0.03687906530167088,0.2083946811723072,537
olmo-tiny,reverse,institutional,0,0.935582935479397,1.3248808866689115,7200
olmo-tiny,reverse,institutional,1,1.0414738884035577,1.5648046245582563,7200
olmo-tiny,reverse,institutional,2,0.8174428825327699,1.2655794613142355,7200
olmo-tiny,reverse,institutional,3,1.035203249520657,1.4944276362473812,7200
olmo-tiny,reverse,institutional,4,0.9747855000520862,1.3594125249207394,7200
olmo-tiny,reverse,institutional,5,1.0361690654580562,1.451527709826899,7200
olmo-tiny,reverse,institutional,6,1.067747104305292,1.4852775642828817,7200
olmo-tiny,reverse,institutional,7,0.8615640999191775,1.1912615562005384,7200
olmo-tiny,reverse,institutional,8,0.9515571586611609,1.2906685576338468,7200
olmo-tiny,reverse,institutional,9,0.9355446242602867,1.3458631831664682,7200
olmo,forward,violence_explicit,0,0.06379345286155083,2.2030483578793025,10500
olmo,forward,violence_explicit,1,0.0848145380984687,1.6908065839707302,10500
olmo,forward,violence_explicit,2,0.276795753555943,1.6838790257014244,10500
olmo,forward,violence_explicit,3,0.40860933132328736,1.9854950455496823,10500
olmo,forward,violence_explicit,4,0.4046047161500117,1.878960511239387,10498
olmo,forward,violence_explicit,5,0.5824466828561087,2.1911437554436786,10498
olmo,forward,violence_explicit,6,0.4925214028852839,1.9189425703909104,10498
olmo,forward,violence_explicit,7,0.7995780007040698,2.752291891298125,10490
olmo,forward,violence_explicit,8,0.5700527440292248,2.1200167979145865,10476
