model,gender,n,median,mean,min,max
olmo_base,neutral,25,60000.0,72592.0,20000,300000
olmo_base,man,23,50000.0,53848.69565217391,100,150000
olmo_base,woman,23,50000.0,52859.13043478261,10000,100000
olmo_aligned,neutral,23,90000.0,96956.52173913043,60000,120000
olmo_aligned,man,24,80000.0,72000.0,30000,120000
olmo_aligned,woman,25,80000.0,82880.0,60000,120000
llama_base,neutral,24,52500.0,103541.66666666667,20000,1200000
llama_base,man,25,40000.0,75280.0,2000,500000
llama_base,woman,25,65000.0,205720.0,20000,3000000
llama_aligned,neutral,25,75000.0,105120.0,43000,250000
llama_aligned,man,25,60000.0,73040.0,43000,200000
llama_aligned,woman,25,50000.0,74260.0,30000,250000
r1_llama,neutral,4,1099.5,9499.75,800,35000
r1_llama,man,1,40000.0,40000.0,40000,40000
r1_llama,woman,3,700.0,4816.666666666667,250,13500
qwen_base,neutral,24,45000.0,113808.33333333333,1000,560000
qwen_base,man,24,55000.0,155086.75,3000,1000000
qwen_base,woman,25,80000.0,147444.76,35000,1000000
qwen_aligned,neutral,25,48000.0,107760.0,25000,1000000
qwen_aligned,man,25,60000.0,93040.0,10000,250000
qwen_aligned,woman,25,60000.0,62800.0,30000,120000
