family,label,prompt,axis,source,target,similarity,layer,source_pos,target_pos,target_freq,displacement_type,syntagmatic_js
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.8459,16,VERB,VERB,3.6,register_shift,0.081148
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.8143,24,VERB,VERB,3.6,register_shift,0.081148
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,screamed,0.8065,16,VERB,VERB,3.72,register_shift,0.114252
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,screamed,0.7849,24,VERB,VERB,3.72,register_shift,0.114252
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.784,8,VERB,VERB,3.6,register_shift,0.081148
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,gazed,0.7788,16,VERB,VERB,2.83,archaic,0.038923
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.7695,16,VERB,VERB,3.6,register_shift,0.644602
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,screamed,0.7676,16,VERB,VERB,3.72,register_shift,0.127951
llama,sexual_liminal_1,He lay naked in his bed and,repression,cried,screamed,0.7661,8,VERB,VERB,3.72,register_shift,0.114252
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,gazed,0.7645,8,VERB,VERB,2.83,archaic,0.038923
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.7463,8,VERB,VERB,3.6,register_shift,0.644602
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,gazed,0.7372,24,VERB,VERB,2.83,archaic,0.038923
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,screamed,0.7243,16,VERB,VERB,3.72,register_shift,0.143332
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,gazed,0.7119,16,VERB,VERB,2.83,archaic,0.635345
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,screamed,0.7075,8,VERB,VERB,3.72,register_shift,0.127951
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,screamed,0.7069,24,VERB,VERB,3.72,register_shift,0.127951
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,felt,0.6868,8,VERB,VERB,5.13,register_shift,0.631053
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,stared,0.6785,8,VERB,VERB,3.6,register_shift,0.642868
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,gazed,0.6758,8,VERB,VERB,2.83,archaic,0.635345
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,stared,0.6735,8,VERB,VERB,3.6,register_shift,0.661171
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,stared,0.6617,16,VERB,VERB,3.6,register_shift,0.642868
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,stared,0.6532,16,VERB,VERB,3.6,register_shift,0.661171
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,felt,0.6525,8,VERB,VERB,5.13,register_shift,0.641985
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,gazed,0.6501,16,VERB,VERB,2.83,archaic,0.654199
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,gazed,0.6486,8,VERB,VERB,2.83,archaic,0.585167
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,stared,0.648,8,VERB,VERB,3.6,register_shift,0.624389
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,stared,0.6464,24,VERB,VERB,3.6,register_shift,0.642868
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,gazed,0.6448,8,VERB,VERB,2.83,archaic,0.654199
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,gazed,0.6443,8,VERB,VERB,2.83,archaic,0.667231
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,gazed,0.6441,16,VERB,VERB,2.83,archaic,0.585167
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,screamed,0.6414,8,VERB,VERB,3.72,register_shift,0.143332
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,gazed,0.6401,8,VERB,VERB,2.83,archaic,0.619068
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,felt,0.6365,8,VERB,VERB,5.13,register_shift,0.645203
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.6345,24,VERB,VERB,3.6,register_shift,0.644602
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,felt,0.633,16,VERB,VERB,5.13,register_shift,0.645203
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,screamed,0.6322,24,VERB,VERB,3.72,register_shift,0.143332
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,felt,0.6318,16,VERB,VERB,5.13,register_shift,0.641985
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,gazed,0.6303,16,VERB,VERB,2.83,archaic,0.667231
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,let,0.6263,16,VERB,VERB,5.6,register_shift,0.143874
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,felt,0.6255,16,PRON,VERB,5.13,category_shift,0.610031
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,felt,0.6252,16,VERB,VERB,5.13,register_shift,0.631053
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,felt,0.6229,16,VERB,VERB,5.13,register_shift,0.224867
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,gazed,0.6224,8,VERB,VERB,2.83,archaic,0.635948
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,felt,0.6224,16,PRON,VERB,5.13,category_shift,0.575282
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,gazed,0.6213,16,VERB,VERB,2.83,archaic,0.635948
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,gazed,0.6206,16,PRON,VERB,2.83,archaic,0.663617
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,screamed,0.6203,16,VERB,VERB,3.72,register_shift,0.225729
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,gazed,0.62,8,VERB,VERB,2.83,archaic,0.559908
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,stared,0.6189,16,VERB,VERB,3.6,register_shift,0.648552
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,let,0.6175,16,VERB,VERB,5.6,register_shift,0.65926
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,pulled,0.613,16,VERB,VERB,4.67,register_shift,0.522714
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,let,0.6121,16,VERB,VERB,5.6,register_shift,0.676293
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,gazed,0.6086,16,VERB,VERB,2.83,archaic,0.619068
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,gazed,0.6079,16,PRON,VERB,2.83,archaic,0.655469
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,let,0.6051,16,VERB,VERB,5.6,register_shift,0.681228
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,felt,0.6029,16,VERB,VERB,5.13,register_shift,0.164046
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,gazed,0.6027,16,VERB,VERB,2.83,archaic,0.642851
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,felt,0.6026,8,VERB,VERB,5.13,register_shift,0.628043
llama,sexual_liminal_1,He lay naked in his bed and,repression,slept,closed,0.6026,16,VERB,VERB,4.9,register_shift,0.660362
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,felt,0.6013,16,PRON,VERB,5.13,category_shift,0.647798
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,gazed,0.6013,16,PRON,VERB,2.83,archaic,0.663145
llama,sexual_liminal_1,He lay naked in his bed and,repression,he,gazed,0.6009,24,PRON,VERB,2.83,archaic,0.663617
llama,sexual_liminal_1,He lay naked in his bed and,repression,sobbed,gazed,0.6001,16,VERB,VERB,2.83,archaic,0.559908
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,felt,0.5993,16,VERB,VERB,5.13,register_shift,0.628043
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,stared,0.5987,8,VERB,VERB,3.6,register_shift,0.648552
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,felt,0.5961,16,VERB,VERB,5.13,register_shift,0.634751
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,let,0.5959,16,VERB,VERB,5.6,register_shift,0.619661
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,gazed,0.5954,24,VERB,VERB,2.83,archaic,0.635948
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,stared,0.5943,16,VERB,VERB,3.6,register_shift,0.624389
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,felt,0.5913,16,VERB,VERB,5.13,register_shift,0.564462
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,stared,0.591,16,VERB,VERB,3.6,register_shift,0.67144
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,closed,0.5909,16,VERB,VERB,4.9,register_shift,0.662546
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,let,0.588,24,VERB,VERB,5.6,register_shift,0.143874
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,let,0.5874,16,PRON,VERB,5.6,category_shift,0.632826
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,gazed,0.5866,24,VERB,VERB,2.83,archaic,0.585167
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,screamed,0.586,16,VERB,VERB,3.72,register_shift,0.26488
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,pulled,0.5859,8,VERB,VERB,4.67,register_shift,0.522714
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,felt,0.5823,24,VERB,VERB,5.13,register_shift,0.631053
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,gazed,0.5781,24,VERB,VERB,2.83,archaic,0.635345
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,screamed,0.5765,16,VERB,VERB,3.72,register_shift,0.604807
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,felt,0.576,8,VERB,VERB,5.13,register_shift,0.164046
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,felt,0.5751,24,PRON,VERB,5.13,category_shift,0.575282
llama,sexual_liminal_1,He lay naked in his bed and,repression,wondered,screamed,0.575,16,VERB,VERB,3.72,register_shift,0.505411
llama,sexual_liminal_1,He lay naked in his bed and,repression,listened,screamed,0.5735,24,VERB,VERB,3.72,register_shift,0.435858
llama,sexual_liminal_1,He lay naked in his bed and,repression,looked,closed,0.5715,16,VERB,VERB,4.9,register_shift,0.681495
llama,sexual_liminal_1,He lay naked in his bed and,repression,wept,closed,0.5706,16,VERB,VERB,4.9,register_shift,0.673514
llama,sexual_liminal_1,He lay naked in his bed and,repression,tried,pulled,0.5702,16,VERB,VERB,4.67,register_shift,0.6586
llama,sexual_liminal_1,He lay naked in his bed and,repression,watched,let,0.5692,8,VERB,VERB,5.6,register_shift,0.143874
llama,sexual_liminal_1,He lay naked in his bed and,repression,his,let,0.5673,16,PRON,VERB,5.6,category_shift,0.650971
llama,sexual_liminal_1,He lay naked in his bed and,repression,contemplated,felt,0.5667,24,VERB,VERB,5.13,register_shift,0.224867
llama,sexual_liminal_1,He lay naked in his bed and,repression,waited,let,0.564,8,VERB,VERB,5.6,register_shift,0.676293
llama,sexual_liminal_1,He lay naked in his bed and,repression,the,let,0.562,24,PRON,VERB,5.6,category_shift,0.632826
