family,n_pairs,pearson_r,pearson_p,spearman_rho,category
llama,22341,-0.5329,0.00e+00,-0.5192,
llama,1071,-0.4841,,,death
llama,5805,-0.5884,,,neutral
llama,1530,-0.492,,,power
llama,1107,-0.4611,,,profanity
llama,3648,-0.4949,,,sexual_explicit
llama,1971,-0.5956,,,sexual_liminal
llama,3861,-0.44,,,substance
llama,579,-0.6801,,,violence_explicit
llama,2769,-0.5343,,,violence_liminal
olmo,23013,-0.4071,0.00e+00,-0.4107,
olmo,3356,-0.3296,,,death
olmo,2753,-0.5038,,,neutral
olmo,2559,-0.2824,,,power
olmo,612,-0.1923,,,profanity
olmo,2751,-0.2946,,,sexual_explicit
olmo,3368,-0.4525,,,sexual_liminal
olmo,3570,-0.2883,,,substance
olmo,369,-0.5072,,,violence_explicit
olmo,3675,-0.5631,,,violence_liminal
olmo-tiny,25087,-0.3382,0.00e+00,-0.3467,
olmo-tiny,3852,-0.2799,,,death
olmo-tiny,1651,-0.514,,,neutral
olmo-tiny,1791,-0.2338,,,power
olmo-tiny,498,-0.2002,,,profanity
olmo-tiny,5169,-0.2158,,,sexual_explicit
olmo-tiny,3099,-0.4351,,,sexual_liminal
olmo-tiny,5130,-0.2744,,,substance
olmo-tiny,621,-0.5437,,,violence_explicit
olmo-tiny,3276,-0.3911,,,violence_liminal
qwen,12414,-0.3663,0.00e+00,-0.3354,
qwen,690,-0.4521,,,death
qwen,1833,-0.4937,,,neutral
qwen,765,-0.3425,,,power
qwen,723,-0.306,,,profanity
qwen,774,-0.3944,,,sexual_explicit
qwen,1722,-0.3474,,,sexual_liminal
qwen,2502,-0.2976,,,substance
qwen,417,-0.4659,,,violence_explicit
qwen,2988,-0.2958,,,violence_liminal
tulu,21015,-0.4945,0.00e+00,-0.4754,
tulu,1554,-0.5137,,,death
tulu,3054,-0.4717,,,neutral
tulu,2460,-0.4447,,,power
tulu,1227,-0.4355,,,profanity
tulu,3438,-0.5463,,,sexual_explicit
tulu,2502,-0.544,,,sexual_liminal
tulu,3588,-0.4523,,,substance
tulu,627,-0.7014,,,violence_explicit
tulu,2565,-0.4564,,,violence_liminal
zephyr,21887,-0.4984,0.00e+00,-0.4794,
zephyr,1608,-0.5099,,,death
zephyr,3980,-0.586,,,neutral
zephyr,2505,-0.4251,,,power
zephyr,1311,-0.4331,,,profanity
zephyr,1749,-0.2711,,,sexual_explicit
zephyr,2448,-0.6074,,,sexual_liminal
zephyr,3984,-0.4641,,,substance
zephyr,621,-0.538,,,violence_explicit
zephyr,3681,-0.4058,,,violence_liminal
