family,label,prompt,axis,source,target,similarity,layer,source_pos,target_pos,target_freq,displacement_type,syntagmatic_js
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.8318,16,VERB,VERB,3.6,register_shift,0.086281
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.7942,24,VERB,VERB,3.6,register_shift,0.086281
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.7722,8,VERB,VERB,3.6,register_shift,0.086281
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,gazed,0.7708,16,VERB,VERB,2.83,archaic,0.039519
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,gazed,0.7372,24,VERB,VERB,2.83,archaic,0.039519
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,watched,0.7351,16,VERB,VERB,4.72,register_shift,0.630048
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,gazed,0.7225,8,VERB,VERB,2.83,archaic,0.039519
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,watched,0.7001,8,VERB,VERB,4.72,register_shift,0.630048
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,tried,0.6911,16,VERB,VERB,5.16,register_shift,0.591198
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,listened,0.6835,16,VERB,VERB,4.21,register_shift,0.619611
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,listened,0.6687,16,VERB,VERB,4.21,register_shift,0.545554
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,tried,0.6659,8,VERB,VERB,5.16,register_shift,0.591198
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,tried,0.6632,16,VERB,VERB,5.16,register_shift,0.619881
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,listened,0.6555,8,VERB,VERB,4.21,register_shift,0.619611
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,stared,0.647,16,VERB,VERB,3.6,register_shift,0.634121
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,listened,0.6394,16,VERB,VERB,4.21,register_shift,0.625492
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,gazed,0.6384,16,VERB,VERB,2.83,archaic,0.611688
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,had,tried,0.6335,16,VERB,VERB,5.16,register_shift,0.53281
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,tried,0.633,8,VERB,VERB,5.16,register_shift,0.619881
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,tried,0.6318,16,VERB,VERB,5.16,register_shift,0.638883
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,was,tried,0.6302,16,AUX,VERB,5.16,category_shift,0.605485
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,was,gazed,0.6205,16,AUX,VERB,2.83,archaic,0.606218
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,tried,0.615,8,VERB,VERB,5.16,register_shift,0.638883
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,listened,0.6147,8,VERB,VERB,4.21,register_shift,0.545554
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,had,tried,0.6121,8,VERB,VERB,5.16,register_shift,0.53281
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,gazed,0.6111,16,VERB,VERB,2.83,archaic,0.623008
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,listened,0.609,8,VERB,VERB,4.21,register_shift,0.625492
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,closed,0.6077,16,VERB,VERB,4.9,register_shift,0.683416
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,watched,0.6047,16,VERB,VERB,4.72,register_shift,0.589453
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,he,tried,0.5968,16,PRON,VERB,5.16,category_shift,0.675633
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,watched,0.596,8,VERB,VERB,4.72,register_shift,0.589453
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,stared,0.5888,8,VERB,VERB,3.6,register_shift,0.634121
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,was,tried,0.5849,8,AUX,VERB,5.16,category_shift,0.605485
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,had,gazed,0.5826,16,VERB,VERB,2.83,archaic,0.646957
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,he,gazed,0.5797,16,PRON,VERB,2.83,archaic,0.664388
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,stared,0.5783,16,VERB,VERB,3.6,register_shift,0.63569
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,watched,0.572,24,VERB,VERB,4.72,register_shift,0.630048
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,watched,0.5713,16,VERB,VERB,4.72,register_shift,0.199292
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,was,listened,0.5636,16,AUX,VERB,4.21,category_shift,0.646304
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,was,stared,0.5631,16,AUX,VERB,3.6,category_shift,0.629034
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,watched,0.5592,8,VERB,VERB,4.72,register_shift,0.199292
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,his,gazed,0.5542,16,PRON,VERB,2.83,archaic,0.652777
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,closed,0.547,16,VERB,VERB,4.9,register_shift,0.667399
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,closed,0.5401,16,VERB,VERB,4.9,register_shift,0.491367
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,was,closed,0.5356,16,AUX,VERB,4.9,category_shift,0.683204
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,was,watched,0.5354,16,AUX,VERB,4.72,category_shift,0.623994
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,had,closed,0.5306,16,VERB,VERB,4.9,register_shift,0.568363
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,had,listened,0.5282,16,VERB,VERB,4.21,register_shift,0.585606
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,listened,0.5271,24,VERB,VERB,4.21,register_shift,0.545554
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,watched,0.5267,24,VERB,VERB,4.72,register_shift,0.199292
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,looked,listened,0.5264,24,VERB,VERB,4.21,register_shift,0.619611
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,had,stared,0.5253,16,VERB,VERB,3.6,register_shift,0.657537
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,felt,stared,0.5215,8,VERB,VERB,3.6,register_shift,0.63569
zephyr,sexual_liminal_1,He lay naked in his bed and,repression,thought,gazed,0.5211,8,VERB,VERB,2.83,archaic,0.611688
