model,family,tokenizer,english,contract,numeric,cjk,mixed,verdict
LLM360/Amber,amber,LlamaTokenizer,exact,exact,exact,exact,exact,clean
LLM360/AmberChat,amber,LlamaTokenizer,exact,exact,exact,exact,exact,clean
LLM360/AmberSafe,amber,LlamaTokenizer,exact,exact,exact,exact,exact,clean
EleutherAI/pythia-2.8b,archangel-dpo,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
ContextualAI/archangel_sft_pythia2-8b,archangel-dpo,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
ContextualAI/archangel_sft-dpo_pythia2-8b,archangel-dpo,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
ContextualAI/archangel_sft-kto_pythia2-8b,archangel-kto,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
ContextualAI/archangel_sft-ppo_pythia2-8b,archangel-ppo,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
ContextualAI/archangel_sft-slic_pythia2-8b,archangel-slic,GPTNeoXTokenizer,exact,exact,exact,exact,exact,clean
baichuan-inc/Baichuan2-7B-Base,baichuan,BaichuanTokenizer,exact,exact,exact,exact,exact,clean
baichuan-inc/Baichuan2-7B-Chat,baichuan,BaichuanTokenizer,exact,exact,exact,exact,exact,clean
huggyllama/llama-7b,beaver,LlamaTokenizer,exact,exact,exact,exact,exact,clean
PKU-Alignment/alpaca-7b-reproduced,beaver,LlamaTokenizer,exact,exact,exact,exact,exact,clean
PKU-Alignment/beaver-7b-v1.0,beaver,LlamaTokenizer,exact,exact,exact,exact,exact,clean
bigscience/bloom-7b1,bloom,TokenizersBackend,exact,exact,exact,exact,exact,clean
bigscience/bloomz-7b1,bloom,TokenizersBackend,exact,exact,exact,exact,exact,clean
m-a-p/CT-LLM-Base,ct-llm,BaichuanTokenizer,exact,exact,exact,exact,exact,clean
m-a-p/CT-LLM-SFT,ct-llm,BaichuanTokenizer,exact,exact,exact,exact,exact,clean
m-a-p/CT-LLM-SFT-DPO,ct-llm,BaichuanTokenizer,exact,exact,exact,exact,exact,clean
deepseek-ai/deepseek-llm-7b-base,deepseek-7b,TokenizersBackend,exact,exact,exact,exact,exact,clean
deepseek-ai/deepseek-llm-7b-chat,deepseek-7b,TokenizersBackend,exact,exact,exact,exact,exact,clean
tiiuae/Falcon-H1-1.5B-Base,falcon-h1-1.5b,TokenizersBackend,exact,exact,exact,exact,exact,clean
tiiuae/Falcon-H1-1.5B-Instruct,falcon-h1-1.5b,TokenizersBackend,exact,exact,exact,exact,exact,clean
