base,variant,relation,prompt,tree_js,n_branches_base,n_branches_aligned,H_base,H_aligned,n_novel,n_pruned,n_repressed,n_amplified
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,sft_of,anger,0.37326064089064526,51,58,4.521058251464608,5.5122710264463795,38,31,3,9
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,dpo_of,anger,0.40808823395737176,51,69,4.521058251464608,5.85491764992432,48,30,3,7
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,rlvr_of,anger,0.4262171215892596,51,56,4.521058251464608,5.511272372033819,38,33,3,7
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,aligned_of,anger,0.30178244360663736,56,64,5.372124548857892,5.637822591200198,39,31,3,2
LLM360/Amber,LLM360/AmberChat,sft_of,anger,0.32644933317697317,65,39,5.697145835766636,4.524331153992789,16,42,4,8
LLM360/Amber,LLM360/AmberSafe,dpo_of,anger,0.386962138009199,65,32,5.697145835766636,3.852662030370463,14,47,5,4
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,aligned_of,anger,0.27765486318981575,51,50,5.017662468765669,4.924534588642279,27,29,3,2
01-ai/Yi-9B,01-ai/Yi-1.5-9B-Chat,aligned_of,anger,0.2878975551345219,55,53,5.346950337122795,5.166569929342284,33,35,2,5
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,sft_of,sexual,0.38576452144937007,53,61,5.333758873221498,5.416567272234016,43,35,6,3
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,dpo_of,sexual,0.42567632498929386,53,60,5.333758873221498,5.487959583206574,46,39,7,4
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,rlvr_of,sexual,0.3838924129615269,53,64,5.333758873221498,5.668018091286736,46,35,5,2
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,aligned_of,sexual,0.3218373955567148,55,38,5.257984367600398,4.150067051734219,26,43,7,3
LLM360/Amber,LLM360/AmberChat,sft_of,sexual,0.2928368803167104,55,27,5.24383533476906,3.1923412073966513,12,40,3,1
LLM360/Amber,LLM360/AmberSafe,dpo_of,sexual,0.37163163033259006,55,25,5.24383533476906,3.5476013079053192,14,44,4,7
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,aligned_of,sexual,0.34090372557705134,57,50,5.33127237188955,5.203158580201112,31,38,3,3
01-ai/Yi-9B,01-ai/Yi-1.5-9B-Chat,aligned_of,sexual,0.3326748335807002,53,45,5.174699019265353,4.675623499094404,27,35,6,3
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,sft_of,neutral,0.10595869698841157,20,8,1.9377353838852873,0.6742141910181203,4,14,2,2
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,dpo_of,neutral,0.10277751396240473,20,5,1.9377353838852873,0.32229218836106727,3,16,2,1
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,rlvr_of,neutral,0.10426369482367756,20,6,1.9377353838852873,0.4024933609947072,3,16,2,0
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,aligned_of,neutral,0.33568776866245476,33,6,3.838633078354938,0.6650919974680323,1,28,6,1
LLM360/Amber,LLM360/AmberChat,sft_of,neutral,0.26662674310115486,47,20,4.210900698076225,1.6238693958294232,11,40,4,1
LLM360/Amber,LLM360/AmberSafe,dpo_of,neutral,0.23528188867299132,47,14,4.210900698076225,1.57866519710299,6,40,3,1
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,aligned_of,neutral,0.13462700890069773,26,12,2.6921729536369714,1.1467606778876973,7,21,2,0
01-ai/Yi-9B,01-ai/Yi-1.5-9B-Chat,aligned_of,neutral,0.05210898262711745,7,10,0.5424384944343689,0.7811884016353223,7,4,0,0
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,sft_of,contradiction,0.3515120787685515,48,42,4.809275063785777,4.58969680603453,28,34,3,4
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,dpo_of,contradiction,0.386994161195941,48,47,4.809275063785777,4.822637086493353,32,33,3,6
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,rlvr_of,contradiction,0.35616134852940107,48,41,4.809275063785777,4.591880028725883,27,34,3,5
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,aligned_of,contradiction,0.2997327878674627,51,47,5.155175968010799,4.894946743516573,30,34,4,4
LLM360/Amber,LLM360/AmberChat,sft_of,contradiction,0.27575672840564003,45,41,4.6636942501402325,4.502998827333719,24,28,4,6
LLM360/Amber,LLM360/AmberSafe,dpo_of,contradiction,0.32010827561526106,45,51,4.6636942501402325,5.139832145373665,31,25,5,7
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,aligned_of,contradiction,0.23878052866133526,58,39,5.205183328075741,4.406857507050013,16,35,1,5
01-ai/Yi-9B,01-ai/Yi-1.5-9B-Chat,aligned_of,contradiction,0.3327079454495161,55,52,5.217505768351756,5.013565851603424,35,38,3,2
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-SFT,sft_of,labor,0.29657391195455274,52,38,5.18846562323596,4.317269345095194,20,33,6,5
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-DPO,dpo_of,labor,0.38822984817167844,52,35,5.18846562323596,4.183795902386587,24,40,6,7
allenai/OLMo-2-0425-1B,allenai/OLMo-2-0425-1B-Instruct,rlvr_of,labor,0.354610122039434,52,35,5.18846562323596,3.8696890313314922,23,39,6,4
HuggingFaceTB/SmolLM2-360M,HuggingFaceTB/SmolLM2-360M-Instruct,aligned_of,labor,0.2528864394933859,47,38,4.744143588902013,4.441942844561783,19,28,2,2
LLM360/Amber,LLM360/AmberChat,sft_of,labor,0.2944814951910304,45,40,4.72873923696022,4.404836012570151,28,33,2,3
LLM360/Amber,LLM360/AmberSafe,dpo_of,labor,0.2585216532779059,45,23,4.72873923696022,3.435566814182826,10,32,2,2
HuggingFaceTB/SmolLM3-3B-Base,HuggingFaceTB/SmolLM3-3B,aligned_of,labor,0.2710715076895711,47,36,4.97346948956683,4.588320798458982,18,30,2,4
01-ai/Yi-9B,01-ai/Yi-1.5-9B-Chat,aligned_of,labor,0.22550970487318472,43,32,4.549534455713402,4.0020668867362135,20,31,1,1
