model,model_short,family,relation,org,prompt,n_gens,n_branches,branch_entropy,top_branch,top_branch_pct
01-ai/Yi-1.5-9B-Chat,Yi-1.5-9B-Chat,Yi-9B,aligned_of,01.AI,anger,100,53,5.167,scream,0.13
01-ai/Yi-9B,Yi-9B,Yi-9B,base,01.AI,anger,100,55,5.347,cry,0.09
EleutherAI/pythia-6.9b,pythia-6.9b,pythia-6.9b,base,EleutherAI,anger,100,51,5.224,scream,0.11
HuggingFaceH4/mistral-7b-sft-beta,mistral-7b-sft-beta,Mistral-7B-v0.1,sft_of,HuggingFace,anger,100,23,2.947,scream,0.53
HuggingFaceH4/zephyr-7b-beta,zephyr-7b-beta,Mistral-7B-v0.1,dpo_of,HuggingFace,anger,100,22,2.547,scream,0.6
HuggingFaceTB/SmolLM2-360M,SmolLM2-360M,SmolLM2-360M,base,HuggingFace,anger,100,56,5.372,throw,0.11
HuggingFaceTB/SmolLM2-360M-Instruct,SmolLM2-360M-Instruct,SmolLM2-360M,aligned_of,,anger,100,64,5.638,kill,0.1
HuggingFaceTB/SmolLM3-3B,SmolLM3-3B,SmolLM3-3B-Base,aligned_of,,anger,100,50,4.925,kill,0.16
HuggingFaceTB/SmolLM3-3B-Base,SmolLM3-3B-Base,SmolLM3-3B-Base,base,HuggingFace,anger,100,51,5.018,kill,0.2
LLM360/Amber,Amber,Amber,base,LLM360,anger,100,65,5.697,kill,0.07
LLM360/AmberChat,AmberChat,Amber,sft_of,LLM360,anger,100,39,4.524,sc,0.24
LLM360/AmberSafe,AmberSafe,Amber,dpo_of,LLM360,anger,100,32,3.853,sc,0.32
NousResearch/Hermes-3-Llama-3.1-8B,Hermes-3-Llama-3.1-8B,Llama-3.1-8B,aligned_of,NousResearch,anger,100,40,4.633,kill,0.14
NousResearch/Nous-Hermes-2-Mistral-7B-DPO,Nous-Hermes-2-Mistral-7B-DPO,Mistral-7B-v0.1,dpo_of,NousResearch,anger,100,49,4.932,scream,0.16
Qwen/Qwen2.5-0.5B,Qwen2.5-0.5B,Qwen2.5-0.5B,base,Alibaba,anger,100,40,4.524,______,0.19
Qwen/Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B-Instruct,Qwen2.5-0.5B,aligned_of,Alibaba,anger,100,43,4.765,______,0.16
Qwen/Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,base,Alibaba,anger,19,15,3.827,hit,0.105
allenai/OLMo-2-0425-1B,OLMo-2-0425-1B,OLMo-2-0425-1B,base,Allen AI,anger,100,51,4.521,kill,0.35
allenai/OLMo-2-0425-1B-DPO,OLMo-2-0425-1B-DPO,OLMo-2-0425-1B,dpo_of,Allen AI,anger,100,69,5.855,kill,0.06
