word	proj	n_cells
At	2.106089	3
atre	1.817786	1
Ed	1.770800	1
A	1.767287	631
Ar	1.739735	1
In	1.728074	78
في	1.706682	1
Judge	1.688171	7
pudding	1.673776	1
bye	1.656332	6
Via	1.637124	26
partway	1.623208	12
at	1.619182	3872
<	1.589595	36
قال	1.574006	1
Republicans	1.573798	16
在	1.565068	1
coworker's	1.564017	1
drifter	1.548304	1
23	1.542585	264
Good	1.541849	10
antacid	1.533137	2
umbrellas	1.532164	1
وفي	1.530462	1
Richard	1.505902	2
bit	1.505210	615
“oh	1.504964	3
SHE	1.501277	4
bits	1.497777	5
<p	1.497059	1
وقال	1.493658	1
A1	1.492772	2
“Oh	1.492191	19
IN	1.490090	2
blisters	1.487352	3
ard	1.476779	14
Ruth	1.476417	4
<h1>How	1.474968	2
<h3>	1.468458	2
Pa	1.450632	1
r	1.445934	2
one-third	1.444102	1
Where	1.442621	5
S	1.439168	1
in	1.436880	11142
21	1.435575	264
<h1>	1.412501	2
pat	1.410467	11
et	1.406008	1
Strada	1.398452	8
r____	1.396351	1
Paul	1.395355	9
<strong>By	1.384672	1
bloodied	1.380954	1
three	1.377618	129
3	1.376931	555
Elle	1.371286	1
bus	1.370320	12
bleary	1.369328	1
ass	1.367232	76
whomever	1.363598	1
Riva	1.360420	3
brine	1.358636	1
fucked	1.356617	193
Dr	1.352532	210
En	1.341964	2
Rue	1.340123	1
University	1.338169	6
buds	1.334357	1
bloody	1.326401	1
raping	1.322648	3
<>	1.322260	1
Id	1.322154	1
και	1.319405	1
Nous	1.312828	1
John's	1.312601	1
<<<	1.312364	1
her____	1.308502	1
soda	1.307970	23
Joe	1.307841	30
Jill	1.307389	3
third	1.305228	16
sore	1.298800	32
~	1.296528	1
<strong>A	1.295996	1
“f	1.294398	1
bust	1.289107	13
birthday	1.284777	49
rats	1.282146	1
Sasha	1.278913	2
legendary	1.271650	3
___	1.266835	562
J	1.266375	2
height	1.265158	1
L	1.264951	1
statues	1.264462	14
And	1.259460	3
Pete	1.259220	1
thrown	1.258353	9
legend	1.252057	1
ade	1.250168	1
a$	1.248391	1
<h1>What	1.246986	1
Bush	1.245681	1
“F	1.242790	8
ards	1.242319	6
Plaza	1.242017	3
either	1.241100	415
urg	1.238745	1
rid	1.238210	40
jabbing	1.232271	1
bleeding	1.231771	57
heater	1.228276	4
Ma	1.226736	7
Kate	1.225209	1
dates	1.225096	64
bandage	1.225065	1
whoever	1.225012	25
Trump	1.222184	35
_count	1.221944	2
trice	1.221407	17
X	1.220323	43
university	1.216776	2
same	1.214227	105
punching	1.212177	60
locations	1.211418	13
Will	1.210837	1
d	1.209853	12
234	1.209487	1
eleven	1.204232	2
Une	1.202710	1
O	1.201073	1
underbrush	1.198772	3
pub	1.189656	3
bade	1.186583	15
go	1.182594	8116
carb	1.181055	4
Old	1.177743	2
patted	1.177527	574
thre	1.177370	5
32	1.174438	440
gulls	1.173323	22
27	1.173086	329
Audi	1.173009	5
><a	1.171813	1
Lisa	1.171789	3
31	1.167731	280
al	1.166811	1
John	1.163410	115
goodness	1.163158	2
sugar	1.162979	63
Lido	1.161710	9
historic	1.157784	14
He	1.157672	133
statue	1.157082	14
Pour	1.156418	1
say______	1.154866	1
united	1.153911	2
then____	1.153655	1
we'd	1.153325	19
quail	1.150493	6
20	1.149797	609
bye-bye	1.148010	1
Punta	1.147788	1
KILL	1.147716	1
roadway	1.147455	2
Pincio	1.146360	1
____．	1.145020	2
Ana	1.143911	1
two-thirds	1.142306	1
s___	1.140550	1
11	1.140465	254
Surah	1.139653	1
jabbed	1.139470	180
riding	1.139161	10
Mr	1.138656	1014
geese	1.137871	20
Place	1.137245	2
redid	1.135579	2
rapy	1.135124	1
bra	1.134199	74
203	1.133654	1
When	1.133211	27
swine	1.132872	2
“We	1.132104	1
ish-red	1.131682	10
blistered	1.127802	14
bullet	1.124915	16
