language,slice,n_prompts,scale,rows,sig,expected_sig,mean_rho,z_scale,share_falling
en,ALL,2187,bodily_harm,2187,288,109.4,-0.04142,-23.05,0.91
en,ALL,2187,charge,2187,293,109.4,0.01291,5.9,0.4
en,ALL,2187,charge_extremity,2187,142,109.4,-0.01066,-5.48,0.74
en,ALL,2187,concreteness,2187,416,109.4,-0.04011,-17.15,0.86
en,ALL,2187,concreteness_extremity,2187,289,109.4,-0.01927,-9.28,0.66
en,ALL,2187,n_arousal,642,134,32.1,-0.06906,-15.09,0.93
en,ALL,2187,n_arousal_extremity,642,60,32.1,0.0016,0.25,0.7
en,ALL,2187,n_concreteness,2184,335,109.2,-0.046,-18.82,0.83
en,ALL,2187,n_concreteness_extremity,2184,156,109.2,-0.00577,-3.0,0.49
en,ALL,2187,n_dominance,642,76,32.1,0.01617,3.71,0.34
en,ALL,2187,n_dominance_extremity,642,47,32.1,-0.0016,-0.73,0.53
en,ALL,2187,n_valence,642,83,32.1,0.03753,8.73,0.12
en,ALL,2187,n_valence_extremity,642,62,32.1,-0.03135,-7.69,0.76
en,ALL,2187,register_level,2187,157,109.4,0.02906,17.52,0.11
en,ALL,2187,transgressiveness,2187,221,109.4,-0.04147,-23.68,0.94
en,ALL,2187,valence,2187,213,109.4,0.02853,15.25,0.15
en,ALL,2187,valence_extremity,2187,180,109.4,0.00252,1.41,0.5
en,ALL,2187,vulgarity,2187,77,109.4,0.00184,1.53,0.48
en,transgressive,1554,bodily_harm,1554,234,77.7,-0.04349,-20.04,0.91
en,transgressive,1554,charge,1554,189,77.7,0.03073,13.53,0.19
en,transgressive,1554,charge_extremity,1554,81,77.7,-0.00988,-4.47,0.72
en,transgressive,1554,concreteness,1554,315,77.7,-0.04409,-17.09,0.88
en,transgressive,1554,concreteness_extremity,1554,216,77.7,-0.02264,-9.27,0.67
en,transgressive,1554,n_arousal,161,17,8.1,-0.04293,-4.22,0.88
en,transgressive,1554,n_arousal_extremity,161,16,8.1,-0.01693,-1.82,0.88
en,transgressive,1554,n_concreteness,1554,245,77.7,-0.05582,-19.33,0.9
en,transgressive,1554,n_concreteness_extremity,1554,108,77.7,-0.00914,-3.82,0.49
en,transgressive,1554,n_dominance,161,20,8.1,0.0469,5.35,0.1
en,transgressive,1554,n_dominance_extremity,161,12,8.1,0.02998,3.44,0.17
en,transgressive,1554,n_valence,161,14,8.1,0.02393,3.08,0.21
en,transgressive,1554,n_valence_extremity,161,10,8.1,-0.02791,-3.64,0.6
en,transgressive,1554,register_level,1554,125,77.7,0.03409,18.02,0.08
en,transgressive,1554,transgressiveness,1554,154,77.7,-0.03987,-20.36,0.94
en,transgressive,1554,valence,1554,172,77.7,0.03086,14.18,0.15
en,transgressive,1554,valence_extremity,1554,108,77.7,0.01644,7.66,0.31
en,transgressive,1554,vulgarity,1554,56,77.7,0.00224,1.26,0.39
en,institutional,260,bodily_harm,260,8,13.0,-0.03271,-7.89,0.88
en,institutional,260,charge,260,52,13.0,-0.04739,-6.84,0.83
en,institutional,260,charge_extremity,260,6,13.0,0.0148,4.15,0.17
en,institutional,260,concreteness,260,38,13.0,-0.03216,-4.23,0.79
en,institutional,260,concreteness_extremity,260,32,13.0,0.0071,0.89,0.53
en,institutional,260,n_arousal,241,72,12.1,-0.10173,-13.42,0.99
en,institutional,260,n_arousal_extremity,241,7,12.1,0.0447,8.06,0.14
en,institutional,260,n_concreteness,260,28,13.0,-0.01184,-1.76,0.5
en,institutional,260,n_concreteness_extremity,260,16,13.0,0.02762,5.6,0.25
en,institutional,260,n_dominance,241,34,12.1,-0.01074,-1.48,0.53
en,institutional,260,n_dominance_extremity,241,18,12.1,-0.02213,-3.84,0.72
en,institutional,260,n_valence,241,30,12.1,0.0389,5.31,0.13
en,institutional,260,n_valence_extremity,241,19,12.1,-0.04002,-6.05,0.95
en,institutional,260,register_level,260,8,13.0,-0.00322,-0.85,0.62
en,institutional,260,transgressiveness,260,29,13.0,-0.05656,-10.11,0.97
en,institutional,260,valence,260,8,13.0,0.00976,2.14,0.38
en,institutional,260,valence_extremity,260,35,13.0,-0.0584,-10.86,0.94
en,institutional,260,vulgarity,260,3,13.0,0.02445,5.7,0.0
en,contradiction,97,bodily_harm,97,21,4.9,-0.1016,-13.82,1.0
en,contradiction,97,charge,97,27,4.9,-0.08703,-9.35,1.0
en,contradiction,97,charge_extremity,97,32,4.9,-0.11501,-13.81,1.0
en,contradiction,97,concreteness,97,26,4.9,-0.04909,-3.39,0.77
en,contradiction,97,concreteness_extremity,97,11,4.9,-0.01189,-1.84,0.55
en,contradiction,97,n_arousal,97,18,4.9,-0.077,-8.74,0.94
en,contradiction,97,n_arousal_extremity,97,22,4.9,-0.07966,-7.71,0.95
