language,scale,scale_family,rows,sig,expected_sig,ratio,sig_rate,mean_rho,null_rho_mean,z_scale,share_falling,median_n_words
en,transgressiveness,coder,2187,221,109.4,2.02,10.1,-0.04147,-0.00078,-23.68,0.94,193
en,bodily_harm,coder,2187,288,109.4,2.63,13.2,-0.04142,0.00022,-23.05,0.91,193
en,n_concreteness,norm,2184,335,109.2,3.07,15.3,-0.046,-0.0,-18.82,0.83,133
en,register_level,coder,2187,157,109.4,1.44,7.2,0.02906,-0.00077,17.52,0.11,193
en,concreteness,coder,2187,416,109.4,3.8,19.0,-0.04011,-0.00112,-17.15,0.86,193
en,valence,coder,2187,213,109.4,1.95,9.7,0.02853,0.0008,15.25,0.15,193
en,n_arousal,norm,642,134,32.1,4.17,20.9,-0.06906,0.0001,-15.09,0.93,142
en,concreteness_extremity,coder,2187,289,109.4,2.64,13.2,-0.01927,0.00048,-9.28,0.66,193
en,n_valence,norm,642,83,32.1,2.59,12.9,0.03753,0.00051,8.73,0.12,142
en,n_valence_extremity,norm,642,62,32.1,1.93,9.7,-0.03135,-0.00074,-7.69,0.76,142
en,charge,coder,2187,293,109.4,2.68,13.4,0.01291,0.00029,5.9,0.4,193
en,charge_extremity,coder,2187,142,109.4,1.3,6.5,-0.01066,-0.00096,-5.48,0.74,193
en,n_dominance,norm,642,76,32.1,2.37,11.8,0.01617,-0.00097,3.71,0.34,142
en,n_concreteness_extremity,norm,2184,156,109.2,1.43,7.1,-0.00577,0.0007,-3.0,0.49,133
en,vulgarity,coder,2187,77,109.4,0.7,3.5,0.00184,-0.00054,1.53,0.48,193
en,valence_extremity,coder,2187,180,109.4,1.65,8.2,0.00252,-0.00013,1.41,0.5,193
en,n_dominance_extremity,norm,642,47,32.1,1.46,7.3,-0.0016,0.00148,-0.73,0.53,142
en,n_arousal_extremity,norm,642,60,32.1,1.87,9.3,0.0016,0.00051,0.25,0.7,142
