word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
shared	verb	0.8823	0.4898	89	0.000989	0.001162
haze	noun	0.8771	0.5437	92	0.001055	0.001256
think	verb	0.8587	0.5248	92	0.001079	0.001230
bushes	noun	0.8578	0.5191	92	0.001055	0.001209
speaking	verb	0.8575	0.5061	92	0.001101	0.001378
sure	adjective	0.8563	0.5234	92	0.001055	0.001163
few	adjective	0.8563	0.5276	92	0.001055	0.001166
signs	noun	0.8563	0.5234	92	0.001055	0.001163
pounds	noun	0.8554	0.5267	92	0.001055	0.001138
glow	noun	0.8554	0.5267	92	0.001055	0.001138
waters	noun	0.8554	0.5267	92	0.001055	0.001138
dollars	noun	0.8554	0.5267	92	0.001055	0.001138
existed	verb	0.8554	0.5267	92	0.001055	0.001138
United	noun	0.8554	0.5267	92	0.001055	0.001138
bush	noun	0.8547	0.4837	90	0.001012	0.001091
right	noun	0.8526	0.5466	92	0.001079	0.001211
mist	noun	0.8495	0.4993	90	0.001031	0.001116
look	verb	0.8492	0.5305	92	0.001079	0.001138
behind	adverb	0.8403	0.5201	92	0.001077	0.001162
left	adjective	0.8384	0.5352	92	0.001103	0.001165
read	verb	0.8362	0.5359	91	0.001079	0.001141
occasionally	adverb	0.8346	0.5466	91	0.001055	0.001112
ago	adverb	0.8346	0.5059	91	0.001055	0.001111
Via	noun	0.8346	0.5466	91	0.001055	0.001112
ocean	noun	0.8336	0.5050	91	0.001055	0.001091
spilled	verb	0.8275	0.5499	89	0.001031	0.001115
enlisted	verb	0.8256	0.5414	89	0.001033	0.001093
bay	noun	0.8209	0.5227	91	0.001076	0.001162
consider	verb	0.8199	0.5059	87	0.000990	0.001093
forgot	verb	0.8178	0.4962	88	0.001012	0.001068
cloud	noun	0.8157	0.5586	92	0.001123	0.001190
been	verb	0.8152	0.4936	92	0.003208	0.003392
buildings	noun	0.8143	0.5645	90	0.001055	0.001085
Piazza	noun	0.8138	0.5655	90	0.001055	0.001087
News	noun	0.8129	0.4842	90	0.001055	0.001064
attention	noun	0.8081	0.5172	90	0.001077	0.001131
scattered	verb	0.8077	0.4449	85	0.000965	0.001013
NCOs	noun	0.8051	0.5276	88	0.001031	0.001040
anything	noun	0.8029	0.5177	92	0.002133	0.002244
moment	noun	0.8025	0.5295	92	0.001188	0.001374
story	noun	0.8001	0.5310	92	0.001217	0.001352
shrubs	noun	0.7968	0.4832	89	0.001055	0.001068
became	verb	0.7963	0.4931	92	0.003211	0.003491
weary	adjective	0.7958	0.4208	81	0.000919	0.000963
return	verb	0.7954	0.5820	89	0.001055	0.001089
leave	verb	0.7954	0.5054	91	0.001194	0.001232
aching	verb	0.7951	0.5517	88	0.001034	0.001063
loudly	adverb	0.7940	0.4724	89	0.001055	0.001041
seems	verb	0.7935	0.5213	91	0.001168	0.001352
noncommissioned	verb	0.7921	0.5045	89	0.001055	0.001037
county	noun	0.7921	0.4662	89	0.001055	0.001040
sudden	adjective	0.7918	0.4431	78	0.000854	0.000973
slept	verb	0.7914	0.5482	90	0.001100	0.001241
state	noun	0.7914	0.5848	92	0.001167	0.001286
term	noun	0.7911	0.5364	83	0.000945	0.000975
waves	noun	0.7897	0.4983	87	0.001031	0.001041
hue	noun	0.7873	0.4804	76	0.000813	0.000940
were	verb	0.7864	0.5421	92	0.008401	0.008981
save	noun	0.7854	0.5125	85	0.000989	0.000973
non	adjective	0.7833	0.5222	74	0.000790	0.000952
outside	adverb	0.7821	0.4783	90	0.001282	0.001634
heavy	adjective	0.7786	0.5232	89	0.001101	0.001141
floor	noun	0.7786	0.4527	90	0.001099	0.001089
daze	noun	0.7774	0.4060	71	0.000743	0.000896
panic	noun	0.7767	0.4440	80	0.000924	0.001061
dark	noun	0.7750	0.5338	87	0.001056	0.001151
dreamed	verb	0.7750	0.5376	81	0.000947	0.001139
instead	adverb	0.7689	0.4698	88	0.001078	0.001105
having	verb	0.7665	0.4872	92	0.001259	0.001314
play	verb	0.7649	0.5255	82	0.000967	0.001003
dangerous	adjective	0.7644	0.5024	77	0.000877	0.000973
site	noun	0.7628	0.4988	87	0.001098	0.001094
loose	adverb	0.7606	0.4114	74	0.000810	0.000903
documentary	noun	0.7597	0.5043	80	0.000921	0.000968
however	adverb	0.7595	0.5113	73	0.000815	0.000974
shore	noun	0.7585	0.5279	82	0.000992	0.001050
program	noun	0.7585	0.4879	83	0.000989	0.000974
stay	verb	0.7583	0.5782	87	0.001120	0.001182
young	adjective	0.7557	0.5411	88	0.001209	0.001397
introduced	verb	0.7550	0.3913	52	0.000438	0.000796
tired	adjective	0.7531	0.5106	86	0.001034	0.000988
dreamt	verb	0.7528	0.4726	46	0.000335	0.000793
someone	noun	0.7514	0.4778	50	0.000439	0.001139
sky	noun	0.7509	0.4948	89	0.002048	0.002213
