word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
provide	verb	0.8783	0.4019	74	0.000280	0.000943
whispered	verb	0.8658	0.4679	92	0.002362	0.004072
express	verb	0.8620	0.4267	79	0.000283	0.000954
discuss	verb	0.8608	0.4825	74	0.000130	0.000523
explore	verb	0.8417	0.4060	72	0.000302	0.001355
focus	verb	0.8370	0.4291	92	0.000454	0.001060
consider	verb	0.8216	0.4688	74	0.000441	0.001341
invest	verb	0.8207	0.4232	84	0.000186	0.000362
address	verb	0.8207	0.4364	71	0.000155	0.000523
carefully	adverb	0.8178	0.4594	84	0.000327	0.001096
inform	verb	0.8145	0.4024	54	0.000093	0.000457
present	verb	0.8143	0.3911	52	0.000068	0.000262
quantum	noun	0.8105	0.4109	58	0.000090	0.000268
review	verb	0.8025	0.4256	46	0.000054	0.000233
examined	verb	0.7982	0.3993	67	0.000147	0.000427
question	verb	0.7951	0.4830	82	0.000376	0.001037
adjusted	verb	0.7932	0.4863	86	0.000459	0.000882
organize	verb	0.7899	0.4582	76	0.000197	0.000384
avoid	verb	0.7897	0.4360	83	0.000292	0.000578
break	verb	0.7888	0.4461	92	0.001830	0.002758
handle	verb	0.7859	0.4348	41	0.000036	0.000227
embrace	verb	0.7812	0.4263	71	0.000232	0.000693
locked	verb	0.7767	0.5319	83	0.000264	0.000561
confront	verb	0.7760	0.4617	64	0.000127	0.000414
revealed	verb	0.7748	0.3689	74	0.000170	0.000355
suddenly	adverb	0.7741	0.5307	51	0.000094	0.000312
ensured	verb	0.7717	0.4371	37	0.000037	0.000241
immediately	adverb	0.7717	0.4296	89	0.000454	0.000917
contact	verb	0.7706	0.3752	88	0.000827	0.001464
consult	verb	0.7698	0.4003	69	0.000156	0.000417
hum	verb	0.7694	0.4324	57	0.000143	0.000454
understand	verb	0.7682	0.4927	92	0.001445	0.002442
stepped	verb	0.7661	0.4003	91	0.000805	0.001321
challenge	verb	0.7654	0.4898	90	0.000398	0.000633
implement	verb	0.7639	0.4024	66	0.000167	0.000365
target	verb	0.7637	0.4844	54	0.000071	0.000198
remember	verb	0.7628	0.4003	47	0.000063	0.000264
respond	verb	0.7625	0.4988	76	0.000233	0.000524
ensure	verb	0.7623	0.4282	41	0.000083	0.000369
further	adverb	0.7618	0.4244	74	0.000117	0.000175
stumbled	verb	0.7576	0.4695	40	0.000036	0.000186
create	verb	0.7573	0.5499	92	0.001524	0.002134
seek	verb	0.7564	0.4610	92	0.000589	0.001053
report	verb	0.7561	0.3837	92	0.000683	0.001122
nearby	adjective	0.7559	0.4693	68	0.000110	0.000180
shared	verb	0.7547	0.4397	82	0.000152	0.000223
ancient	adjective	0.7524	0.3332	91	0.000354	0.000449
gestured	verb	0.7521	0.4813	46	0.000053	0.000208
grassy	noun	0.7517	0.4067	63	0.000103	0.000186
donate	verb	0.7512	0.4447	85	0.000220	0.000349
bench	noun	0.7512	0.4627	92	0.000163	0.000182
spun	verb	0.7495	0.4324	53	0.000092	0.000336
red	noun	0.7493	0.4584	92	0.000163	0.000182
support	verb	0.7472	0.4991	82	0.000211	0.000435
excitement	noun	0.7467	0.4740	91	0.000174	0.000207
prepare	verb	0.7455	0.4780	92	0.000451	0.000795
noticed	verb	0.7450	0.5371	91	0.000750	0.001086
gently	adverb	0.7441	0.4920	92	0.001252	0.001756
nose	noun	0.7424	0.4506	92	0.000170	0.000197
impose	verb	0.7417	0.4579	62	0.000096	0.000162
salt	noun	0.7408	0.4490	91	0.000166	0.000178
sharp	adjective	0.7396	0.4813	91	0.000326	0.000359
share	verb	0.7396	0.4348	92	0.002548	0.003233
start	verb	0.7391	0.4494	92	0.004242	0.005154
quickly	adverb	0.7389	0.4922	57	0.000182	0.000688
debris	noun	0.7389	0.4560	92	0.000170	0.000205
need	verb	0.7361	0.4305	91	0.000198	0.000250
connection	noun	0.7358	0.4551	49	0.000060	0.000125
recommend	verb	0.7358	0.4884	38	0.000036	0.000144
traced	verb	0.7356	0.4383	36	0.000032	0.000215
Paris	noun	0.7356	0.4480	92	0.000163	0.000171
ditch	noun	0.7356	0.4480	92	0.000163	0.000171
grave	noun	0.7356	0.4480	92	0.000163	0.000171
disperse	verb	0.7356	0.4480	92	0.000163	0.000171
skip	noun	0.7356	0.4480	92	0.000163	0.000171
wallet	noun	0.7356	0.4480	92	0.000163	0.000171
loss	noun	0.7356	0.4480	92	0.000163	0.000171
weave	verb	0.7346	0.4813	53	0.000135	0.000495
spoke	verb	0.7335	0.4234	92	0.000616	0.001059
laughed	verb	0.7332	0.4036	91	0.000756	0.001231
realized	verb	0.7325	0.5586	91	0.000589	0.000826
tightened	verb	0.7323	0.4511	84	0.000255	0.000411
responsibility	noun	0.7320	0.4483	90	0.000159	0.000167
whisper	verb	0.7316	0.4773	25	0.000007	0.000135
night	noun	0.7313	0.4570	89	0.000156	0.000171
accidentally	adverb	0.7302	0.4735	78	0.000358	0.000622
code	verb	0.7302	0.5007	55	0.000074	0.000128
brother	noun	0.7294	0.4504	88	0.000156	0.000185
triumph	noun	0.7285	0.4804	88	0.000155	0.000163
ears	noun	0.7278	0.4761	91	0.000163	0.000180
prioritize	verb	0.7273	0.4324	31	0.000041	0.000221
conduct	verb	0.7268	0.4584	71	0.000221	0.000410
shouted	verb	0.7268	0.4362	90	0.002076	0.002668
forcefully	adverb	0.7264	0.4513	35	0.000032	0.000178
celebrate	verb	0.7259	0.4662	55	0.000092	0.000230
gasped	verb	0.7259	0.4773	44	0.000050	0.000183
seemed	verb	0.7250	0.4239	60	0.000093	0.000209
barked	verb	0.7247	0.4504	32	0.000025	0.000201
wounds	noun	0.7242	0.4116	91	0.000163	0.000173
crack	noun	0.7240	0.4705	91	0.000163	0.000171
voice	verb	0.7235	0.3691	43	0.000054	0.000156
dial	verb	0.7233	0.4650	91	0.000163	0.000171
face	verb	0.7231	0.4513	58	0.000136	0.000352
park	noun	0.7228	0.3781	89	0.000159	0.000170
quite	adverb	0.7224	0.5024	66	0.000129	0.000235
declared	verb	0.7214	0.4558	52	0.000105	0.000413
rush	noun	0.7205	0.4608	92	0.000322	0.000338
travel	verb	0.7205	0.5137	78	0.000302	0.000608
sway	verb	0.7193	0.4159	35	0.000039	0.000203
gather	verb	0.7188	0.5047	45	0.000074	0.000295
capture	verb	0.7181	0.4884	38	0.000049	0.000218
prescribe	verb	0.7179	0.4081	87	0.000163	0.000193
protest	verb	0.7176	0.4379	92	0.000420	0.000535
retrieved	verb	0.7164	0.3972	71	0.000131	0.000224
been	verb	0.7162	0.4631	89	0.000159	0.000164
raised	verb	0.7162	0.4582	90	0.000511	0.000754
notice	verb	0.7160	0.4334	40	0.000063	0.000281
gazed	verb	0.7160	0.4908	78	0.000326	0.000726
sighed	verb	0.7160	0.4513	86	0.000725	0.001443
peered	verb	0.7157	0.4962	76	0.000283	0.000574
listened	verb	0.7157	0.4220	91	0.000499	0.000776
predicting	verb	0.7155	0.4939	41	0.000043	0.000106
rate	noun	0.7153	0.5028	64	0.000096	0.000136
champagne	noun	0.7143	0.4683	91	0.000163	0.000167
surge	noun	0.7143	0.4608	92	0.000322	0.000335
pursue	verb	0.7143	0.3920	87	0.000399	0.000663
applauded	verb	0.7138	0.4698	91	0.000163	0.000165
delight	noun	0.7138	0.4267	91	0.000163	0.000167
lines	noun	0.7138	0.4267	91	0.000163	0.000166
dance	verb	0.7138	0.4672	92	0.001673	0.002272
soft	adjective	0.7136	0.4164	50	0.000075	0.000180
guided	verb	0.7134	0.4629	74	0.000186	0.000320
browse	verb	0.7131	0.4705	86	0.000174	0.000207
prepared	verb	0.7129	0.5163	71	0.000294	0.000625
John	noun	0.7122	0.4126	38	0.000052	0.000181
eyes	noun	0.7117	0.4563	92	0.000333	0.000355
apologies	noun	0.7117	0.4334	65	0.000112	0.000174
abandon	verb	0.7112	0.4395	29	0.000021	0.000145
engage	verb	0.7112	0.4601	30	0.000025	0.000164
brushed	verb	0.7112	0.4603	67	0.000163	0.000333
checked	verb	0.7112	0.4757	90	0.000891	0.001289
research	verb	0.7108	0.3674	84	0.000180	0.000274
hyperventilate	verb	0.7103	0.4806	49	0.000089	0.000252
clapped	verb	0.7096	0.4726	91	0.000167	0.000169
adopt	verb	0.7091	0.4790	32	0.000026	0.000127
perform	verb	0.7089	0.4487	90	0.000301	0.000469
cheered	verb	0.7086	0.4664	91	0.000166	0.000176
muttered	verb	0.7082	0.4643	55	0.000104	0.000377
advise	verb	0.7070	0.4353	51	0.000100	0.000256
spices	noun	0.7068	0.4447	89	0.000159	0.000164
hesitated	verb	0.7065	0.4145	43	0.000063	0.000198
crossed	verb	0.7065	0.4223	91	0.000180	0.000226
policies	noun	0.7065	0.4175	26	0.000014	0.000083
managed	verb	0.7065	0.4220	65	0.000216	0.000390
herbs	noun	0.7063	0.4991	82	0.000145	0.000157
rubble	noun	0.7063	0.4674	91	0.000166	0.000171
desert	verb	0.7060	0.4631	59	0.000114	0.000209
seasoning	noun	0.7060	0.4426	89	0.000159	0.000164
hummed	verb	0.7056	0.4586	32	0.000028	0.000116
offered	verb	0.7056	0.4135	87	0.000351	0.000529
vanished	verb	0.7051	0.4660	29	0.000037	0.000162
design	verb	0.7051	0.4501	86	0.000222	0.000299
breathing	verb	0.7039	0.4272	89	0.000159	0.000167
world	noun	0.7034	0.4317	90	0.000170	0.000196
sauté	noun	0.7030	0.4298	58	0.000085	0.000126
surveyed	verb	0.7027	0.4745	27	0.000018	0.000178
approached	verb	0.7020	0.4747	84	0.000199	0.000382
massage	verb	0.7018	0.3859	91	0.000290	0.000347
exhilaration	noun	0.7018	0.4327	60	0.000091	0.000131
wooden	adjective	0.7016	0.5395	86	0.000184	0.000236
exit	noun	0.7016	0.4350	90	0.000163	0.000166
cemetery	noun	0.7016	0.4445	90	0.000163	0.000164
gratitude	noun	0.7009	0.4185	90	0.000163	0.000164
gravesite	noun	0.7009	0.4733	72	0.000117	0.000144
promptly	adverb	0.7009	0.4440	78	0.000199	0.000339
carry	verb	0.7009	0.5123	33	0.000035	0.000150
communicate	verb	0.7004	0.4787	22	0.000007	0.000129
decided	verb	0.7004	0.5184	92	0.001012	0.001330
streets	noun	0.6987	0.4310	91	0.000170	0.000171
expected	verb	0.6983	0.4809	55	0.000078	0.000134
flutter	noun	0.6978	0.4164	90	0.000163	0.000163
reach	verb	0.6978	0.4440	63	0.000141	0.000326
different	adjective	0.6973	0.4367	87	0.000247	0.000287
leap	noun	0.6973	0.4835	90	0.000163	0.000166
heck	noun	0.6973	0.4407	90	0.000163	0.000163
guilt	noun	0.6968	0.4839	90	0.000163	0.000163
prove	verb	0.6966	0.5111	86	0.000543	0.000878
edges	noun	0.6964	0.4426	90	0.000163	0.000162
deliver	verb	0.6961	0.5104	37	0.000039	0.000100
twist	noun	0.6961	0.4064	44	0.000059	0.000122
hold	verb	0.6961	0.3922	90	0.000820	0.001205
whiskey	noun	0.6959	0.3904	85	0.000152	0.000155
disappear	verb	0.6957	0.4650	61	0.000135	0.000306
switch	verb	0.6957	0.4839	22	0.000011	0.000084
regret	verb	0.6954	0.4780	75	0.000287	0.000505
glee	noun	0.6954	0.4440	90	0.000163	0.000162
participate	verb	0.6949	0.4811	28	0.000021	0.000113
clear	verb	0.6940	0.4483	84	0.000174	0.000224
sweet	adjective	0.6933	0.4889	58	0.000089	0.000144
document	verb	0.6933	0.4750	23	0.000014	0.000127
goodbye	noun	0.6923	0.4379	91	0.000184	0.000223
escape	verb	0.6923	0.5629	92	0.001162	0.001559
race	noun	0.6921	0.4483	90	0.000163	0.000160
negotiate	verb	0.6919	0.4400	33	0.000036	0.000139
failed	verb	0.6916	0.3889	90	0.000220	0.000286
argue	verb	0.6914	0.4107	58	0.000107	0.000196
felt	verb	0.6914	0.4542	92	0.002702	0.003438
talking	verb	0.6912	0.3837	89	0.000163	0.000166
cook	verb	0.6912	0.4440	90	0.000191	0.000229
speak	verb	0.6909	0.4787	92	0.002542	0.003126
received	verb	0.6905	0.4731	49	0.000107	0.000177
hug	verb	0.6902	0.5031	92	0.000268	0.000330
