word	tag	auc	auc_flipnull	n_models	base_share	aligned_share
寻求	verb	0.8599	0.7284	26	0.000507	0.002436
关注	verb	0.8599	0.6505	24	0.000159	0.000787
需要	verb	0.8581	0.7405	29	0.000197	0.000512
质疑	verb	0.8391	0.7318	30	0.000584	0.002371
准备	verb	0.8374	0.7785	34	0.000704	0.001276
编写	verb	0.8322	0.6644	28	0.000170	0.000294
突然	adverb	0.8304	0.5779	34	0.006407	0.009710
面包	noun	0.8253	0.6090	30	0.000196	0.000256
采取	verb	0.8235	0.6125	33	0.004689	0.007451
无法	adverb	0.8166	0.5450	28	0.000295	0.000762
进行	verb	0.8131	0.6436	31	0.001029	0.002848
提供	verb	0.7993	0.6869	26	0.000238	0.000678
木头	noun	0.7993	0.6713	31	0.000212	0.000335
迅速	adverb	0.7941	0.6349	32	0.004464	0.007332
胜利	noun	0.7889	0.6609	34	0.000242	0.000308
晴朗	verb	0.7855	0.5952	29	0.000196	0.000278
立即	adverb	0.7837	0.6522	32	0.001254	0.002627
快速	adverb	0.7837	0.7024	33	0.001037	0.001932
反思	verb	0.7820	0.7093	27	0.000649	0.001521
重新	adverb	0.7751	0.6142	30	0.000560	0.001450
食物	noun	0.7751	0.6886	23	0.000138	0.000238
醒来	verb	0.7664	0.6055	30	0.000387	0.000639
支持	verb	0.7647	0.5848	31	0.000521	0.000843
远处	noun	0.7578	0.5675	34	0.000554	0.000765
考虑	verb	0.7543	0.6886	33	0.002239	0.003354
冰冷	verb	0.7509	0.6782	31	0.000255	0.000371
公园	noun	0.7509	0.6263	33	0.000255	0.000320
改变	verb	0.7509	0.6990	34	0.001358	0.002209
深渊	noun	0.7491	0.5692	32	0.000440	0.000533
更	adverb	0.7491	0.5588	32	0.000477	0.000772
警察	noun	0.7474	0.5260	33	0.000354	0.000512
再次	adverb	0.7457	0.6194	34	0.001263	0.002487
袭击	verb	0.7457	0.5830	20	0.000124	0.000337
指责	verb	0.7439	0.6315	22	0.000129	0.000295
长椅	noun	0.7422	0.6211	32	0.000227	0.000309
鹿	noun	0.7422	0.6246	32	0.000227	0.000292
喜悦	adjective	0.7422	0.6246	32	0.000227	0.000292
香料	noun	0.7405	0.6540	28	0.000185	0.000278
走向	verb	0.7388	0.5657	32	0.000743	0.001528
攻击	verb	0.7370	0.6644	34	0.001751	0.002892
钱包	noun	0.7370	0.6159	34	0.000255	0.000308
投资	verb	0.7353	0.5865	20	0.000127	0.000314
寻找	verb	0.7336	0.6678	34	0.003363	0.005288
原谅	verb	0.7301	0.6298	30	0.000228	0.000374
低头	verb	0.7301	0.5882	29	0.000879	0.001576
调料	noun	0.7301	0.6021	33	0.000242	0.000240
加入	verb	0.7301	0.6021	29	0.000469	0.000854
摩擦	verb	0.7301	0.5692	24	0.000281	0.000493
完成	verb	0.7284	0.6799	32	0.000356	0.000552
尽快	adverb	0.7266	0.7232	33	0.000709	0.001313
朋友	noun	0.7232	0.6678	29	0.000241	0.000351
迎接	verb	0.7232	0.6765	30	0.000404	0.000633
表达	verb	0.7163	0.6298	29	0.000765	0.002029
外衣	noun	0.7163	0.6142	32	0.000468	0.000461
强行	adverb	0.7163	0.5017	26	0.000227	0.000361
火势	noun	0.7163	0.5606	29	0.000214	0.000240
撰写	verb	0.7163	0.6609	27	0.000185	0.000291
想到	verb	0.7145	0.5692	26	0.000284	0.000451
找到	verb	0.7145	0.5796	32	0.002015	0.003635
如此	adverb	0.7128	0.5363	27	0.000184	0.000211
盐	noun	0.7093	0.7059	31	0.000241	0.000303
阴天	noun	0.7059	0.5986	31	0.000227	0.000278
晴天	noun	0.7059	0.5986	31	0.000227	0.000278
信用卡	noun	0.7059	0.6055	31	0.000227	0.000278
痛苦	verb	0.7059	0.5502	31	0.001474	0.001733
跟随	verb	0.7042	0.6782	26	0.000270	0.000576
释放	verb	0.7042	0.6194	22	0.000201	0.000521
几乎	adverb	0.7024	0.5415	22	0.000199	0.000491
挑战	verb	0.7024	0.5260	22	0.000189	0.000348
松开	verb	0.7024	0.6349	24	0.000229	0.000626
结束	verb	0.6990	0.5986	29	0.001269	0.002516
探索	verb	0.6990	0.5848	25	0.000325	0.000684
