b,in,out,ratio
found,30.0,8.0,3.4444444444444446
began,25.0,2.0,8.666666666666666
said,23.0,19.0,1.2
watched,19.0,2.0,6.666666666666667
left,15.0,8.0,1.7777777777777777
handed,14.0,12.0,1.1538461538461537
whispered,12.0,0.0,13.0
held,12.0,1.0,6.5
pulled,9.0,2.0,3.3333333333333335
asked,9.0,4.0,2.0
shouted,8.0,0.0,9.0
felt,7.0,1.0,4.0
locked,7.0,0.0,8.0
walked,7.0,6.0,1.1428571428571428
proceeded,6.0,0.0,7.0
missed,6.0,1.0,3.5
stepped,6.0,0.0,7.0
stared,6.0,1.0,3.5
sighed,6.0,0.0,7.0
gave,5.0,6.0,0.8571428571428571
saw,5.0,6.0,0.8571428571428571
turned,5.0,3.0,1.5
headed,5.0,3.0,1.5
kissed,5.0,8.0,0.6666666666666666
stomped,5.0,0.0,6.0
took,5.0,6.0,0.8571428571428571
slipped,5.0,0.0,6.0
placed,4.0,5.0,0.8333333333333334
put,4.0,19.0,0.25
looked,4.0,4.0,1.0
closed,4.0,1.0,2.5
sent,4.0,2.0,1.6666666666666667
pocketed,4.0,1.0,2.5
demanded,4.0,1.0,2.5
led,4.0,3.0,1.25
lit,3.0,4.0,0.8
let,3.0,1.0,2.0
leaned,3.0,0.0,4.0
made,3.0,1.0,2.0
stood,3.0,1.0,2.0
scattered,3.0,0.0,4.0
tossed,3.0,0.0,4.0
threatened,3.0,1.0,2.0
bowed,3.0,0.0,4.0
started,3.0,0.0,4.0
signed,3.0,0.0,4.0
examined,3.0,0.0,4.0
replaced,3.0,0.0,4.0
read,3.0,3.0,1.0
sat,3.0,11.0,0.3333333333333333
shattered,2.0,0.0,3.0
threw,2.0,16.0,0.17647058823529413
fired,2.0,5.0,0.5
fled,2.0,1.0,1.5
went,2.0,15.0,0.1875
tucked,2.0,0.0,3.0
opened,2.0,2.0,1.0
hid,2.0,1.0,1.5
offered,2.0,0.0,3.0
hung,2.0,5.0,0.5
submitted,2.0,0.0,3.0
laughed,2.0,1.0,1.5
performed,2.0,0.0,3.0
rang,2.0,0.0,3.0
wrote,2.0,3.0,0.75
applied,2.0,0.0,3.0
dragged,2.0,3.0,0.75
broke,2.0,2.0,1.0
drove,2.0,5.0,0.5
clicked,2.0,0.0,3.0
added,1.0,0.0,2.0
bought,1.0,3.0,0.5
squeezed,1.0,0.0,2.0
confirmed,1.0,0.0,2.0
ran,1.0,24.0,0.08
continued,1.0,0.0,2.0
pull,1.0,0.0,2.0
counted,1.0,1.0,1.0
pressed,1.0,2.0,0.6666666666666666
prayed,1.0,6.0,0.2857142857142857
realized,1.0,1.0,1.0
stormed,1.0,0.0,2.0
planted,1.0,0.0,2.0
created,1.0,0.0,2.0
struck,1.0,1.0,1.0
stuffed,1.0,0.0,2.0
parked,1.0,0.0,2.0
cuffed,1.0,0.0,2.0
nodded,1.0,0.0,2.0
swung,1.0,0.0,2.0
sprinted,1.0,0.0,2.0
released,1.0,0.0,2.0
received,1.0,0.0,2.0
screamed,1.0,0.0,2.0
slammed,1.0,0.0,2.0
shone,1.0,0.0,2.0
carried,1.0,1.0,1.0
shaking,1.0,0.0,2.0
settled,1.0,0.0,2.0
set,1.0,1.0,1.0
slid,1.0,1.0,1.0
scrolled,1.0,0.0,2.0
checked,1.0,0.0,2.0
marched,1.0,0.0,2.0
