labeling,frm,to,dominant,reverse,n,p,bonferroni
induced,grammatical_function,perception_cognition,263,49,312,1.4747426267700116e-36,True
induced,locomotion_posture,perception_cognition,75,10,85,1.8582753310340622e-13,True
induced,object_handling,perception_cognition,78,12,90,5.202430003083186e-13,True
induced,speech_act,perception_cognition,76,12,88,1.567340030469408e-12,True
induced,person_reference,perception_cognition,71,10,81,1.799344170436706e-12,True
induced,person_reference,locomotion_posture,75,12,87,2.7135450099873087e-12,True
induced,bodily_violence,speech_act,38,1,39,1.4551915228366852e-10,True
induced,person_reference,object_handling,59,14,73,1.0136448982171495e-07,True
induced,transfer_possession,perception_cognition,49,11,60,7.561280982396751e-07,True
induced,bodily_violence,object_handling,34,6,40,8.364584573428147e-06,True
induced,contact_care,speech_act,28,4,32,1.9301194697618484e-05,True
induced,grammatical_function,transfer_possession,103,50,153,2.197460995251884e-05,True
induced,contact_care,perception_cognition,16,0,16,3.0517578125e-05,True
induced,bodily_violence,grammatical_function,41,11,52,3.5887916129517805e-05,True
induced,property_damage,grammatical_function,40,11,51,5.703811637403078e-05,True
induced,property_damage,perception_cognition,13,0,13,0.000244140625,True
induced,bodily_violence,locomotion_posture,18,2,20,0.0004024505615234375,True
induced,person_reference,transfer_possession,26,6,32,0.0005350527353584766,True
induced,locomotion_posture,object_handling,76,40,116,0.0010650742732639185,False
induced,grammatical_function,procedural_operation,74,39,113,0.0012776253514487758,False
induced,bodily_violence,perception_cognition,10,0,10,0.001953125,False
induced,person_reference,procedural_operation,30,10,40,0.0022214337732293643,False
induced,grammatical_function,nonverbal_expression,28,9,37,0.0025632079923525453,False
induced,locomotion_posture,nonverbal_expression,12,1,13,0.00341796875,False
induced,person_reference,grammatical_function,512,428,940,0.006755054130141682,False
induced,ritual_observance,grammatical_function,23,8,31,0.010673840530216694,False
induced,grammatical_function,locomotion_posture,178,135,313,0.017457495615223032,False
induced,entity_noun,perception_cognition,11,2,13,0.0224609375,False
induced,property_damage,locomotion_posture,10,2,12,0.03857421875,False
