stratum,labeling,frm,to,fwd,rev,e_fwd,e_rev,reciprocal,p,bonferroni,E,p_edge
ALL,induced,grammatical_function,object_handling,384137,310534,43,40,True,0.0,True,83,0.8264047244491931
ALL,induced,grammatical_function,perception_cognition,262142,111734,41,39,True,0.0,True,80,0.9110721212260926
ALL,induced,object_handling,perception_cognition,196446,86602,39,39,True,0.0,True,78,1.0
ALL,induced,object_handling,nonverbal_expression,72454,29433,39,38,True,0.0,True,77,1.0
ALL,induced,grammatical_function,nonverbal_expression,104439,35983,39,39,True,0.0,True,78,1.0
ALL,induced,perception_cognition,nonverbal_expression,26556,24439,38,38,True,7.144472742446665e-21,True,76,1.0
ALL,induced,person_reference,object_handling,128359,46720,38,39,True,0.0,True,77,1.0
ALL,induced,person_reference,grammatical_function,199358,141393,41,43,True,0.0,True,84,0.9132023622245976
ALL,induced,person_reference,perception_cognition,90693,19928,40,39,True,0.0,True,79,1.0
ALL,induced,object_handling,contact_care,26492,22441,39,39,True,5.837303215107652e-75,True,78,1.0
ALL,induced,grammatical_function,contact_care,28503,21384,39,39,True,1.2763450499780915e-223,True,78,1.0
ALL,induced,contact_care,perception_cognition,14873,6048,38,38,True,0.0,True,76,1.0
ALL,induced,locomotion_posture,object_handling,229900,208053,39,39,True,4.510077297491634e-239,True,78,1.0
ALL,induced,grammatical_function,locomotion_posture,267809,237306,40,40,True,0.0,True,80,1.0
ALL,induced,locomotion_posture,perception_cognition,140836,52494,39,38,True,0.0,True,77,1.0
ALL,induced,grammatical_function,entity_noun,11648,9068,40,39,True,5.585944757264715e-72,True,79,1.0
ALL,induced,speech_act,transfer_possession,38881,37593,39,39,True,3.2547144745107026e-06,True,78,1.0
ALL,induced,locomotion_posture,transfer_possession,68459,55962,39,39,True,2.3419535822846806e-275,True,78,1.0
ALL,induced,bodily_violence,speech_act,34962,12787,39,38,True,0.0,True,77,1.0
ALL,induced,bodily_violence,locomotion_posture,37349,20664,39,39,True,0.0,True,78,1.0
ALL,induced,bodily_violence,transfer_possession,16101,8458,39,38,True,0.0,True,77,1.0
ALL,induced,object_handling,speech_act,121823,112907,39,39,True,1.2424100540508182e-75,True,78,1.0
ALL,induced,object_handling,transfer_possession,93035,91377,39,40,True,0.0001140347365189,True,79,1.0
ALL,induced,speech_act,perception_cognition,79580,36691,39,39,True,0.0,True,78,1.0
ALL,induced,transfer_possession,perception_cognition,53952,25629,39,39,True,0.0,True,78,1.0
ALL,induced,grammatical_function,speech_act,197584,163509,40,39,True,0.0,True,79,1.0
ALL,induced,person_reference,speech_act,73745,34555,39,39,True,0.0,True,78,1.0
