field,cluster
framenet:Absorb_heat,389
framenet:Accomplishment,171
framenet:Activity_finish,117
framenet:Activity_resume,307
framenet:Adopt_selection,321
framenet:Affirm_or_deny,259
framenet:Amounting_to,32
framenet:Apply_heat,387
framenet:Appointing,469
framenet:Arrest,335
framenet:Arriving,423
framenet:Assessing,179
framenet:Assistance,98
framenet:Attaching,437
framenet:Attack,478
framenet:Attempt,182
framenet:Attempt_suasion,265
framenet:Avoiding,71
framenet:Awareness,150
framenet:Becoming_aware,145
framenet:Being_employed,279
framenet:Billing,106
framenet:Board_vehicle,430
framenet:Body_movement,411
framenet:Bragging,7
framenet:Breathing,240
framenet:Bringing,401
framenet:Building,301
framenet:Bungling,448
framenet:Categorization,494
framenet:Causation,286
framenet:Cause_change,501
framenet:Cause_change_of_phase,384
framenet:Cause_change_of_position_on_a_scale,432
framenet:Cause_change_of_strength,2
framenet:Cause_expansion,390
framenet:Cause_harm,471
framenet:Cause_motion,481
framenet:Cause_temperature_change,385
framenet:Cause_to_amalgamate,285
framenet:Cause_to_be_wet,362
framenet:Cause_to_fragment,453
framenet:Cause_to_move_in_place,414
framenet:Cause_to_perceive,131
framenet:Cause_to_start,287
framenet:Cause_to_wake,247
framenet:Certainty,143
framenet:Change_event_duration,393
framenet:Change_event_time,1
framenet:Change_of_consistency,379
framenet:Change_of_leadership,210
framenet:Change_operational_state,541
framenet:Change_position_on_a_scale,424
framenet:Chatting,251
framenet:Choosing,81
framenet:Closure,441
framenet:Cogitation,148
framenet:Collaboration,281
framenet:Colonization,23
framenet:Coming_to_be,357
framenet:Coming_to_believe,157
framenet:Coming_up_with,297
framenet:Commerce_buy,342
framenet:Commerce_pay,337
framenet:Commerce_sell,339
framenet:Commitment,258
framenet:Communicate_categorization,524
framenet:Communication_manner,225
framenet:Communication_means,127
framenet:Communication_noise,230
framenet:Communication_response,268
framenet:Compatibility,252
framenet:Complaining,8
framenet:Compliance,69
framenet:Conquering,61
framenet:Contacting,128
framenet:Containing,97
framenet:Contingency,176
framenet:Convey_importance,523
framenet:Cooking_creation,15
framenet:Corporal_punishment,13
framenet:Cotheme,91
framenet:Create_representation,312
framenet:Cure,508
framenet:Damaging,450
framenet:Daring,6
framenet:Death,489
framenet:Deny_or_grant_permission,122
framenet:Departing,490
framenet:Desirability,74
framenet:Desiring,186
framenet:Destroying,452
framenet:Detaching,444
framenet:Detaining,147
framenet:Discussion,253
framenet:Disembarking,428
framenet:Dispersal,396
framenet:Distributed_position,369
framenet:Dressing,513
framenet:Duplication,316
framenet:Earnings_and_losses,349
framenet:Eclipse,136
framenet:Education_teaching,173
framenet:Emitting,354
framenet:Emotion_active,220
framenet:Emotion_heat,388
framenet:Emotions_of_mental_activity,238
framenet:Emphasizing,518
framenet:Emptying,506
framenet:Encoding,133
framenet:Evading,72
framenet:Evaluative_comparison,324
framenet:Evidence,141
framenet:Evoking,492
framenet:Excreting,239
framenet:Expectation,183
framenet:Experience_bodily_harm,446
framenet:Experiencer_focus,236
framenet:Experiencer_obj,222
framenet:Expressing_publicly,277
framenet:Feigning,308
framenet:Filling,463
framenet:Fining,108
framenet:Fire_burning,76
framenet:Firing,521
framenet:Fluidic_motion,352
framenet:Forgiveness,191
framenet:Forming_relationships,327
framenet:Frugality,79
framenet:Funding,110
framenet:Gathering_up,293
framenet:Gesture,126
framenet:Getting,498
framenet:Give_impression,155
framenet:Giving,341
framenet:Giving_birth,44
framenet:Giving_in,399
framenet:Grinding,83
framenet:Grooming,514
framenet:Hearsay,157
framenet:Hindering,433
framenet:Hiring,333
framenet:Hostile_encounter,260
framenet:Impact,248
framenet:Inclusion,119
framenet:Ingest_substance,78
framenet:Ingestion,86
framenet:Inhibit_movement,431
framenet:Intentionally_act,304
framenet:Intentionally_affect,332
framenet:Intentionally_create,142
framenet:Judgment,195
framenet:Judgment_communication,193
framenet:Judgment_direct_address,197
framenet:Justifying,101
framenet:Kidnapping,104
framenet:Killing,487
framenet:Labeling,205
framenet:Leadership,201
framenet:Lending,338
framenet:Likelihood,355
framenet:Location_of_light,376
framenet:Make_cognitive_connection,283
framenet:Make_noise,231
framenet:Making_faces,234
framenet:Manipulate_into_doing,215
framenet:Manipulation,455
framenet:Mass_motion,365
framenet:Memory,529
framenet:Motion,416
framenet:Motion_noise,228
framenet:Moving_in_place,218
framenet:Name_conferral,203
framenet:Needing,255
framenet:Offering,257
framenet:Operate_vehicle,403
framenet:Opinion,151
framenet:Path_shape,419
framenet:Perception_active,167
framenet:Perception_body,188
framenet:Perception_experience,161
framenet:Performers_and_roles,30
framenet:Personal_relationship,317
framenet:Placing,461
framenet:Posing_as,496
framenet:Possession,208
framenet:Posture,408
framenet:Preventing_or_letting,123
framenet:Process_continue,26
framenet:Process_end,116
framenet:Process_start,114
framenet:Process_stop,118
framenet:Processing_materials,334
framenet:Prohibiting_or_licensing,121
