labeling,frm,to,dominant,reverse,n,p,bonferroni
usas,A7,A1.1.1,8,5,13,0.5810546875,False
usas,M1,A1.1.1,12,7,19,0.359283447265625,False
usas,M2,A1.1.1,14,12,26,0.8450189828872681,False
usas,N4,A1.1.1,11,4,15,0.11846923828124999,False
usas,A1.1.1,T2,9,1,10,0.021484375,False
usas,Z5,A1.1.1,18,11,29,0.26493089646101,False
usas,F3,A1.1.2,10,0,10,0.001953125,False
usas,A3,A10,25,4,29,0.00010371580719947815,True
usas,A9,A10,18,0,18,7.62939453125e-06,True
usas,G2.1,A10,21,3,24,0.0002771615982055664,True
usas,M1,A10,26,2,28,3.032386302947998e-06,True
usas,M2,A10,20,0,20,1.9073486328125e-06,True
usas,M8,A10,10,0,10,0.001953125,False
usas,N4,A10,35,5,40,1.382612026645802e-06,True
usas,Q2.1,A10,26,1,27,4.172325134277344e-07,True
usas,Q2.2,A10,9,2,11,0.0654296875,False
usas,X3.4,A10,20,7,27,0.0191572904586792,False
usas,Y2,A10,11,0,11,0.0009765625,False
usas,Z5,A10,36,2,38,5.398760549724102e-09,True
usas,Z8f,A10,17,1,18,0.00014495849609375,True
usas,Z8m,A10,19,0,19,3.814697265625e-06,True
usas,A3,A9,8,6,14,0.79052734375,False
usas,M2,A3,7,4,11,0.548828125,False
usas,A3,N4,12,4,16,0.076812744140625,False
usas,Q2.1,A3,10,0,10,0.001953125,False
usas,Z5,A3,30,19,49,0.15240777196147803,False
usas,Z8f,A3,9,9,18,1.0,False
usas,Z8m,A3,33,6,39,1.429926123819314e-05,True
usas,A7,Z5,80,5,85,1.8057729139211306e-18,True
usas,A7,Z8f,37,0,37,1.4551915228366852e-11,True
usas,A9,B1,11,2,13,0.0224609375,False
usas,M1,A9,14,4,18,0.0308837890625,False
usas,A9,M2,20,12,32,0.21532714972272515,False
usas,N4,A9,14,6,20,0.11531829833984375,False
usas,Z5,A9,29,8,37,0.0007528970600105822,False
usas,Z8m,A9,21,3,24,0.0002771615982055664,True
usas,M1,B1,17,5,22,0.01690053939819336,False
usas,M2,B1,36,13,49,0.001402688503695515,False
usas,N4,B1,13,6,19,0.1670684814453125,False
usas,Z5,B1,20,6,26,0.009355306625366211,False
usas,E3,M1,10,1,11,0.01171875,False
usas,E3,M2,9,3,12,0.14599609375,False
usas,Z5,E3,8,3,11,0.2265625,False
usas,Z5,F1,6,4,10,0.75390625,False
usas,M2,M1,32,23,55,0.2806097176983541,False
usas,M1,M3,6,4,10,0.75390625,False
usas,N4,M1,25,18,43,0.3603776529357674,False
usas,Q1.2,M1,9,6,15,0.6072387695312499,False
