fan,a,b,faller_jaccard,riser_jaccard,n
method,dpo,kto,0.0,0.4560796238785369,2182
method,dpo,ppo,,0.1761345932398564,2182
method,dpo,slic,,0.42458714125380786,2182
method,kto,ppo,0.0,0.172802795576011,2182
method,kto,slic,0.0,0.4509639249639249,2182
method,ppo,slic,,0.17029826081375946,2182
data,full,no-math,0.5282995396059654,0.6305759241052823,2182
data,full,no-persona,0.5220393564843636,0.6244431605218594,2182
data,full,no-safety,0.53385598620959,0.6216791518323198,2182
data,full,no-wildchat,0.3402192716421085,0.4330466021130174,2182
data,no-math,no-persona,0.562845938083337,0.6504211957615289,2182
data,no-math,no-safety,0.4862809122013914,0.5790906614581726,2182
data,no-math,no-wildchat,0.29738647363995,0.40513116495649415,2182
data,no-persona,no-safety,0.4855350182418757,0.5792724252295975,2182
data,no-persona,no-wildchat,0.3030879770777699,0.40603068841012674,2182
data,no-safety,no-wildchat,0.2940085059082473,0.390901793901181,2182
