family,step,pre,post,cells,js,fall,rise,faller_share,direction
amber,base>sft,LLM360/Amber,LLM360/AmberChat,2182,0.15381959369643738,16.186067827681025,13.70852428964253,0.5414379886555266,forward
amber,sft>pref,LLM360/AmberChat,LLM360/AmberSafe,2182,0.23989906867430938,18.43538038496792,13.206691109074244,0.5826224237069653,forward
amber,base>pref WHOLE,LLM360/Amber,LLM360/AmberSafe,2182,0.3448700549122516,26.877635197066912,15.32538955087076,0.6368651384017288,forward
archangel-dpo,base>sft,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft_pythia2-8b,2182,0.008795160633168667,0.01237396883593034,3.155820348304308,0.0039056849414147257,forward
archangel-dpo,sft>pref,ContextualAI/archangel_sft_pythia2-8b,ContextualAI/archangel_sft-dpo_pythia2-8b,2182,0.0030462879067219466,0.0,0.5357470210815766,0.0,forward
archangel-dpo,base>pref WHOLE,EleutherAI/pythia-2.8b,ContextualAI/archangel_sft-dpo_pythia2-8b,2182,0.009013325691131642,0.027039413382218148,2.96929422548121,0.009024166411746712,forward
beaver,base>sft,huggyllama/llama-7b,PKU-Alignment/alpaca-7b-reproduced,2182,0.15354262500701746,18.42667277726856,10.911549037580201,0.6280773556610847,forward
beaver,sft>pref,PKU-Alignment/alpaca-7b-reproduced,PKU-Alignment/beaver-7b-v1.0,2182,0.0391654063898351,5.186067827681026,4.886801099908341,0.5148550889485418,forward
beaver,base>pref WHOLE,huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,2182,0.2322986900983312,25.53391384051329,9.797433547204399,0.7226985588834265,forward
ct-llm,base>sft,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT,2182,0.10588482193535459,10.400091659028414,12.180568285976168,0.4605751862150149,forward
ct-llm,sft>pref,m-a-p/CT-LLM-SFT,m-a-p/CT-LLM-SFT-DPO,2182,0.00587809918204398,0.0032080659945004585,1.935838680109991,0.0016544552115339162,forward
ct-llm,base>pref WHOLE,m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,2182,0.1116887140771094,11.077451879010082,12.510999083409716,0.4696133670099087,forward
map-neo,base>sft,m-a-p/neo_7b,m-a-p/neo_7b_sft_v0.1,2182,0.11793885215103868,12.586159486709441,12.533455545371218,0.5010490594953567,forward
map-neo,sft>pref,m-a-p/neo_7b_sft_v0.1,m-a-p/neo_7b_instruct_v0.1,2182,0.02933200056706326,1.6361136571952337,6.051787351054079,0.2128166915052161,forward
map-neo,base>pref WHOLE,m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,2182,0.13444545240948674,13.943171402383134,13.868927589367553,0.5013347394786277,forward
minicpm,base>sft,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B-SFT,2182,0.2525968290804593,21.784142988084326,19.991750687442714,0.5214524710657671,forward
minicpm,sft>pref,openbmb/MiniCPM5-1B-SFT,openbmb/MiniCPM5-1B,2182,0.011156515941133652,0.09945004582951421,2.881301558203483,0.03336408364083641,forward
minicpm,base>pref WHOLE,openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,2182,0.25522926132911494,21.998166819431713,20.014207149404218,0.5236116110874759,forward
olmo,base>sft,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-SFT,2182,0.19498569733216223,18.909257561869843,15.37396883593034,0.5515600352912868,forward
olmo,sft>pref,allenai/Olmo-3-7B-Instruct-SFT,allenai/Olmo-3-7B-Instruct-DPO,2182,0.036964849934833045,3.0045829514207147,6.309349220898259,0.32259016877429514,forward
olmo,pref>rlvr,allenai/Olmo-3-7B-Instruct-DPO,allenai/Olmo-3-7B-Instruct,2182,0.008342028918677873,0.03162236480293309,3.1993583868010997,0.00978723404255319,forward
olmo,base>rlvr WHOLE,allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct,2182,0.2530519221120813,23.389092575618697,14.86801099908341,0.6113660050073673,forward
olmo-32b,base>sft,allenai/Olmo-3-1125-32B,allenai/Olmo-3.1-32B-Instruct-SFT,2182,0.17568028048835313,17.005957836846928,14.204857928505957,0.5448738656720801,forward
