word,proj,pos,log_freq_rank
abandon,0.054964907,vv0,8.678291111758565
abandoned,0.2877106,vvn,8.515191188745565
accept,0.054249287,vv0,7.289610521451167
accepted,0.3262654,vvn,7.996317231796746
accessed,0.2936296,vvn,9.209840246934501
accused,0.22872126,vvn,8.17103418920548
acknowledge,0.11751937,vv0,8.236685322712457
acknowledged,0.3130639,vvd,8.645586406184636
acknowledging,0.20536348,vvg,9.05005424204284
acted,0.13884544,vvn,8.82790796297859
activated,0.28883716,vvn,9.49228099379885
add,0.027262226,vv0,6.483107351457199
added,0.09997569,vvd,7.306531398939505
adding,0.04861615,vvg,7.635303886259415
address,0.12111183,vv0,7.52131798019924
addressed,0.33174267,vvn,8.226573474977114
addressing,0.18191011,vvg,8.371242135931933
adjust,0.07557648,vv0,8.392763113038061
adjusted,0.29546556,vvn,8.778325928634482
administered,0.33569533,vvn,8.650149418664864
admired,0.3088023,vvd,9.1821466376054
admit,0.048801612,vv0,7.8009820712577405
admitted,0.26269618,vvd,8.377241230988792
adopt,0.073326685,vv0,8.335671314792847
advise,0.10709203,vv0,8.912338567117548
advised,0.31585613,vvd,9.010791269515602
agree,0.05812799,vv0,6.7912214627261855
agreed,0.08371665,vvd,7.537430036586509
aimed,0.19502877,vvn,8.21851757748959
air,0.027975563,vv0,10.321177630266861
allow,0.03354684,vv0,6.716594773520978
allowed,0.08167368,vvn,7.167809184316444
amend,0.11126124,vv0,9.635412009723266
amounted,0.28996024,vvd,9.37143829231851
announced,0.1200417,vvd,7.656337166430183
answered,0.07463916,vvd,7.94873845481361
anticipate,0.18733203,vv0,8.869679374733515
apologise,0.18478514,vv0,11.211536548128285
apologize,0.18309751,vv0,8.713253274320705
apologized,0.2537952,vvd,9.200693994924377
appealed,0.30521154,vvn,9.36426245424844
appeared,0.106728226,vvd,7.105786129481271
applied,0.1156141,vvn,7.988542982737695
apply,0.057778496,vv0,7.58629630715272
appreciate,0.13304512,vv0,7.658227526161352
approached,0.32034624,vvd,8.285008895449879
approaching,0.20692857,vvg,8.319229938632326
approve,0.113974735,vv0,8.631592731724734
approved,0.11514389,vvn,8.263848131368906
argue,0.09429825,vv0,7.55171221535131
argued,0.3094043,vvd,8.123261319121745
arrange,0.0818091,vv0,8.569785641535407
arranged,0.31720325,vvn,8.55333223803211
arrested,0.2961997,vvn,7.886457270977689
arrived,0.050626874,vvd,7.5126175446745105
ask,-0.055263266,vv0,5.8888779583328805
asked,0.020515043,vvd,5.723585101952381
asking,-0.0025338195,vvg,7.00397413672268
assaulted,0.28090376,vvn,9.536978699538377
assess,0.121213384,vv0,8.07246736935477
assessed,0.31812337,vvn,8.674367865788236
assign,0.025972828,vv0,9.25674674479034
assisted,0.3188218,vvn,9.443275825752862
assume,0.042709854,vv0,7.718685495198466
assumed,0.31491828,vvd,8.486940148245216
assured,0.31398478,vvd,8.885440911707585
ate,0.08514087,vvd,8.052614818815567
attached,0.125468,vvn,8.098338846189057
attacked,0.31305206,vvn,8.56845648535378
attempted,0.31938595,vvd,8.682877107057168
attend,0.072406866,vv0,7.829232537543592
attended,0.3097139,vvd,8.22282213081366
avoid,0.06950773,vv0,7.036148493750536
avoided,0.3054981,vvn,8.80492526261806
backed,0.26763287,vvn,8.653296274408579
banged,0.28434956,vvd,9.71522840307542
barked,0.19636026,vvd,9.491073355339758
bathed,0.20594613,vvn,9.603327958573235
beat,-0.07322041,vv0,7.644440761556566
became,0.04003701,vvd,6.037870919922137
become,0.040200893,vv0,6.013715156042802
beg,-0.04913336,vv0,8.970813341411448
began,0.0900763,vvd,5.811140992976701
begged,0.25381643,vvd,9.200087995511831
begin,0.031735636,vv0,6.380122536899765
believe,0.05635093,vv0,5.5909869805108565
bellowed,0.1578075,vvd,9.862353009177573
bent,-0.016743127,vvd,8.624072553043334
betray,0.07285132,vv0,9.486759252149254
billed,0.06751855,vvn,9.435881047890113
blamed,0.2001945,vvn,9.031094081699155
blasted,0.17366663,vvd,9.493336482437249
bled,0.20885047,vvn,10.001702600033083
bleed,0.18437769,vv0,9.461021266283481
blessed,0.30090892,vvn,9.106977858981029
blew,0.041659623,vvd,8.286017468404763
blinked,0.27033827,vvd,8.878358040627822
blocked,0.28934872,vvn,8.974111581113318
blow,-0.073983744,vv0,8.309922989258318
blushed,0.19314492,vvd,9.747359919824648
boarded,0.27823427,vvd,9.469777278987662
bolted,0.23019099,vvn,9.75074421527093
booked,0.25550374,vvn,9.421573272264558
borrowed,0.28221002,vvn,9.283869605264298
bought,-0.02195642,vvd,7.484368643286131
bowed,0.114953324,vvd,9.24319470884713
braced,0.24146968,vvd,9.784197131344804
bragged,0.20164156,vvd,9.997433165378656
brandished,0.21178082,vvd,10.41989755459602
