family,n_pairs,twin_cos,random_cos
amber,990,0.3579037526762641,0.06059901305551424
beaver,942,0.33076191495622853,0.06722738040296694
ct-llm,814,0.3938288884249471,0.06364587756901235
map-neo,972,0.30659875898787314,0.04755431928860128
minicpm,1082,0.4354082178889693,0.01894570168819498
olmo,1038,0.2483026157696985,0.012918304812106677
olmo-32b,980,0.20532336753526695,0.013295598943927787
olmo-hybrid,948,0.33903101501202804,0.052974114348065766
olmo-tiny,1054,0.3400656500994934,0.040205784393700254
olmoe,836,0.2492442440456199,0.0430277669170263
redpajama,250,0.24529431446314612,0.04367923723643823
stablelm,1056,0.378134701812578,0.09095737704015674
tulu,372,0.2475756770750998,0.052084751256184655
zephyr,554,0.2622506570496419,0.028732606152726065
