family,rung,n_sites,obs,null,gap
amber,base>sft,2028,0.09664573520421982,0.06833023801445962,0.028315497189760203
amber,sft>pref,1949,0.040565937757492065,0.028101280704140662,0.012464657053351404
beaver,base>sft,1907,0.10576333850622177,0.07748654335737229,0.028276795148849482
beaver,sft>pref,876,0.03534073382616043,0.030824162159115077,0.0045165716670453535
ct-llm,base>sft,1934,0.04490150511264801,0.03520034421235323,0.009701160900294784
map-neo,base>sft,2005,0.038386840373277664,0.028145409747958185,0.01024143062531948
map-neo,sft>pref,408,0.045273806899785995,0.03729371763765812,0.007980089262127878
minicpm,base>sft,2125,0.033025048673152924,0.02221484947949648,0.010810199193656445
olmo,base>sft,2079,0.01565420813858509,0.009947041887789965,0.005707166250795126
olmo,sft>pref,748,0.067511186003685,0.0596572183072567,0.0078539676964283
olmo-32b,base>sft,2012,0.01788061484694481,0.013983874907717108,0.0038967399392277006
olmo-32b,sft>pref,383,0.030989179387688637,0.026907529775053264,0.004081649612635373
olmo-hybrid,base>sft,1975,0.07038136571645737,0.051883772015571594,0.018497593700885773
olmo-tiny,base>sft,2081,0.03542529419064522,0.02393740452826023,0.011487889662384988
olmo-tiny,sft>pref,1009,0.30028772354125977,0.28244940787553785,0.017838315665721916
olmoe,base>sft,1900,0.04227594658732414,0.03151425458490849,0.010761692002415654
olmoe,sft>pref,828,0.19482308626174927,0.17789363786578177,0.016929448395967495
redpajama,base>sft,1000,0.043991364538669586,0.037938454560935496,0.00605290997773409
redpajama,sft>pref,1655,0.07841768860816956,0.05594380646944046,0.022473882138729098
stablelm,base>sft,2008,0.13311372697353363,0.09123627282679081,0.04187745414674282
stablelm,sft>pref,1689,0.06326580792665482,0.04809537697583437,0.015170430950820449
tulu,base>sft,1496,0.055154044181108475,0.04468254111707211,0.010471503064036367
tulu,sft>pref,1363,0.29749420285224915,0.27716670781373975,0.02032749503850939
zephyr,base>sft,1479,0.04253879562020302,0.03347133193165064,0.00906746368855238
zephyr,sft>pref,535,0.17793907225131989,0.15656653940677642,0.021372532844543463
