family,rung,n_sites,obs,null,gap
amber,base>sft,1564,0.08449223637580872,0.06506300494074821,0.019429231435060507
amber,sft>pref,1527,0.04390349239110947,0.031942669115960595,0.011960823275148871
beaver,base>sft,1506,0.12539900839328766,0.09867682084441184,0.026722187548875814
beaver,sft>pref,521,0.06512512266635895,0.06018763743340969,0.0049374852329492555
ct-llm,base>sft,1405,0.06161149963736534,0.04999451842159033,0.011616981215775014
map-neo,base>sft,1535,0.061461061239242554,0.048263870365917685,0.013197190873324868
map-neo,sft>pref,207,0.07021034508943558,0.055600006878376004,0.014610338211059573
minicpm,base>sft,1696,0.0327172689139843,0.02417229376733303,0.008544975146651267
olmo,base>sft,1634,0.01626826822757721,0.011804256169125438,0.004464012058451771
olmo,sft>pref,358,0.0700317844748497,0.06186872459948063,0.00816305987536907
olmo-32b,base>sft,1570,0.012706815265119076,0.009601758792996407,0.0031050564721226692
olmo-32b,sft>pref,149,0.04334203898906708,0.03719505500048399,0.006146983988583085
olmo-hybrid,base>sft,1527,0.0721825510263443,0.05479166731238365,0.01739088371396065
olmo-tiny,base>sft,1658,0.044882748275995255,0.03269413989037275,0.012188608385622503
olmo-tiny,sft>pref,274,0.2584000527858734,0.2311665065586567,0.027233546227216715
olmoe,base>sft,1388,0.0385427363216877,0.030610005371272564,0.007932730950415134
olmoe,sft>pref,385,0.15861932933330536,0.14211577400565148,0.01650355532765388
redpajama,base>sft,620,0.06049852818250656,0.05226497929543257,0.008233548887073991
redpajama,sft>pref,1291,0.1182994693517685,0.09274534061551094,0.02555412873625755
stablelm,base>sft,1619,0.1349143087863922,0.09761444628238677,0.03729986250400544
stablelm,sft>pref,1313,0.07420510798692703,0.06001958884298801,0.014185519143939021
tulu,base>sft,886,0.034912846982479095,0.028586556017398835,0.0063262909650802605
tulu,sft>pref,395,0.22623324394226074,0.1983367159962654,0.027896527945995342
zephyr,base>sft,1044,0.039323292672634125,0.03220337387174368,0.007119918800890447
zephyr,sft>pref,316,0.2357354611158371,0.21583397090435028,0.019901490211486822
