family,rung,n_sites,obs,null,gap
amber,base>sft,1560,0.07116675851165864,0.059777644563987466,0.011389113947671177
amber,sft>pref,1521,0.03589560883240707,0.02581403379532237,0.010081575037084699
beaver,base>sft,1502,0.07266135561570411,0.060065791850760816,0.012595563764943293
beaver,sft>pref,521,0.038896678240332626,0.034145071738478375,0.004751606501854251
ct-llm,base>sft,1402,0.06708921147295319,0.05621847511593438,0.01087073635701881
map-neo,base>sft,1534,0.06484484302517668,0.053089629031825514,0.011755213993351166
map-neo,sft>pref,205,0.0708375897010705,0.05858925072245803,0.012248338978612466
minicpm,base>sft,1696,0.03293124377688829,0.026429339299404813,0.006501904477483476
olmo,base>sft,1634,0.012375386134994356,0.009409544823541912,0.002965841311452444
olmo,sft>pref,358,0.025035681733079643,0.02149020609784532,0.003545475635234323
olmo-32b,base>sft,1569,0.01129985368275989,0.009141103574681916,0.0021587501080779746
olmo-32b,sft>pref,149,0.01734788839465369,0.014533517111599142,0.002814371283054548
olmo-hybrid,base>sft,1527,0.060636905061757285,0.04802275430539678,0.012614150756360507
olmo-tiny,base>sft,1658,0.033590559373210344,0.026339656799915567,0.007250902573294776
olmo-tiny,sft>pref,274,0.11759217634273562,0.10135905837986874,0.01623311796286689
olmoe,base>sft,1387,0.03630296560907668,0.02984177244601562,0.006461193163061058
olmoe,sft>pref,384,0.054280837142098574,0.047899493046668226,0.006381344095430348
redpajama,base>sft,619,0.03390564778568162,0.02977486757391819,0.00413078021176343
redpajama,sft>pref,1291,0.03911327306786515,0.03097445570484054,0.008138817363024606
stablelm,base>sft,1619,0.09546350586303684,0.075313261729783,0.020150244133253836
stablelm,sft>pref,1313,0.02899962215667292,0.022957659393737992,0.0060419627629349285
tulu,base>sft,880,0.03936574048974432,0.03331128075707648,0.006054459732667841
tulu,sft>pref,395,0.13007858613577092,0.11541003657467139,0.014668549561099531
zephyr,base>sft,1040,0.04298703236378452,0.03643098163691423,0.006556050726870287
zephyr,sft>pref,316,0.10880450683428111,0.10089451430217247,0.00790999253210864
