family,rung,n_sites,obs,null,gap
amber,base>sft,1564,0.0702362062114474,0.05867193303755088,0.011564273173896515
amber,sft>pref,1527,0.03525450169403875,0.02511020920264349,0.01014429249139526
beaver,base>sft,1506,0.07226525149809183,0.059541203673690125,0.012724047824401709
beaver,sft>pref,521,0.03852833325741711,0.03414133476563401,0.004386998491783103
ct-llm,base>sft,1405,0.06684549834763426,0.05623290346630312,0.010612594881331136
map-neo,base>sft,1535,0.0643477658299378,0.05257297707944664,0.011774788750491164
map-neo,sft>pref,207,0.06970384750789481,0.05771903724474934,0.01198481026314547
minicpm,base>sft,1696,0.033020809147554064,0.026482437594473312,0.0065383715530807525
olmo,base>sft,1634,0.012367034885515897,0.009420287284642814,0.0029467476008730835
olmo,sft>pref,358,0.0250394824631406,0.02146408600302914,0.003575396460111461
olmo-32b,base>sft,1570,0.011243707379224404,0.009061615559074926,0.0021820918201494784
olmo-32b,sft>pref,149,0.01756913189309944,0.014630250971861186,0.0029388809212382537
olmo-hybrid,base>sft,1527,0.06105225217597358,0.04816611925505511,0.012886132920918468
olmo-tiny,base>sft,1658,0.03367948613387178,0.026299763133936706,0.0073797229999350775
olmo-tiny,sft>pref,274,0.11650430932951286,0.10060335889609326,0.015900950433419603
olmoe,base>sft,1388,0.03629741714861747,0.029866292470900963,0.006431124677716508
olmoe,sft>pref,385,0.053940545846988125,0.047629504952173246,0.006311040894814879
redpajama,base>sft,620,0.033872212879493456,0.029790937916023903,0.0040812749634695535
redpajama,sft>pref,1291,0.03879353496801875,0.03093865567439737,0.007854879293621383
stablelm,base>sft,1619,0.09460330275006727,0.07466176876960506,0.01994153398046221
stablelm,sft>pref,1313,0.029029774164363097,0.02307587452184333,0.005953899642519769
tulu,base>sft,886,0.03910379622465382,0.033199223529653134,0.005904572695000686
tulu,sft>pref,395,0.1286548403657562,0.11452880001449481,0.014126040351261387
zephyr,base>sft,1044,0.04278818798546922,0.0359633549172603,0.00682483306820892
zephyr,sft>pref,316,0.10900228757392923,0.10039282525124911,0.008609462322680117
