axis,arm,stat,delta,se,n,n_pos,n_neg,sign_p
transgressiveness,math,K_mean,0.0013470264594344745,0.0006374628296903741,2582,1178,1105,0.1318227264021813
transgressiveness,math,M_hi,0.00019811455574951007,8.693767680607409e-05,2583,540,497,0.19212429591755373
transgressiveness,persona,K_mean,9.447898138102081e-05,0.0006340667553589226,2582,1180,1098,0.08965515371967585
transgressiveness,persona,M_hi,-8.259665495418253e-05,8.72946333103793e-05,2583,528,509,0.5762080355737159
transgressiveness,safety,K_mean,0.0026920564757036804,0.0007821594398985206,2582,1193,1087,0.02785720216553314
transgressiveness,safety,M_hi,0.0004690185696546243,9.651560994158328e-05,2583,592,446,6.556641205852746e-06
transgressiveness,wildchat,K_mean,0.01961965567492789,0.001654022646973114,2582,1429,870,1.3426412635545315e-31
transgressiveness,wildchat,M_hi,0.002213201024484636,0.00023051255970829682,2583,803,328,1.7910459395281104e-46
vulgarity,math,K_mean,-2.0923628927800192e-05,0.00014068011682876922,2582,722,868,0.0002739985390285566
vulgarity,math,M_hi,9.28686970948683e-06,1.7929594995984666e-05,2583,66,74,0.5542689157763164
vulgarity,persona,K_mean,-0.0001224663998784989,0.00023280429222270816,2582,809,790,0.652622500657577
vulgarity,persona,M_hi,-4.7595608651481294e-05,3.565314663458476e-05,2583,55,81,0.03167366339108271
vulgarity,safety,K_mean,0.0003475415703733272,0.00018789567271828225,2582,658,937,2.9869876834356907e-12
vulgarity,safety,M_hi,3.284829402483734e-05,1.8134948741514386e-05,2583,89,58,0.013077697334512176
vulgarity,wildchat,K_mean,0.0007946131579686996,0.00048764943702020154,2582,762,880,0.003871750451867321
vulgarity,wildchat,M_hi,-2.1582254013703132e-05,5.7241155649442794e-05,2583,81,79,0.937020169213198
charge,math,K_mean,-0.000952463591612407,0.0008738271600706302,2582,1242,1273,0.5497096138174817
charge,math,M_hi,6.119679434253857e-05,9.190727979876341e-05,2583,712,634,0.03579671485791272
charge,persona,K_mean,-0.0035818097493595965,0.0008835788433343766,2582,1187,1328,0.005234020161523376
charge,persona,M_hi,7.198936272673712e-05,9.825521730580525e-05,2583,795,554,5.699240417219829e-11
charge,safety,K_mean,-0.0028538373955670194,0.0010308767294909657,2582,1153,1358,4.637901479221667e-05
charge,safety,M_hi,0.00017563189135786584,0.00010973182709827465,2583,686,655,0.4126636871821079
charge,wildchat,K_mean,0.004453692917248855,0.0020871851612890412,2582,1246,1276,0.5636341609774822
charge,wildchat,M_hi,0.0013601067382619742,0.00024906460124091937,2583,876,530,2.2989672110041966e-20
bodily_harm,math,K_mean,0.0011216362382204545,0.0007927148120508446,2582,1063,979,0.06622041721504786
bodily_harm,math,M_hi,8.275642424368112e-06,0.00011546460200838026,2583,572,670,0.005894140607671485
bodily_harm,persona,K_mean,0.0012376121490304793,0.0008158406377552434,2582,1119,920,1.1432094239179813e-05
bodily_harm,persona,M_hi,9.35817436029498e-05,0.00011682262335972411,2583,660,605,0.1289139100466034
bodily_harm,safety,K_mean,0.006913705333483319,0.0009670506211753136,2582,1177,867,7.514037243286091e-12
bodily_harm,safety,M_hi,0.0009440941347656822,0.00014575279436586925,2583,675,583,0.010269444975039276
bodily_harm,wildchat,K_mean,0.014172148768455446,0.0018391740325958757,2582,1203,846,3.1624758686501198e-15
bodily_harm,wildchat,M_hi,0.0013586917638536535,0.00025612234246169253,2583,740,539,2.100848011152022e-08
valence,math,K_mean,-0.0031395602415014486,0.0006535962036229211,2582,1055,1428,7.474726787972412e-14
valence,math,M_hi,-0.0012103061068059937,0.00017668935789072417,2583,955,1419,1.5315231029595242e-21
valence,persona,K_mean,-0.0036080540779894047,0.0006369022896040636,2582,1023,1464,9.075473698316506e-19
valence,persona,M_hi,-0.0016650709045012426,0.00017241705202930172,2583,920,1465,4.6661765758909173e-29
valence,safety,K_mean,-0.003949124681154548,0.0007613959123771147,2582,1027,1457,6.1931428154200624e-18
valence,safety,M_hi,-0.001092135998406953,0.00017661771366497922,2583,987,1398,3.8966187860477427e-17
valence,wildchat,K_mean,-0.012388857765797455,0.0016632998601785356,2582,1063,1435,1.0340802405924708e-13
valence,wildchat,M_hi,-0.0013633230724001495,0.00038784330317966434,2583,1014,1376,1.3806564663965555e-13
