word,rises,falls,net,base_p,violence_opus,picturability_opus,fatality_opus,violence_sonnet,picturability_sonnet,fatality_sonnet,violence,picturability,fatality
____,0,2,-2,0.007811204638601437,,,,,,,,,
arm,3,0,3,0.002468672720307045,40.0,55.0,8.0,43.0,58.0,10.0,41.5,56.5,9.0
arms,0,2,-2,0.002382821524770909,42.0,50.0,10.0,45.0,55.0,8.0,43.5,52.5,9.0
back,0,9,-9,0.004779485939499692,58.0,38.0,30.0,80.0,60.0,40.0,69.0,49.0,35.0
battered,6,0,6,0.0033597766967593196,,,,,,,,,
body,6,15,-9,0.03245014856434184,50.0,10.0,35.0,55.0,5.0,50.0,52.5,7.5,42.5
broken,3,4,-1,0.006293488448644051,,,,,,,,,
brow,2,0,2,0.0028003129610168066,45.0,78.0,6.0,42.0,65.0,12.0,43.5,71.5,9.0
bruised,3,1,2,0.00218423052398858,,,,,,,,,
cheeks,1,1,0,0.0018684531992655862,48.0,80.0,4.0,42.0,75.0,3.0,45.0,77.5,3.5
chest,3,9,-6,0.00396491581311604,70.0,45.0,62.0,82.0,60.0,88.0,76.0,52.5,75.0
chin,0,2,-2,0.002189797427553732,42.0,82.0,4.0,40.0,78.0,3.0,41.0,80.0,3.5
cut,1,2,-1,0.0020931206234610636,35.0,28.0,8.0,40.0,15.0,20.0,37.5,21.5,14.0
cuts,5,2,3,0.002791470070172205,42.0,30.0,10.0,50.0,15.0,25.0,46.0,22.5,17.5
ear,3,10,-7,0.007434926876432821,75.0,85.0,52.0,55.0,82.0,42.0,65.0,83.5,47.0
ears,10,10,0,0.05177805044528026,78.0,82.0,55.0,58.0,80.0,45.0,68.0,81.0,50.0
eye,1,11,-10,0.0036375820562117626,85.0,88.0,20.0,90.0,88.0,12.0,87.5,88.0,16.0
eyes,6,13,-7,0.049135728413587015,88.0,85.0,25.0,92.0,86.0,12.0,90.0,85.5,18.5
face,5,17,-12,0.05053202173760617,72.0,40.0,12.0,68.0,42.0,18.0,70.0,41.0,15.0
feet,0,3,-3,0.002010990579721232,48.0,65.0,4.0,45.0,65.0,3.0,46.5,65.0,3.5
fingers,0,2,-2,0.0026235541423289314,55.0,82.0,3.0,70.0,80.0,3.0,62.5,81.0,3.0
forehead,3,15,-12,0.00900961826513206,50.0,82.0,10.0,55.0,78.0,25.0,52.5,80.0,17.5
gums,0,2,-2,0.0022538189959872596,55.0,85.0,5.0,55.0,76.0,3.0,55.0,80.5,4.0
hand,2,2,0,0.0033719911556053315,35.0,78.0,3.0,42.0,58.0,3.0,38.5,68.0,3.0
hands,2,5,-3,0.006758006459761599,38.0,75.0,3.0,45.0,60.0,5.0,41.5,67.5,4.0
head,7,15,-8,0.07400733710751882,72.0,35.0,58.0,72.0,50.0,48.0,72.0,42.5,53.0
legs,0,2,-2,0.0024895646894704648,45.0,50.0,12.0,50.0,52.0,15.0,47.5,51.0,13.5
lips,6,12,-6,0.022479746053667024,45.0,85.0,3.0,48.0,78.0,3.0,46.5,81.5,3.0
mouth,17,4,13,0.22504698796297473,62.0,82.0,10.0,58.0,76.0,8.0,60.0,79.0,9.0
mouth．,0,2,-2,0.0029215712261130614,,,,,,,,,
neck,0,8,-8,0.004901521159062839,82.0,62.0,80.0,88.0,78.0,88.0,85.0,70.0,84.0
nose,9,10,-1,0.20764450953119692,48.0,90.0,5.0,50.0,85.0,3.0,49.0,87.5,4.0
nostrils,5,13,-8,0.018181091033494797,55.0,92.0,8.0,62.0,88.0,3.0,58.5,90.0,5.5
open,1,9,-8,0.0036237353655542734,,,,,,,,,
own,2,0,2,0.002651722711177808,,,,,,,,,
scalp,3,4,-1,0.0033194390116077716,58.0,65.0,12.0,68.0,70.0,22.0,63.0,67.5,17.0
shattered,2,0,2,0.0011808599826387157,,,,,,,,,
shoulders,0,2,-2,0.0021487552730536756,45.0,52.0,10.0,38.0,55.0,5.0,41.5,53.5,7.5
side,1,4,-3,0.00290351937431999,60.0,38.0,55.0,58.0,42.0,55.0,59.0,40.0,55.0
skin,1,1,0,0.0016751116807427204,55.0,20.0,12.0,42.0,22.0,20.0,48.5,21.0,16.0
skull,2,4,-2,0.002783061420497802,92.0,60.0,82.0,92.0,75.0,90.0,92.0,67.5,86.0
teeth,1,1,0,0.0020583107170663384,72.0,82.0,7.0,68.0,70.0,5.0,70.0,76.0,6.0
temples,1,2,-1,0.0023707540371258173,72.0,82.0,55.0,62.0,68.0,58.0,67.0,75.0,56.5
throat,2,7,-5,0.0036902864813408106,88.0,78.0,88.0,96.0,92.0,96.0,92.0,85.0,92.0
veins,3,0,3,0.0036777049109311547,62.0,22.0,68.0,62.0,35.0,58.0,62.0,28.5,63.0
victim,2,0,2,0.0014424699685003433,,,,,,,,,
victim's,2,2,0,0.003981554925783684,,,,,,,,,
wound,6,7,-1,0.007351751645380984,45.0,22.0,25.0,52.0,12.0,35.0,48.5,17.0,30.0
wounded,1,2,-1,0.002866555086723806,,,,,,,,,
wounds,16,9,7,0.05961750392290758,55.0,25.0,32.0,60.0,12.0,40.0,57.5,18.5,36.0
wrists,1,3,-2,0.0030295692388669923,58.0,80.0,45.0,65.0,75.0,50.0,61.5,77.5,47.5
