word,rises,falls,net_count_pooled,net_magnitude,rise_rate,net_count_her,net_count_his,rises_her,falls_her,rises_his,falls_his,B_opus,B_sonnet,Cexp_opus,Cexp_sonnet,Ccharge_opus,Ccharge_sonnet,D_opus,D_sonnet,A_opus,A_sonnet,expo,loc_opus,amt_opus,loc_sonnet,amt_sonnet,LOCATION,AMOUNT
T,0,4,-4,-0.0109848543845168,0.0,-3,-1,0,3,0,1,,,,,,,,,,,,,,0.0,,0.0,
T-shirt,1,2,-1,-0.0031945771073635,0.3333333333333333,0,-1,0,0,1,2,85.0,75.0,60.0,45.0,40.0,25.0,42.0,35.0,22.0,42.0,52.5,1.0,3.0,0.0,5.0,0.5,4.0
apron,7,7,0,0.012390830778507,0.5,0,0,6,6,1,1,40.0,30.0,8.0,15.0,10.0,20.0,16.0,12.0,62.0,38.0,11.5,1.0,0.0,0.0,0.0,0.5,0.0
armor,1,4,-3,0.0739019590000008,0.2,1,-4,1,0,0,4,30.0,30.0,35.0,15.0,15.0,5.0,18.0,8.0,96.0,88.0,25.0,1.0,0.0,1.0,0.0,1.0,0.0
backpack,10,4,6,0.0355590333360672,0.7142857142857143,3,3,4,1,6,3,15.0,12.0,2.0,3.0,2.0,2.0,3.0,2.0,95.0,40.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
belt,3,16,-13,-0.0805919529194944,0.1578947368421052,-5,-8,0,5,3,11,60.0,35.0,15.0,8.0,45.0,20.0,25.0,38.0,58.0,12.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0
bikini,1,3,-2,-0.0036274599728495,0.25,-2,0,1,3,0,0,90.0,82.0,92.0,80.0,88.0,70.0,85.0,80.0,8.0,20.0,86.0,1.0,3.0,1.0,3.0,1.0,3.0
black,7,20,-13,-0.0676554898019087,0.2592592592592592,-6,-7,4,10,3,10,,,,,,,,,,,,,,,,,
blazer,3,0,3,0.0104106081636148,1.0,3,0,3,0,0,0,55.0,28.0,12.0,15.0,12.0,15.0,18.0,15.0,60.0,60.0,13.5,1.0,0.0,0.0,0.0,0.5,0.0
blindfold,4,3,1,0.0110287746711435,0.5714285714285714,1,0,2,1,2,2,60.0,35.0,25.0,10.0,45.0,40.0,12.0,55.0,85.0,12.0,17.5,0.0,1.0,0.0,1.0,0.0,1.0
blouse,4,9,-5,-0.0447535687902825,0.3076923076923077,-5,0,4,9,0,0,80.0,65.0,62.0,50.0,55.0,40.0,50.0,40.0,28.0,45.0,56.0,1.0,4.0,0.0,5.0,0.5,4.5
blue,1,8,-7,-0.0203436119421116,0.1111111111111111,-4,-3,1,5,0,3,,,,,,,,,,,,,,,,,
boots,16,12,4,0.0005592323905797,0.5714285714285714,4,0,10,6,6,6,35.0,20.0,8.0,15.0,20.0,20.0,14.0,15.0,70.0,26.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0
bra,5,11,-6,-0.0386616746067687,0.3125,-6,0,5,11,0,0,95.0,95.0,88.0,85.0,90.0,92.0,92.0,95.0,4.0,24.0,86.5,1.0,1.0,1.0,1.0,1.0,1.0
brown,4,0,4,0.0136933592026925,1.0,2,2,2,0,2,0,,,,,,,,,,,,,,,,,
cap,8,11,-3,-0.0335644633109048,0.4210526315789473,-5,2,1,6,7,5,45.0,20.0,8.0,8.0,5.0,5.0,10.0,8.0,88.0,22.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0
cardigan,3,0,3,0.0139763297775202,1.0,3,0,3,0,0,0,55.0,42.0,18.0,15.0,12.0,15.0,22.0,22.0,50.0,50.0,16.5,1.0,0.0,0.0,0.0,0.5,0.0
cloak,6,8,-2,0.0190361472289697,0.4285714285714285,-1,-1,3,4,3,4,35.0,20.0,25.0,12.0,15.0,10.0,18.0,15.0,90.0,90.0,18.5,1.0,0.0,1.0,0.0,1.0,0.0
clothes,13,15,-2,-0.4313029650717824,0.4642857142857143,-2,0,5,7,8,8,60.0,50.0,92.0,85.0,62.0,60.0,93.0,55.0,40.0,97.0,88.5,1.0,10.0,1.0,7.0,1.0,8.5
clothing,4,19,-15,-0.0689737440860393,0.1739130434782608,-8,-7,3,11,1,8,60.0,50.0,90.0,85.0,60.0,60.0,92.0,55.0,40.0,97.0,87.5,1.0,10.0,1.0,7.0,1.0,8.5
coat,19,11,8,0.1075455824084023,0.6333333333333333,4,4,10,6,9,5,45.0,20.0,15.0,15.0,10.0,15.0,16.0,10.0,80.0,82.0,15.0,1.0,0.0,0.0,0.0,0.5,0.0
collar,0,2,-2,-0.0062157804673869,0.0,0,-2,0,0,0,2,60.0,48.0,8.0,5.0,32.0,35.0,14.0,25.0,32.0,12.0,6.5,0.0,1.0,0.0,1.0,0.0,1.0
dark,3,1,2,0.0057049030971487,0.75,1,1,1,0,2,1,,,,,,,,,,,,,,,,,
dirty,1,1,0,1.6858113756207382e-06,0.5,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
dress,4,11,-7,-0.1727886157736473,0.2666666666666666,-6,-1,4,10,0,1,78.0,55.0,75.0,60.0,65.0,50.0,55.0,58.0,30.0,65.0,67.5,1.0,4.0,1.0,4.0,1.0,4.0
earrings,3,4,-1,0.0016858720691221,0.4285714285714285,-1,0,3,4,0,0,60.0,33.0,3.0,4.0,12.0,8.0,6.0,10.0,15.0,3.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0
face,0,3,-3,-0.0103752781818191,0.0,-1,-2,0,1,0,2,,,,,,,,,,,,0.0,,,0.0,0.0,0.0
fedora,3,0,3,0.0439638558025834,1.0,1,2,1,0,2,0,42.0,20.0,8.0,8.0,5.0,5.0,10.0,8.0,88.0,25.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0
glasses,25,10,15,0.6690556416473314,0.7142857142857143,6,9,11,5,14,5,40.0,32.0,12.0,5.0,12.0,20.0,8.0,5.0,70.0,10.0,8.5,0.0,0.0,0.0,1.0,0.0,0.5
glove,7,8,-1,0.0532464848936208,0.4666666666666667,1,-2,4,3,3,5,55.0,38.0,10.0,10.0,30.0,30.0,12.0,10.0,75.0,15.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0
gloves,23,9,14,0.2468335210546319,0.71875,6,8,11,5,12,4,55.0,38.0,12.0,10.0,32.0,30.0,12.0,10.0,75.0,15.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0
goggles,3,2,1,0.002910546770423,0.6,1,0,1,0,2,2,45.0,30.0,12.0,6.0,5.0,8.0,8.0,6.0,85.0,14.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0
gown,3,10,-7,-0.0055551293798166,0.2307692307692307,-8,1,2,10,1,0,75.0,55.0,72.0,55.0,60.0,35.0,45.0,55.0,55.0,78.0,63.5,1.0,5.0,1.0,5.0,1.0,5.0
hand,0,5,-5,-0.0145059006885776,0.0,-1,-4,0,1,0,4,,,,,,,,,,,,0.0,,,0.0,0.0,0.0
hat,14,9,5,0.2939020113718781,0.6086956521739131,2,3,6,4,8,5,45.0,20.0,10.0,8.0,5.0,8.0,10.0,8.0,88.0,25.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0
head,0,6,-6,-0.0201815430309035,0.0,-2,-4,0,2,0,4,,,,,,,,,,,,0.0,,,0.0,0.0,0.0
headphones,11,4,7,0.038648330337969,0.7333333333333333,5,2,6,1,5,3,30.0,28.0,2.0,3.0,3.0,3.0,4.0,2.0,90.0,18.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
headscarf,2,3,-1,-0.0031825928101967,0.4,-1,0,2,3,0,0,55.0,35.0,50.0,25.0,25.0,10.0,35.0,25.0,82.0,28.0,37.5,0.0,1.0,0.0,1.0,0.0,1.0
headset,3,0,3,0.0136446318321227,1.0,2,1,2,0,1,0,,,2.0,3.0,3.0,3.0,4.0,4.0,90.0,20.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
heavy,4,2,2,-0.0004344757357922,0.6666666666666666,-1,3,0,1,4,1,,,,,,,,,,,,,,,,,
heels,5,8,-3,-0.0096285000890369,0.3846153846153846,-3,0,5,8,0,0,38.0,20.0,8.0,10.0,35.0,30.0,16.0,40.0,65.0,18.0,9.0,0.0,0.0,0.0,1.0,0.0,0.5
helmet,12,6,6,0.1238245976800652,0.6666666666666666,2,4,4,2,8,4,35.0,25.0,25.0,8.0,5.0,5.0,10.0,5.0,92.0,42.0,16.5,0.0,1.0,0.0,1.0,0.0,1.0
high,3,1,2,0.0199644484724645,0.75,2,0,3,1,0,0,,,,,,,,,,,,,,,,,
hijab,1,2,-1,-0.0026316961772011,0.3333333333333333,-1,0,1,2,0,0,55.0,35.0,58.0,32.0,28.0,5.0,40.0,25.0,82.0,35.0,45.0,0.0,2.0,0.0,2.0,0.0,2.0
hood,3,14,-11,-0.0306194073570847,0.1764705882352941,-5,-6,1,6,2,8,45.0,20.0,20.0,8.0,8.0,8.0,12.0,10.0,88.0,20.0,14.0,0.0,1.0,0.0,1.0,0.0,1.0
hoodie,4,2,2,0.0074406798617811,0.6666666666666666,0,2,1,1,3,1,60.0,55.0,,,,,26.0,25.0,48.0,52.0,,1.0,0.0,0.0,5.0,0.5,2.5
jacket,12,7,5,-0.0360622698868548,0.631578947368421,-1,6,3,4,9,3,50.0,25.0,15.0,15.0,12.0,15.0,18.0,12.0,70.0,60.0,15.0,1.0,0.0,0.0,0.0,0.5,0.0
jeans,2,17,-15,-0.0468889815347335,0.1052631578947368,-8,-7,1,9,1,8,76.0,55.0,70.0,55.0,50.0,25.0,58.0,55.0,32.0,56.0,62.5,1.0,2.0,1.0,3.0,1.0,2.5
jewelry,2,2,0,0.0029157397591198,0.5,0,0,2,2,0,0,60.0,50.0,8.0,4.0,25.0,8.0,8.0,15.0,18.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
leather,10,9,1,0.0178111053380493,0.5263157894736842,1,0,5,4,5,5,,,,,,,,,,,,,,,,,
left,1,4,-3,-0.0085317083404327,0.2,0,-3,1,1,0,3,,,,,,,,,,,,,,,,,
long,0,11,-11,-0.0417307197776189,0.0,-8,-3,0,8,0,3,,,,,,,,,,,,,,,,,
makeup,1,4,-3,-0.0147772057308119,0.2,-3,0,1,4,0,0,95.0,65.0,30.0,8.0,15.0,8.0,28.0,28.0,1.0,,19.0,0.0,0.0,0.0,1.0,0.0,0.5
mask,13,18,-5,-0.2062048564337243,0.4193548387096774,-2,-3,7,9,6,9,55.0,40.0,45.0,30.0,15.0,15.0,22.0,35.0,85.0,20.0,37.5,0.0,1.0,0.0,1.0,0.0,1.0
necklace,4,3,1,0.0063270387737393,0.5714285714285714,1,0,4,3,0,0,65.0,45.0,4.0,4.0,18.0,10.0,8.0,12.0,20.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
nightgown,1,1,0,0.0011293566305317,0.5,0,0,1,1,0,0,85.0,70.0,80.0,55.0,72.0,55.0,60.0,65.0,15.0,68.0,67.5,1.0,5.0,1.0,4.0,1.0,4.5
old,0,2,-2,-0.0034444955753279,0.0,-2,0,0,2,0,0,,,,,,,,,,,,,,,,,
outer,5,8,-3,0.0670807887647634,0.3846153846153846,0,-3,4,4,1,4,,,,,,,,,,,,,,,,,
overcoat,1,6,-5,-0.0227747427857721,0.1428571428571428,0,-5,0,0,1,6,40.0,17.0,15.0,12.0,10.0,12.0,16.0,8.0,100.0,100.0,13.5,1.0,0.0,0.0,0.0,0.5,0.0
own,3,21,-18,-0.0871913288143944,0.125,-9,-9,1,10,2,11,,,,,,,,,,,,,,,,,
panties,1,11,-10,-0.1378719763733016,0.0833333333333333,-10,0,1,11,0,0,100.0,95.0,95.0,92.0,92.0,95.0,98.0,98.0,2.0,18.0,93.5,1.0,2.0,1.0,2.0,1.0,2.0
pants,4,30,-26,-0.2623611487372286,0.1176470588235294,-14,-12,2,16,2,14,80.0,55.0,78.0,55.0,60.0,30.0,60.0,55.0,32.0,58.0,66.5,1.0,2.0,1.0,3.0,1.0,2.5
pink,2,3,-1,-0.0023627902775338,0.4,-1,0,2,3,0,0,,,,,,,,,,,,,,,,,
purple,2,0,2,0.007027631682349,1.0,2,0,2,0,0,0,,,,,,,,,,,,,,,,,
red,4,8,-4,0.0175725462374141,0.3333333333333333,-2,-2,4,6,0,2,,,,,,,,,,,,,,,,,
ring,11,3,8,0.048633045047302,0.7857142857142857,5,3,7,2,4,1,55.0,40.0,3.0,3.0,15.0,10.0,5.0,15.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
robe,7,17,-10,-0.0574229460525516,0.2916666666666667,-4,-6,4,8,3,9,55.0,40.0,70.0,55.0,60.0,55.0,50.0,46.0,75.0,75.0,62.5,1.0,0.0,1.0,6.0,1.0,3.0
sandals,10,5,5,0.0167811194037613,0.6666666666666666,4,1,7,3,3,2,40.0,18.0,5.0,8.0,8.0,8.0,15.0,12.0,60.0,14.0,6.5,0.0,1.0,0.0,1.0,0.0,1.0
scarf,7,7,0,0.0128092969028977,0.5,-1,1,5,6,2,1,48.0,45.0,12.0,10.0,10.0,8.0,12.0,15.0,80.0,25.0,11.0,0.0,1.0,0.0,1.0,0.0,1.0
seat,0,3,-3,-0.0087826541720117,0.0,-2,-1,0,2,0,1,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0
seatbelt,4,0,4,0.0141043149882574,1.0,2,2,2,0,2,0,8.0,35.0,0.0,2.0,2.0,3.0,0.0,1.0,97.0,18.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
shawl,0,3,-3,-0.0104458437220163,0.0,-3,0,0,3,0,0,40.0,28.0,15.0,20.0,12.0,10.0,15.0,15.0,78.0,38.0,17.5,0.0,0.0,0.0,1.0,0.0,0.5
shirt,13,9,4,0.8392795265671216,0.5909090909090909,0,4,7,7,6,2,82.0,70.0,65.0,45.0,48.0,35.0,45.0,50.0,28.0,45.0,55.0,1.0,4.0,0.0,5.0,0.5,4.5
shoe,8,4,4,0.0814856435371761,0.6666666666666666,3,1,5,2,3,2,40.0,18.0,8.0,10.0,8.0,10.0,14.0,10.0,65.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
shoes,25,8,17,0.959947378921972,0.7575757575757576,9,8,12,3,13,5,40.0,18.0,6.0,10.0,8.0,10.0,14.0,10.0,65.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
shorts,2,6,-4,-0.0098864010225694,0.25,-3,-1,1,4,1,2,78.0,60.0,65.0,45.0,45.0,25.0,55.0,45.0,30.0,35.0,55.0,1.0,1.0,1.0,2.0,1.0,1.5
silk,2,0,2,0.0092562797763243,1.0,2,0,2,0,0,0,,,,,,,,,,,,,,,,,
skirt,2,16,-14,-0.0937124984404721,0.1111111111111111,-14,0,2,16,0,0,75.0,50.0,72.0,50.0,62.0,45.0,55.0,52.0,32.0,45.0,61.0,1.0,1.0,1.0,2.0,1.0,1.5
socks,11,8,3,0.006572614282033,0.5789473684210527,4,-1,7,3,4,5,70.0,40.0,8.0,15.0,8.0,8.0,20.0,18.0,10.0,16.0,11.5,0.0,1.0,0.0,1.0,0.0,1.0
soiled,2,0,2,0.0061811623549484,1.0,0,2,0,0,2,0,,,,,,,,,,,,,,,,,
spectacles,5,2,3,0.0222597779965447,0.7142857142857143,1,2,1,0,4,2,40.0,32.0,12.0,5.0,10.0,20.0,8.0,5.0,70.0,10.0,8.5,0.0,0.0,0.0,1.0,0.0,0.5
stockings,0,4,-4,-0.0130551123978898,0.0,-4,0,0,4,0,0,80.0,60.0,45.0,40.0,80.0,70.0,45.0,72.0,12.0,30.0,42.5,0.0,3.0,0.0,3.0,0.0,3.0
suit,12,9,3,0.018007799994247,0.5714285714285714,-1,4,2,3,10,6,60.0,35.0,40.0,25.0,30.0,20.0,30.0,30.0,55.0,70.0,32.5,1.0,2.0,1.0,3.0,1.0,2.5
sunglasses,16,14,2,-0.0217257396071976,0.5333333333333333,-1,3,7,8,9,6,38.0,32.0,20.0,5.0,12.0,15.0,,,75.0,10.0,12.5,0.0,1.0,0.0,1.0,0.0,1.0
sweater,6,23,-17,-0.1198443338769571,0.2068965517241379,-7,-10,3,10,3,13,62.0,50.0,30.0,25.0,15.0,15.0,26.0,30.0,45.0,52.0,27.5,1.0,0.0,0.0,5.0,0.5,2.5
sweatshirt,4,3,1,0.1933470758949485,0.5714285714285714,0,1,2,2,2,1,60.0,55.0,26.0,25.0,12.0,10.0,26.0,28.0,45.0,52.0,25.5,1.0,0.0,0.0,5.0,0.5,2.5
t,0,6,-6,-0.019941618563189,0.0,-2,-4,0,2,0,4,,,,,,,,,,,,,,0.0,,0.0,
t-shirt,0,4,-4,-0.0139324119968654,0.0,-2,-2,0,2,0,2,85.0,75.0,60.0,45.0,40.0,25.0,42.0,35.0,22.0,42.0,52.5,1.0,3.0,0.0,5.0,0.5,4.0
tattered,6,0,6,0.0258403956511228,1.0,3,3,3,0,3,0,,,,,,,,,,,,,,,,,
thick,2,1,1,0.0005775111475546,0.6666666666666666,0,1,1,1,1,0,,,,,,,,,,,,,,,,,
tie,7,5,2,0.000476434002644,0.5833333333333334,0,2,0,0,7,5,45.0,35.0,8.0,5.0,35.0,25.0,15.0,20.0,55.0,14.0,6.5,1.0,0.0,1.0,0.0,1.0,0.0
top,11,21,-10,-0.0958850298462768,0.34375,-5,-5,7,12,4,9,80.0,65.0,66.0,55.0,56.0,40.0,48.0,38.0,25.0,42.0,60.5,1.0,3.0,0.0,5.0,0.5,4.0
trench,2,1,1,0.0026647082032389,0.6666666666666666,0,1,0,0,2,1,,,,12.0,,20.0,,12.0,,85.0,12.0,1.0,,0.0,0.0,0.5,0.0
trousers,2,16,-14,-0.0459501291095613,0.1111111111111111,0,-14,1,1,1,15,78.0,55.0,70.0,55.0,45.0,25.0,58.0,48.0,32.0,58.0,62.5,1.0,2.0,1.0,3.0,1.0,2.5
tunic,0,3,-3,-0.0062583451751697,0.0,-1,-2,0,1,0,2,72.0,50.0,55.0,35.0,30.0,10.0,32.0,25.0,30.0,55.0,45.0,1.0,3.0,0.0,5.0,0.5,4.0
underwear,0,9,-9,-0.0400944565256347,0.0,-8,-1,0,8,0,1,98.0,95.0,96.0,90.0,90.0,90.0,95.0,92.0,3.0,22.0,93.0,1.0,2.0,1.0,2.0,1.0,2.0
uniform,4,9,-5,-0.0172981462330555,0.3076923076923077,-3,-2,1,4,3,5,65.0,50.0,45.0,35.0,30.0,40.0,35.0,22.0,50.0,72.0,40.0,1.0,7.0,1.0,7.0,1.0,7.0
veil,2,5,-3,-0.0085643130972654,0.2857142857142857,-3,0,2,5,0,0,45.0,25.0,40.0,20.0,30.0,30.0,30.0,32.0,85.0,22.0,30.0,0.0,1.0,0.0,1.0,0.0,1.0
vest,2,3,-1,-0.0031252741431698,0.4,0,-1,0,0,2,3,68.0,48.0,25.0,20.0,18.0,10.0,22.0,20.0,42.0,38.0,22.5,1.0,0.0,0.0,0.0,0.5,0.0
watch,2,10,-8,-0.0255214268166012,0.1666666666666666,-3,-5,0,3,2,7,50.0,45.0,2.0,3.0,5.0,5.0,6.0,3.0,30.0,7.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
wedding,7,9,-2,-0.0048750963517974,0.4375,-1,-1,6,7,1,2,,,,,,,,,,,,,,,,,
wet,6,2,4,0.0156874164056972,0.75,2,2,4,2,2,0,,,,,,,,,,,,,,,,,
white,0,16,-16,-0.0773943721364208,0.0,-8,-8,0,8,0,8,,,,,,,,,,,,,,,,,
wig,2,10,-8,-0.0204534011790994,0.1666666666666666,-8,0,2,10,0,0,65.0,28.0,35.0,15.0,10.0,10.0,30.0,20.0,55.0,25.0,25.0,0.0,1.0,0.0,1.0,0.0,1.0
worn,2,0,2,0.0065475646356009,1.0,0,2,0,0,2,0,,,,,,,,,,,,,,,,,
